Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Вес (без упаковки),Родина бренда,Страна-производитель,Производительность,Вес (с упаковкой),Высота бутылки,Диаметр горлышка
https://cdn.entero.ru/mp@2x/3d/ae/3dae129e2b1ead9c9df1d99d03aef11c.jpg;https://cdn.entero.ru/mp@2x/88/44/8844070c59d4d0ef357dd1cccdec5819.jpg;https://cdn.entero.ru/mp@2x/ce/c6/cec62fa60999aefdda7468f48fa882fc.jpg;https://cdn.entero.ru/mp@2x/09/16/0916f5a1e124c6bb8d188946f532885e.jpg;https://cdn.entero.ru/mp@2x/fe/38/fe387a3b856898f65c6995a4267473ab.jpg;https://cdn.entero.ru/mp@2x/11/c8/11c84f70509fea3be0163819cbed700b.jpg,Машина укупорочная МАГИКОН SF-1,Машина укупорочная МАГИКОН SF-1,13780,RUB,Нет,,Профоборудование,Фасовочно-упаковочное,Укупорочные машины,https://entero.ru/item/127084,"<p>Укупорочная машина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/127084"">МАГИКОН SF-1</a> </b>используется на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли для быстрого и герметичного закручивания винтовых пластиковых крышек на бутылки. Модель оснащена ручным управлением.</p>",127084,электрическая,220 В,,,,,,,,0,,,,КНР,,,,,от 10 до 50 мм
https://cdn.entero.ru/mp@2x/d9/2b/d92be0a684e6f3533bfd5d65e00ecf85.jpg,Машина укупорочная Kuvings KL COMPACT,Машина укупорочная Kuvings KL COMPACT,100000,RUB,Нет,Kuvings,Профоборудование,Фасовочно-упаковочное,Укупорочные машины,https://entero.ru/item/359271,"<p>Укупорочная машина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/359271""><b class=""b"">Kuvings KL COMPACT</b></a> предназначена для герметичного закрывания алюминиевых и ПЭТ банок крышками на предприятиях общественного питания и торговли. Модель оснащена мощным и тихим мотором и позволяет работать с любыми напитками. Корпус выполнен из крашенного металла, платформа - из пластика.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Полуавтомат</li>
<li>Можно использовать баночки емкостью 330 мл и 500 мл</li>
<li>24 часовая работа без перегрева двигателя</li>
<li>Не требует наладки и колибровки</li>
<li>Шумоподавляющий дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Тип банок: ПЭТ, алюминий</li>
<li>Скорость: 10 банок/мин.</li>
<li>Время работы: 6 секунд</li>
<li>Цвет: черный</li>
</ul>",359271,электрическая,220 В,0.25 кВт,230 мм,355 мм,495 мм,,,,0,,,22 кг,,,600 шт/час,,,
https://cdn.entero.ru/mp@2x/33/09/33098f154374e4ab440992f1b8682a92.jpg;https://cdn.entero.ru/mp@2x/0e/d8/0ed8922ec0925bdba112ae8d086f910e.jpg;https://cdn.entero.ru/mp@2x/c2/28/c2288f32afd5b65961df5f4e1e8d136f.jpg;https://cdn.entero.ru/mp@2x/0c/3e/0c3e2237fb3f22c5f165721f7c6b6ca4.jpg,Машина укупорочная 100% Chef Bronson,Машина укупорочная 100% Chef Bronson,143374,RUB,Нет,,Профоборудование,Фасовочно-упаковочное,Укупорочные машины,https://entero.ru/item/355223,"<p>Полуавтоматическая укупорочная машина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/355223"">100% Chef Bronson</a></b> используется на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли для быстрого и герметичного запечатывания алюминиевых и ПЭТ банок. </p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем банки: 250 и 300 мл</li>
</ul>

<p><em>При заказе необходимо уточнить под какой тип крышки.</em></p>",355223,электрическая,220 В,от 0.4 до 0.4 кВт,200 мм,370 мм,670 мм,,,,0,https://entero.ru/manuals/451207/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20100%25%20Chef%20Bronson%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,,,,Испания,400 шт/час,,,
https://cdn.entero.ru/mp@2x/42/77/4277269452e8ab4789b829d06b7a97fa.jpg,Машина укупорочная МАГИКОН JGS-980,Машина укупорочная МАГИКОН JGS-980,50876,RUB,Нет,,Профоборудование,Фасовочно-упаковочное,Укупорочные машины,https://entero.ru/item/127098,"<p>Укупорочная машина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/127098"">МАГИКОН JGS-980</a> </b>используется на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли для быстрого и герметичного закручивания крышек на бутылки из стекла, пластикова, фарфоровых и полиэстеровых.</p>",127098,электрическая,220 В,,,,,,,,0,,54123,,КНР,,1000 шт/час,,от 20 до 350 мм,от 25 до 35 мм
https://cdn.entero.ru/mp@2x/31/62/31623ba184dbd5dda3a0ee6c5f666e49.jpg,Машина укупорочная Hualian DK-50/Z (под пластик. крышку),Машина укупорочная Hualian DK-50/Z (под пластик. крышку),99912,RUB,Нет,Hualian,Профоборудование,Фасовочно-упаковочное,Укупорочные машины,https://entero.ru/item/94643,"<p>Полуавтоматическая укупорочная машина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/94643""><b class=""b"">Hualian DK-50/Z</b></a> используется на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли для быстрого и герметичного закручивания винтовых пластиковых крышек на бутылки. Модель оснащена электрическим управлением и регулируемой подставкой с упором для бутылки.</p>",94643,электрическая,220 В,0.37 кВт,650 мм,200 мм,920 мм,,,,0,,108600,65 кг,КНР,,1200 шт/час,,920 мм,от 20 до 40 мм
https://cdn.entero.ru/mp@2x/52/8f/528f4ecee48d861bc8f9c4f53f647835.jpg;https://cdn.entero.ru/mp@2x/5b/8b/5b8bf1c7ce9f483f134da44b8c97695a.jpg;https://cdn.entero.ru/mp@2x/33/72/33726b384115da928c36bf04141729c4.jpg;https://cdn.entero.ru/mp@2x/c9/87/c9877b5542250816cc8a5abf8e761526.jpg;https://cdn.entero.ru/mp@2x/ab/79/ab79d52be9715f9541c3b42975b51b0a.jpg,Машина укупорочная 100% Chef Can Sealer PRO 110V,Машина укупорочная 100% Chef Can Sealer PRO 110V,143139,RUB,Нет,,Профоборудование,Фасовочно-упаковочное,Укупорочные машины,https://entero.ru/item/373273,"<p>Автоматическая укупорочная машина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/373273""><b class=""b"">100% Chef Can Sealer PRO 110V</b></a> предназначена для герметичного закрывания алюминиевых и ПЭТ банок крышками на предприятиях общественного питания и торговли. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Иновационная конструкция с подвижными головками: устранение центробежного воздействия в процессе запечатывания</li>
<li>Можно использовать баночки емкостью 250 мл и 330 мл</li>
<li>Высокая производительность: от 400 банок в час</li>
</ul>",373273,электрическая,220 В,,395 мм,220 мм,690 мм,,,,0,https://entero.ru/manuals/500860/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20100%25%20Chef%20Can%20Sealer%20PRO%20110V%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,153913,,,Испания,,,,
https://cdn.entero.ru/mp@2x/02/04/020437504dfdf9a4690319202b895576.jpg;https://cdn.entero.ru/mp@2x/6f/4a/6f4a7a0be0f60115b0472e214fcdc5df.jpg;https://cdn.entero.ru/mp@2x/cd/8b/cd8b2d7f1a64f2b093bf5c2fa6ad16c6.jpg,Крышка Kuvings SOT 202 серебро/серебро,Крышка Kuvings SOT 202 серебро/серебро,6,RUB,Да,Kuvings,Профоборудование,Фасовочно-упаковочное,Укупорочные машины,https://entero.ru/item/268202,"<p>Крышка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/268202""><b class=""b"">KuvingsSOT 202 </b></a>используется на предприятиях общественного питания и торговли совместно с алюминиевыми и ПЭТ банками.</p>

<p><span style=""color:#FF0000;""><b class=""o"">Минимальный заказ: 650 шт.</b></span></p>

<p><b>Характеристики:</b></p>

<ul>
<li>Размер крышки: ∅52 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Изображение товара может незначительно отличаться от оригинала и представлено в ознакомительных целях.</span></em></p>",268202,,,,,,,,,,0,,,,,,,,,
https://entero.ru/i/nofoto-m.jpg,Сменная матрица Hualian (⌀ 85 мм) для укупорочной машины HLTDFJ-160II,Сменная матрица Hualian (⌀ 85 мм) для укупорочной машины HLTDFJ-160II,7744,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Укупорочные машины,https://entero.ru/item/376620,"<p>Сменная матрица <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/376620""><b class=""b"">Hualian ⌀ 85 мм </b></a>используется совместно с укупорочной машиной на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли для автоматизация процесса укупорки - быстрого и герметичного закатывания жестяных крышек на стеклянные бутылки. </p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: 10-15 шт/мин</li>
<li>Передаточное число: 100:1</li>
<li>Высота банки: 39-200 мм</li>
</ul>

<p> </p>",376620,электрическая,,,,,,,,,0,,,,,,,,,
https://cdn.entero.ru/mp@2x/6b/93/6b93871906dc01d1b19a885ca7c5e7f6.jpg;https://cdn.entero.ru/mp@2x/96/41/9641fba23565c04941bc1b37622430e9.jpg;https://cdn.entero.ru/mp@2x/14/ad/14ad148f56b24632237e4cda38ca1c61.jpg;https://cdn.entero.ru/mp@2x/c2/cd/c2cda33121ea9db8d24293a163648376.jpg,Крышка 100% Chef Tapa para lata soda 100 шт.,100/1051,983,RUB,Нет,,Профоборудование,Фасовочно-упаковочное,Укупорочные машины,https://entero.ru/item/373309,"<p>Крышки <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/373309""><b class=""b"">100% Chef </b></a><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/373309""><b class=""b"">Tapa para lata soda</b></a><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/373309""><b class=""b""> </b></a>предназначены для совместного использования с укупорочной машиной <a href=""https://entero.ru/item/373273"" target=""_blank"">Can Sealer PRO 110V</a> на предприятиях общественного питания и торговли. Изделия выполнены из алюминия.</p>

<p>В комплект поставки входят 100 крышек.</p>

<p><b>Характеристики: </b></p>

<ul>
<li>Размер: 60х60х0,3 мм</li>
</ul>",373309,,,,,,,,,,0,,,,,,,17 кг,,
https://cdn.entero.ru/mp@2x/37/44/37440a8145913526536d6e79b93bc1b8.jpg;https://cdn.entero.ru/mp@2x/b8/c9/b8c9ba2df8a04a660fc60e2d2526adae.jpg;https://cdn.entero.ru/mp@2x/19/3c/193c81206c1787ebcab138e9cfd81485.jpg,Крышка 100% Chef Tapa peel 100 шт.,100/1049,1310,RUB,Нет,,Профоборудование,Фасовочно-упаковочное,Укупорочные машины,https://entero.ru/item/373276,"<p>Крышки <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/373276""><b class=""b"">100% Chef Tapa peel</b></a> предназначены для совместного использования с укупорочной машиной <a href=""https://entero.ru/item/373273"" target=""_blank"">Can Sealer PRO 110V</a> на предприятиях общественного питания и торговли. Изделия выполнены из алюминия.</p>

<p>В комплект поставки входят 100 крышек.</p>

<p><b>Характеристики: </b></p>

<ul>
<li>Размер: 60х60х0,3 мм</li>
</ul>",373276,,,,,,,,,,0,,,,,,,17 кг,,
