Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Производительность,Установка,Назначение,Емкость бункера,Диаметр заготовки
https://cdn.entero.ru/mp@2x/13/d2/13d2891be9edd91bc264bb73a2efcb67.jpg,"Пресс для котлет P.L. Proff Cuisine SBP-01 (HONRI) ""Гамбургер"" d=12 см h=8 см (алюминий)",SBP-01 (HONRI),1221,RUB,Да,,Профоборудование,Мясоперерабатывающее,Формовочное оборудование,https://entero.ru/item/324262,"<p>Пресс <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/324262""><b class=""b"">P.L. Proff Cuisine SBP-01 (HONRI) ""Гамбургер""</b></a> предназначен для изготовления котлет для гамбургеров на предприятиях общественного питания и в домашних условиях. Модель круглой формы состоит из емкости с рифленым дном и толкателя с обтекаемой рукояткой. Изделия выполнены из алюминия, рукоятка с полимерной накладкой.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Внутренний диаметр: 110 мм</li>
<li>Высота борта: 18 мм</li>
</ul>",324262,механический,,,120 мм,120 мм,80 мм,,,,0,,,,0.2 кг,,Китай,,настольный,для котлет,,110 мм
https://cdn.entero.ru/mp@2x/dd/98/dd9869f98997465d8b313b9a662e075b.jpg,Пресс для гамбургеров VIATTO HF-100,Пресс для гамбургеров VIATTO HF-100,10671,RUB,Да,VIATTO,Профоборудование,Мясоперерабатывающее,Формовочное оборудование,https://entero.ru/item/93357,"<p>Пресс для гамбургеров <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/93357""><b class=""b"">VIATTO HF-100</b></a> используется на предприятиях общественного питания и торговли для формирования мясных заготовок круглой формы разной толщины из мясного или рыбного фарша. Корпус выполнен из анодированного алюминия, детали, контактирующие с пищевыми продуктами, - из нержавеющей стали.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 375х220х295 мм</li>
</ul>",93357,механический,,,325 мм,215 мм,272 мм,5.84 кг,1,375x220x295 мм,0,https://entero.ru/manuals/86177/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20VIATTO.pdf;https://entero.ru/manuals/360642/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VIATTO%20HF-100.pdf;https://entero.ru/manuals/360643/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20VIATTO%20HF-100.pdf;https://entero.ru/manuals/360646/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,5.24 кг,,Китай,,настольный,для гамбургеров,,100 мм
https://cdn.entero.ru/mp@2x/71/20/7120ece71d450d791ceb868eed0a5a6d.jpg,Пресс для гамбургеров Rosso HF-130 PRO,Пресс для гамбургеров Rosso HF-130 PRO,10722,RUB,Да,Rosso,Профоборудование,Мясоперерабатывающее,Формовочное оборудование,https://entero.ru/item/303425,"<p>Ручной пресс для гамбургеров <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/303425""><b class=""b"">Rosso HF-130 PRO</b></a> используется на предприятиях общественного питания и торговли для формирования котлет для гамбургеров разной толщины. Корпус выполнен из анодированного алюминия, детали, контактирующие с пищевыми продуктами, - из нержавеющей стали.</p>",303425,механический,,,210 мм,290 мм,275 мм,6.5 кг,1,240x320x315 мм,0,,,,5.6 кг,,Китай,,настольный,для гамбургеров,,130 мм
https://cdn.entero.ru/mp@2x/c9/b2/c9b221af8653000f70a571e75454ee56.jpg;https://cdn.entero.ru/mp@2x/6e/f7/6ef7c925ed5261f5896dfe15154f1c11.jpg,Пресс для гамбургеров Airhot HPP-150,Пресс для гамбургеров Airhot HPP-150,11774,RUB,Да,Airhot,Профоборудование,Мясоперерабатывающее,Формовочное оборудование,https://entero.ru/item/132393,"<p>Пресс для гамбургеров <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/132393""><b class=""b"">Airhot HPP-150</b></a> используется на предприятиях общественного питания и торговли для формования гамбургеров, котлет, рубленых бифштексов из мясного фарша. Модель оснащена механическим управлением. Корпус выполнен из анодированного алюминия, ёмкость для фарша - из нержавеющей стали.</p>

<p>В комплект поставки входят 500 бумажных подложек.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 280x230x310 мм </li>
</ul>",132393,механический,,,275 мм,230 мм,300 мм,,,,0,https://entero.ru/manuals/150593/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20HPP-150.pdf;https://entero.ru/manuals/481771/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,6 кг,,Китай,,настольный,для гамбургеров,,150 мм
https://cdn.entero.ru/mp@2x/0a/17/0a17381a140e138284515a8708addcea.jpg;https://cdn.entero.ru/mp@2x/35/a6/35a6edd116977948557595c4b830c605.jpg,Пресс для бургеров Steba Burger Press,99.86.00,1952,RUB,Да,,Профоборудование,Мясоперерабатывающее,Формовочное оборудование,https://entero.ru/item/283615,"<p>Пресс для бургеров <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/283615"">Steba Burger Press</a></b> предназначен для приготовления полуфабрикатов-котлет для бургеров в домашних условиях. Модель состоит из цилиндричекой емкости с устойчивым основанием и крышки-толкателя с дугообразной рукояткой. Изделие выполнено из пластика черного цвета.</p>",283615,механический,,,125 мм,125 мм,55 мм,,,,0,,2711,,0.18 кг,,Китай,,настольный,для гамбургеров,,
https://cdn.entero.ru/mp@2x/b1/4e/b14ea848d52de7359d4f9a69931df5ea.jpg,Пресс для гамбургеров Rosso WF-A130,Пресс для гамбургеров Rosso WF-A130,10306,RUB,Да,Rosso,Профоборудование,Мясоперерабатывающее,Формовочное оборудование,https://entero.ru/item/291919,"<p>Пресс для гамбургеров <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/291919"">Rosso WF-A130</a></b> используется на предприятиях общественного питания и торговли для формования гамбургеров, котлет, рубленых бифштексов из мясного фарша. Материал корпуса алюминий.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер рабочей поверхности:
<ul>
<li>Верхняя: 143х52 мм</li>
<li>Нижняя: 143х37 мм</li>
</ul>
</li>
</ul>",291919,механический,,,230 мм,275 мм,300 мм,6.5 кг,1,275x230x300 мм,0,https://entero.ru/manuals/354387/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Rosso%20WF-A130.doc,10964,,6 кг,,Китай,,настольный,для гамбургеров,,130 мм
https://cdn.entero.ru/mp@2x/13/1b/131b83ab6f94c87ba9a954a562031dcd.jpg,Пресс для гамбургеров EKSI SYH-130,Пресс для гамбургеров EKSI SYH-130,11423,RUB,Да,EKSI,Профоборудование,Мясоперерабатывающее,Формовочное оборудование,https://entero.ru/item/365802,"<p>Пресс для гамбургеров <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/365802""><b class=""b"">EKSI SYH-130</b></a> используется на предприятиях общественного питания и торговли для формования гамбургеров, котлет, рубленых бифштексов из мясного фарша. Модель оснащена механическим управлением. Корпус выполнен из металла, емкость для мяса - из нержавеющей стали.</p>",365802,механический,,,230 мм,280 мм,210 мм,,,,0,,,,5.5 кг,,Китай,,настольный,для гамбургеров,,130 мм
https://cdn.entero.ru/mp@2x/04/ba/04babec87f66999661ee61ef7627a472.jpg,Пресс для гамбургеров Hurakan HKN-F15,206298,11993,RUB,Да,Hurakan,Профоборудование,Мясоперерабатывающее,Формовочное оборудование,https://entero.ru/item/122248,"<p>Ручной пресс для гамбургеров <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/122248"">Hurakan HKN-F15</a> </b>используется на предприятиях общественного питания и торговли для формирования мясных заготовок круглой формы разной толщины из мясного или рыбного фарша. Корпус выполнен из анодированного алюминия, детали, контактирующие с пищевыми продуктами, - из нержавеющей стали.</p>

<p>В комплект поставки входят бумажные подложки для фарша.</p>",122248,механический,,,245 мм,210 мм,280 мм,6 кг,1,240x290x350 мм,14,https://entero.ru/manuals/417103/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-F15.pdf;https://entero.ru/manuals/417106/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/417104/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf,12624,,5.62 кг,,Китай,,настольный,для гамбургеров,,150 мм
https://cdn.entero.ru/mp@2x/2b/75/2b75c5b9cac0a17ef942942ee39e895b.jpg,Аппарат для приготовления фрикаделек Crazy Pan CP-MBM160,Аппарат для приготовления фрикаделек Crazy Pan CP-MBM160,180011,RUB,Да,,Профоборудование,Мясоперерабатывающее,Формовочное оборудование,https://entero.ru/item/377292,"<p>Аппарат <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/377292"">Crazy Pan CP-MBM160</a></b> предназначен для формования фрикаделек из мясного, куриного, рыбного и смешанного фарша на предприятиях пищевой промышленности, общественного питания и торговли.</p>",377292,,220 В,2.2 кВт,440 мм,780 мм,1600 мм,120 кг,,,0,,193560,,,,Китай,9600 шт/час,напольный,для фрикаделек,,от 45 до 60 мм
https://cdn.entero.ru/mp@2x/8d/1c/8d1cd82484c767debfbdf85bebf3b371.jpg,"Пресс для изготовления котлет P.L. Proff Cuisine 81240252 ""Гамбургер"" 120 мм",HP-4S,1127,RUB,Да,,Профоборудование,Мясоперерабатывающее,Формовочное оборудование,https://entero.ru/item/321700,"<p>Пресс <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/321700""><b class=""b"">P.L. Proff Cuisine 81240252 ""Гамбургер""</b></a> предназначен для изготовления котлет для бургеров на предприятиях общественного питания и в домашних условиях. Изделие выполнено из алюминия.</p>",321700,механический,,,,,,,,,0,,1610,,0.317 кг,,Китай,,настольный,для котлет,,120 мм
https://cdn.entero.ru/mp@2x/52/e7/52e72d58d5b1c24626242a48c7868d94.jpg,Пресс для гамбургеров EKSI SYH-100,Пресс для гамбургеров EKSI SYH-100,6780,RUB,Да,EKSI,Профоборудование,Мясоперерабатывающее,Формовочное оборудование,https://entero.ru/item/365804,"<p>Пресс для гамбургеров <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/365804""><b class=""b"">EKSI SYH-100</b></a> используется на предприятиях общественного питания и торговли для формования гамбургеров, котлет, рубленых бифштексов из мясного фарша. Модель оснащена механическим управлением. Корпус выполнен из металла, емкость для мяса - из нержавеющей стали.</p>",365804,механический,,,230 мм,280 мм,210 мм,,,,0,,,,5.2 кг,,Китай,,настольный,для гамбургеров,,100 мм
https://cdn.entero.ru/mp@2x/b5/1f/b51f093328f0b1f0906000cd226ee88c.jpg,Пресс для гамбургеров EKSI SYH-150,Пресс для гамбургеров EKSI SYH-150,7788,RUB,Да,EKSI,Профоборудование,Мясоперерабатывающее,Формовочное оборудование,https://entero.ru/item/365801,"<p>Пресс для гамбургеров <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/365801""><b class=""b"">EKSI SYH-150</b></a> используется на предприятиях общественного питания и торговли для формования гамбургеров, котлет, рубленых бифштексов из мясного фарша. Модель оснащена механическим управлением. Корпус выполнен из металла, емкость для мяса - из нержавеющей стали.</p>",365801,механический,,,230 мм,280 мм,210 мм,,,,0,,,,5.8 кг,,Китай,,настольный,для гамбургеров,,150 мм
https://cdn.entero.ru/mp@2x/2a/01/2a01ec349bb54fa165b996fbba273632.jpg,Пресс для гамбургеров Rosso WF-A100,Пресс для гамбургеров Rosso WF-A100,9384,RUB,Да,Rosso,Профоборудование,Мясоперерабатывающее,Формовочное оборудование,https://entero.ru/item/291918,"<p>Пресс для гамбургеров <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/291918"">Rosso WF-A100</a></b> используется на предприятиях общественного питания и торговли для формования гамбургеров, котлет, рубленых бифштексов из мясного фарша. Корпус из алюминия.</p>",291918,механический,,,230 мм,275 мм,300 мм,6.5 кг,1,275x230x300 мм,0,https://entero.ru/manuals/354388/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Rosso%20WF-A100.doc,,,6 кг,,Китай,,настольный,для гамбургеров,,100 мм
