Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Назначение,Конструкция,Количество ярусов,Максимальная нагрузка,Количество колес,Платформа
https://cdn.entero.ru/mp@2x/4b/42/4b4297a1f8df9e0e9ec64a4865962f65.jpg,Тележка для белья ПищТех ТБ-200,Тележка для белья ПищТех ТБ-200,16737,RUB,Да,ПищТех,Профоборудование,Нейтральное,Тележки производственные,https://entero.ru/item/253211,"<p>Тележка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/253211""><b class=""b"">Пищевые Технологии ТБ-200</b></a> предназначена для временного хранения и транспортировки сухого грязного и чистого белья на предприятиях общественного питания, в медицинских, образовательных и спортивных учреждениях, а также в отелях и гостиницах. Модель состоит из дна, боковых ручек, перекладины и ограничительных прутков, вваренных между дном и трубами, оснащена 4 поворотными колесами с обрезиненным ободом для легкого маневрирования. Тележка выполнена полностью из нержавеющей стали. </p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li> Объем корзины: 200 л </li>
</ul>",253211,платформенная,630 мм,610 мм,845 мм,9.6 кг,1,756x732x1014 мм,0,https://entero.ru/manuals/424765/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%9F%D0%B8%D1%89%D0%A2%D0%B5%D1%85.pdf,,,8 кг,,Россия,для белья,,1,100 кг,4,сплошная
https://cdn.entero.ru/mp@2x/49/93/49931d27d5a0a2bbc176691abffe1550.jpg,Тележка грузовая KAYMAN ТГ-23/300,Тележка грузовая KAYMAN ТГ-23/300,25573,RUB,Да,KAYMAN,Профоборудование,Нейтральное,Тележки производственные,https://entero.ru/item/73230,"<p>Тележка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/73230""><b class=""b"">KAYMAN К-ТГ-300</b></a> используется на предприятиях общественного питания и торговли, а также в промышленно-производственных заведениях для перевозки различных грузов. Каркас выполнен из крашенного металла, полка - из нержавеющей стали AISI 304.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Съемная ручка</li>
<li>Сварной каркас</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",73230,платформенная,1200 мм,700 мм,950 мм,,,,0,https://entero.ru/manuals/403445/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,27797,,38.4 кг,,Россия,"производственная, для продуктов, складская",открытая,,300 кг,4,сплошная
https://cdn.entero.ru/mp@2x/6e/ee/6eee546a327fa44a84750a98b2f4f375.jpg,Тележка грузовая HICOLD НТГ-10/6,Тележка грузовая HICOLD НТГ-10/6,22042,RUB,Да,HICOLD,Профоборудование,Нейтральное,Тележки производственные,https://entero.ru/item/177793,"<p>Грузовая тележка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/177793"">HICOLD НТГ-10/6</a></b> используется на предприятиях общественного питания и торговли для перемещения различных грузов. Изделие оснащено 4 колесами.</p>",177793,платформенная,1000 мм,600 мм,913 мм,,,,0,https://entero.ru/manuals/457579/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20HICOLD.pdf;https://entero.ru/manuals/457580/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,17 кг,,Россия,"производственная, складская, для продуктов",открытая,,150 кг,4,сплошная
https://cdn.entero.ru/mp@2x/60/c3/60c3a00c958819b7fc6286b830470381.jpg,Тележка для посудомоечных кассет KAYMAN ТГ-221/0505,Тележка для посудомоечных кассет KAYMAN ТГ-221/0505,9740,RUB,Да,KAYMAN,Профоборудование,Нейтральное,Тележки производственные,https://entero.ru/item/156273,"<p>Тележка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/156273"">KAYMAN ТГ-221/0505</a></b> используется на предприятиях общественного питания и торговли для транспортирования посудомоечных кассет. Каркас выполнен из нержавеющей стали AISI 430.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Сварной каркас</li>
<li>Обрезиненные поворотные колёса (2 колеса с тормозом)</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер посудомоечных кассет: 500х500х100 мм</li>
</ul>",156273,платформенная,545 мм,538 мм,760 мм,,,,7,https://entero.ru/manuals/403446/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,8.2 кг,,Россия,"производственная, для продуктов, складская",открытая,1,,4,сплошная
https://cdn.entero.ru/mp@2x/b3/32/b332f4b619633625820451c731f4e431.jpg,Тележка грузовая КОБОР ТГ-120/70,Тележка грузовая КОБОР ТГ-120/70,25356,RUB,Да,КОБОР,Профоборудование,Нейтральное,Тележки производственные,https://entero.ru/item/73877,"<p>Платформенная грузовая тележка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/73877"">Кобор ТГ-120/70</a> </b>предназначена для перевозки крупногабаритных грузов на предприятиях пищевой промышленности, общественного питания, торговли и в других промышленно-производственных заведениях. Тележка имеет прочную сварную конструкцию. Модель оснащена 4 колесами, 2 из которых поворотные. Конструкция выполнена полностью из нержавеющей стали AISI 430.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Погрузочная площадка: 1200х700 мм</li>
</ul>",73877,платформенная,1375 мм,700 мм,900 мм,,,,0,https://entero.ru/manuals/352348/%D0%A0%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D1%81%D1%82%D0%B2%D0%BE%20%D0%BF%D0%BE%20%D1%8D%D0%BA%D1%81%D0%BF%D0%BB%D1%83%D0%B0%D1%82%D0%B0%D1%86%D0%B8%D0%B8%20%D0%9A%D0%BE%D0%B1%D0%BE%D1%80%20%D0%A2%D0%93-120_70.pdf;https://entero.ru/manuals/401178/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,,,Россия,"для продуктов, складская, производственная",открытая,1,300 кг,4,сплошная
https://cdn.entero.ru/mp@2x/55/d3/55d353e745a008b4f0913d19266aa1f4.jpg;https://cdn.entero.ru/mp@2x/c6/d7/c6d7ebe2f390fedc411d448c6350c0f7.jpg,Тележка для газовых баллонов Мастер-инструмент HT1701,Тележка для газовых баллонов Мастер-инструмент HT1701,4971,RUB,Да,,Профоборудование,Нейтральное,Тележки производственные,https://entero.ru/item/251571,"<p>Тележка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/251571"">Мастер-инструмент HT1701</a> </b>предназначена для транспортировки газового баллона и других крупногабаритных предметов на складах, строительных и сельскохозяйственных объектах, предприятиях общественного питания, торговли и других отраслей. Модель оснащена сплошной платформой, дугообразной ведущей рукояткой, цепью для фиксации груза и 2 осевыми пневматическими колесами с не симметричной ступицей. Вертикально ориентированная сварная рама выполнена из профиля металлической трубы круглого сечения с антикоррозийным покрытием краской синего цвета, цепь – из оцинкованной стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты платформы: 270х250 мм</li>
<li>Диаметр колес: 200 мм</li>
<li>Параметры шин: 4,1/3,5-4 D20</li>
</ul>",251571,платформенная,400 мм,520 мм,1350 мм,,,,0,https://entero.ru/manuals/507345/%D0%9E%D1%82%D0%BA%D0%B0%D0%B7%D0%BD%D0%BE%D0%B5%20%D0%BF%D0%B8%D1%81%D1%8C%D0%BC%D0%BE.pdf,,,7.5 кг,Россия,Россия,"для газовых баллонов, складская, производственная",открытая,1,150 кг,2,сплошная
https://cdn.entero.ru/mp@2x/29/71/297116685915fac01416bece5d6bbb62.jpg;https://cdn.entero.ru/mp@2x/95/2a/952a989f47e294aba78610dba3d16e34.jpg;https://cdn.entero.ru/mp@2x/7e/a9/7ea9899232ac8c47c0b0f2e8d3e9ddee.jpg;https://cdn.entero.ru/mp@2x/66/21/662197df2c35a339ddf0437f2adf1cfc.jpg;https://cdn.entero.ru/mp@2x/2e/6d/2e6da5ac79321eb8e4eb01439640c674.jpg,Тележка производственная Мастер-инструмент ТП 300,Тележка производственная Мастер-инструмент ТП 300,7107,RUB,Да,,Профоборудование,Нейтральное,Тележки производственные,https://entero.ru/item/251577,"<p>Производственная тележка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/251577"">Мастер-инструмент ТП 300</a> </b>предназначена для транспортировки крупногабаритных и тяжелых грузов на складах, погрузочно-разгрузочных терминалах, строительных и сельскохозяйственных объектах, предприятиях общественного питания, торговли и других отраслей. Модель оснащена сплошной прямоугольной платформой, складной дугообразной ведущей рукояткой, 4 колесами, включая 2 поворотных. Рукоятка выполнена из профиля металлической трубы круглого сечения с антикоррозийным покрытием краской красного цвета, платформа – из металла с нескользящим синим ковриком на рабочей поверхности, колеса – из пластика с резиновыми шинами на металлических креплениях.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты платформы: 900х600 мм</li>
<li>​Диаметр колес: 125 мм</li>
</ul>",251577,платформенная,920 мм,620 мм,850 мм,,,,0,,,,13.5 кг,Россия,Россия,"складская, производственная",открытая,1,150 кг,4,сплошная
https://cdn.entero.ru/mp@2x/f1/52/f1522ce6616cccfeeb07a2644a8feb88.jpg;https://cdn.entero.ru/mp@2x/48/b6/48b69be6ce4e6986001d18e5596f7f6c.jpg;https://cdn.entero.ru/mp@2x/60/1d/601d5101fbf3aa635c94ee1ce9a7ccb7.jpg,Тележка грузовая ATESY ТГР-1000.600-02,Тележка грузовая ТГР-1000.600-02 (колеса пр-во Турции),31771,RUB,Да,ATESY,Профоборудование,Нейтральное,Тележки производственные,https://entero.ru/item/124029,"<p>Грузовая тележка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/124029"">ATESY ТГР-1000.600-02</a></b> серии Стандарт используется на предприятиях общественного питания и торговли для перемещения различных грузов. Модель оснащена 4 колесами, 2 из которых являются поворотными и снабжены тормозными устройствами. Разборная конструкция полностью выполнена из нержавеющей стали AISI 430.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Ручка из трубы круглого сечения установлена в углубления на полке и прикреплена болтами</li>
<li>Легкость управления и маневренность благодаря качественным колесам (пр-во Турции)</li>
<li>Разборная конструкция</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Грузоподъемность: 300 кг</li>
<li>Размеры платформы: 1000х600 мм</li>
<li>Габариты: 1260х650х935 мм</li>
<li>​Диаметр колес: 160 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",124029,платформенная,650 мм,1280 мм,935 мм,30 кг,1,1010x614x170 мм,0,https://entero.ru/manuals/132251/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ATESY%20%D0%A2%D0%93%D0%A0-1000.600-02.pdf;https://entero.ru/manuals/282070/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20ATESY%202021.pdf,,,28 кг,Россия,Россия,"складская, производственная",открытая,1,300 кг,4,сплошная
https://cdn.entero.ru/mp@2x/5a/b9/5ab9eb696595c0892f02043243dc012a.jpg,Тележка производственная REDGASTRO YK-ST046-A,Тележка производственная REDGASTRO YK-ST046-A,14179,RUB,Да,,Профоборудование,Нейтральное,Тележки производственные,https://entero.ru/item/335146,"<p>Производственная тележка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/335146"">REDGASTRO YK-ST046-A</a></b> предназначена для транспортировки крупногабаритных и тяжелых грузов на складах, погрузочно-разгрузочных терминалах, строительных и сельскохозяйственных объектах, предприятиях общественного питания, торговли и других отраслей. Модель оснащена сплошной прямоугольной платформой, рукояткой и 4 колесами. Ручка выполнена из окрашенной стали, платформа - из полипропилена.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты платформы: 900х600 мм</li>
</ul>",335146,платформенная,,,,,,,47,,15412,,,,Китай,производственная,открытая,1,300 кг,4,сплошная
https://cdn.entero.ru/mp@2x/44/36/44364b47d588377062c96d30625d9276.jpg,Тележка для кассет NORMA C9483,Тележка для кассет NORMA C9483,13215,RUB,Да,NORMA,Профоборудование,Нейтральное,Тележки производственные,https://entero.ru/item/268119,"<p>Тележка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/268119"">NORMA C9483</a> </b>предназначена для хранения и транспортировки штабелируемых кассет для посудомоечных машин. Изделие значительно облегчает и ускоряет процесс перемещения кассет. Тележка оснащена ручкой и 4 поротными усиленными колесами без тормозов. Корпус выполнен из высокопрочного пластика, ручка из металла.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер в разобранном виде: 790x560x350mm</li>
<li>Размеры платформы для транспортировки: 560х560 мм</li>
<li>Высота тележки с ручкой: 850 мм</li>
<li>Диаметр колес: 100 мм</li>
</ul>",268119,платформенная,570 мм,570 мм,740 мм,,,,0,https://entero.ru/manuals/481050/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,13766,,4.9 кг,,Китай,производственная,открытая,1,160 кг,4,сплошная
