Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Производительность,Вес (с упаковкой),Количество рабочих секций,Количество сегментов для вафель,Тип вафель
https://cdn.entero.ru/mp@2x/98/cb/98cb51407bfbe55fd942a263a492ea51.jpg;https://cdn.entero.ru/mp@2x/5c/60/5c609a22f988047ab49d1b239f33c7da.jpg;https://cdn.entero.ru/mp@2x/23/05/2305edf7d7a27e132fbc35be55a25d8f.jpg;https://cdn.entero.ru/mp@2x/77/4b/774b72deff17181eb07c68d792cb01f1.jpg;https://cdn.entero.ru/mp@2x/44/27/4427333540ee9f7c45aeddc5709e407b.jpg;https://cdn.entero.ru/mp@2x/7e/6a/7e6a567232c6e945cdc9046b0e600562.jpg,Вафельница EKSI TWB-8,Вафельница EKSI TWB-8,11352,RUB,Да,EKSI,Профоборудование,Тепловое,Вафельницы,https://entero.ru/item/287718,"<p>Вафельница <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/287718"">EKSI TWB-8</a></b> используется на предприятиях общественного питания и торговли для выпечки тарталеток круглой формы. Модель оснащена электромеханической панелью управления. Корпус выполнен из нержавеющей стали, жарочная поверхность - из литого алюминия с антипригарным покрытием.</p>

<p><b>Дополнительные характеристики: </b></p>

<ul>
<li>​Верхний диаметр тарталеток: 70 мм</li>
</ul>",287718,220 В,1.55 кВт,390 мм,360 мм,220 мм,,Китай,,,0,https://entero.ru/manuals/424096/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20EKSI%20TWB-8.pdf,,,11.35 кг,,,1,8,тарталетки
https://cdn.entero.ru/mp@2x/b8/1c/b81c5c78e34f2f6216d84d231bce015d.jpg,Вафельница Enigma IWB-1S,117953,12290,RUB,Да,Enigma,Профоборудование,Тепловое,Вафельницы,https://entero.ru/item/81171,"<p>Вафельница <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/81171"">Enigma IWB-1S</a> </b>используется на предприятиях общественного питания и торговли для выпекания квадратных бельгийских вафель. Модель оснащена таймером до 5 минут и 4 ножками. Рабочие поверхности выполнены из чугуна с тефлоновым покрытием.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температурный режим: от 100 до 300 °С</li>
</ul>",81171,220 В,1.6 кВт,282 мм,380 мм,230 мм,8.12 кг,Китай,1,350x450x290 мм,0,https://entero.ru/manuals/475888/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Enigma%20IWB-1S.pdf;https://entero.ru/manuals/506591/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,13215,,7.1 кг,,,1,4,"квадратные, бельгийские"
https://cdn.entero.ru/mp@2x/b5/79/b579e4170aaa2e059412887f6a9f3163.jpg,Вафельница Hurakan HKN-GES10 BUTTERFLY,Вафельница Hurakan HKN-GES10 BUTTERFLY,12668,RUB,Да,Hurakan,Профоборудование,Тепловое,Вафельницы,https://entero.ru/item/105664,"<p>Вафельница <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/105664"">Hurakan HKN-GES10 BUTTERFLY</a></b> используется на предприятиях общественного питания и торговли для приготовления вафель в форме бабочки. Модель оснащена регулируемым термостатом. Корпус выполнен из нержавеющей стали, рабочая поверхность - из чугуна с антипригарным покрытием.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температурный режим: от 50 до 300 °C</li>
</ul>",105664,220 В,1.8 кВт,310 мм,360 мм,245 мм,10.77 кг,Китай,1,390x350x270 мм,0,https://entero.ru/manuals/95804/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-GES10%20BUTTERFLY.docx;https://entero.ru/manuals/412643/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-GES10%20BUTTERFLY.pdf;https://entero.ru/manuals/412644/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-GES10%20BUTTERFLY.pdf;https://entero.ru/manuals/412690/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/412645/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf,,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241040&hash=063a2506b58c13a8,10 кг,,,1,4,бабочки
https://cdn.entero.ru/mp@2x/e8/ed/e8ed3c08c31c9b7cc96dd16158555290.jpg;https://cdn.entero.ru/mp@2x/b8/30/b83053fac4227db85601f55c0d987454.jpg;https://cdn.entero.ru/mp@2x/93/6f/936f7b097ddf5e96ccde1cde5659761b.jpg,Вафельница тайяки Hurakan HKN-GES6F,Вафельница тайяки Hurakan HKN-GES6F,13244,RUB,Да,Hurakan,Профоборудование,Тепловое,Вафельницы,https://entero.ru/item/84380,"<p>Вафельница <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/84380"">Hurakan HKN-GES6F</a></b> используется на предприятиях общественного питания и торговли для выпекания полых японских вафель тайяки в форме рыбок. Каждая вафля может быть наполнена начинкой. Модель оснащена регулируемым термостатом. Корпус выполнен из нержавеющей стали, рабочая поверхность - из чугуна.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 485х295х315 мм</li>
</ul>",84380,220 В,1.6 кВт,420 мм,225 мм,290 мм,9 кг,Китай,1,360x380x290 мм,0,https://entero.ru/manuals/60597/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-GES6F.docx;https://entero.ru/manuals/412679/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-GES6F.pdf;https://entero.ru/manuals/412680/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-GES6F.pdf;https://entero.ru/manuals/412710/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/412681/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf,14241,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241040&hash=063a2506b58c13a8,5.3 кг,,,1,6,рыбки
https://cdn.entero.ru/mp@2x/c8/13/c813c94bd1d31edf735057e249d4e199.jpg;https://cdn.entero.ru/mp@2x/6e/51/6e51284c2f7a429e6ec4bcedad524754.jpg,Вафельница Hurakan HKN-GES228,Вафельница Hurakan HKN-GES228,13370,RUB,Да,Hurakan,Профоборудование,Тепловое,Вафельницы,https://entero.ru/item/105252,"<p>Вафельница <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/105252"">Hurakan HKN-GES228</a></b> используется на предприятиях общественного питания и торговли для приготовления тарталеток. Модель оснащена регулируемым термостатом. Корпус выполнен из нержавеющей стали, рабочая поверхность - из чугуна с антипригарным покрытием.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер тарталетки:
<ul>
<li>Верхний диаметр: 70 мм</li>
<li>Нижний диаметр: 45 мм</li>
<li>Высота: 20 мм</li>
</ul>
</li>
<li>Температурный режим: от 50 до 300 °C</li>
</ul>",105252,220 В,1.5 кВт,386 мм,295 мм,237 мм,12.29 кг,Китай,1,410x340x270 мм,0,https://entero.ru/manuals/95465/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-GES228.docx;https://entero.ru/manuals/412661/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-GES228.pdf;https://entero.ru/manuals/412662/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-GES228.pdf;https://entero.ru/manuals/412697/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/412663/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf,,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241040&hash=063a2506b58c13a8,11.5 кг,,,1,8,тарталетки
https://cdn.entero.ru/mp@2x/51/9c/519cae2f18b5904c7ef011f9ac9db63e.jpg,Вафельница Airhot WWN-12 COFFEE BEAN,C1952,13520,RUB,Да,Airhot,Профоборудование,Тепловое,Вафельницы,https://entero.ru/item/115591,"<p>Вафельница <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/115591""><b class=""b"">Airhot WWN-12 </b></a>используется на предприятиях общественного питания и торговли для выпекания вафель в форме кофейных зерен. Модель оснащена терморегулятором и электронным таймером. Корпус выполнен из нержавеющей стали, жарочная поверхность - из чугуна с антипригарным покрытием.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Время приготовления вафель: от 2 до 3 мин.</li>
<li>Размер рабочей поверхности: 185x185 мм</li>
</ul>",115591,220 В,1.1 кВт,260 мм,470 мм,180 мм,8 кг,Китай,1,310x520x200 мм,0,https://entero.ru/manuals/114961/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20WWN-12.pdf,14696,,7 кг,,,1,12,
https://cdn.entero.ru/mp@2x/35/15/3515be5d3cd0aba7794c9d2ae3c3cfb7.jpg;https://cdn.entero.ru/mp@2x/24/40/244070c1524c18007df4565ccbeb2d17.jpg;https://cdn.entero.ru/mp@2x/e0/93/e093853e33e29ee6ffdbce9f81bc253f.jpg;https://cdn.entero.ru/mp@2x/32/f3/32f3a0f032a82d72a409abdd60a0b561.jpg;https://cdn.entero.ru/mp@2x/0b/1b/0b1b320fa3700eb9cbd04d74da96f02b.jpg,Вафельница Foodatlas UWB-2 Eco,Сегменты UWB-2 FoodAtlas Eco,13740,RUB,Да,Foodatlas,Профоборудование,Тепловое,Вафельницы,https://entero.ru/item/87133,"<p>Вафельница<b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.kz/item/87133"">Foodatlas UWB-2 Eco</a> </b>используется на предприятиях общественного питания и торговли. Модель оснащена терморегулятором, таймером и ненагревающимися ручками. Рабочая поверхность имеет антипригарное тефлоновое покрытие.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температурный режим: от 0 до 300 °С</li>
<li>Диаметр рабочей поверхности: 182 мм</li>
<li>Размеры 1 формы для изделий: 85x85x133 мм</li>
<li>Толщина материала корпуса: 0,8 мм</li>
<li>Габариты в упаковке: 540x420x300 мм</li>
</ul>",87133,220 В,2 кВт,500 мм,410 мм,270 мм,,Китай,,,0,https://entero.ru/manuals/351314/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Foodatlas%20UWB-2%20Eco.pdf;https://entero.ru/manuals/403936/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%B4%D0%BB%D1%8F%20%D1%80%D0%B5%D1%81%D1%82%D0%BE%D1%80%D0%B0%D0%BD%D0%BE%D0%B2_%20%D0%BA%D0%B0%D1%84%D0%B5_%20%D1%81%D1%82%D0%BE%D0%BB%D0%BE%D0%B2%D1%8B%D1%85_%20%D1%84%D0%B0%D1%81%D1%82-%20%D1%81%D1%82%D1%80%D0%B8%D1%82-%20%D1%84%D1%83%D0%B4%D0%B0%20Foodatlas.pdf;https://entero.ru/manuals/403940/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,14313,,10.5 кг,от 12 до 16 шт./ч,,2,8,круглые сегментные
https://cdn.entero.ru/mp@2x/3e/b6/3eb673ed888e8b739a14936f70e77770.jpg,Вафельница электрическая Yukon MWB-01 с крышкой,MWB-01,15327,RUB,Да,,Профоборудование,Тепловое,Вафельницы,https://entero.ru/item/265894,"<p>Вафельница <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/265894""><b class=""b"">Yukon MWB-01 </b></a>используется на предприятиях общественного питания и торговли для выпекания гонконгских вафель с полусферическими сегментами на поверхности. Модель оснащена пьедесталом с ножками, откидной крышкой с горизонтальной рукояткой, устойчивыми нескользящими опорами и электромеханической панелью управления. Корпус выполнен из нержавеющей стали, пьедестал – из алюминия, жарочные поверхности – из алюминия с антипригарным тефлоновым покрытием, накладка на рукоятке – из термостойкого пластика.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Регулировка температуры и длительности приготовления с помощью поворотных переключателей</li>
<li>Автоматический контроль заданной температуры</li>
<li>Светодиодный индикатор нагрева</li>
<li>Выключатель колыбельного типа</li>
<li>Рельефная термоизолированная рукоятка для удобного безопасного захвата</li>
<li>Эргономичный дизайн</li>
</ul>",265894,220 В,2 кВт,330 мм,330 мм,280 мм,,Турция,,,0,https://entero.ru/manuals/522591/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,15966,,10 кг,,,1,1,"гонконгские, круглые сегментные"
https://cdn.entero.ru/mp@2x/35/89/35898d0ce056a30ff8d2c89ed66ddd90.jpg,"Вафельница электрическая Rosso HX-2208, конус","Вафельница электрическая Rosso HX-2208, конус",16784,RUB,Да,Rosso,Профоборудование,Тепловое,Вафельницы,https://entero.ru/item/370646,"<p>Вафельница <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/370646""><b class=""b"">Rosso HX-2208 </b></a>используется на предприятиях общественного питания и торговли для выпекания бельгийских тонких вафель форме конуса на палочке. Модель оснащена жарочной поверхностью с антипригарным покрытием и устойчивыми ножками. Корпус выполнен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер вафель:225x60x15 мм</li>
</ul>",370646,220 В,1.75 кВт,330 мм,365 мм,235 мм,9 кг,Китай,1,370x400x260 мм,0,,17483,,,,,1,4,"бельгийские, конус"
https://cdn.entero.ru/mp@2x/03/04/03040683ef6957f37db61cc261f93665.jpg,Вафельница Kocateq GH 15NUT,Вафельница Kocateq GH 15NUT,17597,RUB,Да,Kocateq,Профоборудование,Тепловое,Вафельницы,https://entero.ru/item/372880,"<p>Вафельница <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/372880"">Kocateq GH 15NUT</a></b> используется на предприятиях общественного питания и торговли для выпекания вафель в форме орешков. Модель оснащена механической панелью управления и съемным лотком для крошек. Корпус выполнен из нержавеющей стали AISI 201, рабочие поверхности - из алюминия с антипригарным покрытием, ножки - из пластика.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Таймер до 5 мин.</li>
<li>Звуковая сигнализация окончания работы</li>
<li>Световой индикатор</li>
<li>Сбалансированная верхняя форма: приготовление с минимальными усилиями</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер вафли: 40х30 мм</li>
<li>Диапазон температуры: от 50 до 300°C</li>
</ul>",372880,220 В,1.5 кВт,390 мм,340 мм,245 мм,,Ю. Корея,,,0,https://entero.ru/manuals/499944/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,,,,,21,орешки
https://cdn.entero.ru/mp@2x/ad/67/ad672642180c887ad6e55a6c98a32f8d.jpg;https://cdn.entero.ru/mp@2x/ce/ba/ceba574badf2c0b6eb32c3c083b55bdc.jpg,Вафельница для UFO-бургеров Rosso HX-2205E,Вафельница для UFO-бургеров Rosso HX-2205E,18752,RUB,Да,Rosso,Профоборудование,Тепловое,Вафельницы,https://entero.ru/item/365262,"<p>Вафельница <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/365262""><b class=""b"">Rosso HDF8+8</b></a> используется на предприятиях общественного питания и торговли для выпекания корейских UFO-бургеров. Аппарат позволяет готовить нло-бургеры как со сладкими начинками из мороженого с ягодами, так и с мясными начинками. Модель оснащена электронной панелью управления с таймером отключения. Корпус выполнен из нержавеющей стали, жарочные поверхности - из алюминия с антипригарным покрытием.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температурный режим: от 50 до 300 °С</li>
<li>Диаметр чаши: 180 мм</li>
<li>Диаметр бургера: от 100 до 120 мм</li>
</ul>",365262,220 В,1.2 кВт,250 мм,450 мм,300 мм,9 кг,Китай,1,510x310x370 мм,0,,20383,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241227&hash=0d9138f5fab29e0d;https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241412&hash=b6a1607e90713abe,,,,1,1,нло-бургеры
https://cdn.entero.ru/mp@2x/c4/95/c4959182d9fc3f983a151f07c5d15bcf.jpg,Вафельница электрическая Yukon MKBK-02 двойная c крышкой,MKBK-02,24850,RUB,Да,,Профоборудование,Тепловое,Вафельницы,https://entero.ru/item/265962,"<p>Вафельница <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/265962""><b class=""b"">Yukon MKBK-02 </b></a>используется на предприятиях общественного питания и торговли для выпекания гонконгских вафель с сегментами в форме сердечек на поверхности. Модель оснащена 2 пьедесталами с ножками, 2 откидными крышками с горизонтальными рукоятками, устойчивыми нескользящими опорами и электромеханической панелью управления. Корпус выполнен из нержавеющей стали, пьедесталы – из алюминия, жарочные поверхности – из алюминия с антипригарным тефлоновым покрытием, накладки на рукоятках – из термостойкого пластика.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Регулировка температуры и длительности приготовления с помощью поворотных переключателей</li>
<li>Автоматический контроль заданной температуры</li>
<li>Светодиодные индикаторы нагрева</li>
<li>Выключатели колыбельного типа</li>
<li>Рельефные термоизолированные рукоятки для удобного безопасного захвата</li>
<li>Эргономичный дизайн</li>
</ul>",265962,220 В,4 кВт,610 мм,330 мм,290 мм,,Турция,,,0,https://entero.ru/manuals/522595/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,26436,,18 кг,,,2,,"гонконгские, сердечки"
https://cdn.entero.ru/mp@2x/c3/f0/c3f00404c5454d2551db78f3cdf88e00.jpg;https://cdn.entero.ru/mp@2x/65/02/65021176fd7a90b50034bcc464ac760e.jpg;https://cdn.entero.ru/mp@2x/b3/90/b390b0ef357a34c97710832e855a7fb1.jpg,Вафельница тайяки Airhot рыбки WBFT-6 тайяки,РЫБКИ WBFT-6,40046,RUB,Да,Airhot,Профоборудование,Тепловое,Вафельницы,https://entero.ru/item/175575,"<p>Вафельница <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/175575"">Airhot рыбки WBFT-6 тайяки</a></b> используется на предприятиях общественного питания и торговли для выпекания полых японских вафель тайяки в форме рыбок. Каждая вафля может быть наполнена начинкой. Модель оснащена терморегулятором и таймером. Корпус выполнен из нержавеющей стали, жарочная поверхность - из чугуна с антипригарным покрытием.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер одной вафли: 150х90х30 мм</li>
</ul>",175575,220 В,4 кВт,820 мм,427 мм,295 мм,27 кг,Китай,1,850x470x320 мм,0,https://entero.ru/manuals/203892/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Airhot%20%D1%80%D1%8B%D0%B1%D0%BA%D0%B8%20WBFT-6%20%D1%82%D0%B0%D0%B9%D1%8F%D0%BA%D0%B8.pdf,43528,,26 кг,,,2,6,рыбки
https://cdn.entero.ru/mp@2x/65/75/65758578379c071e8b9b986e67e330dd.jpg,Вафельница Tatra TWI 1 BRUXELLES,Вафельница Tatra TWI 1 BRUXELLES,44210,RUB,Да,Tatra,Профоборудование,Тепловое,Вафельницы,https://entero.ru/item/265196,"<p>Вафельница <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/265196""><b class=""b"">Tatra​ TWI 1 BRUXELLES </b></a>предназначена для выпечки брюссельских вафель на предприятиях общественного питания и торговли. Модель оснащена электромеханической панелью управления с терморегулятором, 1 зоной выпечки, емкостью для сбора жира и индикаторами питания и нагрева. Корпус выполнен из нержавеющей стали, несъемные рабочие поверхности - из чугуна.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер вафли: 102х165х26 мм</li>
<li>Температурный режим: от 50 до 300 °C</li>
<li>Габариты в упаковке: 400х540х450 мм</li>
</ul>",265196,220 В,2.2 кВт,330 мм,440 мм,320 мм,23 кг,Турция,1,400x540x420 мм,8,https://entero.ru/manuals/418125/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Tatra%20TWI%201%20BRUXELLES.pdf;https://entero.ru/manuals/328443/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Tatra%20TWI%201.pdf;https://entero.ru/manuals/418127/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Tatra%202024-2025.pdf;https://entero.ru/manuals/418326/%D0%9F%D1%80%D0%B5%D0%B7%D0%B5%D0%BD%D1%82%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Tatra.pdf;https://entero.ru/manuals/473791/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20Tatra%20TWI%201%20BRUXELLES.pdf;https://entero.ru/manuals/509551/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,21 кг,,,1,2,брюссельские
https://cdn.entero.ru/mp@2x/0d/6b/0d6bfeaf534ef5978efa97a1a8c86ac1.jpg,Вафельница Tatra TWI 1 AMERICAN,Вафельница Tatra TWI 1 AMERICAN,44210,RUB,Да,Tatra,Профоборудование,Тепловое,Вафельницы,https://entero.ru/item/265197,"<p>Вафельница <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/265197""><b class=""b"">Tatra​ TWI 1 AMERICAN </b></a>предназначена для выпечки американских вафель на предприятиях общественного питания и торговли. Модель оснащена электромеханической панелью управления с терморегулятором, 1 зоной выпечки, емкостью для сбора жира и индикаторами питания и нагрева. Корпус выполнен из нержавеющей стали, несъемные рабочие поверхности - из чугуна.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер вафли: Ø160х15 мм</li>
<li>Температурный режим: от 50 до 300 °C</li>
<li>Габариты в упаковке: 400х540х430 мм</li>
</ul>",265197,220 В,2.2 кВт,330 мм,440 мм,320 мм,23 кг,Турция,1,400x540x420 мм,0,https://entero.ru/manuals/418078/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Tatra%20TWI%201%20AMERICAN.pdf;https://entero.ru/manuals/328445/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Tatra%20TWI%201.pdf;https://entero.ru/manuals/418087/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Tatra%202024-2025.pdf;https://entero.ru/manuals/418313/%D0%9F%D1%80%D0%B5%D0%B7%D0%B5%D0%BD%D1%82%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Tatra.pdf;https://entero.ru/manuals/473790/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20Tatra%20TWI%201%20AMERICAN.pdf;https://entero.ru/manuals/509554/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,46537,,21 кг,,,1,,круглые сегментные
