Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Производительность,Установка,Ширина ленты,Скорость ленты,Нарезка,Длина ленты
https://cdn.entero.ru/mp@2x/98/b4/98b46ae302410e3440cca59947053316.jpg,Машина для резки кондитерских изделий SINMAG HS-3S,Машина для резки кондитерских изделий SINMAG HS-3S,0,RUB,Нет,SINMAG,Профоборудование,Кондитерское,Машины для нарезки бисквита,https://entero.ru/item/127207,"<p>Машина для резки кондитерских изделий <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/127207""><b class=""b"">Sinmag HS-3S</b></a> используется на предприятиях пищевой промышленности, общественного питания и торговли для горизонтальной нарезки бисквита на заготовки. Корпус выполнен из крашенной стали.</p>

<p>В комплект поставки входят 2 лезвия.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Регулируемая по толщине нарезка</li>
<li>Аккуратный срез</li>
<li>Минимизация потери продукта в виде крошек</li>
<li>Регулируемые по высоте ножки</li>
<li>Колеса</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Ширина продукта: 380 мм</li>
<li>Высота продукта: 135 мм</li>
<li>Скорость нижнего конвейера: 370 м/час</li>
<li>Высота ножек: от 5 до 125 мм (шаг через каждые 5 мм)</li>
</ul>",127207,220 В,0.42 кВт,790 мм,1150 мм,1165 мм,0,,,,150 кг,,Китай,5000 шт/час,напольная,,0.103 м/сек.,горизонтальная,
https://cdn.entero.ru/mp@2x/a1/00/a10044b8c2d1a01382c01df29cc7a39b.jpg;https://cdn.entero.ru/mp@2x/21/81/2181834322449b71b045d0ab70c7f0eb.jpg;https://cdn.entero.ru/mp@2x/24/db/24db30cbbd72c98f9bf31d03186bc7ee.jpg,Машина для ультразвуковой резки тортов и бисквита EKSI WS2-305,Машина для ультразвуковой резки тортов и бисквита EKSI WS2-305,0,RUB,Нет,EKSI,Профоборудование,Кондитерское,Машины для нарезки бисквита,https://entero.ru/item/348215,"<p>Машина для ультразвуковой резки <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/348215""><b class=""b"">EKSI WS 2-305</b></a> используется на предприятиях пищевой промышленности, в пекарнях и кондитерских для нарезки тортов, пирогов, кексов, пиццы и других кондитерских изделий круглой и прямоугольной формы на ровные куски заданного размера. Модель оснащена держателем продукта и полностью автоматическим позиционированием ножа за счет 4-х осевой серводвигательной системы. Корпус выполнен из нержавеющей стали, лезвия - из титанового сплава.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Программы нарезки по количеству порций и по размеру нарезаемых изделий</li>
<li>Тип разреза:
<ul>
<li>Квадратный</li>
<li>Прямоугольный</li>
<li>Треугольный</li>
<li>Поперечный (слайс)​<b>​</b></li>
</ul>
</li>
<li>Подходит для замороженных изделий</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр круглых продуктов: от 100 до 400 мм</li>
<li>Макс. размер резки: 600х400 мм</li>
<li>Макс. высота продукта: 80 мм</li>
<li>Скорость резки: 35-60 резов/мин</li>
<li>​Количество ножей: 2</li>
<li>Размер лезвия: 300 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Устройство для вкладки бумажных разделителей</li>
<li>Двойной ротационный держатель продукта</li>
</ul>",348215,220 В,4 кВт,1270 мм,910 мм,1610 мм,0,,,,320 кг,,Китай,,напольная,,,,
https://cdn.entero.ru/mp@2x/5d/c3/5dc3b2561d05aad8b451ab8d4d1581a2.jpg,Рамка струнная Pavoni QG10,Рамка струнная Pavoni QG10,5912,RUB,Да,Pavoni,Профоборудование,Кондитерское,Машины для нарезки бисквита,https://entero.ru/item/200096,"<p>Струнная рамка​ <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.kz/item/200096"">Pavoni QG10</a></b> используется совместно с машиной <a href=""https://entero.kz/item/200066"">BCD/I </a>в пекарнях и кондитерских, на предприятиях пищевой промышленности и общественного питания для заливки начинки. Изделие выполнено из нержавеющей стали.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Размер: 400х400х10 мм</li>
</ul>",200096,,,,,,0,,7210,,,,,,,,,,
https://cdn.entero.ru/mp@2x/1f/47/1f4715c6cc5e2dd95501f9c4f0f88be5.jpg,Рамка струнная Pavoni TCH375,Рамка струнная Pavoni TCH375,42991,RUB,Да,Pavoni,Профоборудование,Кондитерское,Машины для нарезки бисквита,https://entero.ru/item/200092,"<p>Струнная рамка​ <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.kz/item/200092"">Pavoni TCH375</a></b> используется совместно с машиной <a href=""https://entero.kz/item/200066"">BCD/I </a>в пекарнях и кондитерских, на предприятиях пищевой промышленности и общественного питания для нарезки бисквита, мягкого шоколада, ганаша, пралины и других кондитерских масс на заготовки одинакового размера. Модель оснащена тонкими металлическими струнами, расположенными через каждые 37,5 мм. Изделие выполнено из нержавеющей стали.</p>

<p>В комплект поставки входит набор запасных струн и инструментов для их установки.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Размер: 400х400х30 мм</li>
</ul>",200092,,,,,,0,,,,,,,,,,,,
https://cdn.entero.ru/mp@2x/98/cf/98cfb0721e6c0074f5f590f5c6ff48c3.jpg,Рамка струнная Pavoni TCH30,Рамка струнная Pavoni TCH30,48017,RUB,Да,Pavoni,Профоборудование,Кондитерское,Машины для нарезки бисквита,https://entero.ru/item/41524,"<p>Струнная рамка​ <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.kz/item/41524"">Pavoni TCH30</a></b> используется совместно с машиной <a href=""https://entero.kz/item/200066"">BCD/I </a>в пекарнях и кондитерских, на предприятиях пищевой промышленности и общественного питания для нарезки бисквита, мягкого шоколада, ганаша, пралины и других кондитерских масс на заготовки одинакового размера. Модель оснащена тонкими металлическими струнами, расположенными через каждые 30 мм.</p>

<p>В комплект поставки входит набор запасных струн и инструментов для их установки.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Размер: 400х400х30 мм</li>
</ul>",41524,,,,,,0,https://entero.ru/manuals/72010/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Pavoni%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,,,,,,,,,,,
https://cdn.entero.ru/mp@2x/53/74/5374bf774965a1abf535eecebc19fec2.jpg,Рамка струнная Pavoni QG5,Рамка струнная Pavoni QG5,6646,RUB,Нет,Pavoni,Профоборудование,Кондитерское,Машины для нарезки бисквита,https://entero.ru/item/203226,"<p>Струнная рамка​ <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.kz/item/203226"">Pavoni QG5</a></b> используется совместно с машинами <a href=""http://entero.kz/item/200165"" target=""_blank"">Chitarra</a> и <a href=""https://entero.kz/item/200066"">Chitarra Doppio Taglio BCD/I</a> в пекарнях и кондитерских, на предприятиях пищевой промышленности и общественного питания для заливки начинки. Изделие выполнено из нержавеющей стали.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Размер: 400х400х5 мм</li>
<li>Габариты в упаковке: 440х440х6 мм</li>
<li>Вес с упаковкой: 0,5 кг</li>
</ul>",203226,,,,,,0,https://entero.ru/manuals/238008/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Pavoni%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,,,,,,,,,,,
https://cdn.entero.ru/mp@2x/5e/03/5e032960750c8b3a85d3fdbcf93b77ea.jpg,Рамка струнная Pavoni QG15,Рамка струнная Pavoni QG15,7619,RUB,Нет,Pavoni,Профоборудование,Кондитерское,Машины для нарезки бисквита,https://entero.ru/item/203059,"<p>Струнная рамка​ <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.kz/item/203059"">Pavoni QG15</a></b> используется совместно с машинами <a href=""http://entero.kz/item/200165"" target=""_blank"">Chitarra</a> и <a href=""https://entero.kz/item/200066"">Chitarra Doppio Taglio BCD/I</a> в пекарнях и кондитерских, на предприятиях пищевой промышленности и общественного питания для заливки начинки. Изделие выполнено из нержавеющей стали.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Размер: 400х400х15 мм</li>
<li>Габариты в упаковке: 440х440х17 мм</li>
<li>Вес с упаковкой: 0,5 кг</li>
</ul>",203059,,,,,,0,https://entero.ru/manuals/237908/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Pavoni%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,10731,,,,,,,,,,
https://cdn.entero.ru/mp@2x/df/d7/dfd79eae85358839993d350103e0ea15.jpg;https://cdn.entero.ru/mp@2x/ed/90/ed90fe544bfb28cb453fa3d3486dbaf8.jpg;https://cdn.entero.ru/mp@2x/3a/45/3a4561e87fec2109b2f59ce43bc907a1.jpg,"Рамка струнная Pavoni TCH22,5","Рамка струнная Pavoni TCH22,5",37857,RUB,Нет,Pavoni,Профоборудование,Кондитерское,Машины для нарезки бисквита,https://entero.ru/item/203027,"<p>Струнная рамка​ <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/203027"">Pavoni TCH22,5</a></b> используется совместно с машинами <a href=""http://entero.ru/item/200165"" target=""_blank"">Chitarra</a> и <a href=""https://entero.ru/item/200066"">Chitarra Doppio Taglio BCD/I</a> в пекарнях и кондитерских, на предприятиях пищевой промышленности и общественного питания для нарезки бисквита, мягкого шоколада, ганаша и других кондитерских масс на заготовки одинакового размера. Модель оснащена тонкими металлическими струнами, расположенными через каждые 22,5 мм. Изделие выполнено из нержавеющей стали.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Размер: 620х550х50 мм</li>
<li>Габариты в упаковке: 650х570х60 мм</li>
<li>Вес с упаковкой: 0,5 кг</li>
</ul>",203027,,,,,,0,https://entero.ru/manuals/237894/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Pavoni%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf;https://entero.ru/manuals/237906/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20Pavoni%20TCH22_5%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,39849,,,,,,,,,,
https://cdn.entero.ru/mp@2x/56/c5/56c5e27b556277af26ddefa8922f3dc1.jpg;https://cdn.entero.ru/mp@2x/8c/78/8c7874d9fd3a84a3f1a705269f8c5c82.jpg;https://cdn.entero.ru/mp@2x/7d/f7/7df7998a7b6ea5104dd965d8704a56f8.jpg,Рамка струнная Pavoni TCH15,Рамка струнная Pavoni TCH15,51271,RUB,Нет,Pavoni,Профоборудование,Кондитерское,Машины для нарезки бисквита,https://entero.ru/item/203025,"<p>Струнная рамка​ <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.kz/item/203025"">Pavoni TCH15</a></b> используется совместно с машинами <a href=""http://entero.kz/item/200165"" target=""_blank"">Chitarra</a> и <a href=""https://entero.kz/item/200066"">Chitarra Doppio Taglio BCD/I</a> в пекарнях и кондитерских, на предприятиях пищевой промышленности и общественного питания для нарезки бисквита, мягкого шоколада, ганаша и других кондитерских масс на заготовки одинакового размера. Модель оснащена тонкими металлическими струнами, расположенными через каждые 15 мм. Изделие выполнено из нержавеющей стали.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Размер: 620х550х50 мм</li>
<li>Габариты в упаковке: 650х570х60 мм</li>
<li>Вес с упаковкой: 0,5 кг</li>
</ul>",203025,,,,,,0,https://entero.ru/manuals/237893/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Pavoni%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf;https://entero.ru/manuals/237907/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20Pavoni%20TCH15.pdf,55130,,,,,,,,,,
https://cdn.entero.ru/mp@2x/c8/ee/c8ee66be9a68e4d7708e3a04c8582ba7.jpg,"Рамка струнная Pavoni TCH7,5","Рамка струнная Pavoni TCH7,5",78183,RUB,Нет,Pavoni,Профоборудование,Кондитерское,Машины для нарезки бисквита,https://entero.ru/item/203054,"<p>Струнная рамка​ <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.kz/item/203054"">Pavoni TCH7,5</a></b> используется совместно с машинами <a href=""http://entero.kz/item/200165"" target=""_blank"">Chitarra</a> и <a href=""https://entero.kz/item/200066"">Chitarra Doppio Taglio BCD/I</a> в пекарнях и кондитерских, на предприятиях пищевой промышленности и общественного питания для нарезки бисквита, мягкого шоколада, ганаша и других кондитерских масс на заготовки одинакового размера. Модель оснащена тонкими металлическими струнами, расположенными через каждые 7,5 мм. Изделие выполнено из нержавеющей стали.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Размер: 620х550х50 мм</li>
<li>Габариты в упаковке: 650х570х60 мм</li>
<li>Вес с упаковкой: 0,5 кг</li>
</ul>",203054,,,,,,0,https://entero.ru/manuals/237904/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Pavoni%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf;https://entero.ru/manuals/237905/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20Pavoni%20TCH7_5%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,83173,,,,,,,,,,
https://cdn.entero.ru/mp@2x/fd/84/fd84fd40c8f8f3a666d5607d6518a804.jpg,Тележка для машины для нарезки конфет Pavoni CCH,Тележка для машины для нарезки конфет Pavoni CCH,142329,RUB,Нет,Pavoni,Профоборудование,Кондитерское,Машины для нарезки бисквита,https://entero.ru/item/203330,"<p>Тележка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/203330"">Pavoni CCH</a></b> используется совместно с машинами для нарезки конфет <a href=""https://entero.ru/item/200165"" target=""_blank"">Chitarra</a> и <a href=""http://entero.ru/item/200066"" target=""_blank"">Chitarra Doppio Taglio BCD/I </a>в пекарнях и кондитерских, на предприятиях пищевой промышленности и общественного питания. Изделие выполнено из нержавеющей стали. </p>

<p><b>Характеристики:</b></p>

<ul>
<li>Количество направляющих для рамок: 6</li>
<li>Габариты без упаковки: 700х600х850 мм</li>
<li>Вес без упаковки: 38 кг</li>
<li>Габариты в упаковке: 770х660х935 мм</li>
<li>Вес с упаковкой: 42 кг</li>
</ul>

<p> </p>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! Представленная на фото машина для нарезки конфет в комплект поставки не входит.</span></em></p>",203330,,,,,,0,https://entero.ru/manuals/238082/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Pavoni%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,148259,,,,,,,,,,
https://cdn.entero.ru/mp@2x/56/f2/56f26f9902b927a7053fd7ca82e9cdfe.jpg,Нож SINMAG HS-3,Нож SINMAG HS-3,0,RUB,Нет,SINMAG,Профоборудование,Кондитерское,Машины для нарезки бисквита,https://entero.ru/item/39594,"<p>Нож используется совместно с машиной для резки кондитерских изделий <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/39594"">SINMAG HS-3</a> </b>на предприятиях пищевой промышленности, общественного питания и торговли.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Вес: 0,037 кг</li>
<li>Вес с упаковкой: 0,05 кг</li>
</ul>",39594,,,,,,0,,,,,,,,,,,,
https://cdn.entero.ru/mp@2x/ef/c4/efc4118e75a554aa4c98c2b87bb4410e.jpg,Комплект струн Pavoni,Комплект струн Pavoni,0,RUB,Нет,Pavoni,Профоборудование,Кондитерское,Машины для нарезки бисквита,https://entero.ru/item/203240,"<p>Комплект струн​ <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/203240""><b class=""b"">Pavoni</b></a> используется совместно с машинами <a href=""http://entero.ru/item/200165"" target=""_blank"">Chitarra</a> и <a href=""https://entero.ru/item/200066"">Chitarra Doppio Taglio BCD/I</a> в пекарнях и кондитерских, на предприятиях пищевой промышленности и общественного питания для установки на рамки. Изделие выполнено из нержавеющей стали.</p>

<p>В комплект поставки входит 8 струн.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 440х11х11 мм</li>
</ul>",203240,,,,,,0,https://entero.ru/manuals/238012/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Pavoni%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,,,,,,,,,,,
https://cdn.entero.ru/mp@2x/f8/f7/f8f76cc7a8e855cce320de9ae4e8e6f7.jpg,Рамка струнная Pavoni QG3,Рамка струнная Pavoni QG3,0,RUB,Нет,Pavoni,Профоборудование,Кондитерское,Машины для нарезки бисквита,https://entero.ru/item/203186,"<p>Струнная рамка​ <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/203186"">Pavoni QG3</a></b> используется совместно с машинами <a href=""http://entero.ru/item/200165"" target=""_blank"">Chitarra</a> и <a href=""https://entero.ru/item/200066"">Chitarra Doppio Taglio BCD/I</a> в пекарнях и кондитерских, на предприятиях пищевой промышленности и общественного питания для заливки начинки. Изделие выполнено из нержавеющей стали.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Размер: 400х400х3 мм</li>
<li>Габариты в упаковке: 440х440х3 мм</li>
<li>Вес с упаковкой: 0,5 кг</li>
</ul>",203186,,,,,,0,https://entero.ru/manuals/237978/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Pavoni%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,,,,,,,,,,,
