Изображения,Название,Артикул,Цена,Валюта,Наличие,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Ширина,Вес,Количество мест,Размеры,Остаток,Старая цена,Вес (без упаковки),Родина бренда,Страна-производитель,Материал,Максимальная нагрузка,Количество перекладин,Высота подъема,Длина лестницы,Глубина ступени
https://cdn.entero.ru/mp@2x/e0/b5/e0b5616e2a5e72accd5633081213cd5c.jpg;https://cdn.entero.ru/mp@2x/08/df/08df39b2336c166698e12d23942bf187.jpg;https://cdn.entero.ru/mp@2x/e8/a9/e8a96ae34015189cc7f33399303fb2de.jpg,Лестница-стремянка телескопическая Мастер-инструмент МИ 2.2м/4.4м 7 ступ.,Лестница-стремянка телескопическая Мастер-инструмент МИ 2.2м/4.4м 7 ступ.,12747,RUB,Да,Профоборудование,Средства подъема,Лестницы,https://entero.ru/item/233626,"<p>Телескопическая лестница-стремянка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/233626""><b class=""b"">Мастер-инструмент МИ 2.2м/4.4м 7 ступ. </b></a>используется для выполнения строительных, ремонтных, отделочных или иных видов работ, когда необходимо произвести какие-либо действия на высоте. Модель оснащена высокопрочными шарнирами. Лестница изготовлена из алюминия, замки - из нержавеющей стали. </p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество секций: 2</li>
<li>Шаг ступени: 300 мм</li>
<li>Ширина основания: 480 мм </li>
<li>Высота в сложенном виде: 910 мм </li>
</ul>

<p>​<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",233626,раздвижная,930 мм,16.8 кг,1,1116x624x252 мм,0,13706,14 кг,,Россия,алюминий,150 кг,7,210 м,520 мм,520 мм
https://cdn.entero.ru/mp@2x/52/82/528288e64245736aee996032f8140632.jpg;https://cdn.entero.ru/mp@2x/41/ba/41ba154d2e245e735b6a04a63ce9943c.jpg;https://cdn.entero.ru/mp@2x/97/85/9785831cb5f79753d0d9ba7ff9bb38dc.jpg,Лестница-стремянка телескопическая Мастер-инструмент МИ 3.2м/6.4м 9 ступ.,Лестница-стремянка телескопическая Мастер-инструмент МИ 3.2м/6.4м 9 ступ.,14392,RUB,Да,Профоборудование,Средства подъема,Лестницы,https://entero.ru/item/233629,"<p>Телескопическая лестница-стремянка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/233629"">Мастер-инструмент МИ 3.2м/6.4м 9 ступ.</a> </b>используется для выполнения строительных, ремонтных, отделочных или иных видов работ, когда необходимо произвести какие-либо действия на высоте. Модель оснащена высокопрочными шарнирами. Лестница изготовлена из алюминия, замки - из нержавеющей стали. </p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество секций: 2</li>
<li>Шаг ступени: 350 мм</li>
<li>Ширина основания: 480 мм </li>
<li>Высота в сложенном виде: 970 мм </li>
</ul>

<p>​<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",233629,раздвижная,990 мм,25.2 кг,1,1188x624x264 мм,0,17990,21 кг,,Россия,алюминий,150 кг,9,220 м,520 мм,520 мм
https://cdn.entero.ru/mp@2x/2f/d6/2fd675e494716bad7db20ad4cfdc62a3.jpg,Лестница трехсекционная Мастер-инструмент 3х12 ПРОФИ,Лестница трехсекционная Мастер-инструмент 3х12 ПРОФИ,16141,RUB,Да,Профоборудование,Средства подъема,Лестницы,https://entero.ru/item/233695,"<p>Трехсекционная лестница <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/233695""><b class=""b"">Мастер-инструмент 3х12 ПРОФИ </b></a>используется для выполнения строительных, ремонтных, отделочных или иных видов работ, когда необходимо произвести какие-либо действия на высоте. Лестница изготовлена из алюминия. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Уникальная система трансформации</li>
<li>Возможность использования каждой секции отдельно</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество секций: 3</li>
<li>Количество ступеней в одной секции: 12</li>
</ul>

<p>​<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",233695,раздвижная,,,,,0,,17.1 кг,,Россия,алюминий,150 кг,12,от 5.88 до 8.4 м,,
https://cdn.entero.ru/mp@2x/bc/93/bc93a0af4d8c38e90bd6d3eee44b5c54.jpg,"Лестница трехсекционная Мастер-инструмент Стандарт, 13 ступеней","Лестница трехсекционная Мастер-инструмент Стандарт, 13 ступеней",17131,RUB,Да,Профоборудование,Средства подъема,Лестницы,https://entero.ru/item/233860,"<p>Трехсекционная лестница <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/233860""><b class=""b"">Мастер-инструмент Стандарт </b></a>используется для выполнения строительных, ремонтных, отделочных или иных видов работ, когда необходимо произвести какие-либо действия на высоте. Модель оснащена перемычкой в виде ленты. Лестница изготовлена из алюминия. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Возможность использования первой секции отдельно </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество секций: 3</li>
<li>Количество ступеней в одной секции: 13</li>
<li>Толщина профиля: 1,3 мм </li>
<li>Высота одной секции: 3715 мм </li>
<li>Высота в положении стремянки: 6280 мм </li>
</ul>

<p>​<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",233860,раздвижная,670 мм,,,,0,18621,17.5 кг,,Россия,алюминий,120 кг,13,,8865 мм,30 мм
https://cdn.entero.ru/mp@2x/1d/92/1d9232816a0e226c72fe79455b3ad255.jpg,Лестница трехсекционная Мастер-инструмент 3х14 ПРОФИ,Лестница трехсекционная Мастер-инструмент 3х14 ПРОФИ,18222,RUB,Да,Профоборудование,Средства подъема,Лестницы,https://entero.ru/item/233696,"<p>Трехсекционная лестница <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/233696""><b class=""b"">Мастер-инструмент 3х14 ПРОФИ </b></a>используется для выполнения строительных, ремонтных, отделочных или иных видов работ, когда необходимо произвести какие-либо действия на высоте. Лестница изготовлена из алюминия. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Уникальная система трансформации</li>
<li>Возможность использования каждой секции отдельно</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество секций: 3</li>
<li>Количество ступеней в одной секции: 14</li>
</ul>

<p>​<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",233696,раздвижная,3700 мм,,,,0,19181,21.3 кг,,Россия,алюминий,150 кг,14,от 6.1 до 10.3 м,480 мм,
https://cdn.entero.ru/mp@2x/ef/88/ef8893b9edfc777d23f1515eb2beb703.jpg,Лестница трехсекционная Мастер-инструмент 3х15 ПРОФИ,Лестница трехсекционная Мастер-инструмент 3х15 ПРОФИ,22662,RUB,Да,Профоборудование,Средства подъема,Лестницы,https://entero.ru/item/233697,"<p>Трехсекционная лестница <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/233697""><b class=""b"">Мастер-инструмент 3х15 ПРОФИ </b></a>используется для выполнения строительных, ремонтных, отделочных или иных видов работ, когда необходимо произвести какие-либо действия на высоте. Лестница изготовлена из алюминия. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Уникальная система трансформации</li>
<li>Возможность использования каждой секции отдельно</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество секций: 3</li>
<li>Количество ступеней в одной секции: 15</li>
</ul>

<p>​<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",233697,раздвижная,4200 мм,,,,0,,23.2 кг,,Россия,алюминий,150 кг,15,от 7.2 до 11 м,480 мм,
https://cdn.entero.ru/mp@2x/3f/6a/3f6a89c8178668d813d403013ead55fc.jpg,Лестница трехсекционная Мастер-инструмент 3х18 ПРОФИ,Лестница трехсекционная Мастер-инструмент 3х18 ПРОФИ,26191,RUB,Да,Профоборудование,Средства подъема,Лестницы,https://entero.ru/item/233698,"<p>Трехсекционная лестница <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/233698""><b class=""b"">Мастер-инструмент 3х18 ПРОФИ </b></a>используется для выполнения строительных, ремонтных, отделочных или иных видов работ, когда необходимо произвести какие-либо действия на высоте. Лестница изготовлена из алюминия. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Уникальная система трансформации</li>
<li>Возможность использования каждой секции отдельно</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество секций: 3</li>
<li>Количество ступеней в одной секции: 18</li>
</ul>

<p>​<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",233698,раздвижная,5100 мм,,,,0,27282,27.5 кг,,Россия,алюминий,150 кг,18,от 8.8 до 13.5 м,480 мм,
https://cdn.entero.ru/mp@2x/cc/9d/cc9dcc889cbbb7921043a2c17f833e24.jpg,Стремянка двухсторонняя Мастер-инструмент 2х2 ступени (сталь),2-стор. 2ст,2265,RUB,Да,Профоборудование,Средства подъема,Лестницы,https://entero.ru/item/251609,"<p>Стремянка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/251609""><b class=""b"">Мастер-инструмент 2х2 ступени </b></a>используется для подъема на необходимую высоту при выполнении строительных, ремонтных, отделочных или иных видов работ. Модель оснащена 2 рабочими секцииями и 2 боковыми складными фиксаторами. Корпус изготовлен из прочного стального профиля. </p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Высота: 380 мм </li>
</ul>

<p>​<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",251609,раскладная,,,,,0,2980,2.8 кг,Россия,Россия,сталь,150 кг,4,,,
https://cdn.entero.ru/mp@2x/9c/32/9c325b93fbcbceb24ef65bba305966b2.jpg,Стремянка двухсторонняя Мастер-инструмент 2х3 ступени (сталь),2-стор. 3ст,2430,RUB,Да,Профоборудование,Средства подъема,Лестницы,https://entero.ru/item/251610,"<p>Стремянка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/251610""><b class=""b"">Мастер-инструмент 2х3 ступени </b></a>используется для подъема на необходимую высоту при выполнении строительных, ремонтных, отделочных или иных видов работ. Модель оснащена 2 рабочими секцииями и 2 боковыми складными фиксаторами. Корпус изготовлен из прочного стального профиля. </p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Высота: 640 мм </li>
</ul>

<p>​<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",251610,раскладная,,,,,0,,4 кг,Россия,Россия,сталь,150 кг,6,,,
https://cdn.entero.ru/mp@2x/1c/06/1c06598b9ba6e9a41099cd5e1eb40d8d.jpg,"Лестница односекционная Мастер-инструмент Стандарт, 6 ступеней","Лестница односекционная Мастер-инструмент Стандарт, 6 ступеней",2695,RUB,Да,Профоборудование,Средства подъема,Лестницы,https://entero.ru/item/233660,"<p>Односекционная лестница <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/233660""><b class=""b"">Мастер-инструмент Стандарт, 6 ступеней </b></a>используется для выполнения строительных, ремонтных, отделочных или иных видов работ, когда необходимо произвести какие-либо действия на высоте. Лестница изготовлена из алюминия. </p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина профиля: 1,2 мм </li>
<li>Ширина ступени: 30 мм</li>
</ul>

<p>​<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",233660,приставная,,,,,0,3593,2.3 кг,,Россия,алюминий,150 кг,6,1.735 м,,
https://cdn.entero.ru/mp@2x/ba/78/ba78f5f45fc1373edfa283200087acd4.jpg;https://cdn.entero.ru/mp@2x/df/88/df88a53bbb1eed45b76511b342e396e4.jpg,Стремянка Мастер-инструмент 4 ступени (краш. сталь),Сталь 4ст,2855,RUB,Да,Профоборудование,Средства подъема,Лестницы,https://entero.ru/item/251600,"<p>Стремянка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/251600""><b class=""b"">Мастер-инструмент 4 ступени </b></a>используется для подъема на необходимую высоту при выполнении строительных, ремонтных, отделочных или иных видов работ. Модель оснащена 1 рабочей секцией, расширенной верхней ступенью и дугообразной опорной рукояткой. Корпус изготовлен из стали с антикоррозийным покрытием краской красного цвета. </p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Высота в сложенном виде: 1530 мм </li>
<li>Высота верхней ступени в рабочем положении: 820 мм</li>
</ul>

<p> </p>",251600,раскладная,440 мм,,,,0,3614,5.1 кг,Россия,Россия,сталь,150 кг,4,0.82 м,,80 мм
https://cdn.entero.ru/mp@2x/d3/fd/d3fddde0e1fffb6758d9618cfb35dc06.jpg,Стремянка двухсторонняя Мастер-инструмент 2х4 ступени (сталь),2-стор. 4ст,3027,RUB,Да,Профоборудование,Средства подъема,Лестницы,https://entero.ru/item/251611,"<p>Стремянка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/251611""><b class=""b"">Мастер-инструмент 2х4 ступени </b></a>используется для подъема на необходимую высоту при выполнении строительных, ремонтных, отделочных или иных видов работ. Модель оснащена 2 рабочими секцииями и 2 боковыми складными фиксаторами. Корпус изготовлен из прочного стального профиля. </p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Высота: 900 мм </li>
</ul>

<p>​<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",251611,раскладная,,,,,0,,5.9 кг,Россия,Россия,сталь,150 кг,8,,,
