Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Производительность,Ширина пленки
https://cdn.entero.ru/mp@2x/49/ab/49abeeedaaca71d65b82bc2ae62e73e4.jpg,Термоупаковщик Hualian TW-450E нерж.,Термоупаковщик Hualian TW-450E нерж.,9752,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Столы упаковочные,https://entero.ru/item/319240,"<p>Термоупаковщик<a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/319240""><b class=""b""> Hualian TW-450E</b></a> используется на предприятиях общественного питания и торговли для упаковки продуктов питания, напитков, медицинских препаратов, металлоизделий, косметики, книг, предметов искусства и другой продукции. Модель оснащена рулонодержателем. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>После процесса упаковки край пленки подгибается и подпаивается</li>
<li>Постоянный температурный контроль обрезки и запайки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температура запайки: 160°С</li>
</ul>",319240,220 В,0.3 кВт,470 мм,610 мм,120 мм,,,,0,,,,,Китай,,,470 мм
https://cdn.entero.ru/mp@2x/01/a5/01a574341476494e117ac2d7ee348db8.jpg;https://cdn.entero.ru/mp@2x/d8/11/d8113b86b6eccccc9e45f98537ceda8e.jpg;https://cdn.entero.ru/mp@2x/64/39/643967948e726c8e32dabdd3658b62e3.jpg,Стол упаковочный МАГИКОН HW-450,Стол упаковочный МАГИКОН HW-450,8969,RUB,Да,,Профоборудование,Фасовочно-упаковочное,Столы упаковочные,https://entero.ru/item/126966,"<p>Упаковочный горячий стол <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/126966""><b class=""b"">МАГИКОН HW-450 </b></a>используется на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли для упаковки готовой продукции в стрейчевую пленку. Модель оснащена удобной панелью управления. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Термонож с тефлоновым покрытием</li>
<li>Тефлоновый упаковочный нагреваемый стол</li>
<li>Температурный регулятор</li>
</ul>",126966,220 В,,503 мм,607 мм,133 мм,,,,0,,,,7 кг,Китай,,,503 мм
https://cdn.entero.ru/mp@2x/e7/e7/e7e7e2bbe5dbad272078658997e356b6.jpg,Аппарат для упаковки в стретч-пленку Hualian TW-550E,Аппарат для упаковки в стретч-пленку Hualian TW-550E,14938,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Столы упаковочные,https://entero.ru/item/304381,"<p>Аппарат для упаковки в стретч-пленку <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/304381"">Hualian TW-550E</a></b> используется на производственных площадках, предприятиях пищевой промышленности и торговли для упаковки продуктов питания, напитков, медицинских препаратов, металлоизделий, косметики и другой продукции. Модель оснащена рулонодержателем. После процесса упаковки край пленки подгибается и подпаивается. Аппарат выполнен из нержавеющей стали.</p>",304381,220 В,0.3 кВт,610 мм,570 мм,120 мм,,,,0,,15560,,7.5 кг,Китай,,,610 мм
https://cdn.entero.ru/mp@2x/84/80/8480554b23f49f9784b8f0066dfb3738.jpg;https://cdn.entero.ru/mp@2x/5b/b5/5bb59f4ba8332eaea48a0a1e0a48d8c5.jpg,Термоупаковщик Assum HW-450Е,Термоупаковщик Assum HW-450Е,7178,RUB,Нет,Assum,Профоборудование,Фасовочно-упаковочное,Столы упаковочные,https://entero.ru/item/101625,"<p>Термоупаковщик горячий стол <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/101625""><b class=""b"">Assum HW-450Е </b></a>используется на предприятиях пищевой промышленности, общественного питания и торговли для упаковки в вакуум продуктов питания, жидкости, готовых блюд и продуктов химической промышленности для увеличения их срока хранения. Корпус выполнен из нержавеющей стали. </p>

<p><b>Дополнительные характеристики: </b></p>

<ul>
<li>Габариты в упаковке: 520х350х170 мм</li>
</ul>",101625,220 В,0.23 кВт,620 мм,540 мм,140 мм,,,,0,https://entero.ru/manuals/92738/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Assum%20DZ-260_PD.doc,,,5.6 кг,Китай,,,620 мм
https://cdn.entero.ru/mp@2x/3c/21/3c21fe615eefa88fabb49526e959adbf.jpg,Стол упаковочный МАГИКОН GW-400C,00000000616,4406,RUB,Нет,,Профоборудование,Фасовочно-упаковочное,Столы упаковочные,https://entero.ru/item/187634,"<p>Упаковочный стол <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/187634""><b class=""b"">МАГИКОН GW-400C </b></a>используется на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли для упаковки готовой продукции в стрейчевую пленку. Модель оснащена режущим ножом, направляющими роликами для стрейч-пленки и столом для упаковывания. Корпус выполнен из нержавеющей стали. </p>",187634,220 В,,425 мм,415 мм,125 мм,,,,0,,5508,,3 кг,Китай,,,425 мм
https://cdn.entero.ru/mp@2x/5f/fd/5ffd5013565c74ccfac5ebb292e6a64c.jpg,Стол упаковочный МАГИКОН TW-450,00000000067,7993,RUB,Нет,,Профоборудование,Фасовочно-упаковочное,Столы упаковочные,https://entero.ru/item/187632,"<p>Упаковочный горячий стол <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/187632""><b class=""b"">МАГИКОН TW-450 </b></a>используется на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли для упаковки готовой продукции в стрейчевую пленку. Модель оснащена удобной панелью управления. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Термонож с тефлоновым покрытием</li>
<li>Тефлоновый упаковочный нагреваемый стол</li>
<li>Температурный регулятор</li>
</ul>",187632,220 В,,503 мм,607 мм,133 мм,,,,0,,10657,,7 кг,Китай,,,503 мм
https://cdn.entero.ru/mp@2x/59/1d/591dd063625bf108e4716901e49f3ab7.jpg,Аппарат термоупаковочный Hurakan HKN-CNW460M PRO,Аппарат термоупаковочный Hurakan HKN-CNW460M PRO,8663,RUB,Нет,Hurakan,Профоборудование,Фасовочно-упаковочное,Столы упаковочные,https://entero.ru/item/227298,"<p>Термоупаковочный аппарат <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/227298"">Hurakan HKN-CNW460M PRO</a></b> используется на предприятиях общественного питания и торговли для упаковки готовых продуктов (овощей, фруктов, мяса, сыра и макаронных изделий) в стрейч-пленку. </p>

<p><b>Характеристики:</b></p>

<ul>
<li>Температурный режим: от 55 до 140 °С</li>
<li>Длина ножа: 450 мм</li>
<li>Габариты в упаковке: 660х540х180 мм</li>
</ul>",227298,220 В,0.27 кВт,650 мм,465 мм,150 мм,7.57 кг,1,660x540x180 мм,0,https://entero.ru/manuals/273633/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-CNW460%20PRO.docx;https://entero.ru/manuals/414772/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/484078/%D0%94%D0%B5%D1%82%D0%B0%D0%BB%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D0%BD%D0%B0%20Hurakan%20HKN-CNW460M%20PRO.pdf,11251,,7 кг,,Китай,,
https://cdn.entero.ru/mp@2x/ae/0f/ae0fc42e9480f8287470b3bc0bcd3493.jpg,Аппарат для упаковки в стретч-пленку МАГИКОН TW-450E,00-00000433,11172,RUB,Нет,,Профоборудование,Фасовочно-упаковочное,Столы упаковочные,https://entero.ru/item/187633,"<p>Аппарат для упаковки в стретч-пленку <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/187633"">МАГИКОН TW-450E</a></b> используется на производственных площадках, предприятиях пищевой промышленности и торговли для упаковки продуктов питания, напитков, медицинских препаратов, металлоизделий, косметики и другой продукции. Модель оснащена рулонодержателем. После процесса упаковки край пленки подгибается и подпаивается. Аппарат выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Термонож с тефлоновым покрытием</li>
<li>Тефлоновый упаковочный нагреваемый стол</li>
<li>Температурный регулятор</li>
</ul>",187633,220 В,0.03 кВт,600 мм,470 мм,120 мм,,,,0,,,,6.5 кг,Китай,,,600 мм
https://cdn.entero.ru/mp@2x/af/12/af12976ca76ba8ac8f42164cfb43cabf.jpg,Аппарат термоупаковочный Sirman 40М,40 М / 40M,44758,RUB,Нет,Sirman,Профоборудование,Фасовочно-упаковочное,Столы упаковочные,https://entero.ru/item/75546,"<p>Термоупаковочный аппарат <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/75546""><b class=""b"">Sirman 40M </b></a>используется на предприятиях розничной торговли для упаковки готовых продуктов (овощей, фруктов, мяса, сыра и макаронных изделий) в стрейч-пленку. Модель оснащена низковольтным нагревательным проводом для резки пленки.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Корпус из нержавеющей стали</li>
<li>Вальцы и стержни из анодированного алюминия</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Размер подогреваемой поверхности: 290х165 мм</li>
<li>Габариты в упаковке: 580x600x370 мм</li>
</ul>",75546,220 В,0.115 кВт,465 мм,500 мм,290 мм,,,,0,https://entero.ru/manuals/46701/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Sirman%2040%D0%9C.pdf;https://entero.ru/manuals/46702/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Sirman%2040%D0%9C.jpg;https://entero.ru/manuals/72749/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Sirman%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,48650,,12.5 кг,,Италия,,465 мм
https://cdn.entero.ru/mp@2x/bd/ce/bdcef5c8e958e255f07c28db549251f3.jpg,Устройство для раздува пакетов Rollmatic APS-FS,Устройство для раздува пакетов Rollmatic APS-FS,151369,RUB,Нет,Rollmatic,Профоборудование,Фасовочно-упаковочное,Столы упаковочные,https://entero.ru/item/330953,"<p>Устройство <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/330953""><b class=""b"">Rollmatic APS-FS</b></a> предназначено для раздува пакетов с помощью напорной воздушной струи, а также упаковки нарезанного и цельного хлеба на предприятиях пищевой промышленности и торговли. Модель оснащена складной столешницей с боковыми ограничителями, полкой для хранения инвентаря, регулируемыми по высоте винтовыми опорами и поворотным выключателем. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Совместимость с напольными хлеборезками C 42 S, C 52 S, <a href=""https://entero.ru/item/330936"">CP 42 S</a> и <a href=""https://entero.ru/item/330932"">CP 52 S</a></li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Ширина столешницы: 304 мм</li>
</ul>",330953,220 В,0.1 кВт,1200 мм,300 мм,900 мм,25 кг,1,920x420x590 мм,0,https://entero.ru/manuals/393347/%D0%A1%D0%BF%D0%B5%D1%86%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Rollmatic%20APS-FS.pdf,,,20 кг,Италия,Италия,,
https://cdn.entero.ru/mp@2x/15/05/15051050d5c99540c5c28e8fd41f354b.jpg,Упаковочная машина GASTRORAG TVS-HW-450,Упаковочная машина GASTRORAG TVS-HW-450,0,RUB,Нет,GASTRORAG,Профоборудование,Фасовочно-упаковочное,Столы упаковочные,https://entero.ru/item/40793,"<p>Упаковочная машина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/40793"">GASTRORAG TVS-HW-450</a></b> используется на предприятиях общественного питания и торговли для упаковки продуктов в пищевую стретч-плёнку. Модель оснащена «горячим столом».</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Температурный режим: от 50 до 140 °C</li>
<li>Ширина пленки: 450 мм</li>
</ul>",40793,220 В,0.28 кВт,600 мм,490 мм,140 мм,,,,0,https://entero.ru/manuals/65182/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20GASTRORAG%20TVS-HW-450.pdf;https://entero.ru/manuals/116471/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20GASTRORAG.pdf,,,5.6 кг,Китай,,,
