Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Вес (с упаковкой),Материал корпуса,Максимальная высота реза,Максимальная толщина реза,Длина полотна,Размер рабочей поверхности
https://cdn.entero.ru/mp@2x/90/de/90deaf5093f4c5a48c53981917cf3bdc.jpg,Пила для резки мяса Apach ASW155А 380В анодир.,ASW155A 3Ф,138394,RUB,Да,Apach,Профоборудование,Мясоперерабатывающее,Пилы для мяса,https://entero.ru/item/59832,"<p>Пила <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/59832""><b class=""b"">Apach ASW155A</b></a> предназначена для резки мяса, птицы и рыбы на куски нужного размера на предприятиях общественного питания и торговли. Модель оснащена встроенным дозатором отреза и толкателем мяса, который повышает безопасность работы персонала. Натяжение ножовочного полотна регулируется. Корпус выполнен из анодированного металлического сплава, рабочая поверхность - из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Рабочая высота отреза: 150 мм</li>
<li>Габариты в упаковке: 900х520х400 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",59832,настольная,380 В,0.75 кВт,440 мм,370 мм,810 мм,,Италия,,,0,https://entero.ru/manuals/107123/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Apach%20ASW155%D0%90.pdf;https://entero.ru/manuals/81361/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Apach%202017.pdf;https://entero.ru/manuals/288555/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B0%20%D0%BD%D0%B0%20Apach%20ASW155%D0%90%20380%D0%92%20%D0%B0%D0%BD%D0%BE%D0%B4%D0%B8%D1%80..pdf;https://entero.ru/manuals/288557/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Apach%20Cook%20Line.pdf;https://entero.ru/manuals/521728/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,148811,https://vk.com/video_ext.php?oid=-177656185&id=456240324&hd=2&autoplay=0,32 кг,,металлический сплав,,170 мм,1550 мм,330х330 мм
https://cdn.entero.ru/mp@2x/f6/7a/f67a7e3879d5c26d6a1d10561ed0e069.jpg;https://cdn.entero.ru/mp@2x/64/35/64354f0f98cc50d5c0cdb8394a96015f.jpg;https://cdn.entero.ru/mp@2x/de/a5/dea58d49fcd66faaf9d27144b862e46f.jpg;https://cdn.entero.ru/mp@2x/b8/93/b8933e3acac777e26640fd20d316d19d.jpg;https://cdn.entero.ru/mp@2x/80/27/802783889a0166febff48b9247be4d95.jpg;https://cdn.entero.ru/mp@2x/16/be/16beab91c93d0bf006d10963a1cb1532.jpg;https://cdn.entero.ru/mp@2x/a0/fb/a0fbe014ab4add037e0721620c180053.jpg,Пила для мяса Assum JG 210A,Пила для мяса Assum JG 210A,46375,RUB,Да,Assum,Профоборудование,Мясоперерабатывающее,Пилы для мяса,https://entero.ru/item/92605,"<p>Пила для мяса <a style=""text-decoration:none;cursor:text;"" href=""http://m.entero.ru/item/92605""><b class=""b"">Assum JG210A</b></a> предназначена для нарезки на куски свежих и замороженных мясных продуктов, рыбы и курицы. Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входят 2 полотна.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр диска: 210 мм</li>
<li>Толщина реза: от 4 до 180 мм</li>
<li>Скорость работы полотна пилы: 15 м/сек.</li>
<li>Габариты в упаковке: 700x615x1000 мм</li>
</ul>",92605,настольная,220 В,1.1 кВт,450 мм,475 мм,890 мм,,Китай,,,0,https://entero.ru/manuals/80280/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20AR%20JG-210.docx;https://entero.ru/manuals/490649/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,44 кг,,нержавеющая сталь,216 мм,180 мм,1650 мм,495х385 мм
https://cdn.entero.ru/mp@2x/cc/f2/ccf232db904c3aaaaa917c5a33abc13e.jpg;https://cdn.entero.ru/mp@2x/98/56/98563f0319b01b08836c316acc559835.jpg;https://cdn.entero.ru/mp@2x/7d/8a/7d8a782efe5286bb8866341a9ad8c1bd.jpg;https://cdn.entero.ru/mp@2x/9c/f2/9cf29ec332db02429c0c3e67e53a4ace.jpg;https://cdn.entero.ru/mp@2x/01/5f/015fa3df8fb4fa379f5ee8d7d33568ed.jpg,Пила для мяса Crazy Pan CP-BS1650AL+,Пила для мяса Crazy Pan CP-BS1650AL+,58120,RUB,Да,,Профоборудование,Мясоперерабатывающее,Пилы для мяса,https://entero.ru/item/199916,"<p>Пила для мяса <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/199916"">Crazy Pan CP-BS1650AL+</a></b> используется на предприятиях общественного питания, торговли и в цехах по переработке мяса для нарезки на куски свежего и замороженного мяса, рыбы и птицы. Модель оснащена безопасным толкателем и запасным полотном. Стол выполнен из нержавеющей стали, а корпус выполнен из алюминия.</p>

<p>В комплекте поставляются уплотнители полотна, шестигранник и вилка.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Удобная регулировка толщины реза</li>
<li>Линейные насечки на столе для отмера ширины реза</li>
<li>Прорезиненные ножки снижают вибрацию при работе и придают устойчивость</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Скорость полотна: 15 м/с </li>
<li>Габариты в упаковке: 570x530x950 мм</li>
</ul>

<p><b>Дополнительные опции (приобретаются отдельно):</b></p>

<ul>
<li>Выдвижной ящик для сбора опилок в нижней части</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",199916,настольная,220 В,1.1 кВт,530 мм,480 мм,890 мм,,Китай,,,0,https://entero.ru/manuals/414225/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Crazy%20Pan%20CP-BS1650AL+.docx,,,45 кг,,алюминий,231 мм,166 мм,1650 мм,400x480 мм
https://cdn.entero.ru/mp@2x/83/35/83355ded18536c782a3c880a60cadfad.jpg,Пила для мяса Kocateq JG1830E 380В,32708,59702,RUB,Да,Kocateq,Профоборудование,Мясоперерабатывающее,Пилы для мяса,https://entero.ru/item/122055,"<p>Настольная пила для мяса <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/122055""><b class=""b"">Kocateq JG1830E</b></a> используется на предприятиях общественного питания и торговли для распиловки замороженного и свежего мяса и костей на куски. Корпус выполнен из эмалированной нержавеющей стали, детали, контактирующие с продуктом, - из нержавеющей стали AISI 202.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Специальный экран-толкатель для защиты рук оператора</li>
<li>Ленточное полотно, натянутое между 2 вращающимися шулями для распиловки</li>
<li>Контролируемое натяжение полотна, предотвращающее его перетягивание</li>
<li>Кнопка аварийной остановки</li>
<li>Датчики установки крышки предотвращают работу с открытым пильным полотном</li>
<li>Фиксируемая направляющая для регулировки толщины нарезаемого куска</li>
<li>Регулируемые ножки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Условная скорость нарезания: 15 м/сек.</li>
<li>Размер полотна: 1830х16 мм</li>
<li>Диаметр приводных колес: 210 мм</li>
<li>Габариты в упаковке: 600х570х1050 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",122055,настольная,380 В,0.9 кВт,564 мм,505 мм,1000 мм,,Ю. Корея,,,0,https://entero.ru/manuals/350080/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Kocateq%20JG1830E%20380%D0%92.pdf,62190,,,,эмалированная сталь,285 мм,160 мм,1830 мм,500х400 мм
https://cdn.entero.ru/mp@2x/11/40/11400034c5c87084e420e48fb9197d22.jpg,Пила для мяса Airhot HSL-2020A 220 В,Пила для мяса Airhot HSL-2020A 220 В,148014,RUB,Да,Airhot,Профоборудование,Мясоперерабатывающее,Пилы для мяса,https://entero.ru/item/122816,"<p>Пила для мяса <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/122816""><b class=""b"">Airhot HSL-2020A</b></a> используется на предприятиях пищевой промышленности и торговли для нарезки на куски свежего и замороженного мяса, рыбы и птицы. Модель оснащена электрическим приводом и точной регулировкой толщины нарезки. Корпус и рабочая поверхность выполнены из нержавеющей стали.</p>

<p>В комплект поставки входит полотно для пилы.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина нарезки: от 4 до 180 мм</li>
<li>Высота реза: 280 мм</li>
<li>Расстояние от пола до рабочей поверхности: 917 мм</li>
<li>Скорость: 16 м/с</li>
<li>Максимальный размер обрабатываемого куска: 202х304 мм</li>
<li>Высота зубчика: 2, 5 мм</li>
</ul>",122816,напольная,220 В,1.5 кВт,668 мм,778 мм,1585 мм,,Китай,,,0,https://entero.ru/manuals/129502/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20HSL-2020A.pdf;https://entero.ru/manuals/481765/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,120.4 кг,,нержавеющая сталь,280 мм,от 4 до 180 мм,,480х600 мм
https://cdn.entero.ru/mp@2x/9f/a5/9fa576ffa51773e5620906787d139ed7.jpg,Пила ленточная VIATTO HLS-2020,Пила ленточная VIATTO HLS-2020,160570,RUB,Да,VIATTO,Профоборудование,Мясоперерабатывающее,Пилы для мяса,https://entero.ru/item/126381,"<p>Ленточная пила <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/126381"">VIATTO HLS-2020</a></b> используется на предприятиях общественного питания, торговли, а также в производственных цехах для нарезки на куски свежего и замороженного мяса, рыбы и птицы. Корпус и рабочий стол выполнены из нержавеющей стали. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Предусмотрена регулировка ширины реза</li>
<li>Полотно выполняет ровный, гладкий срез без дробления кости</li>
<li>Для безопасной подачи мяса предусмотрен рычаг</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Полезная длина резки: 300х200 мм</li>
<li>Габариты в упаковке: 720х620х1680 мм</li>
</ul>",126381,напольная,380 В,1.5 кВт,560 мм,600 мм,1525 мм,134 кг,Китай,1,720x620x1680 мм,0,https://entero.ru/manuals/137003/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20VIATTO.pdf;https://entero.ru/manuals/312681/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VIATTO%20HLS-2020.pdf;https://entero.ru/manuals/409912/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,106 кг,,нержавеющая сталь,,,2020 мм,560х640 мм
https://cdn.entero.ru/mp@2x/9e/5a/9e5a0be683ce62875cc22546bee3a45a.jpg,Пила ленточная Roal Meat W120BE,Пила ленточная Roal Meat W120BE,34513,RUB,Да,,Профоборудование,Мясоперерабатывающее,Пилы для мяса,https://entero.ru/item/271228,"<p>Ленточная пила <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/271228"">Roal Meat W120BE</a> </b>предназначена для нарезки на куски свежего и замороженного мяса, рыбы и птицы на предприятиях общественного питания и торговли. Модель оснащена механической панелью управления. Корпус выполнен из окрашенного металла, рабочая поверхность - из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Высокая эффективность</li>
<li>Низкое энергопотребление </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Скорость пильного полотна: 9 м/сек.</li>
<li>Диаметр шкива: 128 мм </li>
<li>Высота / ширина пропила: 200 / 100 мм </li>
<li>Размер ленточного полотна: 1200х15,5х0,4 мм</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",271228,настольная,220 В,0.65 кВт,507 мм,410 мм,760 мм,,Китай,,,0,https://entero.ru/manuals/333837/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Roal%20Meat%20W120BE.pdf,,,,,,,,,
https://cdn.entero.ru/mp@2x/72/f7/72f71f3ffc5edd8965120fafceeb8f60.jpg,Пила для мяса Hualian JG-210,Пила для мяса Hualian JG-210,48300,RUB,Да,Hualian,Профоборудование,Мясоперерабатывающее,Пилы для мяса,https://entero.ru/item/125130,"<p>Пила для мяса <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/125130"">Hualian JG-210</a></b> используется на предприятиях пищевой промышленности, общественного питания и торговли для нарезки на куски свежего и замороженного мяса, рыбы и птицы. Модель оснащена регулировкой натяжения полотна, механическим толкателем для безопасного использования и специальной разметкой на рабочей поверхности для более удобной регулировки толщины резки. Рабочая поверхность выполнена из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина нарезки: от 5 до 155 мм</li>
<li>Скорость вращения полотна: 1420 об/мин.</li>
<li>Толщина лезвия: 0,5 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",125130,напольная,220 В,0.75 кВт,525 мм,470 мм,850 мм,,Китай,,,0,,50313,,45 кг,,алюминий,180 мм,155 мм,1650 мм,500х380 мм
https://cdn.entero.ru/mp@2x/16/cf/16cf8e43e52bd1cb20c412c8627eac52.jpg;https://cdn.entero.ru/mp@2x/44/58/445811dd0542a0e5788eccb656ef2385.jpg;https://cdn.entero.ru/mp@2x/99/e7/99e71ffe4287f53dcaecd0c885d5cfc9.jpg,Пила для мяса Crazy Pan CP-BS2100SS,Пила для мяса Crazy Pan CP-BS2100SS,111397,RUB,Да,,Профоборудование,Мясоперерабатывающее,Пилы для мяса,https://entero.ru/item/150480,"<p>Пила для мяса <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/150480"">Crazy Pan CP-BS2100SS</a></b> используется на предприятиях общественного питания, торговли и в цехах по переработке мяса для нарезки на куски свежего и замороженного мяса, рыбы и птицы. Модель оснащена безопасным толкателем. Корпус выполнен из нержавеющей стали Aisi 201.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Удобная регулировка толщины реза</li>
<li>Выдвижной ящик для сбора опилок в нижней части</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Скорость полотна: 15 м/с </li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",150480,настольная,220 В,1.5 кВт,,,,,Китай,,,0,https://entero.ru/manuals/178189/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Crazy%20Pan%20CP-BS2100SS.docx,121084,,,,нержавеющая сталь,290 мм,190 мм,2100 мм,525x620 мм
https://cdn.entero.ru/mp@2x/71/d2/71d2b53c4b8fd3065db0ce0a38693c76.jpg,Пила ленточная Станкостроитель ПЛН-225,Пила ленточная Станкостроитель ПЛН-225,120322,RUB,Да,Станкостроитель,Профоборудование,Мясоперерабатывающее,Пилы для мяса,https://entero.ru/item/23320,"<p>Ленточная пила <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/23320"">Станкостроитель ПЛН-225</a> </b>предназначена для нарезки свежего и замороженного мяса, рыбы, птицы и гастрономических продуктов на порционные куски разного веса на предприятиях общественного питания и торговли. Полотно натягивается весом электродвигателя и и простой пружиной натяжения. Цельнометаллический корпус выполнен из листовой стали со специальным полимерным покрытием.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: 300 кг/час</li>
<li>Скорость полотна: 16 м/cек.</li>
<li>Максимальное время непрерывной работы: 30 мин.</li>
<li>Толщина полотна: от 0,5 до 0,6 мм</li>
<li>Минимальный ход натяжения полотна: 10 мм</li>
</ul>",23320,настольная,220 В,0.75 кВт,555 мм,460 мм,820 мм,,Россия,,,0,,,,70 кг,,углеродистая сталь,215 мм,195 мм,1666 мм,400х435 мм
https://cdn.entero.ru/mp@2x/0c/c7/0cc78834119f1307496f6bfe677907dd.jpg,Пила для мяса Sirman SO 1650 F3 220В,SO-1650 F3 / 90762,156547,RUB,Да,Sirman,Профоборудование,Мясоперерабатывающее,Пилы для мяса,https://entero.ru/item/117871,"<p>Пила для мяса <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/117871""><b class=""b"">Sirman SO 1650 F3 </b></a>предназначена для разделки мяса, птицы и рыбы на куски нужного размера на предприятиях общественного питания и торговли. Модель оснащена асинхронным двигателем с вентиляцией на 4 полюса и герметичным маслоотражателем.</p>

<p>В комплект поставки вхлдят стол, толкающее и порционное устройства из нержавеющей стали марки AISI 304.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Команды управления с микровыключателем на дверце, блок управления с дублированием и тормоз двигателя</li>
<li>Максимальная простота и точность в горизонтальной и вертикальной регулировке верхнего шкива</li>
<li>Максимальное прилегание резака к шкиву за счет полукруглой формы шкива и идеальной регулировки</li>
<li>Корпус из анодированного алюминия</li>
<li>Закаленные резаки от 16 мм для резки костей, замороженного и свежего мяса</li>
<li>Герметичные подшипники на верхнем шкиве</li>
<li>Легко разбирается для чистки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Шкив: 210 мм</li>
<li>Габариты в упаковке: 750x580x1230 мм</li>
</ul>",117871,настольная,220 В,0.735 кВт,530 мм,600 мм,915 мм,,Италия,,,0,https://entero.ru/manuals/119697/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Sirman%20SO%201650%20F3.pdf;https://entero.ru/manuals/419119/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Sirman%20SO%201650%20F3.pdf;https://entero.ru/manuals/119696/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Sirman%20SO%201650%20F3.jpg;https://entero.ru/manuals/419571/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/119693/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Sirman%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,,,36 кг,,анодированный алюминий,250 мм,,1650 мм,430x475 мм
https://cdn.entero.ru/mp@2x/d3/b4/d3b4552a0e6c788838bdd65d7f1e72a9.jpg;https://cdn.entero.ru/mp@2x/aa/c2/aac2cacf4d0aec9b9020688d5cc21e1e.jpg;https://cdn.entero.ru/mp@2x/1a/db/1adbf0676a06bb05fc5c73aa65b26b53.jpg,Пила для мяса ручная Foodatlas № 18,№ 18 Foodatlas,2642,RUB,Да,Foodatlas,Профоборудование,Мясоперерабатывающее,Пилы для мяса,https://entero.ru/item/263417,"<p>Ручная пила <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/263417"">Foodatlas № 18</a></b> используется на предприятиях общественного питания и торговли для распиловки замороженного и свежего мяса и костей на куски. Модель оснащена съемным полотном с механизмом быстрой замены, рукояткой с 3-точечным креплением к раме и упором для удобного стабильного захвата. Полотно выполнено из высококачественной углеродистой стали, рукоятка – из прочного пластика черного цвета.</p>",263417,,,,656 мм,231 мм,20 мм,1.05 кг,Китай,1,676x251x30 мм,0,https://entero.ru/manuals/456912/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F.pdf,3523,,0.95 кг,,углеродистая сталь,,,457 мм,
https://cdn.entero.ru/mp@2x/6d/89/6d89d53b654c32a7485322f2a737b2a3.jpg,Пила для мяса Hurakan HKN-SE/1650S,Пила для мяса Hurakan HKN-SE/1650S,44477,RUB,Да,Hurakan,Профоборудование,Мясоперерабатывающее,Пилы для мяса,https://entero.ru/item/345281,"<p>Пила для мяса <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/345281"">Hurakan HKN-SE/1650S</a></b> используется на предприятиях общественного питания и торговли для резки свежего и замороженного мяса, в том числе на кости, а также рыбы и птицы. Модель оснащена толкателем, что обеспечивает безопасную работу персонала. Рабочая поверхность выполнена из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр пильного колеса: 210 мм</li>
<li>Габариты в упаковке: 580х570х1050 мм</li>
</ul>
<p><br>
<em><span style=""color:#FF0000;"">Изображение товара может отличаться от оригинала и представлено в ознакомительных целях.</span></em></p>",345281,настольная,220 В,0.75 кВт,530 мм,500 мм,890 мм,,Китай,,,20,https://entero.ru/manuals/486462/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/486463/%D0%94%D0%B5%D1%82%D0%B0%D0%BB%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D0%BD%D0%B0%20Hurakan%20HKN-SE_1650S.pdf,46818,,,,,,,1650 мм,445x465 мм
https://cdn.entero.ru/mp@2x/a9/6a/a96a57454d358c812961490265c7226d.jpg,Пила для мяса Roal Meat F280В,Пила для мяса Roal Meat F280В,72850,RUB,Да,,Профоборудование,Мясоперерабатывающее,Пилы для мяса,https://entero.ru/item/372436,"<p>Пила <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/372436""><b class=""b"">Roal Meat F280В</b></a> используется для разделки свежих или замороженных мясных и рыбных продуктов на предприятиях общественного питания и торговли. Корпус выполнен из окрашенного металла, пила - из нержавеющей стали высокого качества. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Наличие ограничительного борта на обоих направляющих колесах ленточного полотна</li>
<li>Регулировка высоты распила</li>
<li>Технологичесткое отверстие для подложки сбора мясо-костных опилок</li>
<li>Внутреняя регулировка верхнего колеса по горизонтали</li>
<li>Наличие запасного пильного полотна</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Скорость полотна: 15 м/сек</li>
<li>Размер ленточного полотна: 1745х16х0,6 мм</li>
</ul>",372436,,220 В,1.8 кВт,540 мм,440 мм,950 мм,50 кг,Китай,1,640x525x970 мм,0,https://entero.ru/manuals/498974/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Roal%20Meat%20F280%D0%92.pdf,76684,,,,,230 мм,180 мм,1745 мм,540х440 мм
https://cdn.entero.ru/mp@2x/33/0d/330db6b1460d7ec7e8dd924578ab9b45.jpg,Пила для резки мяса Apach ASW155 380В краш.,ASW155 3Ф,120153,RUB,Да,Apach,Профоборудование,Мясоперерабатывающее,Пилы для мяса,https://entero.ru/item/59997,"<p>Пила <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/59997""><b class=""b"">Apach ASW155</b></a> предназначена для резки мяса, птицы и рыбы на куски нужного размера на предприятиях общественного питания и торговли. Модель оснащена встроенным дозатором отреза и толкателем мяса, который повышает безопасность работы персонала. Натяжение ножовочного полотна регулируется. Корпус выполнен из металлического сплава с покрытием из нитроэмали, рабочая поверхность - из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Рабочая высота реза: 150 мм</li>
<li>Габариты в упаковке: 900х520х400 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",59997,настольная,380 В,0.75 кВт,440 мм,370 мм,810 мм,,Италия,,,0,https://entero.ru/manuals/107113/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Apach%20ASW155.pdf;https://entero.ru/manuals/81359/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Apach%202017.pdf;https://entero.ru/manuals/288561/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B0%20%D0%BD%D0%B0%20Apach%20ASW155%20380%D0%92%20%D0%BA%D1%80%D0%B0%D1%88..pdf;https://entero.ru/manuals/288563/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Apach%20Cook%20Line.pdf;https://entero.ru/manuals/521726/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,127822,https://vk.com/video_ext.php?oid=-177656185&id=456240324&hd=2&autoplay=0,32 кг,,металлический сплав,250 мм,170 мм,1550 мм,330х330 мм
