Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки)
https://cdn.entero.ru/mp@2x/f5/cc/f5cc4761945cf379df0d606662c8dc9f.jpg;https://cdn.entero.ru/mp@2x/3a/e4/3ae423da923e67144fa1116caa62da99.jpg;https://cdn.entero.ru/mp@2x/1f/bc/1fbc1114847bbab02e56e4b17087f74d.jpg;https://cdn.entero.ru/mp@2x/65/e1/65e161f80d16d2a0465ba6a5abc66761.jpg;https://cdn.entero.ru/mp@2x/a4/02/a4021f6d49b8d78d352d3ebc68e07ce5.jpg;https://cdn.entero.ru/mp@2x/82/32/8232996e94bac1595b5cc5ac260de0f6.jpg;https://cdn.entero.ru/mp@2x/cf/72/cf728eb23579a71f8676b045759a91f2.jpg;https://cdn.entero.ru/mp@2x/6f/0e/6f0ef29764d5ea76e2687d6d2d2f83bc.jpg;https://cdn.entero.ru/mp@2x/05/b5/05b5a99240ebabdb065b4c241df996f9.jpg;https://cdn.entero.ru/mp@2x/10/f9/10f9d6c28b6efc95d18663357e594c62.jpg;https://cdn.entero.ru/mp@2x/46/0c/460cfbb05b0f111747892b82cef3294b.jpg;https://cdn.entero.ru/mp@2x/45/3c/453c32f12ab3794f1f309d7fbd568c2a.jpg;https://cdn.entero.ru/mp@2x/1d/7a/1d7a2ebadbc5157d67410001704dcc9b.jpg;https://cdn.entero.ru/mp@2x/fb/9b/fb9ba0a74ede9c125ca12c351213ccd6.jpg;https://cdn.entero.ru/mp@2x/a0/e8/a0e80d22b2e843416b473e7552a653e9.jpg;https://cdn.entero.ru/mp@2x/f6/2b/f62b69b71e8f7716b603ed10e9e47a27.jpg;https://cdn.entero.ru/mp@2x/23/c4/23c45e5bf888429ec2163cf6a8c29d04.jpg;https://cdn.entero.ru/mp@2x/8f/90/8f902671fbd3dbde18b2ce630af024c9.jpg,"Машина упаковочная Hualian DXDZ-250B (2 ножа, bag L 65-190 mm, S 150 mm, H-40 mm)","Машина упаковочная Hualian DXDZ-250B (2 ножа, bag L 65-190 mm, S 150 mm, H-40 mm)",422357,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Горизонтальные упаковочные машины,https://entero.ru/item/371931,"<p>Горизонтальная упаковочная машина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/371931""><b class=""b"">Hualian DXDZ-250B</b></a> используется на производственных площадках, предприятиях пищевой и косметической промышленности, общественного питания и торговли для герметичной штучной упаковки небольших по размерам и весу товаров в трехшовные пакеты flow-pack. Модель оснащена 2 ножами, электронным управлением на базе современного PCL-контроллера и фотодатчиком для точного ориентирования и обрезки цветной пленки с соблюдением рисунка на упаковке. Корпус выполнен из окрашенного металла.</p>

<p><b>Особенности:</b></p>

<ul>
<li>2 привода: на подачу продукта и поперечные губки</li>
<li>Частотные преобразователи обеспечивают высокую надежность работы и качество упаковки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная ширина пленки: 250 мм</li>
<li>Расчетная производительность: от 40 до 230 уп/мин.</li>
<li>Максимальный диаметр рулона пленки: 320 мм</li>
<li>Длина пакета: от 65 до 190 и от 120 до 280 мм</li>
<li>Ширина пакета: от 30 до 110 мм</li>
<li>Максимальная высота упаковочного объекта: 40 мм</li>
<li>Частота: 50 Гц</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Проставление даты с помощью термопринтера</li>
<li>Аппликатор для этикеток</li>
<li>Устройство для автоматической подачи продукта</li>
<li>Устройство газонаполнения</li>
<li>Прокалыватель пакета</li>
<li>Корпус из нержавеющей стали</li>
</ul>",371931,220 В,2.4 кВт,,,,338 кг,Китай,2,1300x780x1570 мм,0,,454147,,
https://cdn.entero.ru/mp@2x/cd/98/cd98cd13bb71298f0fb9e5dffc4d4dfc.jpg;https://cdn.entero.ru/mp@2x/21/7c/217cecc816bed3b070304525497d3319.jpg;https://cdn.entero.ru/mp@2x/8c/29/8c29a4ce5ed47553af44c46d393d948b.jpg;https://cdn.entero.ru/mp@2x/e8/78/e8785a71b259493d52a9b0a41f265b4a.jpg;https://cdn.entero.ru/mp@2x/dd/e5/dde56eb617a99572d292ca88e6bb3279.jpg;https://cdn.entero.ru/mp@2x/49/90/49905c2fe2035eaadbd7b6c1cb8608a7.jpg;https://cdn.entero.ru/mp@2x/1f/61/1f61f53cebf410f27233067817971a9b.jpg;https://cdn.entero.ru/mp@2x/2c/58/2c5806e983980f31beccfe1b9b0917fe.jpg;https://cdn.entero.ru/mp@2x/5c/fe/5cfe089bcd3e8533e9545bc0cd353da0.jpg;https://cdn.entero.ru/mp@2x/fc/5e/fc5e98927c0647fd8acd7d9538da1e98.jpg;https://cdn.entero.ru/mp@2x/9b/55/9b557d1cea017f9285af8ce6e59b651b.jpg;https://cdn.entero.ru/mp@2x/b1/4a/b14a17abebdf7dbd63d36c33ed052f34.jpg;https://cdn.entero.ru/mp@2x/a2/09/a209a8f93cd1cfb6299144cb631dc863.jpg;https://cdn.entero.ru/mp@2x/e3/5b/e35b6dba41d240b106b53b2e87ea6a47.jpg;https://cdn.entero.ru/mp@2x/81/7b/817ba41d099e9d4ed7b37cc89fc390f4.jpg,"Машина упаковочная Hualian DXDZ-250XD (лент. 60 мм, рег. форм., S 250, L 120-280, H 60)","Машина упаковочная Hualian DXDZ-250XD (лент. 60 мм, рег. форм., S 250, L 120-280, H 60)",422357,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Горизонтальные упаковочные машины,https://entero.ru/item/371933,"<p>Горизонтальная упаковочная машина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/371933""><b class=""b"">Hualian DXDZ-250XD</b></a> используется на производственных площадках, предприятиях пищевой и косметической промышленности, общественного питания и торговли для герметичной упаковки пищевых и непищевых продуктов в трехшовный пакет flow-pack. Модель оснащена датчиком отслеживания длины продукта, 3 серводвигателями с частотным преобразователем и транспортером поперечной запайки. Параметры настроек легко и быстро регулируются при помощи сенсорной панели с интуитивно понятным интерфейсом. Корпус выполнен из окрашенного металла.</p>

<p><b>Особенности:</b></p>

<ul>
<li>2 режима:
<ul>
<li>Работа по фиксированной длине пакета. Машина формирует длину пакета согласно настройкам, которые были устанавлены на панели управления оператором</li>
<li>Изменение длины пакета согласно данным, полученным с датчика отслеживания продукта. Машина самостоятельно измеряет длину продукта и формирует пакет, подходящий под его размеры</li>
</ul>
</li>
<li>Для упаковки коротких и длинных изделий</li>
<li>Раздельный преобразователь для протягивающих роликов и запаечных губок</li>
<li>Чувствительные фотодатчики для точного позиционирования пленки с фотометками (используется для цветной упаковки с рисунками и надписями)</li>
<li>Регулировка запайки и обрезки пакета по длине пакета через цифровой ввод</li>
<li>Современный PCL-контроллер для точного управления</li>
<li>Температурный контроллер, позволяющий подобрать оптимальную температуру запайки для конкретной пленки</li>
<li>Ленточный конвейер</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная ширина пленки: 250 мм</li>
<li>Высота продукта: 40 мм</li>
<li>Длина пакета: от 130 до 450 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Простановка даты термопринтером</li>
<li>Этикетировочная машина</li>
<li>Функция газонаполнения</li>
<li>Прокол пакета и удаление излишков воздуха</li>
<li>Корпус из нержавеющей стали</li>
</ul>",371933,220 В,1.2 кВт,,,,,Китай,,,0,,454147,,
https://cdn.entero.ru/mp@2x/40/14/40149c97df224dc1e0f0400c0e84a48c.jpg;https://cdn.entero.ru/mp@2x/3a/49/3a497ddebee24ace9847eb7734b20086.jpg;https://cdn.entero.ru/mp@2x/26/7f/267f8ef1e3d9ade210cbf228d1ddafc9.jpg;https://cdn.entero.ru/mp@2x/42/66/42668469de009bbb5ef34fcc6eacd2ea.jpg;https://cdn.entero.ru/mp@2x/c4/27/c427df9819a18a671170e2d62f2a86cd.jpg;https://cdn.entero.ru/mp@2x/73/61/73616087b009a5d957f35cd816b63745.jpg;https://cdn.entero.ru/mp@2x/1e/8d/1e8d9f6d8a1c9c2e4d5de1be0762f307.jpg;https://cdn.entero.ru/mp@2x/37/80/37800895be47954def0ff858af6abef4.jpg;https://cdn.entero.ru/mp@2x/fa/22/fa22718e71ec28ded9f35c7fcd3eb960.jpg;https://cdn.entero.ru/mp@2x/fd/72/fd72c1d57f1a2341b6e6d0938d66cf68.jpg;https://cdn.entero.ru/mp@2x/e4/92/e4927326f3a9b762e6db58014bdd793a.jpg;https://cdn.entero.ru/mp@2x/ab/9d/ab9d70e65b6004763e504f649552a009.jpg;https://cdn.entero.ru/mp@2x/2d/41/2d41191944d8c21f2977719632242226.jpg;https://cdn.entero.ru/mp@2x/8b/fc/8bfc47804803fe7ff625a92092b69f6c.jpg;https://cdn.entero.ru/mp@2x/3b/07/3b07d5496b4481730f0adcb49468607b.jpg,"Машина упаковочная Hualian DXDZ-250XD (лент. 80 мм, рег. форм., S 250, L 120-280, H 60)","Машина упаковочная Hualian DXDZ-250XD (лент. 80 мм, рег. форм., S 250, L 120-280, H 60)",422357,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Горизонтальные упаковочные машины,https://entero.ru/item/371934,"<p>Горизонтальная упаковочная машина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/371934""><b class=""b"">Hualian DXDZ-250XD</b></a> используется на производственных площадках, предприятиях пищевой и косметической промышленности, общественного питания и торговли для герметичной упаковки пищевых и непищевых продуктов в трехшовный пакет flow-pack. Модель оснащена датчиком отслеживания длины продукта и транспортером поперечной запайки. Параметры настроек легко и быстро регулируются при помощи сенсорной панели с интуитивно понятным интерфейсом. Корпус выполнен из окрашенного металла.</p>

<p><b>Особенности:</b></p>

<ul>
<li>2 режима:
<ul>
<li>Работа по фиксированной длине пакета. Машина формирует длину пакета согласно настройкам, которые были устанавлены на панели управления оператором</li>
<li>Изменение длины пакета согласно данным, полученным с датчика отслеживания продукта. Машина самостоятельно измеряет длину продукта и формирует пакет, подходящий под его размеры</li>
</ul>
</li>
<li>Для упаковки коротких и длинных изделий</li>
<li>Чувствительные фотодатчики для точного позиционирования пленки с фотометками (используется для цветной упаковки с рисунками и надписями)</li>
<li>Регулировка запайки и обрезки пакета по длине пакета через цифровой ввод</li>
<li>Современный PCL-контроллер для точного управления</li>
<li>Температурный контроллер, позволяющий подобрать оптимальную температуру запайки для конкретной пленки</li>
<li>Ленточный конвейер</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная ширина пленки: 250 мм</li>
<li>Высота продукта: 40 мм</li>
<li>Длина пакета: от 130 до 450 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Простановка даты термопринтером</li>
<li>Этикетировочная машина</li>
<li>Функция газонаполнения</li>
<li>Прокол пакета и удаление излишков воздуха</li>
<li>Корпус из нержавеющей стали</li>
</ul>",371934,220 В,1.2 кВт,,,,358 кг,Китай,2,1550x770x1520 мм,0,,,,
https://cdn.entero.ru/mp@2x/4c/e9/4ce931038cd4ea06acdc00e75e6a9735.jpg,"Машина упаковочная Hualian DXDZ-250B NEW (2 ножа, bag L 65-190 mm, S 200 mm, H-40 mm)","Машина упаковочная Hualian DXDZ-250B NEW (2 ножа, bag L 65-190 mm, S 200 mm, H-40 mm)",476008,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Горизонтальные упаковочные машины,https://entero.ru/item/371982,"<p>Горизонтальная упаковочная машина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/371982""><b class=""b"">Hualian DXDZ-250B NEW</b></a> используется на предприятиях пищевой и непищевой промышленности для штучной упаковки небольших по размерам и весу товаров в трехшовные пакеты flow-pack. Модель оснащена электронным управлением на базе PCL-контроллера и 2 независимыми приводами с частотными преобразователями. Отдельные приводы на подачу продукта и отдельно на поперечные губки обеспечивают максимальное качество упаковки и минимизируют брак. Фотодатчик гарантирует точное ориентирование и обрезку цветной пленки с соблюдением рисунка. Корпус выполнен из окрашенного металла.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная ширина пленки: 250 мм</li>
<li>Расчетная производительность: от 40 до 230 уп/мин.</li>
<li>Максимальный диаметр рулона пленки: 320 мм</li>
<li>Максимальная высота упаковываемого объекта: 40 мм</li>
<li>Длина пакетов: от 65 до 190 мм</li>
<li>Ширина пакетов: от 30 до 110 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Проставление даты с помощью термопринтера</li>
<li>Аппликатор для этикеток</li>
<li>Устройство для автоматической подачи продукта</li>
<li>Устройство газонаполнения</li>
<li>Прокалыватель пакета</li>
<li>Корпус из нержавеющей стали</li>
</ul>",371982,220 В,2.4 кВт,,,,339 кг,Китай,2,1350x780x159 мм,0,,,,
https://cdn.entero.ru/mp@2x/88/e6/88e6b81a14cee09fc57707b7b6a1ba54.jpg;https://cdn.entero.ru/mp@2x/0f/b9/0fb92f17791cd7ebf6b291df0174d887.jpg;https://cdn.entero.ru/mp@2x/f4/41/f441868cbbfcb0767b6b06cc441fcae9.jpg;https://cdn.entero.ru/mp@2x/fc/20/fc202fd36b7c0100cc31e13695070f69.jpg;https://cdn.entero.ru/mp@2x/71/ea/71ea3ded78b75a01de886cd2aa7d02b7.jpg;https://cdn.entero.ru/mp@2x/71/4d/714d680d3311cd059913a4ae2cb049d2.jpg;https://cdn.entero.ru/mp@2x/73/21/73210d0c25c40375be0bf0118899ea7f.jpg;https://cdn.entero.ru/mp@2x/6b/9b/6b9b4dfd54a3692fba1bc5f7002d11cc.jpg;https://cdn.entero.ru/mp@2x/c1/88/c1889051ab48912af6d59015ee61f5df.jpg;https://cdn.entero.ru/mp@2x/be/48/be48b1109e6064015350da8106f2eb8b.jpg;https://cdn.entero.ru/mp@2x/59/64/5964bf747694e347480fcda193ce221b.jpg,"Машина упаковочная Hualian DXDZ-250D (3 servo, рег. форм., min bag L 150, S 250, H 60, 1 позиц. нож)","Машина упаковочная Hualian DXDZ-250D (3 servo, рег. форм., min bag L 150, S 250, H 60, 1 позиц. нож)",510110,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Горизонтальные упаковочные машины,https://entero.ru/item/371941,"<p>Горизонтальная упаковочная машина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/371941""><b class=""b"">Hualian DXDZ-250D</b></a> используется на предприятиях пищевой и непищевой промышленности для герметичной групповой и штучной упаковки изделий на подложке коррекс. Модель оснащена 2 независимыми приводами с частотным управление, электронным управлением на базе PCL-контроллера и встроенным фотодатчиком для точного ориентирования и обрезки цветной пленки с соблюдением рисунка на упаковке. Корпус выполнен из окрашенного металла.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Высота продукта: до 60 мм</li>
<li>Расчетная производительность: от 40 до 230 уп/мин.</li>
<li>Ширина рулона пленки: до 250 мм</li>
<li>Диаметр намотки рулона пленки: 320 мм</li>
<li>Регулируемая длина пакета: от 120 до 280 мм</li>
<li>Регулируемая ширина пакета: от 30 до 110 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Проставление даты при помощи термопринтера</li>
<li>Функция газонаполнения</li>
<li>Комплектация этикетировщиком</li>
<li>Корпус из нержавеющей стали</li>
</ul>",371941,220 В,2.4 кВт,,,,339 кг,Китай,2,1320x780x1570 мм,0,,531365,,
https://cdn.entero.ru/mp@2x/51/ca/51cadb02f2c9da058f3a684733f37706.jpg;https://cdn.entero.ru/mp@2x/dd/1a/dd1a9c08877bdd617a7b229bfc703060.jpg;https://cdn.entero.ru/mp@2x/8c/56/8c56ba0636110eceef258eed8f3b0cb3.jpg;https://cdn.entero.ru/mp@2x/ff/98/ff98a0e27027aea92d9c2b94a245da77.jpg;https://cdn.entero.ru/mp@2x/41/56/4156b83dae5b3f9ba1cb0e79f0bce23f.jpg;https://cdn.entero.ru/mp@2x/c1/2f/c12f9166b400a8cc60307d435a49dce4.jpg;https://cdn.entero.ru/mp@2x/b1/67/b1676cd4fe2038047118b439c09292ea.jpg;https://cdn.entero.ru/mp@2x/0e/d5/0ed5372e05a5ffc3361b166bd79f3d67.jpg;https://cdn.entero.ru/mp@2x/c3/3c/c33c37fd6c815451d079b751ee5d2c23.jpg;https://cdn.entero.ru/mp@2x/78/03/7803c9217adeb8ff667141fb991840bb.jpg;https://cdn.entero.ru/mp@2x/0a/a2/0aa299e3d16f850dfa87644b14416cc0.jpg;https://cdn.entero.ru/mp@2x/88/d1/88d1e5dec85b605dfc00c66413d1b77b.jpg;https://cdn.entero.ru/mp@2x/ba/e4/bae48dd8f5877a61d299fad7bb7c3c8f.jpg,"Машина упаковочная Hualian DXDZ-450B NEW (H-70 mm, bag L 130-450mm, S 400mm, регулируемый формирователь 180 мм)","Машина упаковочная Hualian DXDZ-450B NEW (H-70 mm, bag L 130-450mm, S 400mm, регулируемый формирователь 180 мм)",623822,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Горизонтальные упаковочные машины,https://entero.ru/item/371936,"<p>Горизонтальная упаковочная машина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/371936""><b class=""b"">Hualian DXDZ-450B NEW</b></a> используется на производственных площадках, предприятиях пищевой и косметической промышленности для герметичной упаковки пищевых и непищевых продуктов в трехшовный пакет flow-pack. Модель оснащена встроенным PCL-контроллером с интуитивно понятным интерфейсом, 2 независимыми приводами с частотными преобразователями и фотодатчиком для точного позиционирования пленки с рисунком. Температурные контроллеры с ПИД-регулированием позволяют точно контролировать температуру запайки пакета и подбирать ее с учетом особенностей используемой пленки. Корпус выполнен из окрашенного металла.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная ширина пленки: 450 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Простановка даты</li>
<li>Функция газонаполнения</li>
<li>Аппликатор для этикеток (этикетировочная машина)</li>
<li>Пробивка еврослота</li>
<li>Корпус из нержавеющей стали</li>
</ul>",371936,,,,,,,,,,0,,656655,,
https://cdn.entero.ru/mp@2x/59/a6/59a640234ccd8fdca7a996b4c8787874.jpg;https://cdn.entero.ru/mp@2x/62/2e/622e0e13edd570bdd246e53b4a85deca.jpg;https://cdn.entero.ru/mp@2x/2d/0b/2d0bf092bcfbe416407f685491ecc5e6.jpg;https://cdn.entero.ru/mp@2x/8f/05/8f05d76bc521cfafa93ab3a6e44276bf.jpg;https://cdn.entero.ru/mp@2x/80/73/8073218c90c62635f27d126567d530fd.jpg,"Машина упаковочная Hualian DXDZ-450XD (лент. 200 мм, рег. форм., S 400, L 130-450, H 80)","Машина упаковочная Hualian DXDZ-450XD (лент. 200 мм, рег. форм., S 400, L 130-450, H 80)",623822,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Горизонтальные упаковочные машины,https://entero.ru/item/371939,"<p>Горизонтальная упаковочная машина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/371939""><b class=""b"">Hualian DXDZ-450XD</b></a> используется на производственных площадках для герметичной упаковки в трехшовный пакет flow-pack предметов нестабильной формы: свежей зелени, салатов, салфеток, пластиковой одноразовой посуды и перчаток. Модель оснащена цепным подающим транспортером, 2 двигателями с частотным преобразователем, чувствительными фотодатчиками для точного позиционирования пленки с фотометками. Температурный контроллер позволяет подобрать оптимальную температуру запайки для конкретной пленки. Корпус выполнен из окрашенного металла.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Раздельные двигатели для протягивающих роликов и запаечных губок</li>
<li>Подходит для цветной упаковки с рисунками и надписями</li>
<li>Регулировка запайки и обрезки по длине пакета через цифровой ввод</li>
<li>Современный PCL-контроллер для точного управления</li>
<li>Параметры настроек легко и быстро регулируются при помощи сенсорной панели с интуитивно понятным интерфейсом</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная ширина пленки: 450 мм</li>
<li>Расчетная производительность: от 30 до 180 уп/мин.</li>
<li>Максимальный диаметр пленки: 320 мм</li>
<li>Максимальная высота упаковываемого объекта: 75 мм</li>
<li>Длина пакетов: от 130 до 450 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Простановка даты</li>
<li>Этикетировочная машина</li>
<li>Функция газонаполнения</li>
<li>Прокол пакета и удаление излишков воздуха</li>
<li>Корпус из нержавеющей стали</li>
</ul>",371939,220 В,2.5 кВт,,,,,Китай,,,0,,663640,,
https://cdn.entero.ru/mp@2x/c4/30/c430f8e71035350ced061560255d07d5.jpg;https://cdn.entero.ru/mp@2x/fe/12/fe124ffa45888240bc791b3885fac39f.jpg,Автомат фасовочно-упаковочный МАГИКОН 350AGX,MAGIKON-350AGX / 00000002434,625154,RUB,Да,,Профоборудование,Фасовочно-упаковочное,Горизонтальные упаковочные машины,https://entero.ru/item/185517,"<p>Горизонтальный упаковочный автомат <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/185517"">МАГИКОН 350AGX</a> </b>используется на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли для упаковки штучных твердых изделий, включая пищевые продукты в упаковку flow-pack. Модель оснащена панелью управления Touch Screen и высокочастотным датчиком фотометки. Все части машины, соприкасающиеся с продуктом, выполнены из нержавеющей стали.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Нижняя подача пленки - для легких, бесформенных, застревающих продуктов</li>
<li>Функция диагностики неполадок</li>
<li>Установка фиксации оптимального положения </li>
<li>Раздельный температурный контроль ТЭНов</li>
<li>Механизм легкой перенастройки ширины и длины упаковки</li>
<li>Автоматическая остановка при попадании продукта</li>
<li>Русифицированный блок управления</li>
<li>Система приводов не требует специального ухода</li>
<li>Простой и практичный интерфейс</li>
</ul>

<p><b>​Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: от 40 до 230 упаковок/мин.</li>
<li>Макс. высота продукта: 60 мм</li>
<li>Ширина пленки: 350 мм</li>
<li>Диаметр пленки: 320 мм </li>
<li>Макс. размер упаковываемого продукта:
<ul>
<li>Длина: от 90 до 330 мм</li>
<li>Ширина: от 50 до 145 мм </li>
</ul>
</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Дополнительный рулонодержатель</li>
<li>Термопринтер даты</li>
<li>Дата в шве</li>
<li>Европросечка</li>
<li>Функция подбой</li>
<li>Система вытеснения воздуха из пакета (для плоских продуктов)</li>
<li>Наполнение упаковки инертным газом</li>
</ul>",185517,220 В,2.4 кВт,4020 мм,720 мм,1320 мм,,Китай,,,0,,672209,,580 кг
https://cdn.entero.ru/mp@2x/72/e7/72e7ee8f3fabf08084e4690dee57c2a3.jpg;https://cdn.entero.ru/mp@2x/08/4e/084ef7aa0ccb898b9cc5a484612e0ecc.jpg,Автомат фасовочно-упаковочный МАГИКОН 250AGЕ,MAGIKON-250AGЕ / 00-00000093,682816,RUB,Да,,Профоборудование,Фасовочно-упаковочное,Горизонтальные упаковочные машины,https://entero.ru/item/185505,"<p>Горизонтальный упаковочный автомат <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/185505""><b class=""b"">МАГИКОН 250AGЕ </b></a>используется на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли для упаковки штучных изделий в пакеты flow-pack. Модель оснащена панелью управления Touch Screen и высокочастотным датчиком фотометки. Все части машины, соприкасающиеся с продуктом, выполнены из нержавеющей стали.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Верхняя подача пленки</li>
<li>Раздельный температурный контроль ТЭНов</li>
<li>Механизм легкой перенастройки ширины и длины упаковки</li>
<li>Русифицированный блок управления</li>
<li>Простой и практичный интерфейс</li>
</ul>

<p><b>​Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: от 40 до 230 упаковок/мин.</li>
<li>Макс. высота продукта: 35 мм</li>
<li>Ширина пленки: 180 мм</li>
<li>Диаметр пленки: 320 мм </li>
<li>Макс. размер упаковываемого продукта:
<ul>
<li>Длина: от 45 до 90 мм</li>
<li>Ширина: от 38 до 80 мм </li>
</ul>
</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Дополнительный рулонодержатель</li>
<li>Термопринтер даты</li>
<li>Дата в шве</li>
<li>Европросечка</li>
<li>Функция подбой</li>
<li>Система вытеснения воздуха из пакета (для плоских продуктов)</li>
<li>Наполнение упаковки инертным газом</li>
</ul>",185505,220 В,2.4 кВт,3770 мм,670 мм,1450 мм,,Китай,,,0,,,,440 кг
https://cdn.entero.ru/mp@2x/f7/db/f7db01f799693064cd952ea8dd39fe23.jpg;https://cdn.entero.ru/mp@2x/2d/b9/2db942714035f822c6d679c6e201f246.jpg;https://cdn.entero.ru/mp@2x/62/0f/620fdee52548899dc1ff1bfa5cfa1278.jpg;https://cdn.entero.ru/mp@2x/b7/d9/b7d9c7d00d8ab5e063b575744720511d.jpg;https://cdn.entero.ru/mp@2x/29/8c/298cf856ed043d1cb1c9a9f31d9977a0.jpg;https://cdn.entero.ru/mp@2x/4e/b4/4eb4a3a0d471b77e2449d01c9442a148.jpg;https://cdn.entero.ru/mp@2x/e5/5c/e55c3dd547f72f1c8a890f46ca94e54a.jpg;https://cdn.entero.ru/mp@2x/aa/4f/aa4ff39cca8cc61679103bea6e310d81.jpg;https://cdn.entero.ru/mp@2x/f2/49/f2490cfa232038b819e761d2c530f0f9.jpg;https://cdn.entero.ru/mp@2x/96/3e/963e697ff00ef95450c14ad37e901674.jpg;https://cdn.entero.ru/mp@2x/e6/65/e6656d745c3486cfd605f1e04af78d75.jpg;https://cdn.entero.ru/mp@2x/93/74/9374534e5b566d0987983bd40552599b.jpg;https://cdn.entero.ru/mp@2x/58/7e/587e76bad45b7f4edd491d0a465cb526.jpg,"Машина упаковочная Hualian DXDZ-450B NEW (H-70 mm, bag L 130-450mm, S 400mm, рег. формир-ль 180 мм)","Машина упаковочная Hualian DXDZ-450B NEW (H-70 mm, bag L 130-450mm, S 400mm, рег. формир-ль 180 мм)",703064,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Горизонтальные упаковочные машины,https://entero.ru/item/371935,"<p>Горизонтальная упаковочная машина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/371935""><b class=""b"">Hualian DXDZ-450B NEW</b></a> используется на производственных площадках, предприятиях пищевой и косметической промышленности для герметичной упаковки пищевых и непищевых продуктов в трехшовный пакет flow-pack. Модель оснащена встроенным PCL-контроллером с интуитивно понятным интерфейсом, транспортером поперечной запайки, 2 независимыми приводами с частотными преобразователями и фотодатчиком для точного позиционирования пленки с рисунком. Температурные контроллеры с ПИД-регулированием позволяют точно контролировать температуру запайки пакета и подбирать ее с учетом особенностей используемой пленки. Корпус выполнен из окрашенного металла.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная ширина пленки: 450 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Простановка даты</li>
<li>Функция газонаполнения</li>
<li>Аппликатор для этикеток (этикетировочная машина)</li>
<li>Пробивка еврослота</li>
<li>Корпус из нержавеющей стали</li>
</ul>",371935,,,,,,476 кг,Китай,2,1590x960x1620 мм,0,,,,
