Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Производительность,Назначение,Управление,Дозировка сыпучих веществ,Объем дозировки жидкостей
https://cdn.entero.ru/mp@2x/b2/a1/b2a1de74d7a1306a410b9c0f5b2becc0.jpg,Дозатор весовой Hualian FZ-200,Дозатор весовой Hualian FZ-200,27508,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Дозаторы,https://entero.ru/item/296676,"<p>Весовой дозатор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/296676"">Hualian FZ-200</a></b> используется на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли для дозирования и фасовки различных гранулированных продуктов, таких как чай, кофе, специи, травяные сборы, сахар, крупы, семяна. Модель оснащена электронной панелью управления. Оборудование выполнено из нержавеющей стали. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Выходной бункер с инфракрасным датчиком</li>
<li>Точное автоматическое взвешивание</li>
<li>Регулируемые вес и скорость упаковки</li>
<li>Видимое окно просмотра</li>
<li>Специальный антивибрационный корпус</li>
<li>Экономичное энергопотребление</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем бункера: 5,4 л </li>
<li>Емкость загрузочного бункера в виде круглой чаши: 1,5 кг</li>
<li>Точность наполнения: 0,2 гр</li>
<li>Размер бункера: 210х155 мм </li>
</ul>",296676,,220 В,,380 мм,230 мм,490 мм,,,,0,,28956,,16 кг,,Китай,,для сыпучих веществ,автоматическое,от 1 до 200 гр,
https://cdn.entero.ru/mp@2x/df/61/df61152395b59a8527dbd3f343929608.jpg,Дозатор весовой МАГИКОН WB500,Дозатор весовой МАГИКОН WB500,33894,RUB,Да,,Профоборудование,Фасовочно-упаковочное,Дозаторы,https://entero.ru/item/126969,"<p>Весовой дозатор <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/126969""><b class=""b"">МАГИКОН WB500 </b></a>используется на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли для дозирования порошков, гранул, специй, чая, кофе и других легко-сыпучих продуктов. Модель оснащена удобной панелью управления.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Погрешность: ±2</li>
<li>Объем бункера: 15 кг</li>
<li>Размер бункера: 260х250х320 мм</li>
</ul>",126969,,220 В,0.2 кВт,260 мм,400 мм,790 мм,,,,0,,36057,https://vk.com/video_ext.php?oid=-177656185&id=456239384&hd=2&autoplay=0,25 кг,,Китай,,для сыпучих веществ,полуавтоматическое,от 10 до 500 гр,
https://cdn.entero.ru/mp@2x/ab/93/ab93ec15cddfa055c92c70b22fd4910a.jpg,Дозатор поршневой Hualian LPF-500T,Дозатор поршневой Hualian LPF-500T,68822,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Дозаторы,https://entero.ru/item/94623,"<p>Настольный поршневой дозатор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/94623"">Hualian LPF-500T</a></b> используется на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли для порционного розлива в бутылки, стаканы, банки, ведра и другие емкости воды, соков, молока, компотов и других жидких продуктов. Модель оснащена шлангом для подачи жидкости и ножной педалью. Аппарат работает как в автоматическом режиме, так и от педали. Корпус и все детали выполнены из нержавеющей стали.</p>

<p>В комплект поставки входит сменная насадка диаметров 14 мм.</p>

<p>Для работы оборудования требуется воздушный компрессор (в комплект поставки не входит).</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Максимальная погрешность дозирования: 1%</li>
<li>Диаметр выходного отверстия сопла: 7 мм</li>
<li>Давление воздуха: 0,4 до 0,6 мПа</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",94623,поршневой,220 В,0.02 кВт,880 мм,250 мм,650 мм,,,,0,,74807,,20 кг,,Китай,от 10 до 18 доз/мин.,для жидкостей,автоматическое,,от 100 до 500 мл
https://cdn.entero.ru/mp@2x/7b/71/7b711f6a001114de11b3f7fdf78d1050.jpg,Дозатор поршневой Hualian PPF-50T,Дозатор поршневой Hualian PPF-50T,76728,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Дозаторы,https://entero.ru/item/110934,"<p>Настольный поршневой дозатор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/110934"">Hualian PPF-50T</a></b> используется на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли для порционного розлива в бутылки, стаканы, банки, ведра и другие емкости масел, соусов, кремов, гелей, эмульсий и других жидких и вязких продуктов. Модель оснащена загрузочным бункером и ножной педалью. Аппарат работает как в автоматическом режиме, так и от педали. Корпус и все детали выполнены из нержавеющей стали.</p>

<p>Для работы оборудования требуется воздушный компрессор (в комплект поставки не входит).</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Максимальная погрешность дозирования: 1%</li>
<li>Объем бункера: 30 л</li>
<li>Диаметр выходного отверстия сопла: 7 мм</li>
<li>Давление воздуха: 0,4 до 0,6 мПа</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",110934,поршневой,220 В,0.02 кВт,770 мм,250 мм,780 мм,,,,0,,81626,,26.5 кг,,Китай,от 10 до 18 доз/мин.,для жидкостей,автоматическое,,от 5 до 50 мл
https://cdn.entero.ru/mp@2x/38/48/384859c95e52a6fd0af42bba5aa478f1.jpg;https://cdn.entero.ru/mp@2x/08/29/0829b8903ce661b5fb2a01413a03d922.jpg;https://cdn.entero.ru/mp@2x/1b/1f/1b1fbe15cac80635a7c00d84769de66e.jpg;https://cdn.entero.ru/mp@2x/e0/1c/e01cc8d38bb1eed2bec3e3149f65395b.jpg;https://cdn.entero.ru/mp@2x/e5/36/e536f7f550aeaa6700b5426f10f02586.jpg;https://cdn.entero.ru/mp@2x/7e/8c/7e8c2f9ea494adfab28bb195cd7c966e.jpg;https://cdn.entero.ru/mp@2x/0b/46/0b46d657cd92c7d181e1edfe49ba8961.jpg;https://cdn.entero.ru/mp@2x/93/75/93756a03a1b1c893435f02d7cfd03e8a.jpg;https://cdn.entero.ru/mp@2x/52/4b/524bb01ce23090eb0f18d65e1a38efa8.jpg;https://cdn.entero.ru/mp@2x/69/83/698307e02a7c8be40318a0baf4155bc0.jpg;https://cdn.entero.ru/mp@2x/71/06/71068b3db9c0f9b88db4e0de49aed949.jpg;https://cdn.entero.ru/mp@2x/77/15/7715380c6a716572cb2139a01264fc16.jpg;https://cdn.entero.ru/mp@2x/95/ce/95ce2df75a7f6f9e4c1bc9b96c9f4417.jpg,Дозатор поршневой Foodatlas G2WTD Pro (50-500 мл),"G2WTD (50-500 мл. 2 гол., пастообразный) Foodatlas Pro",92593,RUB,Да,Foodatlas,Профоборудование,Фасовочно-упаковочное,Дозаторы,https://entero.ru/item/110361,"<p>Настольный поршневой дозатор <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/110361""><b class=""b"">Foodatlas G2WTD Pro </b></a>используется на предприятиях общественного питания и торговли для порционного розлива в бутылки, банки и другие емкости пастообразных продуктов. Модель оснащена кнопочным управлением и 2 дозирующими головками. Корпус выполнен из нержавеющей стали 201, бункер и головка - из нержавеющей стали 304, трансформатор - из меди.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Датчик: ALIF A-21R</li>
<li>Регулировка объема и скорости заполнения</li>
<li>Высокая точность дозировки</li>
<li>Простота настройки и регулировки</li>
<li>Большой диапазон дозирования</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Производительность: от 600 до 1000 циклов/мин.</li>
<li>Погрешность: 1%</li>
<li>Необходимая подача воздуха: от 0,4 до 0,6 МПа</li>
<li>Размеры бункера: 680x450x460 мм</li>
<li>Объём бункера: 30 л</li>
<li>Толщина материала:
<ul>
<li>Корпус: 2 мм</li>
<li>Бункер: 1 мм</li>
<li>Головка: 5 мм</li>
</ul>
</li>
<li>Габариты упаковки №1: 1000х410х400 мм</li>
<li>Габариты упаковки №2 680х450х460 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",110361,поршневой,220 В,0.01 кВт,970 мм,430 мм,770 мм,,,,0,https://entero.ru/manuals/364248/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Foodatlas%20G2WTD%20Pro%20%2850-500%20%D0%BC%D0%BB%29.pdf;https://entero.ru/manuals/397922/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D1%84%D0%B0%D1%81%D0%BE%D0%B2%D0%BE%D1%87%D0%BD%D0%BE-%D1%83%D0%BF%D0%B0%D0%BA%D0%BE%D0%B2%D0%BE%D1%87%D0%BD%D0%BE%D0%B3%D0%BE%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Foodatlas.pdf;https://entero.ru/manuals/397939/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8%20%D1%82%D1%80%D0%B5%D0%B1%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%D0%BC%20%D0%93%D0%9E%D0%A1%D0%A2.%20%D0%94%D0%BE%D0%B7%D0%B0%D1%82%D0%BE%D1%80%20%D1%81%D0%B5%D1%80%D0%B8%D0%B8%20G1WTD_%20G2WTD_%20G1WLD.pdf,100645,,48 кг,,Китай,,для жидкостей,кнопочное,,от 50 до 500 мл
https://cdn.entero.ru/mp@2x/83/18/83184a5ab230ee18b72891f2699c7d59.jpg,Дозатор поршневой Hualian PPF-2000T,Дозатор поршневой Hualian PPF-2000T,126960,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Дозаторы,https://entero.ru/item/105945,"<p>Настольный поршневой дозатор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/105945"">Hualian PPF-2000T</a></b> используется на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли для порционного розлива в бутылки, стаканы, банки, ведра и другие емкости масел, соусов, кремов, гелей, эмульсий и других жидких и вязких продуктов. Модель оснащена загрузочным бункером и ножной педалью. Аппарат работает как в автоматическом режиме, так и от педали. Корпус и все детали выполнены из нержавеющей стали.</p>

<p>Для работы оборудования требуется воздушный компрессор (в комплект поставки не входит).</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Максимальная погрешность дозирования: 1%</li>
<li>Объем бункера: 30 л</li>
<li>Диаметр выходного отверстия сопла: 7 мм</li>
<li>Давление воздуха: 0,4 до 0,6 мПа</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",105945,поршневой,220 В,0.02 кВт,1120 мм,250 мм,770 мм,,,,0,https://entero.ru/manuals/193223/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Hualian%20PPF-2000T.pdf;https://entero.ru/manuals/193222/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hualian%20PPF-2000T.pdf,133642,,35 кг,,Китай,от 10 до 18 доз/мин.,для жидкостей,автоматическое,,от 300 до 2000 мл
https://cdn.entero.ru/mp@2x/76/70/767030331d867c4b8d36292a0fe06ec1.jpg,Дозатор шнековый Hualian FLG-1000A,Дозатор шнековый Hualian FLG-1000A,389378,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Дозаторы,https://entero.ru/item/319260,"<p>Шнековый дозатор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/319260"">Hualian FLG-1000A</a></b> используется на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли для дозирования муки, специй, сухого молока, крахмала и других трудно-сыпучих продуктов. Модель оснащена PLC-контроллером. Корпус выполнен из железа.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем бункера: 38 л</li>
<li>Объем упаковочной емкости: от 200 до 1000 мл</li>
</ul>",319260,шнековый,220 В,0.8 кВт,500 мм,900 мм,1900 мм,,,,0,,405602,,200 кг,Китай,Китай,30 доз/мин.,для сыпучих веществ,полуавтоматическое,,
https://cdn.entero.ru/mp@2x/7d/ec/7dec034374d7e3746c4c20587cdb247c.jpg,Дозатор шнековый Hualian FLG-2000A для трудно сыпучих продуктов,Дозатор шнековый Hualian FLG-2000A для трудно сыпучих продуктов,413241,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Дозаторы,https://entero.ru/item/290892,"<p>Напольный шнековый дозатор <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/290892""><b class=""b"">Hualian FLG-2000A</b></a> используется на производственных площадках, предприятиях промышленности различных отраслей, общественного питания и торговли для дозирования трудно сыпучих и пылящих продуктов таких как мука, специи, сухое молоко, крахмал и других. Принцип работы: продукт загружается в бункер, необходимый объем достигается соответственно количеству оборотов вращающегося шнека, заданная порция выгружается в подготовленную тару. Модель оснащена воронкообразным бункером, панелью с функциональными рукоятками и сенсорным дисплеем управления.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Режимы управления:
<ul>
<li>Автоматический</li>
<li>Полуавтоматический</li>
</ul>
</li>
<li>Выключатель и переключатель режимов поворотного типа</li>
<li>Высокая точность дозирования </li>
<li>Современная система автоматизации на базе программируемого логического контроллера (PLC)</li>
<li>Простое управление благодаря удобному интерфейсу</li>
<li>Подставка для тары</li>
<li>Колеса для удобства транспортировки</li>
<li>Компактный вертикально ориентированный корпус для оптимизации пространства</li>
<li>Эргономичный дизайн в промышленном исполнении</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диапазон дозирования: от 200 до 2000 мл</li>
<li>Объем бункера: 48 л</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",290892,шнековый,220 В,0.9 кВт,900 мм,500 мм,1900 мм,,,,0,,,,200 кг,Китай,Китай,30 доз/мин.,для сыпучих веществ,"автоматическое, полуавтоматическое",,
https://cdn.entero.ru/mp@2x/1c/b8/1cb80959f11a2ac4edc2f682c08d77d8.jpg;https://cdn.entero.ru/mp@2x/7c/98/7c98b7112c1c54b3de9beb0cb608eb88.jpg;https://cdn.entero.ru/mp@2x/5e/e4/5ee468051de9a3f19ead91746991d066.jpg;https://cdn.entero.ru/mp@2x/d5/c8/d5c872267ebd7a1bb9edd73d60a6c31e.jpg;https://cdn.entero.ru/mp@2x/59/7e/597e4162bba13c22b4673db383f2034d.jpg,Дозатор весовой White Penguin WB100,Дозатор весовой White Penguin WB100,17793,RUB,Да,,Профоборудование,Фасовочно-упаковочное,Дозаторы,https://entero.ru/item/379373,"<p>Однолинейный весовой дозатор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/379373"">White Penguin WB100</a></b> используется на предприятиях пищевой промышленности, общественного питания и торговли для дозирования сыпучих не пылящих продуктов таких как крупы, специи, орехи, кофе и других. Принцип работы: оператор загружает продукт в бункер, задает требуемую дозу и запускает процесс, заданная порция выгружается в подготовленную тару. Модель оснащена загрузочным бункером с, воронкой сброса, электронной панелью управления с функциональными клавишами, светодиодными лампами и цифровыми дисплеями индикации. Корпус, бункер и другие соприкасающиеся с продуктом компоненты выполнены из безопасной для пищевой продукции нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Регулировка дозирования и темпа подачи порций</li>
<li>Счетчик порций с ручным сбросом</li>
<li>Цифровая индикация веса и количества порций</li>
<li>Светодиодные индикаторы:
<ul>
<li>Старт</li>
<li>Стоп</li>
<li>Подача</li>
<li>Готово</li>
<li>Разгрузка</li>
<li>Скорость выгрузки:
<ul>
<li>Медленно</li>
<li>Средне</li>
<li>Быстро</li>
</ul>
</li>
</ul>
</li>
<li>Высокая точность дозирования</li>
<li>Простое управление благодаря удобному русифицированному интерфейсу</li>
<li>Фиксация сервисной крышки на быстросъемных защелках</li>
<li>Настольная установка</li>
<li>Прочная конструкция</li>
<li>Надежность и длительный срок эксплуатации</li>
<li>Эргономичный дизайн в промышленном исполнении</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Погрешность дозирования: от ±0,1 до ±1 г</li>
<li>Габариты бункера: 220х220х165 мм</li>
<li>Габариты выходного отверстия воронки сброса:
<ul>
<li>Верх: 70 мм</li>
<li>Низ: 30 мм</li>
</ul>
</li>
</ul>",379373,весовой линейный,220 В,0.55 кВт,380 мм,240 мм,495 мм,8 кг,1,450x330x630 мм,0,,,,,,Китай,от 2 до 15 доз/мин.,для сыпучих веществ,полуавтоматическое,от 1 до 100 гр,
https://cdn.entero.ru/mp@2x/2b/06/2b0655323987a6444d495bcd08e57c1e.jpg;https://cdn.entero.ru/mp@2x/60/d8/60d8fd873d36b3b7bdcbae80fb3e00ea.jpg;https://cdn.entero.ru/mp@2x/b1/1e/b11e83982bfcd65e7efe458db0d5f5e6.jpg,Дозатор поршневой Foodatlas Y1WTD Pro (50-500 мл),"Y1WTD (50-500 мл. 1 гол., жидкость) Foodatlas Pro",39414,RUB,Да,Foodatlas,Профоборудование,Фасовочно-упаковочное,Дозаторы,https://entero.ru/item/110369,"<p>Настольный поршневой дозатор <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/110369""><b class=""b"">Foodatlas Y1WTD Pro </b></a>используется на предприятиях общественного питания и торговли для порционного розлива в бутылки, банки и другие емкости вод, соков и других жидкостей. Модель оснащена кнопочным управлением и дозирующей головкой. Корпус выполнен из нержавеющей стали 201, бункер и головка - из нержавеющей стали 304, трансформатор - из меди.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Датчик: ALIF A-21R</li>
<li>Регулировка объема и скорости заполнения</li>
<li>Высокая точность дозировки</li>
<li>Простота настройки и регулировки</li>
<li>Большой диапазон дозирования</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Производительность: от 600 до 1000 циклов/мин.</li>
<li>Погрешность: 1%</li>
<li>Необходимая подача воздуха: от 0,4 до 0,6 МПа</li>
<li>Толщина материала:
<ul>
<li>Корпус: 2 мм</li>
<li>Бункер: 1 мм</li>
<li>Головка: 5 мм</li>
</ul>
</li>
<li>Габариты в упаковке: 1250x430x330 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",110369,поршневой,220 В,0.01 кВт,1200 мм,400 мм,300 мм,,,,0,https://entero.ru/manuals/364256/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Foodatlas%20Y1WTD%20Pro%20%2850-500%20%D0%BC%D0%BB%29.pdf;https://entero.ru/manuals/397915/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D1%84%D0%B0%D1%81%D0%BE%D0%B2%D0%BE%D1%87%D0%BD%D0%BE-%D1%83%D0%BF%D0%B0%D0%BA%D0%BE%D0%B2%D0%BE%D1%87%D0%BD%D0%BE%D0%B3%D0%BE%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Foodatlas.pdf;https://entero.ru/manuals/397916/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8%20%D1%82%D1%80%D0%B5%D0%B1%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%D0%BC%20%D0%93%D0%9E%D0%A1%D0%A2.%20%D0%94%D0%BE%D0%B7%D0%B0%D1%82%D0%BE%D1%80%20%28%D0%BD%D0%B0%D0%BF%D0%BE%D0%BB%D0%BD%D1%8F%D1%8E%D1%89%D0%B0%D1%8F%20%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B0%29%20%D1%81%D0%B5%D1%80%D0%B8%D0%B8%20Y1WTD.pdf,,,20 кг,,Китай,1000 доз/мин.,для жидкостей,кнопочное,,от 50 до 500 мл
https://cdn.entero.ru/mp@2x/55/3e/553e5343cb188b4beba8b9cf789dfe6b.jpg;https://cdn.entero.ru/mp@2x/d8/7c/d87c8dfd8d3c24b864d63e7ee7175a3c.jpg,Дозатор весовой White Penguin WB1000,Дозатор весовой White Penguin WB1000,42616,RUB,Да,,Профоборудование,Фасовочно-упаковочное,Дозаторы,https://entero.ru/item/379374,"<p>Однолинейный весовой дозатор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/379374"">White Penguin WB1000</a></b> используется на предприятиях пищевой промышленности, общественного питания и торговли для дозирования сыпучих не пылящих продуктов таких как крупы, специи, орехи, кофе и других. Принцип работы: оператор загружает продукт в бункер, задает требуемую дозу и запускает процесс, заданная порция выгружается в подготовленную тару. Модель оснащена загрузочным бункером с, воронкой сброса, электронной панелью управления с функциональными клавишами, светодиодными лампами и цифровыми дисплеями индикации. Корпус, бункер и другие соприкасающиеся с продуктом компоненты выполнены из безопасной для пищевой продукции нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Регулировка дозирования и темпа подачи порций</li>
<li>Счетчик порций с ручным сбросом</li>
<li>Цифровая индикация веса и количества порций</li>
<li>Светодиодные индикаторы:
<ul>
<li>Старт</li>
<li>Стоп</li>
<li>Подача</li>
<li>Готово</li>
<li>Разгрузка</li>
<li>Скорость выгрузки:
<ul>
<li>Медленно</li>
<li>Средне</li>
<li>Быстро</li>
</ul>
</li>
</ul>
</li>
<li>Высокая точность дозирования</li>
<li>Простое управление благодаря удобному русифицированному интерфейсу</li>
<li>Фиксация сервисных крышек на быстросъемных защелках</li>
<li>Настольная установка</li>
<li>Прочная конструкция</li>
<li>Устойчивая база</li>
<li>Надежность и длительный срок эксплуатации</li>
<li>Эргономичный дизайн в промышленном исполнении</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Погрешность дозирования: от ±0,1 до ±1 г</li>
<li>Габариты бункера: 300х300х285 мм</li>
<li>Габариты выходного отверстия воронки сброса:
<ul>
<li>Верх: 100 мм</li>
<li>Низ: 30 мм</li>
</ul>
</li>
</ul>",379374,весовой линейный,220 В,0.55 кВт,490 мм,360 мм,1000 мм,35 кг,1,560x410x985 мм,0,,,,,,Китай,от 2 до 15 доз/мин.,для сыпучих веществ,полуавтоматическое,от 1 до 1000 гр,
https://cdn.entero.ru/mp@2x/fb/47/fb47a3105efa8b9d5b922fd7feeb0bf5.jpg;https://cdn.entero.ru/mp@2x/15/8a/158afaf2abd895a58c14fff58f2d8074.jpg;https://cdn.entero.ru/mp@2x/f9/b7/f9b7de48fb459a34c9c03cdae25d5327.jpg,Дозатор поршневой Foodatlas Y1WTD Pro (100-1000 мл),"Y1WTD (100-1000 мл. 1 гол., жидкость) Foodatlas Pro",44993,RUB,Да,Foodatlas,Профоборудование,Фасовочно-упаковочное,Дозаторы,https://entero.ru/item/117205,"<p>Настольный поршневой дозатор <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/117205""><b class=""b"">Foodatlas Y1WTD Pro </b></a>используется на предприятиях общественного питания и торговли для порционного розлива в бутылки, банки и другие емкости вод, соков и других жидкостей. Модель оснащена кнопочным управлением и дозирующей головкой. Корпус выполнен из нержавеющей стали 201, бункер и головка - из нержавеющей стали 304, трансформатор - из меди.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Датчик: ALIF A-21R</li>
<li>Регулировка объема и скорости заполнения</li>
<li>Высокая точность дозировки</li>
<li>Простота настройки и регулировки</li>
<li>Большой диапазон дозирования</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Производительность: от 600 до 1000 циклов/мин.</li>
<li>Погрешность: 1%</li>
<li>Необходимая подача воздуха: от 0,4 до 0,6 МПа</li>
<li>Толщина материала:
<ul>
<li>Корпус: 2 мм</li>
<li>Бункер: 1 мм</li>
<li>Головка: 5 мм</li>
</ul>
</li>
<li>Габариты в упаковке: 1250x430x330 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",117205,поршневой,220 В,0.01 кВт,1200 мм,400 мм,300 мм,,,,0,https://entero.ru/manuals/364264/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Foodatlas%20Y1WTD%20Pro%20%28100-1000%20%D0%BC%D0%BB%29.pdf;https://entero.ru/manuals/397917/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8%20%D1%82%D1%80%D0%B5%D0%B1%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%D0%BC%20%D0%93%D0%9E%D0%A1%D0%A2.%20%D0%94%D0%BE%D0%B7%D0%B0%D1%82%D0%BE%D1%80%20%28%D0%BD%D0%B0%D0%BF%D0%BE%D0%BB%D0%BD%D1%8F%D1%8E%D1%89%D0%B0%D1%8F%20%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B0%29%20%D1%81%D0%B5%D1%80%D0%B8%D0%B8%20Y1WTD.pdf;https://entero.ru/manuals/397918/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D1%84%D0%B0%D1%81%D0%BE%D0%B2%D0%BE%D1%87%D0%BD%D0%BE-%D1%83%D0%BF%D0%B0%D0%BA%D0%BE%D0%B2%D0%BE%D1%87%D0%BD%D0%BE%D0%B3%D0%BE%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Foodatlas.pdf,,,22 кг,,Китай,1000 доз/мин.,,кнопочное,,от 100 до 1000 мл
