Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Температурный режим,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Вес (без упаковки),Родина бренда,Страна-производитель,Установка,Назначение,Вес (с упаковкой),Подсветка,Размер подогреваемой ванны,Колеса
https://cdn.entero.ru/mp@2x/5a/40/5a408548150bba73f0fc3471511d31ee.jpg,Станция для фасовки картофеля фри EKSI HCW-8 рст,HCW-8,20395,RUB,Да,EKSI,Профоборудование,Тепловое,Станции для фасовки картофеля фри,https://entero.ru/item/368457,"<p>Станция для фасовки картофеля фри <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/368457"">EKSI HCW-8 рст</a></b> используется на предприятиях общественного питания. Инфракрасный мягкий нагрев позволяет не высушивать продукт. Модель оснащена большим отделением для фри, разделителем для пакетиков и боковым гигиеническим стеклом. Корпус выполнен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная температура нагрева: 60 °C</li>
</ul>",368457,,220 В,0.6 кВт,800 мм,700 мм,650 мм,30 кг,,,7,https://entero.ru/manuals/486287/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20EKSI.pdf,29135,,,Китай,настольная,подогрева / фасовка,,,,
https://cdn.entero.ru/mp@2x/43/15/43151b846419d1e9b1b6dac6ea8c15c5.jpg,Станция для фасовки картофеля фри Airhot FCS-30,Станция для фасовки картофеля фри Airhot FCS-30,27615,RUB,Да,Airhot,Профоборудование,Тепловое,Станции для фасовки картофеля фри,https://entero.ru/item/122738,"<p>Станция для фасовки картофеля фри <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/122738"">Airhot FCS-30</a></b> используется на предприятиях общественного питания и торговли для кратковременного хранения, демонстрации и сохранения продукта в подогретом виде. Корпус выполнен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер подогреваемой площади: 735х300х150 мм</li>
</ul>",122738,,220 В,0.75 кВт,800 мм,710 мм,685 мм,,,,0,https://entero.ru/manuals/129459/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20FCS-30.pdf,28766,34 кг,,Китай,настольная,подогрева / фасовка,,,735х300х150 мм,
https://cdn.entero.ru/mp@2x/3a/9a/3a9a7cacf4e2db1ac6d0a7fb94e8a345.jpg;https://cdn.entero.ru/mp@2x/ef/4c/ef4ce39f7108d7c5ca24e862c044195f.jpg;https://cdn.entero.ru/mp@2x/11/32/11325f27d0fceeb4ed9cbab606c32266.jpg;https://cdn.entero.ru/mp@2x/72/e3/72e3ff355c8c747d337fb415b5055d2e.jpg;https://cdn.entero.ru/mp@2x/9b/79/9b7965c6c451b105700dbd13f1147688.jpg;https://cdn.entero.ru/mp@2x/dd/8f/dd8f9d1ebf87a19cbb14d678d43fba51.jpg;https://cdn.entero.ru/mp@2x/06/fb/06fb447922aa661e1eb46247f26b1c46.jpg;https://cdn.entero.ru/mp@2x/d5/8f/d58fef019b1fc88864ae8d668044619a.jpg,Мармит для картофеля-фри Kocateq DH 60EFF ECO,Мармит для картофеля-фри Kocateq DH 60EFF ECO,95855,RUB,Да,Kocateq,Профоборудование,Тепловое,Станции для фасовки картофеля фри,https://entero.ru/item/369140,"<p>Мармит для картофеля-фри <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/369140"">Kocateq DH 60EFF ECO</a></b> используется на предприятиях общественного питания и торговли для кратковременного хранения и упаковки картофеля-фри, крокетов, чипсов и прочих продуктов, обжаренных во фритюре. Источником инфракрасного излучения являются 3 ИК-лампы, которые создают нагрев и распределяют тепловой поток по всей площади при помощи рефлектора. </p>

<p><b>Комплектация:</b></p>

<ul>
<li>Солонка из нержавеющей стали</li>
<li>Профессиональный совок для фасовки чипсов под правую руку</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Функциональная часть из 2 зон:
<ul>
<li>Хранение фри</li>
<li>Решетка для фасовки</li>
</ul>
</li>
<li>Большое зеркало в стенке: для распределения теплового потока по площади витрины</li>
<li>Возможность включения только одной лампы, 2 или 3</li>
<li>Шкаф с распашной дверцей </li>
<li>Торцевое защитное стекло для предотвращения разбрызгивания фритюра</li>
<li>Конструкция для перемещения зон внутри корпуса и торцевого стекла в зависимости от того, с какой стороны располагаются фритюрницы</li>
<li>Колеса</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность лампы: 3х 0,275 кВт</li>
</ul>",369140,,220 В,0.82 кВт,600 мм,700 мм,1530 мм,,,,0,https://entero.ru/manuals/488751/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,104190,,,Ю. Корея,напольная,подогрева / фасовка,,,,Да
https://cdn.entero.ru/mp@2x/8f/4c/8f4c459923ae3a1abe7322eef724e581.jpg;https://cdn.entero.ru/mp@2x/f0/ee/f0ee222863d3c0b1c3f243ab0598e2bd.jpg;https://cdn.entero.ru/mp@2x/a2/86/a286abbe2154c2fabd08db6f14505ccd.jpg;https://cdn.entero.ru/mp@2x/2b/4f/2b4ffd034ad44e21dcf904a63e727ba8.jpg;https://cdn.entero.ru/mp@2x/dc/85/dc85f0ab677fd241b9b8ef39c8de3e44.jpg,Мармит для картофеля-фри Kocateq DH 80EFF ECO,Мармит для картофеля-фри Kocateq DH 80EFF ECO,101412,RUB,Да,Kocateq,Профоборудование,Тепловое,Станции для фасовки картофеля фри,https://entero.ru/item/369139,"<p>Мармит для картофеля-фри <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/369139"">Kocateq DH 80EFF ECO</a></b> используется на предприятиях общественного питания и торговли для кратковременного хранения и упаковки картофеля-фри, крокетов, чипсов и прочих продуктов, обжаренных во фритюре. Источником инфракрасного излучения являются 4 ИК-лампы, которые создают нагрев и распределяют тепловой поток по всей площади при помощи рефлектора. </p>

<p><b>Комплектация:</b></p>

<ul>
<li>Солонка из нержавеющей стали</li>
<li>Профессиональный совок для фасовки чипсов под правую руку</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Функциональная часть из 2 зон:
<ul>
<li>Хранение фри</li>
<li>Панель фасовки из съемного основания и решетки для размещения продуктов фри, расфасованных в пакеты</li>
</ul>
</li>
<li>Большое зеркало в стенке: для распределения теплового потока по площади витрины</li>
<li>Возможность включения только одной лампы, 2 или 3</li>
<li>Шкаф с распашной дверцей </li>
<li>Торцевое защитное стекло для предотвращения разбрызгивания фритюра</li>
<li>Конструкция для перемещения зон внутри корпуса и торцевого стекла в зависимости от того, с какой стороны располагаются фритюрницы</li>
<li>Колеса</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность лампы: 4х 0,275 кВт</li>
</ul>",369139,,220 В,1.1 кВт,800 мм,700 мм,1530 мм,65 кг,1,810x880x1620 мм,0,https://entero.ru/manuals/488736/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,107885,,,Ю. Корея,напольная,подогрева / фасовка,,,,Да
https://cdn.entero.ru/mp@2x/67/bb/67bb6a962f125a98dc66c912658988ea.jpg,Станция для фасовки картофеля фри REDGASTRO VF-100,Станция для фасовки картофеля фри REDGASTRO VF-100,112490,RUB,Да,,Профоборудование,Тепловое,Станции для фасовки картофеля фри,https://entero.ru/item/334213,"<p>Станция для хранения и фасовки картофеля фри <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/334213"">REDGASTRO VF-100</a></b> используется на предприятиях общественного питания для непродолжительного хранения и упаковки продуктов, обжаренных во фритюре (картофель-фри, крокеты). Модель оснащена ящиком с 2 распашными дверьми. Все части, контактирующие с продуктами, выполнены из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Подогрев происходит сверху с помощью инфракрасных ламп</li>
<li>Торцевое защитное стекло для предотвращения разбрызгивания фритюра</li>
<li>Углубление для хранения бумажных пакетов</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>​Габариты в упаковке: 1050х800х1600 мм</li>
</ul>

<p><br>
<span style=""color:#ff3333;""><em>Внимание! На фото аналогичная модель другого размера.</em></span></p>",334213,60 °С,220 В,1.1 кВт,1000 мм,730 мм,1570 мм,,,,0,https://entero.ru/manuals/396289/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20REDGASTRO%20VF-100.docx,122272,80 кг,Китай,Китай,напольная,подогрева / фасовка,,,,
https://cdn.entero.ru/mp@2x/ff/29/ff29fe261c58a071f0931f7d55d7f4a7.jpg,Станция для фасовки картофеля фри RoboLabs STF-100,106534,221591,RUB,Да,RoboLabs,Профоборудование,Тепловое,Станции для фасовки картофеля фри,https://entero.ru/item/149968,"<p>Станция для хранения и фасовки картофеля фри <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/149968"">RoboLabs STF-100</a></b> предназначена для поддержания картофеля в теплом состоянии при помощи керамического нагревающего элемента сверху и подогрева ванны снизу на предприятиях общественного питания. Корпус изготовлен из нержавеющей стали и обладает высокой износостойкостью, отдельные элементы станции, контактирующие с пищевым продуктом, изготовлены из коррозионно-стойкой стали AISI 304. </p>

<p>В комплект поставки входят перфорированная ёмкость для хранения картофеля, отсеки для хранения упаковки и навесная емкость для хранения инвентаря. Гастроемкости в комлпект поставки не входят и приобретаются отдельно. </p>

<p><b>Особенности: </b></p>

<ul>
<li>Функциональная часть станции состоит из зон хранения и фасовки</li>
<li>Поперечный разделитель позволяет хранить в емкости два вида продуктов</li>
<li>В нижней части станции имеется ниша с двумя распашными дверьми</li>
<li>В передней части станции расположена ниша под гастроемкости GN 1/6 и 2 GN 1/3</li>
<li>Зона фасовки состоит из съемного основания и решетки для размещения готовых продуктов, расфасованных в пакеты</li>
<li>Станция комбинируется с фритюрницами, которые можно расположить справа или слева от нее</li>
<li>Остатки фритюра свободно стекают через перфорацию, в результате чего продукт не намокает и не пропитывается маслом</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Время хранения: не более 20 мин. </li>
<li>Габариты в упаковке: 1550x1050x750 мм</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>

<p> </p>",149968,,220 В,2 кВт,1000 мм,700 мм,1500 мм,,,,0,https://entero.ru/manuals/177730/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%A2%D0%A2%D0%9C%20STF-080.pdf,235735,95 кг,,Россия,напольная,подогрева / фасовка,,,,
https://cdn.entero.ru/mp@2x/ef/95/ef95dedc6ae4439bc043f30f6345bcab.jpg;https://cdn.entero.ru/mp@2x/5d/1e/5d1eaa9cc91326de4b19963b4b706985.jpg,Станция для подогрева и фасовки картофеля фри Grill Master Ф2ПКЭ глубина 100 мм,21603 / 108369,37480,RUB,Нет,Grill Master,Профоборудование,Тепловое,Станции для фасовки картофеля фри,https://entero.ru/item/42211,"<p>Станция <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/42211""><b class=""b"">Grill Master Ф2ПКЭ</b></a> предназначена для подогрева и поддержания уже готового картофеля фри в теплом состоянии на предприятиях общественного питания и торговли. Модель оснащена деликатным подогревом продукта сверху, что позволяет сохранять картофель фри достаточно долго в горячем виде без потери качества. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Степень подогрева можно регулировать</li>
<li>Подставка под пакеты</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество ТЭНов: 2</li>
<li>Количество держателей: 1</li>
</ul>",42211,60 °С,220 В,1.6 кВт,670 мм,610 мм,620 мм,16 кг,1,770x710x770 мм,0,https://entero.ru/manuals/515382/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Grill%20Master%20%D0%A42%D0%9F%D0%9A%D0%AD.docx,,,,Россия,настольная,подогрева / фасовка,,Да,650х530х100 мм,
https://cdn.entero.ru/mp@2x/73/96/7396d758931cc6fc4e6230984f2e38fd.jpg,Мармит для картофеля фри VIATTO VA-EFC-01,Мармит для картофеля фри VIATTO VA-EFC-01,0,RUB,Нет,VIATTO,Профоборудование,Тепловое,Станции для фасовки картофеля фри,https://entero.ru/item/203940,"<p>Мармит <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/203940"">VIATTO VA-EFC-01</a> </b>предназначен для поддержания в горячем состоянии первых блюд на предприятиях общественного питания. Корпус выполнен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вместимость: 1 гастроемкость GN1/1</li>
<li>Габариты в упаковке: 550х350х120 мм</li>
</ul>",203940,от 30 до 85 °С,220 В,0.5 кВт,570 мм,340 мм,435 мм,5.1 кг,1,550x350x120 мм,0,https://entero.ru/manuals/349042/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VIATTO%20VA-EFC-01.pdf;https://entero.ru/manuals/349043/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20VIATTO%20VA-EFC-01.xls;https://entero.ru/manuals/349044/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20VIATTO%20VA-EFC-01.pdf;https://entero.ru/manuals/349045/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20VIATTO%20VA-EFC-01.pdf,,,,,настольная,подогрев,,,,
https://cdn.entero.ru/mp@2x/d2/4f/d24f01dc31b7396cbc0d45ce97a8f8a6.jpg,Мармит для картофеля фри INOKSAN INO-7HE10S,Мармит для картофеля фри INOKSAN INO-7HE10S,0,RUB,Нет,INOKSAN,Профоборудование,Тепловое,Станции для фасовки картофеля фри,https://entero.ru/item/333322,"<p>Подогреватель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/333322"">INOKSAN INO-7HE10S</a></b> используется для поддержания температуры готового картофеля фри на предприятиях общественного питания и торговли. Модель оснащена поворотным регулятором мощности нагрева. Корпус выполнен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вместимость: 1х GN 1/1 глубиной 150 мм</li>
<li>Сечение кабеля: 3х1,5 мм<sup>2</sup></li>
<li>Габариты в упаковке: 422х772х477 мм</li>
</ul>",333322,,220 В,1 кВт,400 мм,750 мм,450 мм,,,,0,https://entero.ru/manuals/394334/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20INOKSAN%20INO-7HE10S.pdf;https://entero.ru/manuals/394335/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20INOKSAN%20INO-7HE10S.pdf,,,,Турция,настольная,подогрев,,,,
https://cdn.entero.ru/mp@2x/91/f2/91f23c7d0a0b81b670b174171fb097eb.jpg,Мармит для чипсов Kocateq DH60EFF,6891,0,RUB,Нет,Kocateq,Профоборудование,Тепловое,Станции для фасовки картофеля фри,https://entero.ru/item/43772,"<p>Мармит для чипсов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/43772"">Kocateq DH60EFF</a></b> используется на предприятиях общественного питания и торговли для кратковременного хранения и упаковки картофеля-фри, крокетов, чипсов и прочих продуктов, обжаренных во фритюре. Источником инфракрасного излучения являются 4 ИК-лампы, которые создают нагрев и распределяют тепловой поток по всей площади при помощи рефлектора. Все части, контактирующие с продуктами, выполнены из нержавеющей стали AISI 304.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Солонка из нержавеющей стали</li>
<li>Профессиональный совок для фасовки чипсов под правую руку</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Функциональная часть из 2 зон:
<ul>
<li>Хранение фри</li>
<li>Панель фасовки из съемного основания и решетки для размещения продуктов фри, расфасованных в пакеты</li>
</ul>
</li>
<li>Во фронтальной части:
<ul>
<li>Углубление для хранения бумажных пакетов</li>
<li>Фиксатор для солонки</li>
</ul>
</li>
<li>Нижняя часть: ящик с 2 распашными дверьми</li>
<li>Торцевое защитное стекло для предотвращения разбрызгивания фритюра</li>
<li>Конструкция для перемещения зон внутри корпуса и торцевого стекла в зависимости от того, с какой стороны располагаются фритюрницы</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность лампы: 4х 0,375 кВт</li>
<li>Размер емкостей для продуктов фри: 533х636х150 мм</li>
<li>Габариты в упаковке: 820х680х1640 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото представлена аналогичная модель другого размера.</span></em></p>",43772,от 60 до 80 °С,220 В,1 кВт,700 мм,600 мм,1560 мм,,,,0,https://entero.ru/manuals/111194/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Kocateq.pdf;https://entero.ru/manuals/278465/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Kocateq%20DH60EFF.pdf,,75 кг,,Ю. Корея,напольная,,,,,
https://cdn.entero.ru/mp@2x/23/da/23daec63245eab7829c88c336cc3270d.jpg,Мармит для картофеля фри Luxstahl SP1,ита1408,0,RUB,Нет,Luxstahl,Профоборудование,Тепловое,Станции для фасовки картофеля фри,https://entero.ru/item/129411,"<p>Мармит для картофеля фри <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/129411"">Luxstahl SP1</a></b> используется на предприятиях общественного питания и торговли для подогрева картофеля фри.</p>

<p><b>Дополнительные характеристики:</b> </p>

<ul>
<li>Размер ванны: GN 1/1</li>
</ul>",129411,,220 В,0.25 кВт,340 мм,580 мм,760 мм,,,,0,https://entero.ru/manuals/270247/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Luxstahl.pdf;https://entero.ru/manuals/416754/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,,,,Италия,настольная,подогрев,,,,
https://cdn.entero.ru/mp@2x/6f/37/6f37ad3b22c482f6d2af124535c25cbf.jpg,Мармит для чипсов Kocateq DH80EFF,Мармит для чипсов Kocateq DH80EFF,0,RUB,Нет,Kocateq,Профоборудование,Тепловое,Станции для фасовки картофеля фри,https://entero.ru/item/33934,"<p>Мармит для чипсов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/33934"">Kocateq DH80EFF</a></b> используется на предприятиях общественного питания и торговли для кратковременного хранения и упаковки картофеля-фри, крокетов, чипсов и прочих продуктов, обжаренных во фритюре. Источником инфракрасного излучения являются 4 ИК-лампы, которые создают нагрев и распределяют тепловой поток по всей площади при помощи рефлектора. Все части, контактирующие с продуктами, выполнены из нержавеющей стали AISI 304.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Солонка из нержавеющей стали</li>
<li>Профессиональный совок для фасовки чипсов под правую руку</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Функциональная часть из 2 зон:
<ul>
<li>Хранение фри</li>
<li>Панель фасовки из съемного основания и решетки для размещения продуктов фри, расфасованных в пакеты</li>
</ul>
</li>
<li>Во фронтальной части:
<ul>
<li>Углубление для хранения бумажных пакетов</li>
<li>Фиксатор для солонки</li>
</ul>
</li>
<li>Нижняя часть: ящик с 2 распашными дверьми</li>
<li>Торцевое защитное стекло для предотвращения разбрызгивания фритюра</li>
<li>Конструкция для перемещения зон внутри корпуса и торцевого стекла в зависимости от того, с какой стороны располагаются фритюрницы</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность лампы: 4х 0,375 кВт</li>
<li>Размер емкостей для продуктов фри: 733х636х150 мм</li>
<li>Габариты в упаковке: 900х820х1650 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото представлена аналогичная модель другого размера.</span></em></p>",33934,от 60 до 80 °С,220 В,1.65 кВт,800 мм,700 мм,1530 мм,,,,0,https://entero.ru/manuals/111196/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Kocateq.pdf;https://entero.ru/manuals/278464/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Kocateq%20DH80EFF.pdf,,100 кг,,Ю. Корея,напольная,,,,,
https://cdn.entero.ru/mp@2x/c4/78/c478ffb6279c7a6c19b433f46f0cef3b.jpg;https://cdn.entero.ru/mp@2x/9f/cb/9fcb2913aa24b0598470a31419c73e92.jpg;https://cdn.entero.ru/mp@2x/00/38/0038ec2a5eb49994849c022eb050806d.jpg;https://cdn.entero.ru/mp@2x/27/c8/27c852dbe5593eccf8efce2d136a1f0a.jpg;https://cdn.entero.ru/mp@2x/85/e0/85e0990cb01954abc1c5a77385e33089.jpg;https://cdn.entero.ru/mp@2x/7d/a6/7da6e1d140bd5dd7d5e3bc04b1d7acb1.jpg;https://cdn.entero.ru/mp@2x/a2/08/a208ec99c4e496019729575cc5ecb38c.jpg;https://cdn.entero.ru/mp@2x/9f/6c/9f6c7b0517b042af010792350929c09b.jpg,Станция для фасовки картофеля фри RoboLabs KFFSL-IR9-S,245460,0,RUB,Нет,RoboLabs,Профоборудование,Тепловое,Станции для фасовки картофеля фри,https://entero.ru/item/340211,"<p>Станция <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/340211"">RoboLabs KFFSL-IR9-S</a></b> используется на предприятиях общественного питания и торговли для хранения и фасовки картофеля фри. Модель оснащена светодиодной подсветкой, распашными дверцами и колесами для перемещения. Корпус выполнен из нержавеющей стали AISI 304.</p>

<p>В комплект поставки входит держатель для картофеля фри.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Комбинированный нагрев:
<ul>
<li>Снизу - нагревательный кабель</li>
<li>Сверху - керамические нагреватели</li>
</ul>
</li>
<li>Сквозная конструкция</li>
<li>Зона упаковки под столешницей с возможностью регулировки ширины одной из зон</li>
<li>Большой внутренний объем под ванной для складирования дополнительных расходных материалов или упаковки</li>
<li>Универсальный кронштейн под фасовочный совок</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Подключение к сети: 16А 2P+E (IEC 60309)</li>
<li>Объем: 1,377 м<sup>3</sup></li>
<li>Габариты в упаковке: 1065х1135х1770 мм</li>
<li>Объем упаковки: 2,14 м<sup>3</sup></li>
</ul>",340211,70 °С,,,900 мм,1000 мм,1530 мм,,,,0,https://entero.ru/manuals/502816/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,,Россия,напольная,подогрева / фасовка,,,,
https://cdn.entero.ru/mp@2x/c6/c8/c6c8436e5508342875e36d4e71c173c9.jpg,Станция для подогрева и фасовки картофеля фри Fabristeel F70-370,Dual Heat Fries Station,0,RUB,Нет,Fabristeel,Профоборудование,Тепловое,Станции для фасовки картофеля фри,https://entero.ru/item/51966,"<p>Станция <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/51966"">Fabristeel F70-370</a></b> предназначена для подогрева и фасовки картофеля фри. Подогрев осуществляется сверху и снизу. Корпус сделан из нержавеющей стали.</p>

<p>В оборудовании предусмотрены отсеки для упаковки, емкость с перфорацией для картофеля, решетка для пакетов с продуктом, вставка-поддон для стекания масла и навесная емкость для утилизации продукта.</p>",51966,,220 В,2.38 кВт,500 мм,720 мм,1450 мм,,,,0,,,,,Сингапур,напольная,,,,,
https://cdn.entero.ru/mp@2x/d5/b2/d5b2376f391530a83eabbaefbc9669e0.jpg,Подогреватель картофеля фри Bartscher 115115,115.015,0,RUB,Нет,Bartscher,Профоборудование,Тепловое,Станции для фасовки картофеля фри,https://entero.ru/item/87445,"<p>Подогреватель картофеля фри <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/87445"">Bartscher 115115</a></b> используется на предприятиях общественного питания и торговли для кратковременного хранения, демонстрации и сохранения продукта в подогретом виде. Корпус выполнен из хромникелевой стали CNS 18/10.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер раковины: GN 1/1</li>
</ul>",87445,,220 В,2 кВт,400 мм,650 мм,295 мм,,,,0,https://entero.ru/manuals/109336/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Bartscher%20115115.pdf;https://entero.ru/manuals/109337/%D0%AD%D0%BB%D0%B5%D0%BA%D1%82%D1%80%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B0%D1%8F%20%D1%81%D1%85%D0%B5%D0%BC%D0%B0.pdf;https://entero.ru/manuals/109338/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%B2%20%D1%80%D0%B0%D0%B7%D0%BE%D0%B1%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%BC%20%D0%B2%D0%B8%D0%B4%D0%B5.pdf;https://entero.ru/manuals/507835/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,,Китай,настольная,,,,,
