Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Вес (без упаковки),Родина бренда,Страна-производитель,Материал столешницы
https://cdn.entero.ru/mp@2x/fc/e8/fce8184c11a91b773695c2821b589869.jpg;https://cdn.entero.ru/mp@2x/03/ea/03ea5c805eb8ae3d11c3b83b08429555.jpg,Колода разрубочная клееная Luxstahl 500х500х80(100) мм бук,Колода разрубочная клееная Luxstahl 500х500х80(100) мм бук,5957,RUB,Да,Luxstahl,Профоборудование,Нейтральное,Столы разрубочные,https://entero.ru/item/273427,"<p>Разрубочная колода <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/273427""><b class=""b"">Luxstahl 500х500х80(100) мм</b></a> используется на предприятиях общественного питания и торговли для заготовки мясной кулинарии: нарезки антрекотов, шницелей и других полуфабрикатов, а также обработки мяса птицы и рыбы. Изделие выполнено из натурального бука путем склейки деревянных брусков.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Боковая поверхность колоды цилиндрована и пропитана пищевым парафином</li>
<li>Колода разрубочная имеет естественную влажность (30-60%), поэтому допускаются трещины различной длины (ширины не более 3-4 мм)</li>
</ul>

<p><b>Условия хранения и эксплуатации:</b></p>

<ul>
<li>Хранить (без использования) в прохладном темном месте не более 1 месяца</li>
<li>При эксплуатации колоду следует ежедневно обливать холодной водой и посыпать рабочую поверхность солью<br>
</li>
</ul>",273427,500 мм,500 мм,100 мм,,,,0,,,,,Россия,дерево
https://cdn.entero.ru/mp@2x/40/e4/40e4b5f0a35fe6e35d78eccfbcc7f291.jpg,Колода разрубочная MGprof 70535 450 мм белая,Колода разрубочная MGprof 70535 450 мм белая,3879,RUB,Да,,Профоборудование,Нейтральное,Столы разрубочные,https://entero.ru/item/329776,"<p>Настольная разрубочная колода <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/329776""><b class=""b"">MGprof 70535 </b></a>используется на предприятиях общественного питания и торговли для заготовки мясной кулинарии: нарезки антрекотов, шницелей и других полуфабрикатов, а также обработки мяса птицы и рыбы. Изделие выполнено из высококачественного полипропилена. </p>",329776,450 мм,450 мм,50 мм,,,,0,,,,,,полипропилен
https://cdn.entero.ru/mp@2x/c2/10/c210a5b5e3d755781775a36d95c7506a.jpg,Стол-колода ПищТех 600х500х850,Стол-колода ПищТех 600х500х850,31035,RUB,Да,ПищТех,Профоборудование,Нейтральное,Столы разрубочные,https://entero.ru/item/294178,"<p>Стол-колода <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/294178""><b class=""b"">ПищТех</b></a> используется на предприятиях общественного питания и торговли для удобства при нарубке большого количества мяса. Модель оснащена ножками, регулирующимися по высоте. Каркас выполнен из квадратной трубы 40х40 мм из нержавеющей стали AISI 304, столешница - из полипропилена.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Толщина столешницы: 50 мм</li>
</ul>",294178,600 мм,500 мм,850 мм,,,,0,https://entero.ru/manuals/357072/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%9F%D0%B8%D1%89%D0%A2%D0%B5%D1%85%20600%D1%85500%D1%85850.pdf;https://entero.ru/manuals/424744/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%9F%D0%B8%D1%89%D0%A2%D0%B5%D1%85.pdf,,26 кг,,Россия,полипропилен
https://cdn.entero.ru/mp@2x/ab/f0/abf056a33647b1ce12ddd71daf96c478.jpg,Колода разрубочная ПищТех 500х400х150 мм (бук) настольная,Колода разрубочная ПищТех 500х400х150 мм (бук) настольная,0,RUB,Нет,ПищТех,Профоборудование,Нейтральное,Столы разрубочные,https://entero.ru/item/279187,"<p>Настольная разрубочная колода <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/279187""><b class=""b"">ПищТех 500х400х150 мм</b></a> используется на предприятиях общественного питания и торговли для обработки мясного сырья и заготовки кулинарии: нарезки антрекотов, шницелей и других полуфабрикатов. Модель оснащена рукояткой для удобства транспортировки. Корпус выполнен из промасленного бука.</p>",279187,500 мм,400 мм,150 мм,,,,0,https://entero.ru/manuals/424739/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BF%D0%BE%20%D1%83%D1%85%D0%BE%D0%B4%D1%83.pdf;https://entero.ru/manuals/424740/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%9F%D0%B8%D1%89%D0%A2%D0%B5%D1%85.pdf,,,,Россия,дерево
https://cdn.entero.ru/mp@2x/f5/14/f514df074bf97c233cda5cb892e19215.jpg,"Колода разрубочная Luxstahl 400-500 мм сварная, подставка, дуб","Колода разрубочная Luxstahl 400-500 мм сварная, подставка, дуб",9250,RUB,Нет,Luxstahl,Профоборудование,Нейтральное,Столы разрубочные,https://entero.ru/item/273429,"<p>Разрубочная колода <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/273429""><b class=""b"">Luxstahl 400-500 мм</b></a> используется на предприятиях общественного питания и торговли для заготовки мясной кулинарии: нарезки антрекотов, шницелей и других полуфабрикатов, а также обработки мяса птицы и рыбы. Изделие выполнено из древесины твердой породы дуба.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Боковая поверхность колоды цилиндрована и пропитана пищевым парафином</li>
<li>Колода разрубочная имеет естественную влажность (30-60%), поэтому допускаются трещины различной длины (ширины не более 3-4 мм)</li>
</ul>

<p><b>Условия хранения и эксплуатации:</b></p>

<ul>
<li>Хранить (без использования) в прохладном темном месте не более 1 месяца</li>
<li>При эксплуатации колоду следует ежедневно обливать холодной водой и посыпать рабочую поверхность солью</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр: 400-500 мм</li>
<li>Высота без подставки: 500 мм</li>
<li>Высота подставки: 300 мм</li>
</ul>",273429,550 мм,550 мм,800 мм,90 кг,1,600x605x850 мм,0,,,,,Россия,дерево
https://cdn.entero.ru/mp@2x/f4/f9/f4f989bd295edbaf42e303306864ffda.jpg,Колода разрубочная ATESY КР-Л-500-650-02-Д,КР-Л-500-650-02-Д (КР-500/800),60709,RUB,Нет,ATESY,Профоборудование,Нейтральное,Столы разрубочные,https://entero.ru/item/130530,"<p>Разрубочная колода <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/130530"">ATESY КР-Л-500-650-02-Д</a></b> используется на предприятиях общественного питания и торговли для заготовки мясной кулинарии: нарезки антрекотов, шницелей и других полуфабрикатов, а также обработки мяса птицы и рыбы. Каркас выполнен из нержавеющей трубы AISI 304 диаметром 50 мм, колода - из натурального бука путем склейки калиброванных деревянных брусков, опорные ножки каркаса - из пластика.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Склейка калиброванных деревянных брусков предотвращает коробление</li>
<li>Поверхность промаслена растительным маслом для исключения ее рассыхания</li>
<li>Усилена 6 продольными шпильками (по 3 в каждом направлении)</li>
<li>Полоса нержавеющей стали, стягивающая колоду по периметру, увеличивает ее прочность</li>
<li>Все кромки каркаса имеют подгиб, что полностью исключает возможность получения травмы персоналом при эксплуатации и санитарной обработке</li>
<li>Сварной каркас</li>
</ul>

<p><strong>Характеристики:</strong></p>

<ul>
<li>Размеры колоды: 500х500х150 мм</li>
<li>Размер профиля ножек: 50 мм</li>
</ul>",130530,650 мм,650 мм,700 мм,48 кг,1,710x580x800 мм,0,https://entero.ru/manuals/282261/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20ATESY%202021.pdf,63239,46 кг,,Россия,дерево
https://cdn.entero.ru/mp@2x/3e/b6/3eb644d5b3e7d5fd13312163822be2dc.jpg,Стол-колода ПищТех 500х500х850 полипропилен,Стол-колода ПищТех 500х500х850 полипропилен,28014,RUB,Нет,ПищТех,Профоборудование,Нейтральное,Столы разрубочные,https://entero.ru/item/315130,"<p>Стол-колода <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/315130""><b class=""b"">ПищТех 500х500х850</b></a> используется на предприятиях общественного питания и торговли для удобства при нарубке большого количества мяса. Модель оснащена регулируемыми по высоте ножками. Каркас выполнен из квадратной трубы 40х40 мм из нержавеющей стали AISI 304, столешница - из полипропилена.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина столешницы: 50 мм</li>
<li>Толщина металла: 1,2 мм</li>
</ul>",315130,500 мм,500 мм,850 мм,,,,0,https://entero.ru/manuals/378906/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%9F%D0%B8%D1%89%D0%A2%D0%B5%D1%85%20500%D1%85500%D1%85850.pdf;https://entero.ru/manuals/424741/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%9F%D0%B8%D1%89%D0%A2%D0%B5%D1%85.pdf,29181,22.5 кг,,Россия,полипропилен
https://cdn.entero.ru/mp@2x/f3/d6/f3d6f5c668512304e263e3e791b21219.jpg,Стол-колода ПищТех 500х500х700 бук,Стол-колода ПищТех 500х500х700 бук,29074,RUB,Нет,ПищТех,Профоборудование,Нейтральное,Столы разрубочные,https://entero.ru/item/315126,"<p>Стол-колода <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/315126""><b class=""b"">ПищТех 500х500х700</b></a> используется на предприятиях общественного питания и торговли для удобства при нарубке большого количества мяса. Модель оснащена регулируемыми по высоте ножками. Каркас выполнен из квадратной трубы 40х40 мм нержавеющей стали AISI 304, столешница - из натурального бука (путем склейки калиброванных брусков).</p>

<p><b>Особенности:</b></p>

<ul>
<li>Склейка брусков предотвращает коробление</li>
<li>Поверхность промаслена растительным маслом для исключения рассыхания</li>
<li>Столешница усилена 6 продольными шпильками (по 3 в каждом направлении)</li>
<li>Все кромки каркаса имеют подгиб, что полностью исключает возможность получения травмы персоналом</li>
<li>Разборный каркас</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина столешницы: 150 мм</li>
</ul>",315126,500 мм,500 мм,700 мм,,,,0,https://entero.ru/manuals/378901/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%9F%D0%B8%D1%89%D0%A2%D0%B5%D1%85%20500%D1%85500%D1%85700%20%D0%B1%D1%83%D0%BA.pdf;https://entero.ru/manuals/424745/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%9F%D0%B8%D1%89%D0%A2%D0%B5%D1%85.pdf,,34 кг,,Россия,дерево
https://cdn.entero.ru/mp@2x/5b/64/5b64fb8444f21190a6fcfc2296292528.jpg,Стол-колода ПищТех 500х500х850 бук,Стол-колода ПищТех 500х500х850 бук,24357,RUB,Нет,ПищТех,Профоборудование,Нейтральное,Столы разрубочные,https://entero.ru/item/315129,"<p>Стол-колода <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/315129""><b class=""b"">ПищТех 500х500х850</b></a> используется на предприятиях общественного питания и торговли для удобства при нарубке большого количества мяса. Модель оснащена регулируемыми по высоте ножками. Каркас выполнен из квадратной трубы 40х40 мм из нержавеющей стали AISI 304, столешница - из бука.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина столешницы: 50 мм</li>
<li>Толщина металла: 1,2 мм</li>
</ul>",315129,500 мм,500 мм,850 мм,,,,0,https://entero.ru/manuals/378905/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%9F%D0%B8%D1%89%D0%A2%D0%B5%D1%85%20500%D1%85500%D1%85850.pdf;https://entero.ru/manuals/424743/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%9F%D0%B8%D1%89%D0%A2%D0%B5%D1%85.pdf,25639,20 кг,,Россия,дерево
https://cdn.entero.ru/mp@2x/8e/a1/8ea13f5bd2776012b2df7649ba724b03.jpg,Колода разрубочная ТММ КР 500/500,КР-500 500x500x870,35195,RUB,Нет,ТММ,Профоборудование,Нейтральное,Столы разрубочные,https://entero.ru/item/82746,"<p>Разрубочная колода <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/82746"">ТММ КР 500/500</a> </b>предназначена для нарубки или нарезания мяса на порционные куски, заготовки и полуфабрикаты на предприятиях общественного питания и торговли. Модель полностью выполнена из нержавеющей стали.</p>

<p>Возможно изготовление по чертежам и эскизам.</p>",82746,500 мм,500 мм,870 мм,,,,0,,37047,,,Россия,полипропилен
https://cdn.entero.ru/mp@2x/b1/56/b156d0a30986f74d6b8283b87a38f8c0.jpg,Колода разрубочная Техно-ТТ СП-422/605,СП422/605,87486,RUB,Нет,Техно-ТТ,Профоборудование,Нейтральное,Столы разрубочные,https://entero.ru/item/54882,"<p>Разрубочная колода <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/54882"">Техно-ТТ СП-422/605</a></b> предназначена для разделки мяса и рыбы в цехах на предприятиях общественного питания и торговли. Модель оснащена обвязкой и регулируемыми по высоте ножками, что позволяет компенсировать неровности пола. Сварной каркас выполнен из полой трубы квадратного сечения 40х40 мм из нержавеющей стали AISI 304 толщиной 1,2 мм, столешница - из полипропилена толщиной 60 мм.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Объем упаковки: 0,26 м<sup>3</sup></li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",54882,600 мм,500 мм,850 мм,,,,0,https://entero.ru/manuals/77891/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20%D0%A2%D0%B5%D1%85%D0%BD%D0%BE-%D0%A2%D0%A2%20%D0%A1%D0%9F-422_605.doc;https://entero.ru/manuals/100586/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%A2%D0%B5%D1%85%D0%BD%D0%BE-%D0%A2%D0%A2.pdf,,64 кг,,Россия,полипропилен
