Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Температурный режим,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Производительность,Подключение,Диаметр пиццы
https://cdn.entero.ru/mp@2x/94/b0/94b06e5f3dbd3e5a88627e3fc093f16d.jpg;https://cdn.entero.ru/mp@2x/c2/5d/c25dd81c38c14bdac0991718ef79184d.jpg,Печь конвейерная OEM-ALI HV45E,VENTILATI HENERGO-45 / HV45E(07008),751278,RUB,Да,OEM-ALI,Профоборудование,Тепловое,Печи конвейерные,https://entero.ru/item/34097,"<p>Однокамерная конвейерная печь <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/34097"">OEM-ALI HV45E</a></b> полностью изготовлена из нержавеющей стали AISI 304. Модульная конструкция позволяет производить наращивание до 3-х секций с раздельным включением каждой. Конвейер движется в одном направлении (справа налево относительно панели управления). Скорость движения конвейера зависит от программируемого времени. </p>

<p>Удлинитель конвейера W8P7610 входит в комплект поставки. Дополнительно поставляются: OMW8P7010 (роликовый удлинитель конвейера), OMW8P9710 (боковой консольный стол для фронтальной загрузки), OMSU353 (стенд из нержавеющей стали), OMSU350 (стенд с полимерно-порошковой окраской), OMAC220R0 (комплект колес, 2 с блокировкой).</p>

<p><b>Особенности</b></p>

<ul>
<li>Производительность в час: 38 пицц диаметром 35 см / 18 пицц диаметром 45 см</li>
<li>Электромеханическая панель управления с системой уменьшения тепловых потерь </li>
<li>Система направленного конвективного нагрева IMPIGNER позволяет перераспределять тепловые потоки между подом и верхом камеры без разборки и регулировки</li>
<li>Улучшенная теплоизоляция</li>
<li>Программируемое время выпечки: от 30 секунд до 30 минут с цифровым таймером</li>
<li>Широкая дверь для обслуживания и очистки</li>
<li>Низкий уровень шума</li>
<li>Возможность остановки конвейера для продолжительной выпечки или выпечки с загрузкой через фронтальную дверь</li>
<li>Четыре комбинации тепловых потоков</li>
<li>Точная настройка температуры</li>
<li>LED индикатор температуры</li>
<li>Внутренние размеры камеры (ШхГхВ): 750х470х90 мм</li>
<li>Размеры конвейера: 1250х450 мм</li>
</ul>",34097,400 °С,9.5 кВт,1250 мм,1040 мм,485 мм,,Италия,,,0,,816607,https://vk.com/video_ext.php?oid=-177656185&id=456240713&hd=2&autoplay=0,129 кг,18 пицц в час,380 В,45 см
https://cdn.entero.ru/mp@2x/b3/f8/b3f8d45288a3627883a44b87f46baada.jpg,Печь конвейерная для пиццы Venarro ANNATOLI DYK-1610E,Печь конвейерная для пиццы Venarro ANNATOLI DYK-1610E,780875,RUB,Да,,Профоборудование,Тепловое,Печи конвейерные,https://entero.ru/item/255767,"<p>Конвейерная печь <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/255767"">Venarro ANNATOLI DYK-1610E</a> </b>предназначена для выпечки пиццы на предприятиях общественного питания и торговли. Модель оснащена электронным управлением с сенсорным экраном. Корпус выполнен из нержавеющей стали. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Микропроцессорное (ПЛК) программирование</li>
<li>Возможность ручного управления</li>
<li>Гомогенное приготовление</li>
<li>Простота в эксплуатации</li>
<li>Низкое энергопотребление</li>
</ul>

<p><b>Дополнительные характеристики: </b></p>

<ul>
<li>Интервал времени приготовления: от 1 до 60 мин.</li>
<li>Длина транспортера: 610 мм</li>
<li>Габариты рабочей камеры: 660x950x160 мм </li>
</ul>",255767,,23 кВт,2100 мм,1150 мм,1400 мм,278.4 кг,Турция,1,2520x1380x1680 мм,0,,821974,,232 кг,90 пицц в час,380 В,
https://cdn.entero.ru/mp@2x/4d/fa/4dfad1328ab99834caaff84797f6999b.jpg;https://cdn.entero.ru/mp@2x/e0/57/e05749d2b944eb962b0623f0dd1d9538.jpg,Печь конвейерная для пиццы ITPIZZA T50 TS,Печь конвейерная для пиццы ITPIZZA T50 TS,870496,RUB,Да,ITPIZZA,Профоборудование,Тепловое,Печи конвейерные,https://entero.ru/item/353832,"<p>Конвейерная печь <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/353832"">ITPIZZA T50 TS</a></b> используется на предприятиях общественного питания и торговли. Модель оснащена сенсорной панелью управления, регулирующей время включения и выключения, скорость и направление движения конвейера, температуру верхних и нижних ТЭНов. Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входит подставка.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Смотровое окошко для контроля процесса приготовления</li>
<li>Дверца обеспечивает удобный доступ в камеру, что облегчает процесс очистки</li>
<li>Температура внешней поверхности печи не превышает 40°C, что убережет операторов от травм и ожогов</li>
<li>Есть возможность установки одного модуля на другой (максимум 3 яруса)</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вес пиццы: 390 г</li>
<li>Размер камеры: 500x750x100 мм</li>
<li>Высота печи без подставки: 500 мм</li>
</ul>",353832,350 °С,14.2 кВт,1860 мм,1210 мм,1030 мм,318 кг,Италия,1,2035x1435x790 мм,0,https://entero.ru/manuals/445764/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ITPIZZA%20T50%20TS.pdf,926060,,255 кг,43 пицц в час,380 В,32 см
https://cdn.entero.ru/mp@2x/11/3f/113f506169dd750c8d05879f6f8eecea.jpg;https://cdn.entero.ru/mp@2x/b3/d3/b3d3d8987f37ee85c3db55939d05a6d8.jpg;https://cdn.entero.ru/mp@2x/f0/24/f024fbc6fdc6217f7b8b956e76836da8.jpg,Печь конвейерная Kocateq EPCV24/80,Печь конвейерная Kocateq EPCV24/80,1004124,RUB,Да,Kocateq,Профоборудование,Тепловое,Печи конвейерные,https://entero.ru/item/296070,"<p>Конвейерная печь<a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/296070""><b class=""b""> Kocated EPCV24/80</b></a> предназначена для выпекания пиццы и приготовления тостов, плоских батонов, хлеба и лазаньи на предприятиях общественного питания и торговли, в пекарнях и кондитерских. Модель оснащена одной камерой с большим смотровым окном, цифровой панелью управления и термостатом для регулировки температуры. Конвейер выполнен из проволоки нержавеющей стали.</p>

<p><b><span style=""color:#FF0000;"">Внимание! Стенд в комплект поставки не входит и приобретается отдельно!</span></b></p>

<p><b>Особенности:</b></p>

<ul>
<li>Конвекционный нагрев</li>
<li>Технология Impinger - принудительная циркуляция воздуха в камере через сопла над и под конвейером</li>
<li>Регулировка скорости движения конвейера</li>
<li>Изменение направления движения конвейера</li>
<li>Печь может устанавливаться в 2 и 3 яруса</li>
<li>Режим экономии электроэнергии</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Время разогрева до рабочей тепературы: не более 12 мин.</li>
<li>Длина камеры: 940 мм</li>
<li>Ширина конвейера: от 800 до 1000 мм</li>
<li>Размер конвейера: 1810х800 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Стенд</li>
</ul>",296070,от 0 до 300 °С,24 кВт,1960 мм,1515 мм,600 мм,,Ю. Корея,,,0,https://entero.ru/manuals/358094/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Kocateq.pdf;https://entero.ru/manuals/358096/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,1056973,,,120 пицц в час,380 В,23 см
https://cdn.entero.ru/mp@2x/3c/af/3caf79f27771a884c7143a2d75f97625.jpg;https://cdn.entero.ru/mp@2x/e0/0f/e00fb7db2d151e4ee52f50b97e64d353.jpg;https://cdn.entero.ru/mp@2x/e7/46/e746c2949ed375dbb2deaed428291d2b.jpg;https://cdn.entero.ru/mp@2x/ad/b3/adb31192e4bd354c9eff9cd47a040413.jpg,Печь для пиццы RoboLabs RoboChef RC800M Deluxe,Печь для пиццы RoboLabs RoboChef RC800M Deluxe,1020000,RUB,Да,RoboLabs,Профоборудование,Тепловое,Печи конвейерные,https://entero.ru/item/346750,"<p>Конвейерная печь <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/346750""><b class=""b"">RoboLabs RoboChef RC800M Deluxe</b></a> предназначена для выпечки пиццы на предприятиях общественного питания и торговли. Модель оснащена электронным управлением и цветным сенсорным экраном 4,3”. Корпус выполнен из нержавеющей стали AISI 430.</p>

<p>Высокая производительность печи достигается благодаря применению импинджментной системы подвода тепла к продукту (jet impingement flow). Импинджментный подвод тепла к продукту осуществляется направлением нагретого ТЭНами потока горячего воздуха через 445 небольших сопел, расположенных над и под конвейерной сеткой. Благодаря эффекту удара горячего воздуха о продукт обеспечивается очень быстрый теплообмен между горячим воздухом и продуктом, в разы быстрее, чем при традиционном инфракрасном или конвекционном способе подвода тепла, а за счет движения продукта конвейером обеспечивается идеальная равномерность нагрева. </p>

<p>В комплект поставки входят 2 скрина для пиццы 30 см и 2 скрина для пиццы 35 см.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Интеллектуальное управление, позволяющее поддерживать равномерную температуру по всей площади камеры</li>
<li>Блок управления установлен по правую сторону</li>
<li>Возможность эксплуатации конвейерной ленты как слева направо, так и справа налево</li>
<li>Возможность установки до 3 печей друг на друга</li>
<li>Полностью разборная конструкция: удобство технического обслуживания</li>
<li>Улучшенная заводская упаковка</li>
<li>Пуско-наладка от Naladil.ru включена в стоимость</li>
<li>Увеличенная гарантия</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность:
<ul>
<li>Пицца 40 см: 70 шт/час</li>
<li>Пицца 30 см: 130 шт/час</li>
<li>Римская пицца 20х30 см: 200 шт/час</li>
</ul>
</li>
<li>Время прохождения: до 30 мин</li>
<li>Энергопотребление в режиме ожидания при температуре в камере 280°C: 11 кВт/час</li>
<li>Ширина конвейерной ленты: 800 мм</li>
<li>Длина рабочей камеры: 1000 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Подставка <a href=""https://entero.ru/item/150396"" target=""_blank"">RL907022</a> </li>
<li>Верхняя крышка <a href=""https://entero.ru/item/150397"" target=""_blank"">RL907021</a></li>
<li>Вытяжной зонт <a href=""https://entero.ru/item/150394"" target=""_blank"">RL907023</a></li>
</ul>",346750,от 0 до 315 °С,27.8 кВт,1920 мм,1600 мм,535 мм,393 кг,Россия,1,1865x1985x1855 мм,0,https://entero.ru/manuals/510972/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20RoboLabs%20RoboChef%20RC800M%20Deluxe.pdf;https://entero.ru/manuals/502797/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,1096774,,300 кг,от 70 до 130 пицц в час,380 В,от 30 до 40 см
https://cdn.entero.ru/mp@2x/54/52/545206a508b210281d859f3c57a5e988.jpg;https://cdn.entero.ru/mp@2x/af/40/af40f018d96a056f9870ddb62e843f82.jpg;https://cdn.entero.ru/mp@2x/0d/46/0d46cd3336b0f95351ceabfc5aa21f81.jpg,Печь конвейерная Zanolli Synthesis 11/65 VE,Печь конвейерная Zanolli Synthesis 11/65 VE,1351480,RUB,Нет,Zanolli,Профоборудование,Тепловое,Печи конвейерные,https://entero.ru/item/168836,"<p>Конвейерная печь <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/168836"">Zanolli Synthesis 11/65 VE</a></b> используется для приготовления пиццы, запеченных на гриле овощей, фаст-фуда и выпечки на предприятиях общественного питания, а также в производственных цехах, деятельность которых связана с выпуском гастрономических товаров.</p>

<p>Агрегат является частью первой линии запатентованных вентилируемых конвейерных печей. Устройство очень просто и удобно в использовании: достаточно подготовить продукты, установить необходимую температуру приготовления и задать скорость движения конвейера при помощи цифровой панели управления и поместить продукты на конвейерную ленту. Оператору не потребуется тратить время на контроль процесса приготовления - печь сама позаботится об этом, предотвратив подгорание помещенных в нее блюд. Конструкция прибора позволяет устанавливать печи друг на друга, тем самым экономя пространство кухни и делая его более функциональным.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность:
<ul>
<li>Пицца Ø25 см (230 гр.): от 135 до 155 шт./час</li>
<li>Пицца Ø30 см (330 гр.): от 90 до 120 шт./час</li>
<li>Пицца Ø35 см (450 гр.): от 70 до 90 шт./час</li>
<li>Пицца Ø40 см (585 гр.): от 40 до 50 шт./час</li>
<li>Пицца Ø45 см (740 гр.): от 30 до 35 шт./час</li>
<li>Пицца Ø50 см (915 гр.): от 20 до 25 шт./час</li>
</ul>
</li>
<li>Время приготовления:
<ul>
<li>Пицца Ø25 см (230 гр.): от 3,5 до 4 мин.</li>
<li>Пицца Ø30 см (330 гр.): от 3,5 до 4,5 мин.</li>
<li>Пицца Ø35 см (450 гр.): от 3,5 до 4,5 мин.</li>
<li>Пицца Ø40 см (585 гр.): от 4 до 5 мин.</li>
<li>Пицца Ø45 см (740 гр.): от 4,5 до 5,5 мин.</li>
<li>Пицца Ø50 см (915 гр.): от 5 до 6 мин.</li>
</ul>
</li>
<li>Внутренний размер камеры: 650х1100х100 мм</li>
</ul>

<p> </p>

<p><em><span style=""color:#FF0000;"">Внимание! Изображение товара может отличаться от оригинала и представлено в ознакомительных целях.</span></em></p>",168836,320 °С,18.5 кВт,1400 мм,2000 мм,550 мм,,Италия,,,0,https://entero.ru/manuals/194831/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20%D0%BA%D0%BE%D0%BD%D0%B2%D0%B5%D0%B9%D0%B5%D1%80%D0%BD%D1%8B%D0%B5%20%D0%BF%D0%B5%D1%87%D0%B8%20Zanolli%20Synthesis%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,1469000,,222 кг,от 20 до 155 пицц в час,380 В,от 25 до 50 см
https://cdn.entero.ru/mp@2x/b9/0f/b90f1a813bae86e6c79acefaa33eccb3.jpg,Печь конвейерная Hurakan HKN-SYN7/50,Печь конвейерная Hurakan HKN-SYN7/50,86712,RUB,Нет,Hurakan,Профоборудование,Тепловое,Печи конвейерные,https://entero.ru/item/202519,"<p>Конвейерная печь <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/202519"">Hurakan HKN-SYN7/50</a></b> используется на предприятиях общественного питания и торговли для приготовления пиццы. </p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размеры камеры: 530x378x71 мм</li>
<li>Ширина конвейера: 350 мм</li>
<li>Габариты в упаковке: 1150x620x410 мм</li>
</ul>",202519,от 50 до 300 °С,6.7 кВт,1100 мм,570 мм,360 мм,65 кг,Китай,1,1150x620x410 мм,0,https://entero.ru/manuals/416664/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-SYN7_50.docx;https://entero.ru/manuals/300137/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/483873/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-SYN7_50.pdf,,,60 кг,,220 В,30 см
https://cdn.entero.ru/mp@2x/77/47/77474dda4ef97ff9e17da030f04ded9c.jpg,Печь конвейерная конвекционная OEM-ALI HV 75/1 MET,OM07102,0,RUB,Нет,OEM-ALI,Профоборудование,Тепловое,Печи конвейерные,https://entero.ru/item/198376,"<p>Конвекционная конвейерная печь <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/198376"">OEM-ALI HV 75/1 MET</a></b> предназначена для выпечки пиццы на предприятиях общественного питания и торговли. Модель оснащена цифровой панелью управления с возможностью оперативного регулирования тепловых потоков верха и пода камеры. Камера выполнена из нержавеющей стали AISI 304.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Контроллер с записью программ выпечки</li>
<li>Движение конвейера слева направо</li>
<li>Режим самодиагностики</li>
<li>Функция самоочистки</li>
<li>2 скорости вращения вентилятора</li>
<li>Кнопка остановки конвейера</li>
<li>Широкая дверь</li>
<li>Двойное смотровое стекло</li>
<li>Простая очистка</li>
<li>Специальная теплоизоляция</li>
</ul>

<p><b>Дополнительные характеристики: </b></p>

<ul>
<li>Производительность:
<ul>
<li>Пицца Ø30-35 см: 110 шт/час</li>
<li>Пицца Ø45-50 см: 43 шт/час</li>
<li>Противень 60х40 см: 21 шт/час</li>
</ul>
</li>
<li>Установка времени прохождения конвейера через камеру: от 1 до 30 мин.</li>
<li>Ширина конвейера: 750 мм</li>
<li>Внутренний размер камеры: 750х1100х120 мм</li>
<li>Напряжение: 220 Вт</li>
<li>Уровень шума: 65 дб</li>
<li>Габариты в упаковке: 1550x2170x860 мм</li>
</ul>",198376,от 0 до 400 °С,0.5 кВт,2130 мм,1500 мм,605 мм,,Италия,,,0,https://entero.ru/manuals/231110/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20OEM-ALI%20HV%2075_1%20MET.pdf;https://entero.ru/manuals/231111/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,366 кг,,газ,от 30 до 50 см
https://cdn.entero.ru/mp@2x/85/45/8545d01e0009eecdf2a6b65a7a6ae803.jpg,Печь конвейерная для пиццы Mr.Pocket HEP-18,Печь конвейерная для пиццы Mr.Pocket HEP-18,0,RUB,Нет,Mr.Pocket,Профоборудование,Тепловое,Печи конвейерные,https://entero.ru/item/316538,"<p>Конвейерная печь <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/316538""><b class=""b"">Mr.Pocket HEP-18 </b></a>предназначена для выпекания запеканок и пиццы на предприятиях общественного питания и торговли. Модель оснащена панелью управления, позволяющей регулировать скорость конвейера, время включения и выключения, температуру верхних и нижних ТЭНов на панели управления, конвейером и лотком для хранения выпечки. Корпус выполнен из нержавеющей стали.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Внутренние размеры: 800x550x110 мм</li>
<li>Ширина конвейера: 504 мм</li>
<li>Мощность:
<ul>
<li>Мотор: 0,53 кВт</li>
<li>Вентилятор: 0,038+0,02 кВт</li>
</ul>
</li>
<li>Скорость вращения мотора: от 2 до 10 об/мин.</li>
</ul>

<p><b>​​</b></p>",316538,от 50 до 300 °С,,1560 мм,735 мм,420 мм,,Китай,,,0,,,,,,380 В,
https://cdn.entero.ru/mp@2x/1c/2b/1c2b2745b8c63e42c12db9e9c87e1103.jpg,Печь для пиццы Pizza Group TNV-50E,Печь для пиццы Pizza Group TNV-50E,0,RUB,Нет,Pizza Group,Профоборудование,Тепловое,Печи конвейерные,https://entero.ru/item/303636,"<p>Конвейерная печь <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/303636"">Pizza Group TNV-50E</a></b> предназначена для выпечки пиццы на предприятиях общественного питания и торговли. Модель оснащена электронным упарвлением и дверцей со смотровым окном. Под выполнен из стальной сетки.</p>

<p><b class=""o""><a href=""https://entero.ru/item/303639"" target=""_blank"">Подставка</a> в комплект поставки не входит и приобретается отдельно.</b></p>

<p><b>Дополнительные характеристики: </b></p>

<ul>
<li>Размер рабочей камеры: 500х850x90 мм</li>
</ul>",303636,,13.8 кВт,1790 мм,1210 мм,530 мм,,Италия,,,0,,,,164 кг,60 пицц в час,380 В,30 см
https://cdn.entero.ru/mp@2x/3c/8f/3c8f67c84deec302891a06647da58f6b.jpg;https://cdn.entero.ru/mp@2x/4d/be/4dbe7baf15af55db2e4035a69c06fc92.jpg;https://cdn.entero.ru/mp@2x/8c/f7/8cf748fbf4bd8bad67e5a3e7a785312f.jpg;https://cdn.entero.ru/mp@2x/6b/d4/6bd43aee3c46a41f7cd57e0859339273.jpg,Печь конвейерная Zanolli Synthesis 12/80 VE,Synthesis 12 80 VE,0,RUB,Нет,Zanolli,Профоборудование,Тепловое,Печи конвейерные,https://entero.ru/item/107769,"<p>Конвейерная печь <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/107769""><b class=""b"">Zanolli Synthesis 06/40 VE</b></a> используется для приготовления пиццы, запеченных на гриле овощей, фаст-фуда и выпечки на предприятиях общественного питания, а также в производственных цехах, деятельность которых связана с выпуском гастрономических товаров.</p>

<p>Агрегат является частью первой линии запатентованных вентилируемых конвейерных печей. Устройство очень просто и удобно в использовании: достаточно подготовить продукты, установить необходимую температуру приготовления и задать скорость движения конвейера при помощи цифровой панели управления и поместить продукты на конвейерную ленту. Оператору не потребуется тратить время на контроль процесса приготовления - печь сама позаботится об этом, предотвратив подгорание помещенных в нее блюд. Конструкция прибора позволяет устанавливать печи друг на друга, тем самым экономя пространство кухни и делая его более функциональным.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность:
<ul>
<li>Пицца Ø25 см (230 гр.): от 200 до 220 шт./час</li>
<li>Пицца Ø30 см (330 гр.): от 120 до 155 шт./час</li>
<li>Пицца Ø35 см (450 гр.): от 90 до 110 шт./час</li>
<li>Пицца Ø40 см (585 гр.): от 70 до 90 шт./час</li>
<li>Пицца Ø45 см (740 гр.): от 40 до 50 шт./час</li>
<li>Пицца Ø50 см (915 гр.): от 30 до 35 шт./час</li>
</ul>
</li>
<li>Время приготовления:
<ul>
<li>Пицца Ø25 см (230 гр.): от 3,5 до 4 мин.</li>
<li>Пицца Ø30 см (330 гр.): от 3,5 до 4,5 мин.</li>
<li>Пицца Ø35 см (450 гр.): от 3,5 до 4,5 мин.</li>
<li>Пицца Ø40 см (585 гр.): от 4 до 5 мин.</li>
<li>Пицца Ø45 см (740 гр.): от 4,5 до 5,5 мин.</li>
<li>Пицца Ø50 см (915 гр.): от 5 до 6 мин.</li>
</ul>
</li>
<li>Внутренний размер камеры: 800х1200х100 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",107769,320 °С,24.9 кВт,1650 мм,2180 мм,600 мм,,Италия,,,0,https://entero.ru/manuals/99744/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20%D0%BA%D0%BE%D0%BD%D0%B2%D0%B5%D0%B9%D0%B5%D1%80%D0%BD%D1%8B%D0%B5%20%D0%BF%D0%B5%D1%87%D0%B8%20Zanolli%20Synthesis%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,,,295 кг,от 30 до 220 пицц в час,380 В,от 25 до 50 см
https://cdn.entero.ru/mp@2x/1e/6f/1e6f2186788eaeb1f5ba1da135ff1c88.jpg,Печь конвейерная для пиццы RoboLabs RoboChef 460,179543,485835,RUB,Нет,RoboLabs,Профоборудование,Тепловое,Печи конвейерные,https://entero.ru/item/186311,"<p>Конвейерная печь <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/186311""><b class=""b"">ТТМ RoboChef 460</b></a> предназначена для выпечки пиццы на предприятиях общественного питания и торговли. Модель оснащена электронным управлением с сенсорным цветным экраном. Корпус выполнен из нержавеющей стали AISI 430.</p>

<p>Подставка, крышка для печи и вытяжной зонт в комплект поставки не входят и приобретаются отдельно.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Интеллектуальное управление, позволяющее поддерживать равномерную температуру по всей площади камеры</li>
<li>Регулировка температуры и времени приготовления</li>
<li>Блок управления справа</li>
<li>Возможность установки конвейерной ленты и справа налево, и слева направо</li>
<li>Возможность установки печей в несколько ярусов</li>
<li>Разборная конструкция</li>
</ul>

<p><b>Дополнительные характеристики: </b></p>

<ul>
<li>Время прохождения камеры: 30 мин.</li>
<li>Ширина конвейера: 460 мм</li>
<li>Длина рабочей камеры: 810 мм</li>
<li>Габариты в упаковке: 1305x1790x705 мм</li>
</ul>

<p><br>
<em>* Производительность указана для пицц диаметром 400 мм.</em></p>",186311,315 °С,14.7 кВт,1730 мм,1125 мм,544 мм,,Россия,,,0,https://entero.ru/manuals/349097/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20RoboLabs%20RoboChef%20460.pdf;https://entero.ru/manuals/502800/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,528082,,114 кг,,380 В,от 25 до 40 см
https://cdn.entero.ru/mp@2x/ce/bb/cebb0eb0da49bf23a366a1f56e7e7768.jpg,Печь конвейерная Zanolli Synthesis 05/40 VE COMPACT/MC DIG,Печь конвейерная Zanolli Synthesis 05/40 VE COMPACT/MC DIG,528390,RUB,Нет,Zanolli,Профоборудование,Тепловое,Печи конвейерные,https://entero.ru/item/264294,"<p>Конвейерная печь <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/264294"">Zanolli Synthesis 05/40 VE COMPACT/MC DIG</a></b> используется для непрерывного приготовления пиццы, фаст-фуда и выпечки на предприятиях общественного питания, а также в производственных цехах, деятельность которых связана с выпуском гастрономических товаров. Печь оснащена цифромым пультом управления и ножками.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Самая компактная конвейерная печь из ряда Zanolli</li>
<li>Поток горячего воздуха обеспечивает равномерное распределение тепла</li>
<li>Пицца выпекается при более низкой температуре, чем в обычных печах</li>
<li>Экономия электроэнергии</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Внутренний размер камеры: 400х570х90 мм</li>
</ul>",264294,320 °С,6.3 кВт,1270 мм,800 мм,390 мм,,Италия,,,0,,550406,,70 кг,от 25 до 30 пицц в час,380 В,30 см
