Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Назначение,Вес (с упаковкой),Количество емкостей,Объем емкости
https://cdn.entero.ru/mp@2x/21/f7/21f7be990abff36d691bd9d59d7b7b79.jpg,Диспенсер для сока VIATTO SJD08AA,Диспенсер для сока VIATTO SJD08AA,6441,RUB,Да,VIATTO,Профоборудование,Для баров,Диспенсеры для напитков,https://entero.ru/item/156954,"<p>Диспенсер для сока <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/156954"">VIATTO SJD08AA</a></b> используется на предприятиях общественного питания и торговли, а также при выездном обслуживании для порционного розлива сока и других холодных напитков. Корпус выполнен из нержавеющей стали, емкость - из прозрачного поликарбоната.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 480х280х315 мм</li>
</ul>",156954,265 мм,350 мм,580 мм,4 кг,1,480x280x315 мм,22,https://entero.ru/manuals/408945/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BF%D0%BE%20%D1%81%D0%B1%D0%BE%D1%80%D0%BA%D0%B5.pdf;https://entero.ru/manuals/525589/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,3 кг,,Китай,для холодных напитков,,1,8 л
https://cdn.entero.ru/mp@2x/08/ea/08ea38e5e3fe0cab94273bc12d16c36d.jpg,Диспенсер для холодных напитков P.L. Proff Cuisine X23688T / JQ-CD049 8 л,X23688T / JQ-CD049,17887,RUB,Да,,Профоборудование,Для баров,Диспенсеры для напитков,https://entero.ru/item/299637,"<p>Диспенсер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/299637""><b class=""b"">P.L. Proff Cuisine X23688T / JQ-CD049</b></a> используется на предприятиях общественного питания и в домашних условиях для порционного розлива соков и других охлажденных напитков. Модель оснащена емкостью с краном для розлива, крышкой полусферической формы с ручкой и опорой с подставкой для тары с каплесборником. Опора и крышка выполнены из металла с серебристой поверхностью, емкость – из прозрачного материала.</p>",299637,,,,,,,0,,18828,,5.8 кг,Китай,Китай,для холодных напитков,,1,8 л
https://cdn.entero.ru/mp@2x/b9/45/b94501b4fab8f6510c41a9edd0570793.jpg,Диспенсер для соков MGSteel 72827,Диспенсер для соков MGSteel 72827,18710,RUB,Да,,Профоборудование,Для баров,Диспенсеры для напитков,https://entero.ru/item/321959,"<p>Диспенсер для соков <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/321959"">MGSteel 72827</a></b> используется на предприятиях общественного питания, в отелях и санаториях для раздачи холодных напитков. Модель оснащена 2 подставками. Колба выполнена из пластика.</p>",321959,,,560 мм,,,,0,,,,,Индия,Индия,для холодных напитков,,2,8 л
https://cdn.entero.ru/mp@2x/6a/43/6a43cccef607fcb61547408e55e69860.jpg,Диспенсер для холодных напитков P.L. Proff Cuisine X23889 2х5 л,X23889,28453,RUB,Да,,Профоборудование,Для баров,Диспенсеры для напитков,https://entero.ru/item/299621,"<p>Диспенсер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/299621""><b class=""b"">P.L. Proff Cuisine X23889 </b></a>используется на предприятиях общественного питания и в домашних условиях для дозированной подачи холодных напитков. Модель состоит из разделенной перегородкой на 2 сегмента колбы и опоры. Емкость оснащена 2 кранами и крышкой с круглой ручкой, опора – подставкой для тары с каплесборником. Опора и крышка выполнены из металла с серебристой поверхностью, колба – из прозрачного материала. </p>",299621,,,,,,,0,,30269,,5.56 кг,Китай,Китай,для холодных напитков,,2,5 л
https://cdn.entero.ru/mp@2x/50/a8/50a8df445aa7f96bc5acf0a86254c643.jpg,Диспенсер для холодных напитков P.L. Proff Cuisine 92001485 10 л,X23588X2,24283,RUB,Да,,Профоборудование,Для баров,Диспенсеры для напитков,https://entero.ru/item/321847,"<p>Диспенсер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/321847""><b class=""b"">P.L. Proff Cuisine 92001485 </b></a>используется на предприятиях общественного питания и в домашних условиях для порционного розлива соков и других охлажденных напитков. Модель оснащена 2 емкостями с кранами для розлива, крышками с ручками и подставками для тары с каплесборником. Основание, подставка и крышки выполнены из нержавеющей стали, емкости - из пластика.</p>",321847,304 мм,425 мм,518 мм,,,,0,,,,5.64 кг,,Китай,для холодных напитков,,2,10 л
https://cdn.entero.ru/mp@2x/b2/9c/b29c85ab2ff4c9a324d0602b3e1fbf7f.jpg,"Диспенсер для холодных напитков Kingo HOTEL 10401-2, 8 л",81240652,24737,RUB,Да,,Профоборудование,Для баров,Диспенсеры для напитков,https://entero.ru/item/340086,"<p>Диспенсер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/340086""><b class=""b"">Kingo HOTEL 10401-2 </b></a>используется на предприятиях общественного питания, в кухнях отелей и уличных барах при обслуживании банкетных, кейтеринговых мероприятий и кофе-брейков для порционного розлива сока и охлажденных напитков. Модель оснащена емкостью с краном для розлива, крышкой с ручкой, подставкой для тары и устойчивой опорой. </p>",340086,,,,,,,0,,,,6 кг,,Китай,для холодных напитков,,1,8 л
https://cdn.entero.ru/mp@2x/7c/3b/7c3bf578ec03969d59fd0c3e12f7a3fd.jpg,Диспенсер для холодных напитков P.L. Proff Cuisine 81006829 5 л,X23598,26553,RUB,Да,,Профоборудование,Для баров,Диспенсеры для напитков,https://entero.ru/item/321845,"<p>Диспенсер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.by/item/321845""><b class=""b"">P.L. Proff Cuisine 81006829 </b></a>используется на предприятиях общественного питания и в домашних условиях для порционного розлива соков и других охлажденных напитков. Модель оснащена емкостью с краном для розлива, крышкой с ручкой и подставкой для тары с каплесборником. Изделие выполнено из нержавеющей стали. </p>",321845,,,,,,,0,https://entero.ru/manuals/501385/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,28862,,3.57 кг,,Китай,для холодных напитков,,1,5 л
https://cdn.entero.ru/mp@2x/22/f3/22f3458bd51b72cff38c15838f287291.jpg,Диспенсер для горячих напитков Sunnex U28-1000 5 л (нерж. сталь),U28-1000,27337,RUB,Да,,Профоборудование,Для баров,Диспенсеры для напитков,https://entero.ru/item/297761,"<p>Диспенсер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/297761""><b class=""b"">Sunnex U28-1000</b></a> используется на предприятиях общественного питания и в домашних условиях для порционного розлива горячих и охлажденных напитков. Модель оснащена краном для розлива, крышкой, устойчивыми опорами и 2 рукоятками. Корпус выполнен из нержавеющей стали.</p>",297761,,,,,,,0,https://entero.ru/manuals/359297/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%86%D0%B8%D0%B8%20Sunnex.pdf,29395,,,Китай,Китай,для горячих напитков,,1,5 л
https://cdn.entero.ru/mp@2x/b7/36/b736e76ca953ac5eda2e1de06df14556.jpg,Диспенсер для холодных напитков P.L. Proff Cuisine X23688TX2 / JQ-CD047 2х8 л,X23688TX2 / JQ-CD047,33897,RUB,Да,,Профоборудование,Для баров,Диспенсеры для напитков,https://entero.ru/item/299620,"<p>Диспенсер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/299620""><b class=""b"">P.L. Proff Cuisine X23688TX2 / JQ-CD047</b></a> используется на предприятиях общественного питания и в домашних условиях для порционного розлива соков и других охлажденных напитков. Модель оснащена 2 емкостями с кранами для розлива, крышками полусферической формы и опорой с подставками для тары с каплесборниками. Опора и крышки выполнены из металла с серебристой поверхностью, емкости – из прозрачного материала.</p>",299620,,,,,,,0,,,,11 кг,Китай,Китай,для холодных напитков,,2,8 л
https://cdn.entero.ru/mp@2x/be/9c/be9cb79f623bf2a30c8a868e8b8b15c2.jpg,"Диспенсер для холодных и горячих напитков Kingo HOTEL 10701G, 10 л",81240659,34473,RUB,Да,,Профоборудование,Для баров,Диспенсеры для напитков,https://entero.ru/item/339924,"<p>Диспенсер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/339924""><b class=""b"">Kingo HOTEL 10701G </b></a>используется на предприятиях общественного питания и в домашних условиях для порционного розлива соков и других охлажденных напитков. Модель оснащена емкостью с краном для розлива, крышкой с ручкой и 3 устойчивыми опорами. </p>",339924,,,,,,,0,,37471,,4.5 кг,,Китай,"для холодных напитков, для горячих напитков",,1,10 л
https://cdn.entero.ru/mp@2x/7f/59/7f595766cddea56aa6cf8b714068e307.jpg,Диспенсер для сока KAPP 59039022,Диспенсер для сока KAPP 59039022,58476,RUB,Да,KAPP,Профоборудование,Для баров,Диспенсеры для напитков,https://entero.ru/item/73617,"<p>Диспенсер для сока <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/73617""><b class=""b"">KAPP 59039021</b></a> используется на предприятиях общественного питания и торговли.</p>",73617,450 мм,370 мм,690 мм,,,,0,,63561,,,,Турция,для холодных напитков,,2,7 л
https://cdn.entero.ru/mp@2x/97/d3/97d3d7faf4939802aa36583ac4067da3.jpg,Диспенсер для сока APS 10720,10720APS,102295,RUB,Да,APS,Профоборудование,Для баров,Диспенсеры для напитков,https://entero.ru/item/116310,"<p>Диспенсер для сока <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/116310"">APS 10720</a></b> используется на предприятиях общественного питания и торговли, в частных домах и квартирах для порционного розлива соков и других охлажденных напитков. Корпус выполнен из нержавеющей стали.</p>",116310,420 мм,320 мм,520 мм,,,,0,,108824,,,,Германия,для холодных напитков,,2,6 л
https://cdn.entero.ru/mp@2x/81/ee/81ee01a2d5215e8ab06008300e95c261.jpg,Диспенсер для холодных и горячих напитков iPilot Sofia 2S,Диспенсер для холодных и горячих напитков iPilot Sofia 2S,310541,RUB,Да,,Профоборудование,Для баров,Диспенсеры для напитков,https://entero.ru/item/366603,"<p>Диспенсер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/366603""><b class=""b"">iPilot Sofia 2S</b></a> используется на предприятиях общественного питания и торговли для порционного розлива холодных и горячих напитков. Модель оснащена электронной системой дозирования и световой панелью.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Автоматическая регулировка: постоянное качество смешивания, концентрация и температура напитков</li>
<li>Работа кнопок в ручном и автоматическом режиме</li>
<li>Уникальная система охлаждения и нагрева</li>
<li>Подключение к воде</li>
<li>Хладагент R134a</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность: 1,6 кВт</li>
<li>Температурный режим: от 3 до 60 °C</li>
</ul>",366603,285 мм,600 мм,810 мм,,,,0,https://entero.ru/manuals/495963/%D0%A0%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D1%81%D1%82%D0%B2%D0%BE%20%D0%BF%D0%BE%20%D1%8D%D0%BA%D1%81%D0%BF%D0%BB%D1%83%D0%B0%D1%82%D0%B0%D1%86%D0%B8%D0%B8%20%D0%BD%D0%B0%20iPilot%20Sofia%202S.pdf;https://entero.ru/manuals/495964/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,330363,,45 кг,,Китай,для холодных напитков,55 кг,2,5 л
https://cdn.entero.ru/mp@2x/86/b5/86b52e593d3436b50743f25eca34179b.jpg,Подставка для емкостей с краном ProBar ZF17082B,Подставка для емкостей с краном ProBar ZF17082B,1406,RUB,Да,,Профоборудование,Для баров,Диспенсеры для напитков,https://entero.ru/item/325519,"<p>Подставка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/325519"">ProBar ZF17082B</a></b> используется для 2-х емкостей с кранами. Изделие выполнено из металла.</p>

<p><span style=""color:#FF0000;"">Цена указана за 1 шт.</span></p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр отверстия: 200 мм</li>
<li>Вес 1 подставки: 0,57 кг</li>
<li>Цвет: черный</li>
</ul>",325519,,,,,,,0,,1875,,,,,,,,
https://cdn.entero.ru/mp@2x/50/ad/50aded4f8f9cf0dacc5d510b3568031b.jpg,Диспенсер для холодных напитков P.L. Proff Cuisine HENAN XINGZHIHE 4 л,HENAN XINGZHIHE,2446,RUB,Да,,Профоборудование,Для баров,Диспенсеры для напитков,https://entero.ru/item/298167,"<p>Диспенсер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/298167""><b class=""b"">Sunnex HENAN XINGZHIHE</b></a> используется на предприятиях общественного питания и в домашних условиях для порционного розлива соков и других охлажденных напитков. Модель состоит из решетчатой подставки и прозрачной емкости с краном для розлива и съемной крышкой. Подставка выполнена из металла, емкость – из стекла.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты:
<ul>
<li>Емкость: 105х105х255 мм</li>
<li>Подставка: 160х160х160 мм​<b>​</b></li>
</ul>
</li>
</ul>",298167,160 мм,160 мм,365 мм,,,,0,,3261,,1.55 кг,Китай,Китай,для холодных напитков,,1,4 л
https://cdn.entero.ru/mp@2x/0c/e8/0ce8595cc20bab6dcc826b99a4383cd8.jpg;https://cdn.entero.ru/mp@2x/69/5d/695d1d3f963fbe53dfdf9f7f9de5b6dc.jpg,Банка-емкость с краном ProBar ZF1727338,Банка-емкость с краном ProBar ZF1727338,3335,RUB,Да,,Профоборудование,Для баров,Диспенсеры для напитков,https://entero.ru/item/325514,"<p>Банка-емкость<b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/325514"">ProBar ZF1727338</a></b> используется на предприятиях общественного питания и торговли для самостоятельного розлива напитков посетителями. Модель оснащена 1 емкостью и краном. Изделие выполнено из стекла.</p>

<p><span style=""color:#FF0000;"">Цена указана за 1 шт.</span></p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Цвет: прозрачный</li>
</ul>",325514,140 мм,140 мм,335 мм,,,,0,,4331,,1.58 кг,Китай,Китай,для холодных напитков,,1,8 л
