Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Вес (с упаковкой),Тип установки,Размеры камеры,Количество камер,Длина планки,Производительность насоса,Двойная запайка,Газонаполнение
https://cdn.entero.ru/mp@2x/a0/fd/a0fd6ed6c1204865eb30682f535fab8b.jpg,Упаковщик вакуумный Hualian HVC-510F/2A (нерж.),Упаковщик вакуумный Hualian HVC-510F/2A (нерж.),158792,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Вакуумные упаковщики,https://entero.ru/item/297616,"<p>Вакуумный упаковщик <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/297616""><b class=""b"">Hualian HVC-510F/2A </b></a>используется на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли для упаковки товаров. Модель оснащена промышленным насосом и передвижными колесами. Камера и корпус выполнены из высококачественной нержавеющей стали SUS304, крышка синего цвета - из прозрачного оргстекла.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Электронная панель управления с опцией запоминания до 5 программ упаковки</li>
<li>Регулируемая мощность нагрева</li>
<li>Система поднятия крышки газ лифт</li>
<li>Сдвоенный электромагнитный клапан</li>
<li>Увеличенная глубина рабочей камеры</li>
<li>Индукционный датчик, срабатывающий на опускание крышки</li>
<li>Изолированная подача напряжения на запаечные планки через штыри подъемного механизма облегчает процесс обслуживания аппарата и замены запчастей</li>
<li>2 параллельные запаечные планки повышают скорость упаковки</li>
<li>Высокое качество сборки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество запаивающих планок в камере: 2</li>
<li>Мощность запайки: 0,6 кВт</li>
<li>​Ширина запаечного шва: 10 мм</li>
</ul>",297616,220 В,0.9 кВт,600 мм,650 мм,1000 мм,,Китай,,,0,,168928,,146 кг,,,напольный,550х550х140 мм,1 камера,510 мм,20 м3/ч,,
https://cdn.entero.ru/mp@2x/98/28/9828a201a2e328a7ef1edd79814b22e6.jpg;https://cdn.entero.ru/mp@2x/2c/26/2c26987efcad724407dd87275f5c9a7d.jpg;https://cdn.entero.ru/mp@2x/c7/06/c706923d57901d979a536af32f823ec9.jpg;https://cdn.entero.ru/mp@2x/3a/d1/3ad14ea2ad8bc48c43e2851e4b8a2ac7.jpg,Вакуумный упаковщик Orved Evox 30 8mc/h,EVOX 30 - pump 8 m3/h,159745,RUB,Да,Orved,Профоборудование,Фасовочно-упаковочное,Вакуумные упаковщики,https://entero.ru/item/40751,"<p>Вакуумный упаковщик <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/40751"">Orved Evox 30 8mc/h</a></b> используется на предприятиях пищевой промышленности и общественного питания для вакуумной упаковки продуктов питания, жидкости и готовых блюд. При использовании данного устройства достигается более высокая степень вакуума, что продлевает срок годности пищевых продуктов. Запайка осуществляется автоматически как внутри камеры, так и вне ее. Модель оснащена насосом, не требующим обслуживания и цифровым управлением. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>2 уровня вакуума (хранение / приготовление sous-vide)</li>
<li>4 степени настройки интенсивности запайки</li>
<li>Цикл удаления влаги из насоса</li>
<li>Звуковой и визуальный сигнал тревоги</li>
<li>Вакуумный сенсорный датчик</li>
<li>Электроклапан для возврата воздуха</li>
<li>Гнутая крышка</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объём камеры: 17,1 л</li>
<li>Конечное давление: 2 мбар</li>
<li>Максимальный размер мешка: 300х400 мм</li>
</ul>",40751,220 В,0.53 кВт,495 мм,600 мм,288 мм,,Италия,,,0,,,,29 кг,,,настольный,355х365х184 мм,1 камера,310 мм,8 м3/ч,,
https://cdn.entero.ru/mp@2x/7c/40/7c401c7f35c1940b29d0bccc457ffa96.jpg;https://cdn.entero.ru/mp@2x/74/2b/742bc4867c6085521e33a3883bdaead2.jpg;https://cdn.entero.ru/mp@2x/a0/07/a007bc97c225036d93c17591d213ef51.jpg;https://cdn.entero.ru/mp@2x/d7/4e/d74e3a81adc61d85095da6b8c7fe56be.jpg;https://cdn.entero.ru/mp@2x/83/f5/83f558d80181d69f656e2fa1a759ef84.jpg;https://cdn.entero.ru/mp@2x/56/3b/563b38b736a337a9b45f12fa1e51d2b1.jpg;https://cdn.entero.ru/mp@2x/64/a3/64a32500b528c8de0115423ca938e05f.jpg;https://cdn.entero.ru/mp@2x/52/21/52218a1036bab76aa74fa06d92541f71.jpg;https://cdn.entero.ru/mp@2x/4c/32/4c32c53f5f0d3f9e27e8c5f642be299f.jpg,Упаковщик вакуумный Foodatlas DZ-500/2SD Eco,DZ-500/2SD FoodAtlas Eco,166421,RUB,Да,Foodatlas,Профоборудование,Фасовочно-упаковочное,Вакуумные упаковщики,https://entero.ru/item/83936,"<p>Двухкамерный вакуумный упаковщик <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/83936""><b class=""b"">Foodatlas DZ-500/2SD Eco </b></a>используется на предприятиях пищевой промышленности, общественного питания и торговли для упаковки в вакуум продуктов питания, жидкости, готовых блюд, продуктов химической промышленности, электронных устройств, измерительных приборов и твердых редких драгоценных металлов для увеличения срока хранения. Для упаковки используются ПЭТ, ПЭ нейлоновая и алюминиевая ленты. Корпус и камера вакуумирования выполнены из нержавеющей стали. </p>

<p><b>Особенности</b>: </p>

<ul>
<li>Электронная панель управления с вакуумметром</li>
<li>Функция удаления масляного тумана</li>
<li>Широкий диапазон температуры сварочной планки</li>
<li>Автоматическая фиксация крышки</li>
<li>Заменяемая вакуум-камера</li>
<li>Наличие кнопки аварийного выключения оборудования​</li>
<li>
<p>Ручная подача пакета</p>
</li>
</ul>

<p><b>Дополнительные характеристики: </b></p>

<ul>
<li>Количество нагревающих элементов: 4</li>
<li>Количество вакуумных насосов: 2</li>
<li>Ширина шва запайки: 10 мм</li>
<li>Время производственного цикла: 4 мин</li>
<li>Длина запайки: 500 мм</li>
<li>Количество нагревательных элементов: 4</li>
<li>Мощность вакуум насоса: 1.5 кВт</li>
<li>Габариты упаковки: 1300x790x1000 мм</li>
</ul>",83936,380 В,1.2 кВт,1260 мм,750 мм,960 мм,,Китай,,,0,https://entero.ru/manuals/59542/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Foodatlas%20DZ-400_2SC%20Eco.pdf;https://entero.ru/manuals/368254/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Foodatlas%20DZ-500_2SD%20Eco.pdf;https://entero.ru/manuals/368255/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf;https://entero.ru/manuals/368256/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D1%84%D0%B0%D1%81%D0%BE%D0%B2%D0%BE%D1%87%D0%BD%D0%BE-%D1%83%D0%BF%D0%B0%D0%BA%D0%BE%D0%B2%D0%BE%D1%87%D0%BD%D0%BE%D0%B3%D0%BE%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Foodatlas.pdf,,,150 кг,,,напольный,520х520х110 мм,2 камеры,500 мм,40 м3/ч,,
https://cdn.entero.ru/mp@2x/20/98/2098aa248f1b85da27270473fe042744.jpg;https://cdn.entero.ru/mp@2x/ce/3f/ce3ff903420f8b775ea63967680720a4.jpg,Упаковщик вакуумный INDOKOR IVP-400/CD без газонаполнения,Упаковщик вакуумный INDOKOR IVP-400/CD без газонаполнения,171823,RUB,Да,INDOKOR,Профоборудование,Фасовочно-упаковочное,Вакуумные упаковщики,https://entero.ru/item/32612,"<p>Однокамерный вакуумный упаковщик <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/32612""><b class=""b"">INDOKOR IVP-400/CD</b></a> используется на предприятиях общественного питания и торговли для упаковки как пищевых, так и непищевых продуктов (электроники, полупроводников, фармацевтической продукции, текстиля и других товаров) в вакуумные пакеты. На шве можно пропечатывать дату, номер партии и другие символы с помощью специальной силиконовой вставки-клише. Модель оснащена вакуумметром и светодиодными индикаторами рабочего процесса. Корпус и камера выполнены из нержавеющей стали, прозрачная крышка - из специального стекла.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Силиконовый уплотнитель</li>
<li>Запаечная лента</li>
<li>Тефлоновая лента</li>
<li>Масло для вакуумного насоса: 0,5 л</li>
<li>Набор символов для клише</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Интуитивно понятный интерфейс</li>
<li>Быстрая настройка параметров работы под разный тип упаковки</li>
<li>Цифровой контроль времени</li>
<li>Кнопка аварийной остановки</li>
<li>Выпуклая крышка</li>
<li>Использование различных типов пакетов, в том числе и фольгированных</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: 1-2 упаковок/мин.</li>
<li>Ширина сварочного шва: 8 мм</li>
<li>Время запайки: от 35 до 60 сек.</li>
<li>Потребляемая мощность: 0,9 кВт/ч</li>
<li>Габариты в упаковке: 620х850х1040 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Модуль газонаполнения</li>
<li>Полипропиленовые вставки для уменьшения объёма рабочей камеры</li>
</ul>",32612,220 В,,570 мм,780 мм,1120 мм,,Ю. Корея,,,0,https://entero.ru/manuals/5918/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20INDOKOR%20IVP-400_CD.pdf;https://entero.ru/manuals/111914/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20INDOKOR.pdf,,,116 кг,,,напольный,420x590x210(150) мм,1 камера,400 мм,20 м3/ч,,
https://cdn.entero.ru/mp@2x/c9/7e/c97e170209f04a3f5a05346d8e484423.jpg;https://cdn.entero.ru/mp@2x/16/69/166928fdb751509a5994950c54b6b9ce.jpg;https://cdn.entero.ru/mp@2x/79/f0/79f09ece99d59c16e5a9565cc4c29ac0.jpg;https://cdn.entero.ru/mp@2x/d3/d4/d3d4c0639175a7326c4fcaf53a2b1f7e.jpg;https://cdn.entero.ru/mp@2x/6f/3b/6f3be268dae62575e99955a7f7b676da.jpg;https://cdn.entero.ru/mp@2x/46/6f/466f60e7de28acc7fbe4cfb4cab91906.jpg;https://cdn.entero.ru/mp@2x/59/e5/59e56f9b22d84bbf4cc037ba5396cead.jpg;https://cdn.entero.ru/mp@2x/09/7a/097a3bf31f62b121614457970d3038ce.jpg;https://cdn.entero.ru/mp@2x/af/50/af50d2aecfa0f7e6f040352e66d72c77.jpg,Упаковщик вакуумный Foodatlas DZQ-500/2SD Eco с опцией газонаполнения,DZQ-500/2SD FoodAtlas Eco,188510,RUB,Да,Foodatlas,Профоборудование,Фасовочно-упаковочное,Вакуумные упаковщики,https://entero.ru/item/83940,"<p>Двухкамерный вакуумный упаковщик <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/83940""><b class=""b"">Foodatlas DZQ-500/2SD Eco</b></a> используется на предприятиях пищевой промышленности, общественного питания и торговли для упаковки в вакуум продуктов питания, жидкости, готовых блюд, продуктов химической промышленности, электронных устройств, измерительных приборов и твердых редких драгоценных металлов для увеличения срока хранения. Модель оснащена модулем газонаполнения. Для упаковки используются ПЭТ, ПЭ нейлоновая и алюминиевая ленты. Корпус и камера вакуумирования выполнены из нержавеющей стали. </p>

<p><b>Особенности</b>: </p>

<ul>
<li>Электронная панель управления с вакуумметром</li>
<li>Функция удаления масляного тумана</li>
<li>Широкий диапазон температуры сварочной планки</li>
<li>Автоматическая фиксация крышки</li>
<li>Заменяемая вакуум-камера</li>
<li>Наличие кнопки аварийного выключения оборудования​</li>
<li>Аэрация (ГАЗ)</li>
<li>Ручная подача пакета</li>
</ul>

<p><b>Дополнительные характеристики: </b></p>

<ul>
<li>Количество нагревающих элементов: 4</li>
<li>Количество вакуумных насосов: 2</li>
<li>Размер уплотнителя: 500 мм</li>
<li>Ширина шва запайки: 10 мм</li>
<li>Мощность вакуум насоса: 1.2 кВт</li>
<li>Время производственного цикла: 4 мин</li>
<li>Габариты упаковки: 1300x790x1000 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",83940,380 В,1.5 кВт,1260 мм,750 мм,960 мм,,Китай,,,0,https://entero.ru/manuals/59546/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Foodatlas%20DZQ-400_2SC%20Eco.pdf;https://entero.ru/manuals/368227/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Foodatlas%20DZQ-500_2SD%20Eco%20%D1%81%20%D0%BE%D0%BF%D1%86%D0%B8%D0%B5%D0%B9%20%D0%B3%D0%B0%D0%B7%D0%BE%D0%BD%D0%B0%D0%BF%D0%BE%D0%BB%D0%BD%D0%B5%D0%BD%D0%B8%D1%8F.pdf;https://entero.ru/manuals/368228/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf;https://entero.ru/manuals/368229/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D1%84%D0%B0%D1%81%D0%BE%D0%B2%D0%BE%D1%87%D0%BD%D0%BE-%D1%83%D0%BF%D0%B0%D0%BA%D0%BE%D0%B2%D0%BE%D1%87%D0%BD%D0%BE%D0%B3%D0%BE%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Foodatlas.pdf,204902,,150 кг,,,напольный,520х520х110 мм,2 камеры,500 мм,40 м3/ч,,Да
https://cdn.entero.ru/mp@2x/3e/27/3e270b80c3633dfa214fdd2b7800cc69.jpg,Упаковщик вакуумный Hualian HVV-410T/1A (нерж. сталь),HVV-410T/1A SS (нерж.),197800,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Вакуумные упаковщики,https://entero.ru/item/111029,"<p>Вакуумный упаковщик <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/111029""><b class=""b"">Hualian HVV-410T/1A</b></a> используется на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли для упаковки в вакуум продуктов питания, в том числе жидких и сыпучих, для увеличения срока хранения и других непищевых продуктов. Модель оснащена электронной панелью управления с 5 программами или PLC-контроллером с 9 программами <span style=""font-weight:bold"">(вариант панели управления уточняйте у наших менеджеров)</span>. Корпус выполнен из нержавеющей стали, камера - из нержавеющей стали SUS304, крышка - из прозрачного оргстекла.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Ширина шва: 10 мм</li>
<li>Мощность запайки: 0,45 кВт</li>
<li>Предельное вакуумное давление: 1 кПа</li>
</ul>",111029,,0.9 кВт,540 мм,540 мм,845 мм,,Китай,,,0,https://entero.ru/manuals/319105/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hualian%20HVV-410T_1A.pdf,,,90 кг,,,настольный,,1 камера,,20 м3/ч,,
https://cdn.entero.ru/mp@2x/ed/38/ed38f388b5e9e80b3e30106c42941386.jpg;https://cdn.entero.ru/mp@2x/53/bd/53bd154867a0c1a35d59d0e627658b04.jpg,Упаковщик вакуумный LAVEZZINI SUPREMA,Упаковщик вакуумный LAVEZZINI SUPREMA,205482,RUB,Да,LAVEZZINI,Профоборудование,Фасовочно-упаковочное,Вакуумные упаковщики,https://entero.ru/item/127133,"<p>Вакуумная упаковочная машина камерного типа <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/127133"">Lavezzini SUPREMA</a> </b>предназначена для высококачественной и быстрой вакуумной упаковки продуктов питания: жидких и твердых продуктов, для упаковки продуктов больше по размерам, чем камера упаковщика с помощью функции внешнего всасывания. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Электронная панель управления</li>
<li>Загругленные углы камеры без швов</li>
<li>Съемные уплотнительные стрежни</li>
<li>Влагозащищенная панель управления</li>
</ul>",127133,220 В,0.95 кВт,560 мм,610 мм,450 мм,,Италия,,,0,,216297,,60 кг,,,настольный,460x500x220 мм,1 камера,450 мм,20 м3/ч,,
https://cdn.entero.ru/mp@2x/cc/2b/cc2b273ee4f372d5f5673534608dd1b5.jpg,Упаковщик вакуумный Hualian DZ-500/2SB 220В (нерж. сталь),DZ-500/2SB SS (нерж.),207920,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Вакуумные упаковщики,https://entero.ru/item/120729,"<p>Двухкамерный вакуумный упаковщик <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/120729""><b class=""b"">Hualian DZ-500/2SB</b></a> используется на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли для упаковки в вакуум продуктов питания для увеличения срока хранения. Модель оснащена электронной панелью управления и колесами. Корпус и камера выполнены из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: от 1 до 3 циклов/мин.</li>
<li>Количество запаивающих планок в камере: 2</li>
<li>Расстояние между планками: 400 мм</li>
<li>Ширина шва: 10 мм</li>
<li>Диапазон регулировки времени:
<ul>
<li>Откачка воздуха: от 0 до 99 сек.</li>
<li>Запайка: от 0 до 9,9 сек.</li>
</ul>
</li>
<li>Погрешность установки времени откачки / запайки: 0,1 %</li>
<li>Мощность запайки: 0,9 кВт</li>
<li>Предельное вакуумное давление: 1 кПа</li>
<li>Глубина камеры: 40 мм</li>
<li>Рабочая высота: 160 мм</li>
</ul>",120729,220 В,1.5 кВт,1370 мм,770 мм,1040 мм,,Китай,,,0,https://entero.ru/manuals/135139/%D0%A0%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D1%81%D1%82%D0%B2%D0%BE%20%D0%BF%D0%BE%D0%BB%D1%8C%D0%B7%D0%BE%D0%B2%D0%B0%D1%82%D0%B5%D0%BB%D1%8F.pdf;https://entero.ru/manuals/128101/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hualian%20DZ-500_2SB.pdf,218863,,188 кг,,,напольный,500х410х150 мм,2 камеры,500 мм,40 м3/ч,,
https://cdn.entero.ru/mp@2x/ed/1a/ed1a47a30a07168bbfd9db52a1e521bc.jpg,Скин-упаковщик вакуумный Hualian HLV-300VST (высота лотка 55 мм),Скин-упаковщик вакуумный Hualian HLV-300VST (высота лотка 55 мм),212910,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Вакуумные упаковщики,https://entero.ru/item/288805,"<p>Вакуумный скин-упаковщик <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/288805""><b class=""b"">Hualian HLV-300VST</b></a> используется на предприятиях пищевой промышленности, общественного питания и торговли для герметичной упаковки готовых блюд, полуфабрикатов, сыров, фруктов и других пищевых продуктов в лотках или на поддонах под плотно облегающую поверхность скин-пленку для сохранения свежести, предотвращения размножения микроорганизмов и смешивания запахов. Модель оснащена вакуумной камерой с верхней откидной крышкой, держателем для рулона с пленкой слева от камеры и наклонной фронтальной электромеханической панелью управления. Камера и корпус выполнены из высококачественной нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Единовременная упаковка нескольких лотков с возможностью использования опорных матриц под различную форму тары</li>
<li>Автоматические вакуумирование и запайка </li>
<li>Ручные подача и обрезка пленки </li>
<li>Регулировка длительности вакуумизации с помощью поворотного переключателя</li>
<li>Высокоточный электронный контроллер температуры запайки</li>
<li>Цифровая индикация температуры запайки</li>
<li>Индикация уровня вакуума с помощью аналогового вакуумметра</li>
<li>Интегрированный в кнопку запуска светодиодный индикатор готовности к работе</li>
<li>Выключатель колыбельного типа с интегрированным светодиодным индикатором питания</li>
<li>Съемный кабель питания</li>
<li>Устойчивые нескользящие опоры</li>
<li>Легкость очистки и дезинфекции поверхностей</li>
<li>Рекомендуемый материал тары: термосвариваемые полипропилен или полиэтилен</li>
<li>Эргономичный дизайн в промышленном исполнении</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Средняя производительность: 2 цикл/мин.</li>
<li>Максимальные габариты рулона с пленкой:
<ul>
<li>Диаметр: 180 мм</li>
<li>Ширина: 320 мм</li>
</ul>
</li>
<li>Максимальные габариты лотка: 350х260 мм</li>
<li>Максимальная высота лотков: 55 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Матрицы с индивидуальными параметрами</li>
</ul>",288805,220 В,2 кВт,600 мм,450 мм,400 мм,68 кг,Китай,1,680x520x560 мм,0,,,,56 кг,,,настольный,,1 камера,,20 м3/ч,,
https://cdn.entero.ru/mp@2x/ca/2f/ca2f1b6577b1e82a207a11422a8babbb.jpg,Упаковщик вакуумный White Penguin ADELIE WPC-500/2SA,Упаковщик вакуумный White Penguin ADELIE WPC-500/2SA,220780,RUB,Да,,Профоборудование,Фасовочно-упаковочное,Вакуумные упаковщики,https://entero.ru/item/259897,"<p>Вакуумный упаковщик <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/259897"">White Penguin ADELIE WPC-500/2SA</a></b> используется на предприятиях общественного питания и торговли для упаковки готовых блюд и пищевых продуктов в герметичную тару для сохранения свежести, предотвращения размножения микроорганизмов и смешивания запахов. Модель оснащена 2 объемными камерами, 2 сварочными пластинами в каждой камере, расположенной сверху откидной крышкой и фирменной панелью управления с функциональными клавишами, цифровым дисплеем, аналоговым вакуумметром и русскоязычным интерфейсом. Камера и корпус выполнены из нержавеющей стали.</p>

<p>В комплект поставки входят набор необходимых запчастей и вакуумное масло.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Простое полуавтоматическое управление </li>
<li>Настройка уровня вакуума</li>
<li>Регулировка длительности процесса</li>
<li>Кнопка аварийной остановки</li>
<li>Цифровая индикация длительности запайки</li>
<li>Светодиодная индикация активного режима</li>
<li>Прозрачная крышка для визуального контроля процесса</li>
<li>Поворотные ролики со стояночным тормозом для удобства транспортировки</li>
<li>Легкость очистки и дезинфекции поверхностей</li>
<li>Эргономичный дизайн в промышленном исполнении</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Ширина сварочного шва: 10 мм</li>
</ul>",259897,380 В,3.2 кВт,1250 мм,680 мм,980 мм,232 кг,Китай,1,1320x730x1200 мм,0,,,,182 кг,,,напольный,1250х680х150 мм,2 камеры,500 мм,2х20 м3/ч,,
https://cdn.entero.ru/mp@2x/4d/09/4d09e9c0aef62d41e2eaaa8b3abdc752.jpg,Вакуумный упаковщик Hualian DZQ-500/2SB SS (нерж. сталь) с функцией газонаполнения,Вакуумный упаковщик Hualian DZQ-500/2SB SS (нерж. сталь) с функцией газонаполнения,221536,RUB,Да,Hualian,Профоборудование,Фасовочно-упаковочное,Вакуумные упаковщики,https://entero.ru/item/290713,"<p>Напольный вакуумный упаковщик <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/290713""><b class=""b"">Hualian DZQ-500/2SB SS</b></a> используется на предприятиях пищевой промышленности, общественного питания и торговли для упаковки готовых блюд и различных пищевых продуктов в герметичную тару для сохранения свежести, предотвращения размножения микроорганизмов и смешивания запахов. Модель оснащена 2 камерами, 2 сварочными пластинами в каждой камере, расположенной сверху крышкой и панелью управления с мембранной клавиатурой и светодиодным цифровым дисплеем. Корпус и крышка выполнены из высококачественной нержавеющей стали марки SUS304.</p>

<p>В комплект поставки входят набор необходимых запчастей, масло для вакуумных насосов и инструкция по эксплуатации.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Функции:
<ul>
<li>Вакуумирование</li>
<li>Газонаполнение</li>
<li>Запайка</li>
<li>Охлаждение</li>
</ul>
</li>
<li>Выбор температуры запайки: низкая, средняя или высокая в зависимости от параметров материала пакета</li>
<li>Регулировка длительности функций </li>
<li>Светодиодные индикаторы активных функций</li>
<li>Цифровая индикация настроек таймера и обратного отсчета заданной длительности</li>
<li>Индикация уровня вакуума с помощью аналогового вакуумметра</li>
<li>Кнопка аварийной остановки</li>
<li>Основной выключатель рычажного типа на боковой панели</li>
<li>Прижимные скобы и фиксаторы пакетов на запаечных планках </li>
<li>2 независимых насоса для возможности продолжения работы с меньшей производительностью при неисправности одного из них</li>
<li>Плавный перекидной механизм и рукоятки для легкого перемещения крышки от одной камеры к другой</li>
<li>Поворотные ролики для удобства транспортировки</li>
<li>Отверстия на обратной поверхности запаечных планок для возможности проставки даты при наличии опционального комплекта литер</li>
<li>Простота управления благодаря удобному меню и интуитивно понятному интерфейсу</li>
<li>Быстрый доступ к рабочим узлам благодаря легкосъемным задним и боковым панелям для удобства технического обслуживания</li>
<li>Неглубокие камеры с плоской рабочей поверхностью для удобства очистки и дезинфекции, а также загрузки и выгрузки крупногабаритных пакетов</li>
<li>Эргономичный дизайн в промышленном исполнении</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина стенки корпуса: 1 мм</li>
<li>Ширина сварочного шва: 10 мм</li>
<li>Расстояние между центрами запайки: 400 мм</li>
<li>Высота камеры: 40 мм</li>
<li>Рабочая высота: 160 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Комплект литер для проставки даты</li>
<li>Двойная запайка с шириной шва 3 мм</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",290713,220 В,,1370 мм,770 мм,1040 мм,,Китай,,,0,,,,188 кг,,,напольный,,2 камеры,500 мм,2х20 м3/ч,,Да
