Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Производительность,Конструкция,Цвет,Тип попкорна,Разовая загрузка,С тележкой
https://cdn.entero.ru/mp@2x/05/d5/05d54bce3b6a58e218ef506afc7b7bc5.jpg;https://cdn.entero.ru/mp@2x/92/2a/922a91d236475d30941000ba1b886b72.jpg;https://cdn.entero.ru/mp@2x/54/09/54090e87fef122f352cb0fd2fef5d188.jpg;https://cdn.entero.ru/mp@2x/5b/df/5bdffb1caf6da5292593253ef7407d3c.jpg;https://cdn.entero.ru/mp@2x/a1/c4/a1c46fda396690e01c57f8ae41443e81.jpg;https://cdn.entero.ru/mp@2x/f2/4f/f24f5792e08cb81bc5cfe0723421b271.jpg;https://cdn.entero.ru/mp@2x/37/8a/378a9ccd6f70a14741f1d2e609b0c20b.jpg;https://cdn.entero.ru/mp@2x/ae/10/ae107845f1cf49fa9dfc5f42b8d6c6a9.jpg;https://cdn.entero.ru/mp@2x/17/68/176811305209a2c307a2c216b455200e.jpg,Аппарат для попкорна Foodatlas JTP6B Eco,JTP6B Foodatlas Eco,11348,RUB,Да,Foodatlas,Профоборудование,Оборудование фаст-фуд,Аппараты для попкорна,https://entero.ru/item/250221,"<p>Аппарат <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/250221"">Foodatlas JTP6B Eco</a></b> используется на предприятиях общественного питания и торговли для приготовления сладкого и соленого попкорна, а также продукции с разными вкусами. Модель оснащена электродвигателем, панелью управления, поддоном для готовой продукции и ящиком для сбора нераскрывшихся зерен и шелухи. Изделие выполнено из алюминиевого сплава и закаленного стекла.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Подогрев камеры</li>
<li>Система внутреннего освещения</li>
<li>Экономный расход электроэнергии</li>
<li>Подходит для чистки моющими средствами</li>
<li>Простота обслуживания</li>
<li>Безопасность эксплуатации</li>
</ul>",250221,220 В,1.45 кВт,560 мм,420 мм,680 мм,17.5 кг,Китай,1,580x440x720 мм,0,https://entero.ru/manuals/416024/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Foodatlas%20JTP6B%20Eco.pdf,12335,https://vk.com/video_ext.php?oid=-177656185&id=456239956&hd=2&autoplay=0,16.2 кг,,настольный,красный,соленый / сладкий,,
https://cdn.entero.ru/mp@2x/96/fa/96fa674e41ccf6e6cb207e85ef3f063a.jpg,Аппарат для попкорна Enigma BR-8207,Аппарат для попкорна Enigma BR-8207,12591,RUB,Да,Enigma,Профоборудование,Оборудование фаст-фуд,Аппараты для попкорна,https://entero.ru/item/346505,"<p>Аппарат для попкорна <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/346505"">Enigma BR-8207</a></b> используется на предприятиях общественного питания и торговли, в развлекательных центрах и кинотеатрах, а также на открытых площадках для приготовления воздушной кукурузы с различными вкусовыми добавками. Котел выполнен из нержавеющей стали, боковые панели - из закаленного стекла.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем котла: 0,17 кг</li>
<li>Объем без упаковки: 0,141653 м³</li>
<li>Объем упаковки: 0,142931 м³</li>
</ul>",346505,220 В,0.81 кВт,505 мм,425 мм,660 мм,,Китай,,,0,https://entero.ru/manuals/424870/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Enigma%20BR-8207.pdf,13254,,,3.8 кг/ч,настольный,красный,соленый / сладкий,170 г,
https://cdn.entero.ru/mp@2x/6b/c7/6bc7c3ef7e2da347ee5b521bf9a8e2b1.jpg;https://cdn.entero.ru/mp@2x/60/e8/60e8e66dfc3a214d5d8e01ca80c05a16.jpg,Аппарат для попкорна ROAL GLD-828,Аппарат для попкорна ROAL GLD-828,12984,RUB,Да,ROAL,Профоборудование,Оборудование фаст-фуд,Аппараты для попкорна,https://entero.ru/item/261689,"<p>Аппарат для попкорна <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/261689"">ROAL GLD-828</a></b> используется в кинотеатрах, торгово-развлекательных комплексах, уличных точках и на предприятиях общественного питания и торговли. Корпус выполнен из алюминия, боковые панели - из стекла, задняя стенка - из оргстекла.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Время приготовления противня: от 3 до 5 мин.</li>
<li>Рабочая температура: от 220 до 270 °С</li>
</ul>",261689,220 В,1.3 кВт,540 мм,400 мм,605 мм,,Китай,,,0,https://entero.ru/manuals/323258/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ROAL%20GLD-828.pdf,,,,,настольный,красный,,,
https://cdn.entero.ru/mp@2x/72/29/72291fec6a9b17dbad9be2c4695df2eb.jpg,Аппарат для попкорна Enigma RC-8209,Аппарат для попкорна Enigma RC-8209,26349,RUB,Да,Enigma,Профоборудование,Оборудование фаст-фуд,Аппараты для попкорна,https://entero.ru/item/340209,"<p>Аппарат для попкорна <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/340209"">Enigma RC-8209</a></b> используется на предприятиях общественного питания и торговли. Котел выполнен из нержавеющей стали, боковые панели - из закалённого стекла,</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем котла: 10 унций</li>
</ul>",340209,220 В,0.85 кВт,450 мм,520 мм,635 мм,20 кг,Китай,1,535x585x735 мм,0,https://entero.ru/manuals/409897/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Enigma%20RC-8209.pdf,,,20 кг,6.7 кг/ч,настольный,нерж. сталь,соленый,300 г,
https://cdn.entero.ru/mp@2x/60/6a/606ab585cdc94bf9c57c2ac19fb7eb51.jpg,Витрина для попкорна RoboLabs VTP2-120n,54990,154230,RUB,Да,RoboLabs,Профоборудование,Оборудование фаст-фуд,Аппараты для попкорна,https://entero.ru/item/37597,"<p>Витрина для попкорна напольная насыпная двухсекционная <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/37597"">RoboLabs VTP2-120n</a></b> с подогревом, подсветкой. При отгрузке стекло упаковывается отдельно от витрины.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Регулировка температуры: от 30 до 85 °C</li>
</ul>",37597,220 В,0.7 кВт,1200 мм,710 мм,700 мм,,Россия,,,0,,162347,,55 кг,,настольный,серебряный,,,
https://cdn.entero.ru/mp@2x/e9/ea/e9ea67703d42246bf5e4c53937fc008a.jpg,Витрина для попкорна RoboLabs VTP3-120n,71510,168044,RUB,Да,RoboLabs,Профоборудование,Оборудование фаст-фуд,Аппараты для попкорна,https://entero.ru/item/44217,"<p>Витрина тепловая <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/44217"">RoboLabs VTP3-120n</a></b> оснащена внутренней подсветкой, задней дверцей, системой кондиционирования и ящиком для сбора отходов и неоткрывшихся зерен попкорна.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество секций: 3</li>
<li>Температурный режим: от 30 до 85 °С</li>
</ul>",44217,220 В,0.7 кВт,1200 мм,710 мм,700 мм,,Россия,,,0,https://entero.ru/manuals/15955/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%A2%D0%A2%D0%9C%20%D0%9E%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5%20Fast%20food.pdf,175046,,,,настольный,,,,
https://cdn.entero.ru/mp@2x/5c/a4/5ca4d2db16b579369852088565b3724c.jpg;https://cdn.entero.ru/mp@2x/fa/09/fa09af678c098552657a117bdf696646.jpg;https://cdn.entero.ru/mp@2x/4e/8e/4e8e9524ef6b34df2e70d76a359f192c.jpg;https://cdn.entero.ru/mp@2x/4e/22/4e222e322015fafc4fe2b52a67837d65.jpg,Аппарат для попкорна RoboLabs Mini Robopop 25,110920 Vortex Popcorn Mini Robopop 25,880652,RUB,Да,RoboLabs,Профоборудование,Оборудование фаст-фуд,Аппараты для попкорна,https://entero.ru/item/83295,"<p>Аппарат для попкорна <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/83295""><b class=""b"">ТТМ Mini Robopop 25</b></a> предназначен для раскрытия кукурузного зерна при помощи горячего воздуха на предприятиях пищевой промышленности. Распределение зерна по параболическому дну чаши рабочей камеры происходит равномерным слоем. Зерно постоянно находится в движении вокруг оси чаши, перемешивается и равномерно прогревается. Благодаря вихревому воздушному потоку внутри камеры, раскрывшиеся зерна немедленно удаляются из горячей зоны, что благотворно сказывается на качестве и вкусе попкорна.</p>

<p>Модель оснащена дозатором и сифтером, куда попадает раскрытое кукурузное зерно, и происходит отделение шелухи и нераскрытых зерен от готового попкорна. В последующем такой попкорн идеально подходит для нанесения карамельной смеси или изготовления попкорна с заданным вкусом. Оборудование выполнено из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Раскрытие попкорна при помощи горячего воздуха, попкорн не жарится на масле, нет канцерогенов и трансжиров</li>
<li>Возможность перегрева готового попкорна снижена</li>
<li>Аппарат автоматизирован, участие оператора минимальное</li>
<li>Электромеханическое управление</li>
<li>Легкое обслуживание камеры</li>
<li>Теплоизолированный корпус</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем бункера для зерна: 8 кг</li>
</ul>",83295,220 В,5.95 кВт,1070 мм,580 мм,1600 мм,,Россия,,,0,https://entero.ru/manuals/502729/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,https://vk.com/video_ext.php?oid=-177656185&id=456239729&hd=2&autoplay=0,120 кг,12 кг/ч,напольный,серебряный,,,Да
https://cdn.entero.ru/mp@2x/7e/43/7e4391ab2d7e60218523fa8166659e58.jpg,Аппарат для попкорна RoboLabs Robopop 75,VORTEX POPCORN с сифтером и дозатором ТТМ ROBOPOP 75,1299327,RUB,Да,RoboLabs,Профоборудование,Оборудование фаст-фуд,Аппараты для попкорна,https://entero.ru/item/215240,"<p>Аппарат для попкорна <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/215240"">RoboLabs Robopop 75</a></b> предназначен для раскрытия кукурузного зерна при помощи горячего воздуха на предприятиях пищевой промышленности. Распределение зерна по параболическому дну чаши рабочей камеры происходит равномерным слоем. Зерно постоянно находится в движении вокруг оси чаши, перемешивается и равномерно прогревается. Благодаря вихревому воздушному потоку внутри камеры, раскрывшиеся зерна немедленно удаляются из горячей зоны, что благотворно сказывается на качестве и вкусе попкорна.</p>

<p>Модель оснащена дозатором и сифтером, куда попадает раскрытое кукурузное зерно, и происходит отделение шелухи и нераскрытых зерен от готового попкорна. В последующем такой попкорн идеально подходит для нанесения карамельной смеси или изготовления попкорна с заданным вкусом. Оборудование выполнено из нержавеющей стали.</p>

<p>В комплект поставки входят тележка и упаковка пакетов для готового попкорна.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Раскрытие попкорна при помощи горячего воздуха, попкорн не жарится на масле, нет канцерогенов и трансжиров</li>
<li>Аппарат автоматизирован, участие оператора минимальное</li>
<li>Новая система защиты камеры от переполнения позволяет в разы сократить забивание камеры и упростить техническое обслуживание</li>
<li>Теплоизолированный корпус</li>
<li>Пылевлагозащищенность: IP22</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем бункера для зерна: 22,7 кг</li>
</ul>",215240,380 В,11 кВт,1370 мм,600 мм,1690 мм,,Россия,,,0,https://entero.ru/manuals/254898/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%A2%D0%A2%D0%9C%20Robopop%2075.pdf;https://entero.ru/manuals/502728/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,https://vk.com/video_ext.php?oid=-177656185&id=456239096&hd=2&autoplay=0,200 кг,34 кг/ч,напольный,серебряный,,,Да
https://cdn.entero.ru/mp@2x/1a/17/1a17890668499703f0c9d3031b1be321.jpg;https://cdn.entero.ru/mp@2x/70/64/7064d59893bf1254f7724745011e581e.jpg;https://cdn.entero.ru/mp@2x/df/ca/dfca5e6189c59a357a6010026d885dcf.jpg;https://cdn.entero.ru/mp@2x/c3/c1/c3c1a164334553dc8b23f84e8d3196fd.jpg;https://cdn.entero.ru/mp@2x/e8/41/e841f054379533273b222e005027ed46.jpg;https://cdn.entero.ru/mp@2x/e4/83/e48350f1c3100816ba4af8f779fe5343.jpg;https://cdn.entero.ru/mp@2x/8a/11/8a11511032ef4f84ba02ec3da9e2e0bd.jpg,Аппарат для попкорна CuisinAid CD-PM99B,Аппарат для попкорна CuisinAid CD-PM99B,2950,RUB,Да,,Профоборудование,Оборудование фаст-фуд,Аппараты для попкорна,https://entero.ru/item/334000,"<p>Аппарат для попкорна <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/334000"">CuisinAid CD-PM99B</a></b> используется на предприятиях общественного питания и торговли, в развлекательных центрах и кинотеатрах, а также на открытых площадках для приготовления воздушной кукурузы без использования масла с различными вкусовыми добавками. Модель оснащена съемной крышкой с широкой загрузочной горловиной и емкостью, используемой для загрузки продукта и в качестве дополнительной крышки. Корпус выполнен из черного пластика с декоративной серебристой вставкой в основании, чаша – из алюминия, крышка и емкость – из прозрачного поликарбоната.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная часовая производительность: 12 порций объемом 240 мл</li>
<li>Длительность приготовления порции: от 3 до 5 мин.</li>
</ul>",334000,220 В,1.2 кВт,190 мм,140 мм,315 мм,,Китай,,,0,,4214,,1 кг,,настольный,черный,соленый / сладкий,от 70 до 80 г,
https://cdn.entero.ru/mp@2x/33/76/3376184d49548b638888e173bba245b1.jpg;https://cdn.entero.ru/mp@2x/de/f2/def286b5927ebff39b330363ff5260cf.jpg,Аппарат для попкорна Rosso HP-6C,Аппарат для попкорна Rosso HP-6C,12539,RUB,Да,Rosso,Профоборудование,Оборудование фаст-фуд,Аппараты для попкорна,https://entero.ru/item/271270,"<p>Аппарат для попкорна <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/271270"">Rosso HP-6C</a></b> используется на предприятиях общественного питания и торговли. Модель оснащена ручкой регулировки температуры и внутренней лампой. Корпус выполнен из алюминиевого сплава и закаленного стекла, с напыленным внутренним покрытием.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Разовая загрузка:
<ul>
<li>Кукуруза: 150 г</li>
<li>Сахар: 100 г </li>
<li>Масло: 50 мл</li>
</ul>
</li>
<li>Скорость приготовления: 2 мин.</li>
<li>Температура: от 50 до 250℃</li>
<li>Время предварительного нагрева: от 5 до 6 мин.</li>
</ul>",271270,220 В,1.44 кВт,560 мм,420 мм,760 мм,24 кг,Китай,1,590x450x790 мм,0,https://entero.ru/manuals/333909/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Rosso%20HP-6C.doc,,,23.8 кг,1 кг/ч,настольный,красный,сладкий,,
https://cdn.entero.ru/mp@2x/48/26/482647c3ade65a3d6a8ad6b1843b7213.jpg;https://cdn.entero.ru/mp@2x/df/61/df61bc62770276b90b83959e66b194b8.jpg,Аппарат для попкорна Rosso HW-P8,Аппарат для попкорна Rosso HW-P8,28156,RUB,Да,Rosso,Профоборудование,Оборудование фаст-фуд,Аппараты для попкорна,https://entero.ru/item/373022,"<p>Аппарат для попкорна <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/373022"">Rosso HW-P8</a></b> используется на предприятиях общественного питания и торговли. Модель оснащена инфракрасной лампой для подогрева готового продукта. Корпус выполнен из нержавеющей стали, боковые панели – из закаленного стекла, чаша - из металла с антипригарным покрытием.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Разовая загрузка: 225 гр</li>
<li>Производительность: 160 порций/час</li>
</ul>",373022,220 В,1.9 кВт,755 мм,420 мм,905 мм,36 кг,Китай,1,820x480x970 мм,0,,29638,,,1 кг/ч,настольный,красный,,,
https://cdn.entero.ru/mp@2x/17/45/17453d2c44dabd898290f5f208e2ed51.jpg,Насос-дозатор для попкорна Enigma Replace parts,Насос-дозатор для попкорна Enigma Replace parts,124056,RUB,Да,Enigma,Профоборудование,Оборудование фаст-фуд,Аппараты для попкорна,https://entero.ru/item/346506,"<p>Насос-дозатор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/346506"">Enigma Replace parts</a></b> предназначен для автоматической подачи разогретого кокосового масла в котел аппарата для попкорна. Модель оснащена таймером.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Размеры: 310x310x590 мм</li>
<li>Напряжение: 220 В</li>
<li>Мощность: 0,9 кВт</li>
<li>Частота: 50 Гц</li>
<li>Объем без упаковки: 0,056699 м³</li>
<li>Объем упаковки: 0,093499 м³</li>
<li>Габариты в упаковке: 370х380х665 мм</li>
</ul>",346506,220 В,0.9 кВт,310 мм,310 мм,590 мм,,Китай,,,0,https://entero.ru/manuals/424878/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Enigma%20Replace%20parts.pdf,,,,,,,,,
https://cdn.entero.ru/mp@2x/d0/db/d0db46653959e77abfe184db271c19ef.jpg,Аппарат для попкорна Enigma BR-8315,Аппарат для попкорна Enigma BR-8315,425276,RUB,Да,Enigma,Профоборудование,Оборудование фаст-фуд,Аппараты для попкорна,https://entero.ru/item/346640,"<p>Аппарат для попкорна <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/346640"">Enigma BR-8315</a></b> используется на предприятиях общественного питания и торговли. Модель оснащена закрытым стендом. Купол и стойки корпуса выполнены из стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем котла: 16 унций</li>
<li>Объем нетто: 0.791901</li>
<li>Объем брутто: 1.47111</li>
<li>Производительность: 320 порций по 28 гр</li>
</ul>",346640,220 В,2.2 кВт,668 мм,666 мм,1780 мм,156 кг,Китай,1,1555x795x1190 мм,0,https://entero.ru/manuals/425251/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Enigma%20BR-8315.pdf,,,90 кг,9 кг/ч,напольный,нерж. сталь,соленый,453 г,
https://cdn.entero.ru/mp@2x/b8/d3/b8d33c1432dd0a692974a7c084278094.jpg,Аппарат для попкорна Enigma BR 8310-А,Аппарат для попкорна Enigma BR 8310-А,529002,RUB,Да,Enigma,Профоборудование,Оборудование фаст-фуд,Аппараты для попкорна,https://entero.ru/item/346639,"<p>Аппарат для попкорна <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/346639""><b class=""b"">Enigma BR-8310-A</b></a> используется на предприятиях общественного питания и торговли. Корпус и котел с поверхностью выполнены из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем котла: 32 унций</li>
<li>Производительность: (645 порций по 28г)</li>
</ul>",346639,380 В,4.2 кВт,950 мм,730 мм,1100 мм,136 кг,Китай,1,995x795x1355 мм,0,https://entero.ru/manuals/425250/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Enigma%20BR%208310-%D0%90.pdf,,,136 кг,18 кг/ч,настольный,нерж. сталь,соленый,907 г,
https://cdn.entero.ru/mp@2x/2c/46/2c46a0b162c366a21e2c6c39cfbadf10.jpg,Аппарат для попкорна Enigma BR-8310,Аппарат для попкорна Enigma BR-8310,742676,RUB,Да,Enigma,Профоборудование,Оборудование фаст-фуд,Аппараты для попкорна,https://entero.ru/item/346638,"<p>Аппарат для попкорна <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/346638"">Enigma BR-8310</a></b> используется на предприятиях общественного питания и торговли. Модель оснащена закрытым стендом. Купол и стойки корпуса выполнены из стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем котла: 32 унций</li>
<li>Производительность: (645 порций по 28гр)</li>
</ul>",346638,380 В,4.2 кВт,950 мм,730 мм,2000 мм,212 кг,Китай,1,1610x1010x1355 мм,0,https://entero.ru/manuals/425249/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Enigma%20BR-8310.pdf,,,212 кг,18 кг/ч,напольный,нерж. сталь,соленый,907 г,
https://cdn.entero.ru/mp@2x/b5/7e/b57e10e4690525c5aca99ef95d009d39.jpg;https://cdn.entero.ru/mp@2x/ae/25/ae25fe78af63284b4510a347a1dba778.jpg;https://cdn.entero.ru/mp@2x/bc/f6/bcf6957b3d1d3e6ae0cf7f72b0ffb627.jpg;https://cdn.entero.ru/mp@2x/c7/5a/c75aca261370d4555ab4d662fa194927.jpg,Аппарат для попкорна RoboLabs Robopop 60,104101,2319302,RUB,Да,RoboLabs,Профоборудование,Оборудование фаст-фуд,Аппараты для попкорна,https://entero.ru/item/84479,"<p>Аппарат для попкорна <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/84479"">RoboLabs Robopop 60</a></b> предназначен для раскрытия кукурузного зерна при помощи горячего воздуха на предприятиях пищевой промышленности. Распределение зерна по параболическому дну чаши рабочей камеры происходит равномерным слоем. Зерно постоянно находится в движении вокруг оси чаши, перемешивается и равномерно прогревается. Благодаря вихревому воздушному потоку внутри камеры, раскрывшиеся зерна немедленно удаляются из горячей зоны, что благотворно сказывается на качестве и вкусе попкорна.</p>

<p>Модель оснащена двойным дозатором и сифтером, куда попадает раскрытое кукурузное зерно, и происходит отделение шелухи и нераскрытых зерен от готового попкорна. В последующем такой попкорн идеально подходит для нанесения карамельной смеси или изготовления попкорна с заданным вкусом. Оборудование выполнено из нержавеющей стали.</p>

<p>В комплекте поставки входят 2 тележки для готового попкорна.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Раскрытие попкорна при помощи горячего воздуха, попкорн не жарится на масле, нет канцерогенов и трансжиров</li>
<li>Аппарат автоматизирован, участие оператора минимальное</li>
<li>Сенсорный экран</li>
<li>Новая система защиты камеры от переполнения позволяет в разы сократить забивание камеры и упростить техническое обслуживание</li>
<li>Теплоизолированный корпус</li>
<li>Тепловой бункер вмещает 2 бидона с маслом</li>
<li>Форсунка для масла прогревается в процессе работы аппарата, что исключает застывание масла</li>
<li>Аппарат поставляется в собранном виде</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем бункера для зерна: 15 кг</li>
</ul>",84479,380 В,11.3 кВт,1430 мм,600 мм,1700 мм,,Россия,,,0,https://entero.ru/manuals/302912/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%A2%D0%A2%D0%9C%20Robopop%2060.pdf;https://entero.ru/manuals/502727/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,2441371,https://vk.com/video_ext.php?oid=-177656185&id=456239379&hd=2&autoplay=0;https://vk.com/video_ext.php?oid=-177656185&id=456239784&hd=2&autoplay=0,250 кг,28 кг/ч,напольный,серебряный,соленый / сладкий,,Да
https://cdn.entero.ru/mp@2x/af/ac/afac74a2fe63daae3553d0321d42bc5c.jpg;https://cdn.entero.ru/mp@2x/65/2e/652ec742bef178f7e9136343bb4fd47b.jpg,Аппарат для попкорна Hurakan HKN-PCORN-T,Аппарат для попкорна Hurakan HKN-PCORN-T,28002,RUB,Нет,Hurakan,Профоборудование,Оборудование фаст-фуд,Аппараты для попкорна,https://entero.ru/item/73482,"<p>Аппарат для попкорна <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/73482""><b class=""b"">Hurakan HKN-HKN-PCORN-T</b></a> используется на предприятиях общественного питания и торговли. Модель оснащена панорамным стеклом, двойным дном с подогревом и тележкой. Корпус выполнен из алюминия.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: 0,5 чаша/мин.</li>
<li>Температурный режим: от 50 до 250 °С</li>
<li>Дозировка на порцию:
<ul>
<li>Масло: 50 мл</li>
<li>Сахар: 100 г</li>
<li>Зерно: 150 г</li>
</ul>
</li>
<li>Габариты в упаковке: 620х540х1300 мм</li>
</ul>",73482,220 В,1.3 кВт,940 мм,450 мм,1540 мм,,Китай,,,0,https://entero.ru/manuals/43164/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-PCORN-T.docx;https://entero.ru/manuals/351483/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-PCORN-T.pdf;https://entero.ru/manuals/415377/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-PCORN-T.pdf;https://entero.ru/manuals/415378/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/415379/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf,30437,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241063&hash=5baf8251d7ba0af0,34.5 кг,,напольный,красный,соленый / сладкий,,Да
