Изображения,Название,Артикул,Цена,Валюта,Наличие,Категория,Подкатегория,URL,Описание,Код товара,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Вес (без упаковки),Формат,Автор,Издательство,ISBN,Год издания,Количество страниц,Тип обложки,Составитель,Бумага,Печать
https://cdn.entero.ru/mp@2x/b3/50/b350db95edf2519d6cbf37e74fd89c4e.jpg;https://cdn.entero.ru/mp@2x/70/7e/707ec1463d44f276d090492c1526ec72.jpg,"Ресторанные Ведомости Ресторанный бизнес вне ресторана. 48 бизнес-кейсов, 152 лайфхака от ведущих лидеров индустрии",Книга 9785990811997,0,RUB,Нет,Профоборудование,Литература для ресторанного бизнеса,https://entero.ru/item/122485,"<p>Книга <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/122485""><b class=""b"">Ресторанный бизнес вне ресторана. 48 бизнес-кейсов, 152 лайфхака от ведущих лидеров индустрии</b></a> предназначена для использования в сфере ресторанного бизнеса. В издании приведены удобные для легкого восприятия форматы для развития организации общественного питания вне ресторана: доставка, кейтеринг, кулинарии, столовые, фабрики-кухни, производство на ресторанной кухне, фудтраки, кулинарные студии и варианты инвестирования в чужие идеи.</p>",122485,,,,,,,0,https://entero.ru/manuals/129416/%D0%9F%D1%80%D0%B5%D0%B4%D0%B2%D0%B0%D1%80%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%20%D0%BF%D1%80%D0%BE%D1%81%D0%BC%D0%BE%D1%82%D1%80.pdf,0.3 кг,70х100/16,,Ресторанные ведомости,978-5-9908119-9-7,2017,224,Мягкий переплет,"Коробкова Е., Родионова О., Устинова К.",Офсетная,Плоская офсетная
https://cdn.entero.ru/mp@2x/e2/78/e27842ab0a685578b083b238acb0c3c0.jpg;https://cdn.entero.ru/mp@2x/8c/52/8c524c3e536f4edb2615a70f57ff2d05.jpg,Кривошонок Константин Ресторанные Ведомости Управление гигиеной ресторана Санитарный максимум,Кривошонок Константин Ресторанные Ведомости Управление гигиеной ресторана Санитарный максимум,0,RUB,Нет,Профоборудование,Литература для ресторанного бизнеса,https://entero.ru/item/258231,"<p>Книга <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/258231""><b class=""b"">Управление гигиеной ресторана Санитарный максимум</b></a> предназначена для использования в сфере ресторанного бизнеса. В издании представлены рекомендации по гигиеническим вопросам и санитарному менеджменту. Особенность книги - возможность доступа к дополнительному web-контенту в формате аудио, видео и графики. </p>",258231,235 мм,160 мм,15 мм,0.825 кг,1,258x176x16 мм,0,https://entero.ru/manuals/318109/%D0%9F%D1%80%D0%B5%D0%B4%D0%B2%D0%B0%D1%80%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%20%D0%BF%D1%80%D0%BE%D1%81%D0%BC%D0%BE%D1%82%D1%80.pdf,0.75 кг,60х90/8,Кривошонок К.,Ресторанные ведомости,978-5-6044967-0-1,,224,"Мягкий переплет, Суперобложка",,,
https://cdn.entero.ru/mp@2x/ce/01/ce016408a22234f11a6c1618159f4ccf.jpg,Ресторанные Ведомости Энциклопедия пекаря: современные технологии и нормативы,Книга 9785604095300,0,RUB,Нет,Профоборудование,Литература для ресторанного бизнеса,https://entero.ru/item/122463,"<p>Книга <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/122463""><b class=""b"">Энциклопедия пекаря: современные технологии и нормативы</b></a> предназначена для использования в сфере ресторанного бизнеса. В издании представлены методические рекомендации и статьи о гигиене питания и безопасности хлебобулочных изделий, сырью и пищевым добавкам, технологиям и процессам хлебопекарного производства и необходимого для этого оборудования, организации производства и контролю за ним, хранению и реализации хлебобулочных изделий.</p>",122463,,,,,,,0,https://entero.ru/manuals/129402/%D0%9F%D1%80%D0%B5%D0%B4%D0%B2%D0%B0%D1%80%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%20%D0%BF%D1%80%D0%BE%D1%81%D0%BC%D0%BE%D1%82%D1%80.pdf,0.45 кг,70х100/16,Романов А.С.,Ресторанные ведомости,978-5-6040953-0-0,2019,376,Мягкий переплет,,Офсетная,Плоская офсетная
https://cdn.entero.ru/mp@2x/24/88/2488763ba41dd4e2b3c8aba29c5643af.jpg;https://cdn.entero.ru/mp@2x/c6/e8/c6e8803ad9bcd31ac8873c1817347bc0.jpg,Ресторанные Ведомости Фастфуд на миллион. Made in Russian Регион,Ресторанные Ведомости Фастфуд на миллион. Made in Russian Регион,0,RUB,Нет,Профоборудование,Литература для ресторанного бизнеса,https://entero.ru/item/258233,"<p>Книга <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/258233""><b class=""b"">Фастфуд на миллион. Made in Russian Регион</b></a> предназначена для использования в сфере ресторанного бизнеса. В издании представлены материалы об особенностях работы в ресторанах быстрого обслуживания, о том, как спланировать бюджет, настроить инструменты локального маркетинга, оптимизировать бизнес-процессы, перейти на местные продукты, внедрить автоматизацию на всех стадиях производства, организовать доставку и предложение блюд навынос, выжить в условиях кризиса и масштабировать маленький региональный проект до уровня федеральной франшизы. </p>

<p>Основатели сети «Гриль №1» Анастасия и Станислав Сергеевы рассказывают, как с нуля создать объект и окупить его в течение года.</p>",258233,240 мм,160 мм,10 мм,0.715 кг,1,264x176x11 мм,0,https://entero.ru/manuals/318112/%D0%9F%D1%80%D0%B5%D0%B4%D0%B2%D0%B0%D1%80%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%20%D0%BF%D1%80%D0%BE%D1%81%D0%BC%D0%BE%D1%82%D1%80.pdf,0.65 кг,,Сергеева А. Сергеев С.,Ресторанные ведомости,978-5-6040953-9-3,2020,,Мягкий переплет,,,
https://cdn.entero.ru/mp@2x/5e/32/5e327e3ba832a25bc86711e8a9f9af46.jpg,Ресторанные Ведомости Умное меню. Сделано в Петербурге,Книга 9785604095324,0,RUB,Нет,Профоборудование,Литература для ресторанного бизнеса,https://entero.ru/item/122419,"<p>Книга <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/122419""><b class=""b"">Умное меню. Сделано в Петербурге</b></a> предназначена для использования как в сфере ресторанного бизнеса, так и в домашних условиях. В издании представлены рецепты, созданные на основе принципов использования исключительно натуральных и безопасных продуктов и умного меню (учет стоимости продуктов, сопутствующих расходов и человеческого фактора). Описания необходимых ингредиентов, пошагового приготовления и сервировок дополнены цветными иллюстрациями с приготовленными блюдами.</p>",122419,,,,,,,0,https://entero.ru/manuals/129385/%D0%9F%D1%80%D0%B5%D0%B4%D0%B2%D0%B0%D1%80%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%20%D0%BF%D1%80%D0%BE%D1%81%D0%BC%D0%BE%D1%82%D1%80.pdf,1.05 кг,60х90/8,"Пращенко И. А., Акбашев З. Д.",Ресторанные ведомости,978-5-6040953-2-4,2020,160,"Суперобложка, Твердый переплет",,Мелованная,Плоская офсетная
https://cdn.entero.ru/mp@2x/84/c6/84c66accfcb5805d0d79f559c8599e8b.jpg,Ресторанные Ведомости Русская кухня от Президента Национальной гильдии шеф-поваров,Книга 9785604095256,0,RUB,Нет,Профоборудование,Литература для ресторанного бизнеса,https://entero.ru/item/122430,"<p>Книга <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/122430""><b class=""b"">Русская кухня от Президента Национальной гильдии шеф-поваров</b></a> предназначена для использования как в сфере ресторанного бизнеса, так и в домашних условиях. В издании представлены тематические материалы о становлении автора в профессионального шеф-повара от начала карьеры по настоящее время и рецепты русской кухни. Описания необходимых ингредиентов, пошагового приготовления и сервировок дополнены цветными иллюстрациями с приготовленными блюдами.</p>",122430,,,,,,,0,https://entero.ru/manuals/129389/%D0%9F%D1%80%D0%B5%D0%B4%D0%B2%D0%B0%D1%80%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%20%D0%BF%D1%80%D0%BE%D1%81%D0%BC%D0%BE%D1%82%D1%80.pdf,1.05 кг,60х90/8,Филин А.Н.,Ресторанные ведомости,978-5-6040952-5-6,2019,152,"Суперобложка, Твердый переплет",,Мелованная,Плоская офсетная
https://cdn.entero.ru/mp@2x/ea/01/ea018dd818c3c6b6e4a7cee1ab7e1389.jpg;https://cdn.entero.ru/mp@2x/22/4b/224b808fd602478164afd044975615fc.jpg,"Ресторанные Ведомости Секретные материалы кондитеров. Рецепты, продукты, технологии, подача",Книга 9785950014994,0,RUB,Нет,Профоборудование,Литература для ресторанного бизнеса,https://entero.ru/item/122433,"<p>Книга <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/122433""><b class=""b"">Секретные материалы кондитеров. Рецепты, продукты, технологии, подача</b></a> предназначена для использования как в сфере ресторанного бизнеса, так и в домашних условиях. В издании представлены технологии приготовления, идеи, решения и рецепты различных десертов. Описания необходимых ингредиентов, пошагового приготовления и сервировок дополнены цветными иллюстрациями с приготовленными блюдами.</p>",122433,,,,,,,0,https://entero.ru/manuals/129392/%D0%9F%D1%80%D0%B5%D0%B4%D0%B2%D0%B0%D1%80%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%20%D0%BF%D1%80%D0%BE%D1%81%D0%BC%D0%BE%D1%82%D1%80.pdf,1.05 кг,60х90/8,,Ресторанные ведомости,978-5-9500149-9-4,2018,176,"Твердый переплет, Суперобложка",Аносова Е.Ю.,Мелованная,Плоская офсетная
https://cdn.entero.ru/mp@2x/7b/c8/7bc8e7fec792b46b4fe2ad709d3a4d8b.jpg;https://cdn.entero.ru/mp@2x/f6/16/f61686915048f508dcb00a229b95b5dc.jpg,Ресторанные Ведомости CHEFART. Секретные материалы шеф-поваров,Книга 9785990811935,0,RUB,Нет,Профоборудование,Литература для ресторанного бизнеса,https://entero.ru/item/122435,"<p>Книга <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/122435""><b class=""b"">CHEFART. Секретные материалы шеф-поваров</b></a> предназначена для использования как в сфере ресторанного бизнеса, так и в домашних условиях. В издании представлены авторские приемы и наработки, подробные практические рекомендации по продуктам, технологиям, оборудованию и рецепты. Описания необходимых ингредиентов, пошагового приготовления и сервировок дополнены цветными иллюстрациями с приготовленными блюдами.</p>",122435,,,,,,,0,https://entero.ru/manuals/129394/%D0%9F%D1%80%D0%B5%D0%B4%D0%B2%D0%B0%D1%80%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%20%D0%BF%D1%80%D0%BE%D1%81%D0%BC%D0%BE%D1%82%D1%80.pdf,1.05 кг,60х90/8,,Ресторанные ведомости,978-5-9908119-3-5,2017,160,"Суперобложка, Твердый переплет",Аносова Е.Ю.,Мелованная,Плоская офсетная
https://cdn.entero.ru/mp@2x/0e/58/0e58dacb420e51b32e98f1b888bb18a2.jpg,Ресторанные Ведомости Секретные материалы барменов,Книга 9785950014963,0,RUB,Нет,Профоборудование,Литература для ресторанного бизнеса,https://entero.ru/item/122439,"<p>Книга <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/122439""><b class=""b"">Секретные материалы барменов</b></a> предназначена для использования как в сфере ресторанного бизнеса, так и в домашних условиях. В издании представлены технологии приготовления, идеи, решения и рецепты различных коктейлей. Описания необходимых ингредиентов, пошагового приготовления и сервировок дополнены цветными иллюстрациями с приготовленными напитками.</p>",122439,,,,,,,0,https://entero.ru/manuals/129396/%D0%9F%D1%80%D0%B5%D0%B4%D0%B2%D0%B0%D1%80%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%20%D0%BF%D1%80%D0%BE%D1%81%D0%BC%D0%BE%D1%82%D1%80.pdf,1.05 кг,60х90/8,,Ресторанные ведомости,978-5-9500149-6-3,2017,160,"Суперобложка, Твердый переплет","Аносова Е.Ю., Торощин Р.С.",,
https://cdn.entero.ru/mp@2x/f8/f4/f8f44682be1c8b6e29bbab716901740e.jpg;https://cdn.entero.ru/mp@2x/c3/24/c324d2539fcda00c5fd519112e63675b.jpg,"Виолетта Гвоздовская. Ресторанные Ведомости Управление рестораном, который любит гостей",Книга 9785981761119,0,RUB,Нет,Профоборудование,Литература для ресторанного бизнеса,https://entero.ru/item/122477,"<p>Книга <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/122477""><b class=""b"">Управление рестораном, который любит гостей</b></a> предназначена для использования в сфере ресторанного бизнеса. В издании представлены рекомендации по выстроению системы производственного учета, проведению эффективной инвентаризации, закупке и хранению товара, организации работы каждой из зон ресторана и многому другому. Подробные описания дополнены схемами и таблицами для более легкого восприятия и запоминания.</p>",122477,,,,,,,0,https://entero.ru/manuals/129412/%D0%9F%D1%80%D0%B5%D0%B4%D0%B2%D0%B0%D1%80%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%20%D0%BF%D1%80%D0%BE%D1%81%D0%BC%D0%BE%D1%82%D1%80.pdf,0.4 кг,70х100/16,Гвоздовская В.А.,Ресторанные ведомости,978-5-98176-111-9,2015,232,Мягкий переплет,,,
https://cdn.entero.ru/mp@2x/27/b2/27b28ee2d58dc9ed51b04b843fafb9b2.jpg,Ресторанные Ведомости Битва за гостя на районе. 120 инструментов локального маркетинга,9785604095379,0,RUB,Нет,Профоборудование,Литература для ресторанного бизнеса,https://entero.ru/item/258209,"<p>Книга <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/258209""><b class=""b"">Битва за гостя на районе. 120 инструментов локального маркетинга</b></a> предназначена для использования в сфере ресторанного бизнеса. В издании представлены рекомендации по бизнес-процессам, которые связаны с инструментами для привлечения гостей в ресторан по территориальному признаку.</p>",258209,235 мм,160 мм,17 мм,0.385 кг,1,258x176x18 мм,0,https://entero.ru/manuals/318035/%D0%9F%D1%80%D0%B5%D0%B4%D0%B2%D0%B0%D1%80%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%20%D0%BF%D1%80%D0%BE%D1%81%D0%BC%D0%BE%D1%82%D1%80.pdf,0.35 кг,70х100/16,Авруцкая И. Тарабрина О.,Ресторанные ведомости,978-5-6040953-7-9,2020,160,Мягкий переплет,,,
