Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Производительность,Подключение,Производительность по стаканам,Цикл мойки,Размер кассеты,Подключение к горячей воде,Дозатор моющего средства,Дозатор ополаскивающего средства,Сливной насос (помпа),Расход воды за цикл,Температура подключаемой воды,Емкость бойлера,Емкость моечной ванны,Мощность помпы,Мощность бойлера,Мощность ТЭНа ванны,Максимальная высота бокалов,Функция Thermostop,Водоумягчитель воды,Электронный таймер
https://cdn.entero.ru/mp@2x/1b/5a/1b5ae66a0f8d82a8ba44b7df640a2f78.jpg,Стаканомоечная машина MACH EASY 40,ита1018,0,RUB,Нет,MACH,Профоборудование,Посудомоечное,Стаканомоечные машины,https://entero.ru/item/80523,"<p>Стаканомоечная машина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/80523"">MACH EASY 40</a></b> используется на предприятиях общественного питания для мойки стаканов, чашек, кухонных принадлежностей и приборов. Облицовка и некоторые внутренние элементы изготовлены из нержавеющей стали AISI 304.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>2 пластиковых контейнера для столовых приборов</li>
<li>1 пластиковая вставка для блюдец/маленьких тарелок</li>
<li>1 универсальная пластиковая корзина</li>
<li>1 корзина на 7 тарелок</li>
</ul>",80523,220 В,4.61 кВт,460 мм,540 мм,690 мм,,Италия,,,0,https://entero.ru/manuals/460858/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20MACH%20EASY%2040.docx,,,,,"к горячей воде, к холодной воде",1100 шт./ч,150 сек.,400х400 мм,Да,,Да,,,50 °C,,,,,,,,,
https://cdn.entero.ru/mp@2x/71/93/71934bf958bf4bdacf5d39ab910f55b6.jpg,Стаканомоечная машина Aristarco AE 35.21,Стаканомоечная машина Aristarco AE 35.21,0,RUB,Нет,Aristarco,Профоборудование,Посудомоечное,Стаканомоечные машины,https://entero.ru/item/51699,"<p>Машина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/51699""><b class=""b"">Aristarco AE 35.21</b></a> применяется для мытья чашек и стаканов. Оборудование оснащено фронтальной загрузкой, термостатами, автоматической системой наполнения и встроенным дозатором ополаскивающих средств. В его конструкции предусмотрена бронированная дверь. Корпус выполнен из нержавеющей стали.,</p>

<p>В комплект поставки входят вставка для блюдец, корзина для ложек и 2 кассеты для стаканов.</p>",51699,220 В,2.7 кВт,406 мм,435 мм,600 мм,,Италия,,,0,,,,30 кг,30 корзин в час,,,,,Да,,Да,,2 л,,2.2 л,12 л,0.2 кВт,2.5 кВт,2 кВт,200 мм,Да,,
https://cdn.entero.ru/mp@2x/e0/fa/e0fae71cf5965fcd50a487bf4d6b5b96.jpg,Стаканомоечная машина Compack G3527,ARIS G3527,0,RUB,Нет,Compack,Профоборудование,Посудомоечное,Стаканомоечные машины,https://entero.ru/item/98124,"<p>Стаканомоечная машина<b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/98124"">Compack G3527</a></b> серии ARIS используется на предприятиях общественного питания и торговли для мойки стаканов, чашек, тарелок и столовых приборов. Модель оснащена механической панелью управления и подключением к горячей и холодной воде. Корпус выполнен из нержавеющей стали AISI 304.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>2 корзины для стаканов размером 350x350x150 мм</li>
<li>Держатель для тарелок на 12 мест</li>
<li>Держатель для приборов</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр моющего рукава: 180 мм</li>
<li>Высота корзины: 150 мм</li>
<li>Жесткость воды: 7-10 °f</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Дисплей ADVANCE</li>
<li>Насос мощностью 0,368 кВт</li>
<li>Сливной насос мощностью 0,04 кВт</li>
<li>Ножки из нержавеющей cтали высотой от 50 до 70 мм</li>
</ul>",98124,220 В,2.79 кВт,420 мм,485 мм,660 мм,,Италия,,,0,https://entero.ru/manuals/138739/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Compack%20G3527.pdf,,,46 кг,30 корзин в час,,,120 сек.,350х350 мм,Да,Да,Да,,2 л,55 °C,3.2 л,13 л,0.19 кВт,2.5 кВт,2.6 кВт,240 мм,,,
https://cdn.entero.ru/mp@2x/ee/54/ee547780242a202769d79f4c92da22e9.jpg,Стаканомоечная машина Compack G4026,ARIS G4026,0,RUB,Нет,Compack,Профоборудование,Посудомоечное,Стаканомоечные машины,https://entero.ru/item/98184,"<p>Стаканомоечная машина<b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/98184"">Compack G4026</a> </b>серии ARIS используется на предприятиях общественного питания и торговли для мойки стаканов, чашек, тарелок и столовых приборов. Модель оснащена механической панелью управления и подключением к горячей и холодной воде. Корпус выполнен из нержавеющей стали AISI 304.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>2 корзины для стаканов размером 400x400x150 мм</li>
<li>Держатель для тарелок на 12 мест</li>
<li>Держатель для приборов</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр тарелки: 265 мм</li>
<li>Высота корзины: 150 мм</li>
<li>Жесткость воды: 7-10 °f</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Наклонная корзина для винных бокалов размером 400x400x170 мм</li>
<li>Насос мощностью 0,368 кВт</li>
<li>Сливной насос мощностью 0,04 кВт</li>
<li>Ножки из нержавеющей cтали высотой от 50 до 70 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",98184,220 В,2.79 кВт,470 мм,535 мм,660 мм,,Италия,,,0,https://entero.ru/manuals/138742/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Compack%20G4026.pdf,,,,30 корзин в час,,,120 сек.,400х400 мм,Да,Да,Да,,2 л,55 °C,3.2 л,17 л,0.19 кВт,2.5 кВт,2.6 кВт,240 мм,,,
https://cdn.entero.ru/mp@2x/c9/34/c9344b09c77d0e38f0171b43384f31ef.jpg;https://cdn.entero.ru/mp@2x/74/b5/74b51d2ec4949834a269c915dd6fac93.jpg;https://cdn.entero.ru/mp@2x/cb/a1/cba1cd764a2f02a6d653f57934f3a72e.jpg,Машина стаканомоечная Aristarco AF 40.30 ESI DD DP,3730-010008,0,RUB,Нет,Aristarco,Профоборудование,Посудомоечное,Стаканомоечные машины,https://entero.ru/item/366167,"<p>Стаканомоечная машина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/366167"">Aristarco AF 40.30 ESI DD DP</a></b> серии Fusion используется на предприятиях общественного питания и торговли для мойки стаканов, чашек, тарелок и столовых приборов. Модель оснащена электромеханической панелью управления, магнитным дверным выключателем и обратным клапаном. Корпус и рычаги для мытья и ополаскивания изготовлены из нержавеющей стали AISI 304, фильтр промывочного насоса - из пластика.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>2 корзины для бокалов 400x400 мм</li>
<li>1 корзина с держателем для ложек </li>
<li>1 держатель для блюдец (на 12 шт) </li>
<li>Шланг для подачи воды (2 м) </li>
</ul>

<p> <b>Особенности:</b></p>

<ul>
<li>Предварительно отформованный промывной бачок</li>
<li>Двойная обшивка двери</li>
<li>Легкоснимаемый фильтр промывочного насоса</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Входное давление: от 2 до 5 бар</li>
<li>Мощность:
<ul>
<li>ТЭН бойлера: 2,7 кВт</li>
<li>ТЭН бака: 2,4 кВт</li>
</ul>
</li>
<li>Вместимость:
<ul>
<li>Кофейные чашки Ø 65 мм: 30 шт</li>
<li>Бокалы Ø 90 mm: 16 шт<br>
</li>
</ul>
</li>
</ul>",366167,220 В,2.89 кВт,455 мм,550 мм,690 мм,,Италия,,,0,https://entero.ru/manuals/476855/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Aristarco%20AF%2040.30%20DP%20DDE%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,,,38 кг,30 корзин в час,,,120 сек.,400х400 мм,Да,,Да,Да,2 л,от 10 до 50 °C,3 л,,,,,300 мм,Да,,
https://cdn.entero.ru/mp@2x/f2/38/f2387888308f8435f763d4818892c033.jpg;https://cdn.entero.ru/mp@2x/0e/be/0ebec69a252311edf9feab288f24fb29.jpg;https://cdn.entero.ru/mp@2x/ec/b1/ecb162eb8c4f1c29108ae9538eda0105.jpg;https://cdn.entero.ru/mp@2x/67/54/675464591582bb5aaa1cfaf2eaf359cf.jpg,Стаканомоечная машина Hi Chief GW-640+RA ECO с дозатором ополаскивающего средства,GW-640+RA,0,RUB,Нет,,Профоборудование,Посудомоечное,Стаканомоечные машины,https://entero.ru/item/250111,"<p>Стаканомоечная машина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/250111""><b class=""b"">Hi Chief GW-640+RA ECO</b></a> предназначена для мытья в кассетах стаканов, чашек и столовых приборов с применением жидких моющих и ополаскивающих средств на предприятиях общественного питания и торговли. Модель оснащена фронтальной камерой с моечной ванной, бойлером, электродвигателем, верхними и нижними моечными рукавами, насосом-дозатором ополаскивающего средства, откидной дверью с горизонтальной рукояткой, кабелем питания с вилкой и кнопочной панелью управления. Корпус и внутренняя облицовка камеры выполнены из нержавеющей стали, моечные рукава – из высококачественного термостойкого пластика.</p>

<p>В комплект поставки входит моечная кассета, заводская упаковка и инструкция по эксплуатации.</p>

<p><b>Особенности:</b></p>

<ul>
<li>1 программа мойки</li>
<li>Автоматическое включение при закрывании двери</li>
<li>Ручная подача моющего средства</li>
<li>Автоматическая подача ополаскивающего средства</li>
<li>Нагрев воды в бойлере и ванне с помощью электронагревательных элементов</li>
<li>Наполнение ванны водой и контроль уровня </li>
<li>Контроль и поддержание температуры воды в ванне и бойлере </li>
<li>Светодиодные индикаторы питания, нагрева, процессов мойки и ополаскивания</li>
<li>Устройства безопасности:
<ul>
<li>Защитный термомтат температуры сопротивления с ручным сбросом</li>
<li>Плавкий предохранитель тепловой защиты двигателя</li>
</ul>
</li>
<li>Электромагнитная блокировка двери</li>
<li>Двойная стенка двери для энергосбережения </li>
<li>Свободный доступ к системе рычагов для удобства технического обслуживания</li>
<li>Регулируемые по высоте опоры для компенсации неровностей пола</li>
<li>Простота управления благодаря удобному командному интерфейсу</li>
<li>Низкое энергопотребление</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Условия эксплуатации:
<ul>
<li>Давление в сети водоснабжения: 4 бар</li>
<li>Максимальная жесткость воды: 12°F </li>
<li>Максимальная проводимость воды при 25 °C: 1000 мСм/см</li>
<li>Сила тока защитного автомата: 25 А</li>
</ul>
</li>
<li>Диапазон температуры среды:
<ul>
<li>Режим мойки: от 60 до 65°C</li>
<li>Режим ополаскивания: от 70 до 85 °C</li>
</ul>
</li>
<li>Потребляемая мощность
<ul>
<li>Электродвигатель: 0,26 кВт</li>
<li>Общая электронагревательных элементов: 3 кВт</li>
</ul>
</li>
<li>Максимальный уровень звукового давления: 60 дБ</li>
<li>Сечение кабеля питания: 3х2,5 мм²</li>
<li>Высота проема камеры: 270 мм</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",250111,220 В,3.3 кВт,490 мм,570 мм,780 мм,,Турция,,,0,https://entero.ru/manuals/307162/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hi%20Chief%20GW-640%20RA%20ECO.pdf,,,50 кг,30 корзин в час,,,120 сек.,400х400 мм,,,Да,,,,,,,,,,,,
https://cdn.entero.ru/mp@2x/d6/a9/d6a9156a41a95ba5f16f570355473d49.jpg,Стаканомоечная машина Vortmax FDME 400,Стаканомоечная машина Vortmax FDME 400,140403,RUB,Нет,Vortmax,Профоборудование,Посудомоечное,Стаканомоечные машины,https://entero.ru/item/104295,"<p>Стаканомоечная машина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/104295"">Vortmax FDME 400</a></b> используется на предприятиях общественного питания и торговли для мойки тарелок, стаканов, бокалов, столовых приборов, а также гастроемкостей и противней. Модель оснащена электронной панелью управления и системой термостоп, обеспечивающей температуру ополаскивающей воды не менее 85 °С. Корпус, моющие рукава и бак выполнены из нержавеющей стали.</p>

<p>В комплект поставки входят 2 квадратные корзины для стаканов, вставка для блюдец и кассета для приборов.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество режимов мойки: 3</li>
</ul>",104295,220 В,3.2 кВт,455 мм,500 мм,700 мм,42 кг,Италия,1,500x550x750 мм,0,,150971,,36 кг,30 корзин в час,к горячей воде,480 шт./ч,,400х400 мм,Да,Да,Да,,2 л,55 °C,,12 л,,,,300 мм,Да,,
https://cdn.entero.ru/mp@2x/43/6a/436adceb62075bd52dc246d20b584ade.jpg,Стаканомоечная машина SMEG Professional UG400DM,Стаканомоечная машина SMEG Professional UG400DM,159278,RUB,Нет,,Профоборудование,Посудомоечное,Стаканомоечные машины,https://entero.ru/item/301645,"<p>Стаканомоечная машина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/301645""><b class=""b"">Smeg UG400DM</b></a> серии Ecoline используется на предприятиях общественного питания и торговли для мойки стаканов, чашек и бокалов. Модель оснащена электромеханической панелью управления. Корпус выполнен из нержавеющей стали AISI 304.</p>

<p><b>Комплектация: </b></p>

<ul>
<li><a href=""https://entero.ru/item/40419"">PB40G01</a> - 2 универсальные кассеты с плоским дном</li>
<li><a href=""https://entero.ru/item/40417"">PHOOS01</a> - одинарная кассета для столовых приборов</li>
<li>Заливной шланг: 1,5 м</li>
<li>Сливной шланг: 2 м</li>
</ul>

<p><b>Технические особенности:</b></p>

<ul>
<li>Конструкция из нержавеющей стали AISI 304 (одинарные стенки)</li>
<li>Изолированная дверь с двойной стенкой</li>
<li>Цельнотянутые направляющие для корзин</li>
<li>Перистальтический дозатор ополаскивающего и моющего средств</li>
<li>Автоматическая мойка бака</li>
</ul>

<p> </p>",301645,220 В,3 кВт,440 мм,530 мм,670 мм,45 кг,Италия,1,510x630x820 мм,0,https://entero.ru/manuals/361783/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BF%D1%80%D0%BE%D1%84%D0%B5%D1%81%D1%81%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D1%85%20%D0%BF%D0%BE%D1%81%D1%83%D0%B4%D0%BE%D0%BC%D0%BE%D0%B5%D1%87%D0%BD%D1%8B%D1%85%20%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%20Smeg.pdf;https://entero.ru/manuals/361784/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BF%D1%80%D0%BE%D1%84%D0%B5%D1%81%D1%81%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE%D0%B3%D0%BE%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Smeg.pdf;https://entero.ru/manuals/476913/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20SMEG%20Professional%20UG400DM%20%28%D0%B0%D0%BD%D0%B3%D0%BB%29.pdf;https://entero.ru/manuals/476914/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20SMEG%20Professional%20UG400DM.pdf,,,40 кг,"24 корзины в час, 40 корзин в час, 15 корзин в час",,,90 / 150 сек.,400х400 мм,Да,Да,Да,Да,2.3 л,50 °C,4 л,8 л,0.3 кВт,2.3 кВт,2 кВт,330 мм,Да,,
https://cdn.entero.ru/mp@2x/b5/21/b521b977a486e30a8bc17fe0b8d2f414.jpg,Машина стаканомоечная ATA B 21,Машина стаканомоечная ATA B 21,109566,RUB,Нет,,Профоборудование,Посудомоечное,Стаканомоечные машины,https://entero.ru/item/255374,"<p>Стаканомоечная машина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/255374"">ATA B 21</a></b> предназначена для мытья в кассетах стаканов, чашек и столовых приборов с применением жидких моющих и ополаскивающих средств на предприятиях общественного питания и торговли. Модель оснащена фронтальной камерой с откидной дверью, кабелем питания с вилкой и электромеханической панелью управления. Корпус, дверь, внутренняя облицовка камеры, моечные рукава и фильтр выполнены из высококачественной нержавеющей стали AISI 304, рукоятка, панель управления и окантовка двери – из полимеров черного цвета, кнопки с хромированным покрытием.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Перистальтический дозатор моющего средства A5695</li>
<li>2 стандартные моечные кассеты для бокалов</li>
<li>Заводская упаковка</li>
<li>Инструкция по эксплуатации</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>1 программа мойки</li>
<li>Простое управление благодаря удобному интерфейсу</li>
<li>Светодиодные индикаторы питания, нагрева, процессов мойки и ополаскивания</li>
<li>Встроенный дозатор ополаскивающего средства с разъемами для дозатора моющих средств и сливной помпы</li>
<li>Двойная стенка двери для энергосбережения и минимизации нагрева наружной поверхности</li>
<li>Интегрированная заподлицо с поверхностью двери горизонтальная рукоятка для оптимизации пространства </li>
<li>Свободный доступ к системе копланарных рычагов для удобства технического обслуживания и очистки</li>
<li>Нескользящие опоры </li>
<li>Низкое энергопотребление</li>
<li>Эргономичный стильный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем: 0,13 м³</li>
<li>Высота проема камеры: 290 мм</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",255374,220 В,3.25 кВт,470 мм,530 мм,700 мм,39 кг,Италия,1,565x580x860 мм,0,https://entero.ru/manuals/312828/%D0%A1%D0%BF%D0%B5%D1%86%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ATA%20B%2021.pdf,117813,,33 кг,30 корзин в час,,,120 сек.,400х400 мм,Да,Да,Да,,,,,,,,,290 мм,,,
https://cdn.entero.ru/mp@2x/09/0a/090a1fe79c5aa3eb2de31a6011e11b9e.jpg,Стаканомоечная машина SMEG Professional UG400DMS,Стаканомоечная машина SMEG Professional UG400DMS,172572,RUB,Нет,,Профоборудование,Посудомоечное,Стаканомоечные машины,https://entero.ru/item/309564,"<p>Стаканомоечная машина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/309564""><b class=""b"">Smeg UG400DMS</b></a> серии Ecoline используется на предприятиях общественного питания и торговли для мойки стаканов, чашек и бокалов. Модель оснащена механическим управлением, 5-ти ступенчатой системой фильтрации и регулируемыми по высоте ножками. Коопус и бак выполнены из нержавеющей стали AISI 304, задняя панель - из оцинкованной стали, распылители - из пластика и нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Плавный запуск</li>
<li>Терморегулятор бойлера</li>
<li>Частичное обновление воды в баке и встроенном сливном насосе</li>
<li>Предупреждение о соли</li>
<li>Цикл слива и самоочистки</li>
<li>Одностенная конструкция бака</li>
<li>Класс защиты IPX4</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Загрузка моющего средства: 1,5 л/час</li>
<li>Скорость ополаскаивания: 0,4 л/час</li>
<li>Максимальная температура воды на входе: 60°C</li>
<li>Входное давление: от 2,5 до 6 бар</li>
<li>Максимальная высота ножек: 15 мм</li>
<li>Длина шланга для моющего средства: 2,2 м</li>
<li>Высота сливного отверстия: 600 мм</li>
<li>Глубина с открытой дверцей: 882 мм</li>
<li>Габариты в упаковке: 510х630х820 мм</li>
</ul>",309564,220 В,3 кВт,440 мм,530 мм,670 мм,44 кг,Италия,1,510x630x820 мм,0,https://entero.ru/manuals/371055/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BF%D1%80%D0%BE%D1%84%D0%B5%D1%81%D1%81%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D1%85%20%D0%BF%D0%BE%D1%81%D1%83%D0%B4%D0%BE%D0%BC%D0%BE%D0%B5%D1%87%D0%BD%D1%8B%D1%85%20%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%20Smeg.pdf;https://entero.ru/manuals/371056/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BF%D1%80%D0%BE%D1%84%D0%B5%D1%81%D1%81%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE%D0%B3%D0%BE%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Smeg.pdf;https://entero.ru/manuals/371212/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20SMEG%20UG400DMS%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,183587,,,40 корзин в час,,,90 / 150 сек.,400х400 мм,,Да,Да,Да,2.3 л,50 °C,4 л,8 л,0.29 кВт,2.7 кВт,2 кВт,330 мм,,Да,
https://cdn.entero.ru/mp@2x/b8/d2/b8d2e944ffdadbbd0f28e3bc9ada34fc.jpg;https://cdn.entero.ru/mp@2x/fa/0d/fa0d75ab1a78bb94cba881753be1dbe0.jpg;https://cdn.entero.ru/mp@2x/21/39/2139ed2e2eec8192a4c1c3d38890161e.jpg;https://cdn.entero.ru/mp@2x/61/c3/61c32e2322ba963ad31ebb9cdf7b0f55.jpg;https://cdn.entero.ru/mp@2x/79/90/7990216530a451009d655435fabccfbd.jpg,Стаканомоечная машина SMEG Professional SPG 400 ML,SPG400ML,182910,RUB,Нет,,Профоборудование,Посудомоечное,Стаканомоечные машины,https://entero.ru/item/345681,"<p>Стаканомоечная машина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/345681""><b class=""b"">Smeg SPG400ML</b></a> серии Ecoline используется на предприятиях общественного питания и торговли для мойки стаканов, чашек и бокалов. Модель оснащена механической панелью управления и регулируемыми по высоте ножками. Цельнотянутый бак выполнен из нержавеющей стали AISI 304, фильтр - из пластика.</p>

<p><b>Особенности:</b></p>

<ul>
<li>4-х ступенчатая система фильтрации</li>
<li>Слив и автоматическая мойка бака</li>
<li>Плавный старт</li>
<li>Перистальтические дозаторы моющего и ополаскивающего средств с ручной регулировкой</li>
<li>Двойные стенки дверцы</li>
<li>Гальванизированная задняя стенка</li>
<li>Класс защиты IPX4</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Давление воды на входе: от 250 до 1000 кПа</li>
<li>Температура воды на входе с электрическим подключением по умолчанию: 8°C</li>
<li>Максимальная температура поступающей воды: 60°C</li>
<li>Загрузка средства:
<ul>
<li>Моющего: 1,5 л/ч</li>
<li>Ополаскивающего: 0,4 л/ч</li>
</ul>
</li>
<li>Максимальная производительность по тарелкам: 640 шт/ч</li>
<li>Максимальная высота точки слива: 600 мм</li>
<li>Длина шлангов (моющего / ополаскивающего): 2,2 м</li>
<li>Габариты в упаковке: 510х630х820 мм<br>
</li>
</ul>",345681,220 В,3 кВт,530 мм,440 мм,670 мм,53 кг,Италия,1,510x630x820 мм,0,https://entero.ru/manuals/422383/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BF%D1%80%D0%BE%D1%84%D0%B5%D1%81%D1%81%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D1%85%20%D0%BF%D0%BE%D1%81%D1%83%D0%B4%D0%BE%D0%BC%D0%BE%D0%B5%D1%87%D0%BD%D1%8B%D1%85%20%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%20Smeg.pdf;https://entero.ru/manuals/422384/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BF%D1%80%D0%BE%D1%84%D0%B5%D1%81%D1%81%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE%D0%B3%D0%BE%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Smeg.pdf;https://entero.ru/manuals/422385/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B0%20SMEG%20SPG400ML.webp;https://entero.ru/manuals/422386/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20SMEG%20SPG400ML.pdf,,,47 кг,40 корзин в час,,,90 / 150 сек.,400х400 мм,,Да,Да,Да,3 л,от 60 до 83 °C,4.5 л,8 л,от 0.29 до 3 кВт,2.7 кВт,2 кВт,309 мм,Да,,
