Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Производительность,Диаметр лезвия,Беспроводной
https://cdn.entero.ru/mp@2x/0d/b2/0db20886530d15e4dcfaf4f8051535ef.jpg,Нож электрический для шаурмы ROAL KS100E,н0000156040,0,RUB,Нет,ROAL,Профоборудование,Оборудование фаст-фуд,Ножи для шаурмы,https://entero.ru/item/120009,"<p>Электрический нож для шаурмы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/120009"">ROAL KS100E</a></b> используется на на предприятиях общественного питания и торговли. Модель оснащена регулировочным винтом для задания толщины резки, ножевым предохранителем и шнуром питания с защитным кожухом. Корпус выполнен из пластмассы, режущая часть - из нержавеющей стали.</p>

<p>В комплект поставки входит дополнительное лезвие.</p>",120009,220 В,0.8 кВт,190 мм,110 мм,165 мм,,,,0,https://entero.ru/manuals/345487/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ROAL%20KS100E.pdf,,,1.4 кг,,Китай,60 кг/час,,
https://cdn.entero.ru/mp@2x/ad/76/ad7653b986a5c111a1de54da235f0f28.jpg,Нож электрический для шаурмы Enigma KS-100E,117958,0,RUB,Нет,Enigma,Профоборудование,Оборудование фаст-фуд,Ножи для шаурмы,https://entero.ru/item/148033,"<p>Электрический нож для шаурмы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/148033"">Enigma KS-100E</a></b> используется на на предприятиях общественного питания и торговли. Модель оснащена кнопкой включения с влагозащитой. Все части, соприкасающиеся с продуктами, выполнены из нержавеющей стали. В качестве источника энергии используется легкий блок питания для подключения к сети.</p>

<p><b>Дополнительная характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 235x180x225 мм</li>
</ul>",148033,220 В,0.08 кВт,280 мм,240 мм,190 мм,,,,0,,,,,,Китай,,100 мм,
https://cdn.entero.ru/mp@2x/88/97/88975cc692ff1f4b987523ef5e640dbe.jpg,Диск гладкий Foodatlas нерж. сталь,Диск гладкий Foodatlas нерж. сталь,1713,RUB,Нет,Foodatlas,Профоборудование,Оборудование фаст-фуд,Ножи для шаурмы,https://entero.ru/item/256159,"<p>Гладкий диск ​<a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/256159""><b class=""b"">Foodatlas </b></a>используется совместно с <a href=""https://entero.ru/list/2027/vendor/foodatlas/"">ножами для шаурмы Foodatlas</a> на предприятиях общественного питания и торговли. Диск выполнен из нержавеющей стали.</p>",256159,,,,,,,,,0,,2039,,,,,,,
https://cdn.entero.ru/mp@2x/7c/e5/7ce542ee87a874e6f4df72337661cc95.jpg;https://cdn.entero.ru/mp@2x/48/40/4840665e094cd778029ecabf980430d5.jpg;https://cdn.entero.ru/mp@2x/5c/27/5c27ef03a6d2fc97edb33c8b2f4a0cd4.jpg;https://cdn.entero.ru/mp@2x/75/cd/75cd2d97888afc92e0f1bfb4b0611683.jpg,Нож электрический для шаурмы Foodatlas KS100E,KS100E Foodatlas,9749,RUB,Нет,Foodatlas,Профоборудование,Оборудование фаст-фуд,Ножи для шаурмы,https://entero.ru/item/162497,"<p>Электрический нож для шаурмы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/162497"">Foodatlas KS100E</a></b> предназначен для облегчения процесса нарезания мяса, обжариваемого на вертеле на предприятиях общественного питания и торговли. Модель оснащена дисковым ножом с электрическим приводом. Корпус выполнен из пластика, лезвие - из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр лезвия: 100 мм</li>
<li>Габариты в упаковке: 190х235х210 мм</li>
</ul>

<p> </p>",162497,220 В,0.08 кВт,116 мм,173 мм,191 мм,,,,0,https://entero.ru/manuals/189284/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Foodatlas%20KS100E.pdf,,https://vk.com/video_ext.php?oid=-177656185&id=456239994&hd=2&autoplay=0,1.2 кг,,Китай,60 кг/час,100 мм,
https://cdn.entero.ru/mp@2x/04/66/04666ab0720bf88ac90823962086165e.jpg;https://cdn.entero.ru/mp@2x/77/58/7758660838547508b6e7ffb46ba56eaf.jpg;https://cdn.entero.ru/mp@2x/0f/f7/0ff7e64c64f8761a9cd87eef78100890.jpg,Нож электрический для шаурмы Foodatlas KS120E,Нож электрический для шаурмы Foodatlas KS120E,12299,RUB,Нет,Foodatlas,Профоборудование,Оборудование фаст-фуд,Ножи для шаурмы,https://entero.ru/item/345141,"<p>Электрический нож <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/345141"">Foodatlas KS120E</a></b> используется на предприятиях общественного питания и торговли для быстрой и аккуратной нарезки поджаренного на вертеле мяса для приготовления шаурмы и аналогичных продуктов. Модель оснащена головкой с режущим диском, рукояткой с анатомическим рельефом для стабильного захвата и кабелем питания. Корпус выполнен из пластика, режущий диск – из высококачественной нержавеющей стали, упаковка – картонная коробка.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Регулировка толщины реза с помощью винта</li>
<li>Контроль длины реза с помощью удобно расположенного выключателя</li>
<li>Эргономичный дизайн</li>
</ul>",345141,220 В,0.12 кВт,190 мм,130 мм,170 мм,2 кг,1,240x190x258 мм,0,https://entero.ru/manuals/421499/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Foodatlas.pdf,,,1.5 кг,,Китай,60 кг/час,,
https://cdn.entero.ru/mp@2x/31/64/31647bc849c516e5d849c8660e3a0e80.jpg;https://cdn.entero.ru/mp@2x/91/3f/913fe1ffe132c158c4c48ec0b96bfd93.jpg,Нож электрический для шаурмы HENDI 267264,Нож электрический для шаурмы HENDI 267264,34614,RUB,Нет,HENDI,Профоборудование,Оборудование фаст-фуд,Ножи для шаурмы,https://entero.ru/item/277288,"<p>Электрический нож <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/277288"">HENDI 267264</a></b> используется на предприятиях общественного питания и торговли для нарезки шашлыка, шаурмы, гироса, кебаба и другого жаренного мяса. Модель оснащена блоком питания с контрольной лампой, вертикальной рукояткой с кабелем, основным гладким нарезный диском с защитным кожухом и дополнительным зубчатым диском. Диски для нарезки выполнены из нержавеющей стали, рукоятка - из алюминия.</p>

<p>В комплект поставки входят камень для заточки лезвия, подставка для ножей и отвертка.</p>

<p><b>Особенности:</b></p>

<ul>
<li> Безопасная нарезка благодаря крышке лезвия</li>
<li> Степень влагозащиты: IPX4</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр лезвия:
<ul>
<li>Основное: 80 мм</li>
<li>Дополнительное: 80 мм</li>
</ul>
</li>
<li>Скорость вращения лезвия: 8000 об/мин.</li>
<li>Длина кабеля: 2,7 м</li>
</ul>",277288,220 В,0.08 кВт,232 мм,120 мм,115 мм,,,,0,https://entero.ru/manuals/344987/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20HENDI%20267264.pdf;https://entero.ru/manuals/344988/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20HENDI%20267264.pdf;https://entero.ru/manuals/344989/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8%20%D0%BD%D0%B0%20HENDI%20267264%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,36823,,4.02 кг,Нидерланды,Китай,,80 мм,
https://entero.ru/i/nofoto-m.jpg,Нож электрический для шаурмы Airhot VC-9 -7,Нож электрический для шаурмы Airhot VC-9 -7,8537,RUB,Нет,Airhot,Профоборудование,Оборудование фаст-фуд,Ножи для шаурмы,https://entero.ru/item/377840,"<p>Нож используется совместно с куттером <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/377840"">Airhot VC-9 -7</a></b>. Изделие выполнено из нержавющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размеры: 155105x3 мм</li>
<li>Вес с упаковкой: 0,1 кг</li>
</ul>",377840,220 В,0.08 кВт,230 мм,185 мм,280 мм,1.3 кг,1,230x180x265 мм,0,,,,,,Китай,60 кг/час,100 мм,
https://cdn.entero.ru/mp@2x/85/c8/85c821a668a1a319111b213761b5437d.jpg;https://cdn.entero.ru/mp@2x/4e/c5/4ec5661dbecfab058561722ea112a7fc.jpg;https://cdn.entero.ru/mp@2x/ef/db/efdba0f369164c76d9dabea6917545cc.jpg;https://cdn.entero.ru/mp@2x/c9/2e/c92e0b46256aa46a0671c265a965a54a.jpg,Нож электрический для шаурмы Foodatlas KS100B,KS100B Foodatlas,15415,RUB,Нет,Foodatlas,Профоборудование,Оборудование фаст-фуд,Ножи для шаурмы,https://entero.ru/item/162496,"<p>Электрический нож для шаурмы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/162496"">Foodatlas KS100B</a></b> предназначен для облегчения процесса нарезания мяса, обжариваемого на вертеле на предприятиях общественного питания и торговли. Модель оснащена дисковым ножом с электрическим приводом, аккумулятором и зарядным устройством.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Время зарядки аккумулятора: 1 ч</li>
<li>Время непрерывной работы от аккумулятора: 40 мин.</li>
<li>Количество аккумуляторов: 2</li>
<li>Диаметр лезвия: 100 мм</li>
</ul>

<p> </p>",162496,,0.01 кВт,127 мм,192 мм,182 мм,,,,0,https://entero.ru/manuals/189281/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Foodatlas%20KS100B.pdf,,,1.5 кг,,Китай,60 кг/час,100 мм,
https://cdn.entero.ru/mp@2x/87/6a/876a28a17ea114471370a4b40d4556de.jpg,Нож электрический для гриль-шаурмы OZTI ODKM 100,8350.OZT10.00,79120,RUB,Нет,OZTI,Профоборудование,Оборудование фаст-фуд,Ножи для шаурмы,https://entero.ru/item/58480,"<p>Электрический нож для гриль-шаурмы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.uz/item/58480"">OZTI ODKM 100</a></b> предназначен для нарезки любого вида и сорта готового мяса на предприятиях общественного питания, а также в производственных цехах, деятельность которых связана с выпуском гастрономических товаров.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Регулировка глубины резания</li>
<li>Водонепроницаемый</li>
<li>Можно мыть не разбирая</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Скорость вращения ножа: 4500 об/мин.</li>
<li>Класс защиты: IP X5</li>
<li>Вес ручки: 0,9 кг</li>
</ul>",58480,220 В,0.1 кВт,130 мм,270 мм,340 мм,,,,0,https://entero.ru/manuals/421251/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20OZTI%20ODKM%20100.docx;https://entero.ru/manuals/421252/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20OZTI%20ODKM%20100.pdf;https://entero.ru/manuals/421253/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20OZTI%202024%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,83284,,,Турция,,,100 мм,
https://cdn.entero.ru/mp@2x/b4/78/b478c04818c594f38ee1f8f7080abed2.jpg,Нож электрический для шаурмы GASTRORAG KS100E,Нож электрический для шаурмы GASTRORAG KS100E,0,RUB,Нет,GASTRORAG,Профоборудование,Оборудование фаст-фуд,Ножи для шаурмы,https://entero.ru/item/81145,"<p>Электрический нож для шаурмы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/81145"">GASTRORAG KS100E</a></b> используется на предприятиях общественного питания и торговли. Модель оснащена регулировочным винтом для задания толщины резки, ножевым предохранителем и шнуром питания с защитным кожухом. Корпус выполнен из пластмассы, режущая часть - из нержавеющей стали.</p>

<p>В комплект поставки входит дополнительное лезвие.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина нарезки: от 0 до 8 мм</li>
</ul>",81145,220 В,0.08 кВт,230 мм,185 мм,280 мм,,,,0,https://entero.ru/manuals/54765/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20GASTRORAG%20KS100E.pdf;https://entero.ru/manuals/116289/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20GASTRORAG.pdf,,,1.2 кг,,Китай,60 кг/час,100 мм,
