Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Борт,Общий объем,Гастронормированный,Количество дверей,Расположение агрегата,Количество ящиков,Материал столешницы,Температура морозильного отделения,Температура холодильного отделения,Объем морозильного отделения,Объем холодильного отделения
https://cdn.entero.ru/mp@2x/b3/3b/b33bf17623177c35057ccba72ee3bbbb.jpg,Стол комбинированный HICOLD UD 2-2 GN,295377,0,RUB,Нет,HICOLD,Профоборудование,Холодильное,Столы комбинированные,https://entero.ru/item/358176,"<p>Комбинированный стол <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/358176""><b class=""b"">HICOLD UD 1-3 GN</b></a> предназначен для хранения предварительно охлажденных или замороженных пищевых продуктов, обработки ингредиентов в процессе приготовления блюд, а также размещения теплового оборудования на предприятиях общественного питания и торговли. Модель оснащена встроенным компрессорным холодильным агрегатом с нижним расположением, столешницей, холодильно-морозильной камерой с 2 выдвижными ящиками и электронной панелью управления. Корпус и столешница выполнены из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Система <a href=""http://entero.ru/info/300"">динамического охлаждения</a> с равномерным распределением воздушных потоков благодаря принудительной вентиляции</li>
<li>Электронный контроллер:
<ul>
<li>Режимы:
<ul>
<li>Низкотемпературный</li>
<li>Среднетемпературный</li>
</ul>
</li>
<li>Настройка температуры</li>
<li>Цифровая индикация температуры во внутреннем объеме</li>
<li>Легкое переключение между режимами</li>
</ul>
</li>
<li>Автоматическая оттайка</li>
<li>Плавное полное выдвижение ящиков</li>
<li>Легкозаменяемое магнитное уплотнение</li>
<li>Колеса со стопорными ограничителями для удобства транспортировки</li>
<li>Компактные габариты и интегрированные в фронт ящиков рукоятки для оптимизации пространства</li>
<li>Легкость очистки и дезинфекции поверхностей</li>
<li>Формат и вместимость гастроемкостей: 4хGN1/1</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина теплоизоляции: 50 мм</li>
<li>Толщина столешницы: 50 мм</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! Изображение товара может отличаться от оригинала и представлено в ознакомительных целях.</span></em></p>",358176,220 В,0.57 кВт,800 мм,700 мм,940 мм,,Россия,,,0,https://entero.ru/manuals/458974/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20HICOLD.pdf,,,,,195 л,Да,,снизу,2,нерж. сталь,от -18 до -10 °C,от -2 до 8 °C,,
https://cdn.entero.ru/mp@2x/f5/42/f542223a6e2553db5b954bde3db92682.jpg,Стол комбинированный HICOLD UD 2-2 GN D Sh,295432,0,RUB,Нет,HICOLD,Профоборудование,Холодильное,Столы комбинированные,https://entero.ru/item/358181,"<p>Комбинированный стол <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/358181"">HICOLD UD 2-2 GN D Sh</a></b> предназначен для хранения предварительно охлажденных или замороженных пищевых продуктов, обработки ингредиентов в процессе приготовления блюд, а также размещения теплового оборудования на предприятиях общественного питания и торговли. Модель оснащена встроенным компрессорным холодильным агрегатом с нижним расположением, столешницей, холодильно-морозильной камерой с 2 выдвижными ящиками и электронной панелью управления. Корпус и столешница выполнены из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Система <a href=""http://entero.ru/info/300"">динамического охлаждения</a> с равномерным распределением воздушных потоков благодаря принудительной вентиляции</li>
<li>Электронный контроллер:​
<ul>
<li>Режимы:
<ul>
<li>Низкотемпературный</li>
<li>Среднетемпературный</li>
</ul>
</li>
<li>Настройка температуры</li>
<li>Цифровая индикация температуры во внутреннем объеме</li>
<li>Легкое переключение между режимами</li>
<li>Независимая настройка режима для каждого ящика</li>
</ul>
</li>
<li>Автоматическая оттайка</li>
<li>Плавное полное выдвижение ящиков</li>
<li>Легкозаменяемое магнитное уплотнение</li>
<li>Регулируемые по высоте опоры для компенсации неровностей пола</li>
<li>Компактные габариты и интегрированные в фронт ящиков рукоятки для оптимизации пространства</li>
<li>Легкость очистки и дезинфекции поверхностей</li>
<li>Формат и вместимость гастроемкостей: 4хGN1/1</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина теплоизоляции: 50 мм</li>
<li>Толщина столешницы: 50 мм</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! Изображение товара может отличаться от оригинала и представлено в ознакомительных целях.</span></em></p>",358181,220 В,1.1 кВт,800 мм,700 мм,865 мм,,Россия,,,0,https://entero.ru/manuals/458969/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20HICOLD.pdf,,,,,195 л,Да,,снизу,2,нерж. сталь,от -18 до -10 °C,от -2 до 8 °C,,
https://cdn.entero.ru/mp@2x/4c/3d/4c3d9c46a03546183bfdaba183e58dd1.jpg,Стол комбинированный HICOLD UD 2-2 GN D,295379,0,RUB,Нет,HICOLD,Профоборудование,Холодильное,Столы комбинированные,https://entero.ru/item/358180,"<p>Комбинированный стол <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/358180"">HICOLD UD 2-2 GN D</a></b> предназначен для хранения предварительно охлажденных или замороженных пищевых продуктов, обработки ингредиентов в процессе приготовления блюд, а также размещения теплового оборудования на предприятиях общественного питания и торговли. Модель оснащена встроенным компрессорным холодильным агрегатом с нижним расположением, столешницей, холодильно-морозильной камерой с 2 выдвижными ящиками и электронной панелью управления. Корпус и столешница выполнены из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Система <a href=""http://entero.ru/info/300"">динамического охлаждения</a> с равномерным распределением воздушных потоков благодаря принудительной вентиляции</li>
<li>Электронный контроллер:​
<ul>
<li>Режимы:
<ul>
<li>Низкотемпературный</li>
<li>Среднетемпературный</li>
</ul>
</li>
<li>Настройка температуры</li>
<li>Цифровая индикация температуры во внутреннем объеме</li>
<li>Легкое переключение между режимами</li>
<li>Независимая настройка режима для каждого ящика</li>
</ul>
</li>
<li>Автоматическая оттайка</li>
<li>Плавное полное выдвижение ящиков</li>
<li>Легкозаменяемое магнитное уплотнение</li>
<li>Колеса со стопорными ограничителями для удобства транспортировки</li>
<li>Компактные габариты и интегрированные в фронт ящиков рукоятки для оптимизации пространства</li>
<li>Легкость очистки и дезинфекции поверхностей</li>
<li>Формат и вместимость гастроемкостей: 4хGN1/1</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина теплоизоляции: 50 мм</li>
<li>Толщина столешницы: 50 мм</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! Изображение товара может отличаться от оригинала и представлено в ознакомительных целях.</span></em></p>",358180,220 В,1.1 кВт,800 мм,700 мм,940 мм,,Россия,,,0,https://entero.ru/manuals/458970/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20HICOLD.pdf,,,,,195 л,Да,,снизу,2,нерж. сталь,от -18 до -10 °C,от -2 до 8 °C,,
https://cdn.entero.ru/mp@2x/f9/16/f916e45bcfc3dce403f0b53be94e22bb.jpg,Стол комбинированный HICOLD UD 2-3 GN Sh,295435,0,RUB,Нет,HICOLD,Профоборудование,Холодильное,Столы комбинированные,https://entero.ru/item/358179,"<p>Комбинированный стол <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/358179"">HICOLD UD 2-3 GN Sh</a></b> предназначен для хранения предварительно охлажденных или замороженных пищевых продуктов, обработки ингредиентов в процессе приготовления блюд, а также размещения теплового оборудования на предприятиях общественного питания и торговли. Модель оснащена встроенным компрессорным холодильным агрегатом с нижним расположением, столешницей, холодильно-морозильной камерой с 2 выдвижными ящиками и электронной панелью управления. Корпус и столешница выполнены из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Система <a href=""http://entero.ru/info/300"">динамического охлаждения</a> с равномерным распределением воздушных потоков благодаря принудительной вентиляции</li>
<li>Электронный контроллер:
<ul>
<li>Режимы:
<ul>
<li>Низкотемпературный</li>
<li>Среднетемпературный</li>
</ul>
</li>
<li>Настройка температуры</li>
<li>Цифровая индикация температуры во внутреннем объеме</li>
<li>Легкое переключение между режимами</li>
</ul>
</li>
<li>Автоматическая оттайка</li>
<li>Плавное полное выдвижения ящиков</li>
<li>Легкозаменяемое магнитное уплотнение</li>
<li>Регулируемые по высоте опоры для компенсации неровностей пола</li>
<li>Компактные габариты и интегрированные в фронт ящиков рукоятки для оптимизации пространства</li>
<li>Легкость очистки и дезинфекции поверхностей</li>
<li>Формат и вместимость гастроемкостей: 6хGN1/1</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина теплоизоляции: 50 мм</li>
<li>Толщина столешницы: 50 мм</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! Изображение товара может отличаться от оригинала и представлено в ознакомительных целях.</span></em></p>",358179,220 В,0.58 кВт,1125 мм,700 мм,865 мм,,Россия,,,0,https://entero.ru/manuals/458971/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20HICOLD.pdf,,,,,285 л,Да,,снизу,2,нерж. сталь,от -18 до -10 °C,от -2 до 8 °C,,
https://cdn.entero.ru/mp@2x/30/2d/302d47a0b669a1e5d4d516aadde29232.jpg,Стол комбинированный HICOLD UD 2-3 GN,295378,0,RUB,Нет,HICOLD,Профоборудование,Холодильное,Столы комбинированные,https://entero.ru/item/358178,"<p>Комбинированный стол <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/358178"">HICOLD UD 2-3 GN</a></b> предназначен для хранения предварительно охлажденных или замороженных пищевых продуктов, обработки ингредиентов в процессе приготовления блюд, а также размещения теплового оборудования на предприятиях общественного питания и торговли. Модель оснащена встроенным компрессорным холодильным агрегатом с нижним расположением, столешницей, холодильно-морозильной камерой с 2 выдвижными ящиками и электронной панелью управления. Корпус и столешница выполнены из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Система <a href=""http://entero.ru/info/300"">динамического охлаждения</a> с равномерным распределением воздушных потоков благодаря принудительной вентиляции</li>
<li>Электронный контроллер:
<ul>
<li>Режимы:
<ul>
<li>Низкотемпературный</li>
<li>Среднетемпературный</li>
</ul>
</li>
<li>Настройка температуры</li>
<li>Цифровая индикация температуры во внутреннем объеме</li>
<li>Легкое переключение между режимами</li>
</ul>
</li>
<li>Автоматическая оттайка</li>
<li>Плавное полное выдвижение ящиков</li>
<li>Легкозаменяемое магнитное уплотнение</li>
<li>Колеса со стопорными ограничителями для удобства транспортировки</li>
<li>Компактные габариты и интегрированные в фронт ящиков рукоятки для оптимизации пространства</li>
<li>Легкость очистки и дезинфекции поверхностей</li>
<li>Формат и вместимость гастроемкостей: 6хGN1/1</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина теплоизоляции: 50 мм</li>
<li>Толщина столешницы: 50 мм</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! Изображение товара может отличаться от оригинала и представлено в ознакомительных целях.</span></em></p>",358178,220 В,0.58 кВт,1125 мм,700 мм,940 мм,,Россия,,,0,https://entero.ru/manuals/458972/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20HICOLD.pdf,,,,,285 л,Да,,снизу,2,нерж. сталь,от -18 до -10 °C,от -2 до 8 °C,,
https://cdn.entero.ru/mp@2x/12/87/128705a7294b2b95c2cb52f1527ff7ac.jpg,Стол комбинированный HICOLD UD 2-3 GN D Sh,295434,0,RUB,Нет,HICOLD,Профоборудование,Холодильное,Столы комбинированные,https://entero.ru/item/358183,"<p>Комбинированный стол <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/358183"">HICOLD UD 2-3 GN D Sh</a></b> предназначен для хранения предварительно охлажденных или замороженных пищевых продуктов, обработки ингредиентов в процессе приготовления блюд, а также размещения теплового оборудования на предприятиях общественного питания и торговли. Модель оснащена встроенным компрессорным холодильным агрегатом с нижним расположением, столешницей, холодильно-морозильной камерой с 2 выдвижными ящиками и электронной панелью управления. Корпус и столешница выполнены из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Система <a href=""http://entero.ru/info/300"">динамического охлаждения</a> с равномерным распределением воздушных потоков благодаря принудительной вентиляции</li>
<li>Электронный контроллер:​
<ul>
<li>Режимы:
<ul>
<li>Низкотемпературный</li>
<li>Среднетемпературный</li>
</ul>
</li>
<li>Настройка температуры</li>
<li>Цифровая индикация температуры во внутреннем объеме</li>
<li>Легкое переключение между режимами</li>
<li>Независимая настройка режима для каждого ящика</li>
</ul>
</li>
<li>Автоматическая оттайка</li>
<li>Плавное полное выдвижение ящиков</li>
<li>Легкозаменяемое магнитное уплотнение</li>
<li>Регулируемые по высоте опоры для компенсации неровностей пола</li>
<li>Компактные габариты и интегрированные в фронт ящиков рукоятки для оптимизации пространства</li>
<li>Легкость очистки и дезинфекции поверхностей</li>
<li>Формат и вместимость гастроемкостей: 6хGN1/1</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина теплоизоляции: 50 мм</li>
<li>Толщина столешницы: 50 мм</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! Изображение товара может отличаться от оригинала и представлено в ознакомительных целях.</span></em></p>",358183,220 В,1.11 кВт,1125 мм,700 мм,865 мм,,Россия,,,0,https://entero.ru/manuals/458967/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20HICOLD.pdf,,,,,285 л,Да,,снизу,2,нерж. сталь,от -18 до -10 °C,от -2 до 8 °C,,
https://cdn.entero.ru/mp@2x/69/53/6953e1206744c6d9fd5f2eb00532e72d.jpg,Стол комбинированный HICOLD UD 2-3 GN D,295380,0,RUB,Нет,HICOLD,Профоборудование,Холодильное,Столы комбинированные,https://entero.ru/item/358182,"<p>Комбинированный стол <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/358182"">HICOLD UD 2-3 GN D</a></b> предназначен для хранения предварительно охлажденных или замороженных пищевых продуктов, обработки ингредиентов в процессе приготовления блюд, а также размещения теплового оборудования на предприятиях общественного питания и торговли. Модель оснащена встроенным компрессорным холодильным агрегатом с нижним расположением, столешницей, холодильно-морозильной камерой с 2 выдвижными ящиками и электронной панелью управления. Корпус и столешница выполнены из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Система <a href=""http://entero.ru/info/300"">динамического охлаждения</a> с равномерным распределением воздушных потоков благодаря принудительной вентиляции</li>
<li>Электронный контроллер:​
<ul>
<li>Режимы:
<ul>
<li>Низкотемпературный</li>
<li>Среднетемпературный</li>
</ul>
</li>
<li>Настройка температуры</li>
<li>Цифровая индикация температуры во внутреннем объеме</li>
<li>Легкое переключение между режимами</li>
<li>Независимая настройка режима для каждого ящика</li>
</ul>
</li>
<li>Автоматическая оттайка</li>
<li>Плавное полное выдвижение ящиков</li>
<li>Легкозаменяемое магнитное уплотнение</li>
<li>Колеса со стопорными ограничителями для удобства транспортировки</li>
<li>Компактные габариты и интегрированные в фронт ящиков рукоятки для оптимизации пространства</li>
<li>Легкость очистки и дезинфекции поверхностей</li>
<li>Формат и вместимость гастроемкостей: 6хGN1/1</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина теплоизоляции: 50 мм</li>
<li>Толщина столешницы: 50 мм</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! Изображение товара может отличаться от оригинала и представлено в ознакомительных целях.</span></em></p>",358182,220 В,1.11 кВт,1125 мм,700 мм,940 мм,,Россия,,,0,https://entero.ru/manuals/458968/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20HICOLD.pdf,,,,,285 л,Да,,снизу,2,нерж. сталь,от -18 до -10 °C,от -2 до 8 °C,,
https://cdn.entero.ru/mp@2x/e4/df/e4df7c96d7b9b544ab0c860b115226bd.jpg;https://cdn.entero.ru/mp@2x/d9/db/d9dbede64c7a4d26defcd9b17b472ab9.jpg;https://cdn.entero.ru/mp@2x/ba/cb/bacbd1b48ae874f5ff0f02fa5f2e3c67.jpg;https://cdn.entero.ru/mp@2x/c1/d8/c1d8d1b9497a4473a7dac303454be163.jpg;https://cdn.entero.ru/mp@2x/e3/58/e358d1eb3f9adbe215f1c30090226d12.jpg;https://cdn.entero.ru/mp@2x/35/76/35767bddbb801d41ea7f50f4c0576ed2.jpg,Стол холодильно-морозильный Finist КХСн-700-2/1 (нижний холодильный агрегат),Стол холодильно-морозильный Finist КХСн-700-2/1 (нижний холодильный агрегат),169414,RUB,Нет,Finist,Профоборудование,Холодильное,Столы комбинированные,https://entero.ru/item/290079,"<p>Холодильно-морозильный стол <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/290079""><b class=""b"">Finist КХСн-700-2/1</b></a> предназначен для хранения замороженных полуфабрикатов и предварительно охлажденных готовых блюд, заготовок для салатов, молочной продукции и напитков на предприятиях общественного питания и торговли. Модель сочетает в себе 2 независимых рабочих объема и оснащена 2 панелями управления для регулировки температуры в камерах. Оборудование полностью выполнено из высококачественной пищевой нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>2 двери среднетемпературный отсек / 1 дверь низкотемпературный отсек</li>
<li>Двери с доводчиками для гарантированного закрытия камер и сохранения заданной температуры</li>
<li>Микропроцессорный блок управления</li>
<li>Динамическое охлаждение</li>
<li>Автоматическая оттайка испарителя</li>
<li>Цельнозаливной корпус</li>
<li>Большая площадь перфорации передней панели моторного отсека обеспечивает холодильному агрегату свободное поступление воздуха для охлаждения</li>
<li>Компрессор Secop, Embraco, Cubigel, Tecumseh</li>
<li>Повышенная прочность столешницы</li>
<li>Возможность отключения одной из камер с полным сохранением функционала второй камеры</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Необходимый технологический отступ от стены: 30 мм</li>
<li>Температура окружающей среды: от 12 до 32 °С</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Пульт дистанционного управления</li>
<li>Замена дверей на ящики</li>
<li>Дополнительные полки с комплектом направляющих</li>
<li>Полимерное окрашивание корпуса в любой цвет из каталога цветов RAL</li>
<li>Исполнение дверей: шлифованная нержавеющая сталь / зеркальная нержавеющая сталь / полимерное окрашивание / МДФ / декоративная нержавеющая сталь / стекло</li>
<li>Исполнение столешницы: вырез под гастроемкости / охлаждаемая надстройка под гастроемкости / моечная ванна / каплесборник с омывателем стаканов</li>
<li>Дополнения для фасада:
<ul>
<li>Нокс-бокс, встроенный в ящик</li>
<li>Бункер для мусора</li>
<li>Скрытые ящики</li>
<li>Замок</li>
</ul>
</li>
<li>Встроенный рециркулятор</li>
<li>Электромагнитный замок</li>
<li>Отверстие под коммуникации</li>
<li>Розетки</li>
<li>Подсветка</li>
<li>Цоколь</li>
<li>Колеса</li>
</ul>",290079,220 В,0.65 кВт,1485 мм,700 мм,850 мм,,Россия,,,0,https://entero.ru/manuals/352755/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Finist%20%D0%9A%D0%A5%D0%A1%D0%BD-700-2_1.pdf;https://entero.ru/manuals/518361/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,180228,,102 кг,,342 л,,3,снизу,,нерж. сталь,от -18 до -10 °C,от -2 до 8 °C,,
https://cdn.entero.ru/mp@2x/3f/01/3f01bf1aab5644ef836f1638a57e0c09.jpg,Стол холодильно-морозильный HICOLD GN 1/TN-1/BT,294172,146168,RUB,Нет,HICOLD,Профоборудование,Холодильное,Столы комбинированные,https://entero.ru/item/123890,"<p>Холодильно-морозильный стол <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/123890"">HICOLD GN 1/TN-1/BT</a></b> используется на предприятиях общественного питания и торговли для обработки ингредиентов для приготовления блюд, а также охлаждения, заморозки и хранения скоропортящихся продуктов и напитков. Модель оснащена удобной в использовании электронной панелью управления. Корпус и столешница выполнены из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>1 морозильная и 1 холодильная секции</li>
<li>Динамическая система охлаждения</li>
<li>Автоматическая оттайка</li>
<li>2 внутренние полки</li>
<li>Автоматические доводчики дверей с фиксатором открытого положения</li>
<li>Легкозаменяемые магнитные уплотнители</li>
<li>Регулируемые по высоте ножки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер полки: 530х325 мм (GN 1/1)</li>
<li>Толщина столешницы: 50 мм</li>
<li>Высота борта: 50 мм</li>
<li>Толщина теплоизоляции: 50 мм</li>
<li>Температура окружающего воздуха: от 12 до 32 °C</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Замена стандартной столешницы на столешницу без борта</li>
<li>Замок на дверь</li>
<li>Замена низких опорных ножек на высокие (высота стола 950 мм)</li>
<li>Усиленная столешница</li>
<li>Столешница из полипропилена</li>
<li>Гранитная столешница</li>
<li>Увеличенная на 100 мм столешница</li>
<li>Нейтральный выдвижной ящик над агрегатным отсеком</li>
<li>Ящик над агрегатным отсеком</li>
</ul>",123890,220 В,0.575 кВт,1390 мм,700 мм,850 мм,136 кг,Россия,1,1490x840x970 мм,0,https://entero.ru/manuals/298551/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20HICOLD%20GN%201_TN-1_BT.pdf;https://entero.ru/manuals/447640/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20HICOLD.pdf;https://entero.ru/manuals/447641/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,158878,,90 кг,Да,350 л,Да,2,сбоку,,нерж. сталь,от -18 до -10 °C,от -2 до 10 °C,,
https://cdn.entero.ru/mp@2x/79/12/79120fabcc7df365c793329b0232d737.jpg,Стол холодильно-морозильный HICOLD SN 1/TN-1/BT,294173,145733,RUB,Нет,HICOLD,Профоборудование,Холодильное,Столы комбинированные,https://entero.ru/item/123902,"<p>Холодильно-морозильный стол <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/123902"">HICOLD SN 1/TN-1/BT</a></b> используется на предприятиях общественного питания и торговли для обработки ингредиентов для приготовления блюд, а также охлаждения, заморозки и хранения скоропортящихся продуктов и напитков. Модель оснащена удобной в использовании электронной панелью управления. Корпус и столешница выполнены из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>1 морозильная и 1 холодильная секции</li>
<li>Динамическая система охлаждения</li>
<li>Автоматическая оттайка</li>
<li>2 внутренние полки</li>
<li>Автоматические доводчики дверей с фиксатором открытого положения</li>
<li>Легкозаменяемые магнитные уплотнители</li>
<li>Регулируемые по высоте ножки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер полки: 430х325 мм</li>
<li>Толщина столешницы: 50 мм</li>
<li>Высота борта: 50 мм</li>
<li>Толщина теплоизоляции: 50 мм</li>
<li>Температура окружающего воздуха: от 12 до 32 °C</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Замена стандартной столешницы на столешницу без борта</li>
<li>Замок на дверь</li>
<li>Замена низких опорных ножек на высокие (высота стола 950 мм)</li>
<li>Усиленная столешница</li>
<li>Столешница из полипропилена</li>
<li>Гранитная столешница</li>
<li>Увеличенная на 100 мм столешница</li>
<li>Нейтральный выдвижной ящик над агрегатным отсеком</li>
<li>Ящик над агрегатным отсеком</li>
</ul>",123902,220 В,0.575 кВт,1390 мм,600 мм,850 мм,145 кг,Россия,1,1490x740x970 мм,0,https://entero.ru/manuals/298553/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20HICOLD%20SN%201_TN-1_BT.pdf;https://entero.ru/manuals/447612/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20HICOLD.pdf;https://entero.ru/manuals/447613/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,153403,,125 кг,Да,300 л,,2,сбоку,,нерж. сталь,от -18 до -10 °C,от -2 до 10 °C,,
