Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Температурный режим,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Назначение,Количество уровней,Потребляемая мощность,Загрузка камеры,Тип гастроемкости
https://cdn.entero.ru/mp@2x/e5/4f/e54f55e73cedde801f660145753acff1.jpg;https://cdn.entero.ru/mp@2x/db/7f/db7f7b0070c66c52a061edb3cb741a3b.jpg;https://cdn.entero.ru/mp@2x/4f/4e/4f4e45c53e03e3d06ea827d011b035ad.jpg,Печь-коптильня Helia Smoker 24,HELIA 24,131153,RUB,Да,Helia Smoker,Профоборудование,Тепловое,Печи-коптильни и дымогенераторы,https://entero.ru/item/23271,"<p>Печь-коптильня <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/23271"">Helia Smoker 24</a></b> предназначена для холодного и горячего копчения, запекания и приготовления на гриле мясных и рыбных продуктов, птицы, овощей, морепродуктов, сыров. Модель оснащена нагревательными элементами с термостатическим регулированием и таймером с автоматическим выключением. Корпус, поддон и плоские решетки выполнены из нержавеющей стали.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Глубокий противень</li>
<li>Ппротивень для копчения</li>
<li>Решетка для форели</li>
<li>Плоская решетка</li>
<li>Комплект опилок для копчения</li>
<li>Комплект пряностей</li>
<li>Руководство по эксплуатации</li>
<li>Книга рецептов</li>
<li>Шнур и вилка</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Вместимость: 24 форели весом 200 г каждая / 4 цыпленка / 7 кг жаркого</li>
<li>Термообработка и копчение в одном рабочем цикле</li>
<li>Короткое время варки и копчения, горячая сервировка „a la carte“</li>
<li>Горячее или холодное копчение при минимальной дымовой нагрузке</li>
<li>Без переноса рыбного привкуса на мясо</li>
<li>Термообработка без добавления жира, только в собственном соку</li>
<li>Возможность обрабатывать как свежие, так и глубокозамороженные продукты</li>
<li>Оттаивание глубокозамороженного копченого продукта в полном соку</li>
<li>Конструкция с двойными стенками полностью изолирована, поэтому время разогрева и потери тепла минимальны </li>
</ul>",23271,печь-коптильня,,220 В,1.5 кВт,450 мм,450 мм,350 мм,,Германия,,,0,https://entero.ru/manuals/7754/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Helia%20Smoker%2024.pdf;https://entero.ru/manuals/7755/%D0%A0%D0%B5%D1%86%D0%B5%D0%BF%D1%82%D1%8B%20%D0%BA%D0%BE%D0%BF%D1%87%D0%B5%D0%BD%D0%B8%D1%8F.pdf,,,25 кг,"для горячего копчения, для холодного копчения",2,,7 кг,
https://cdn.entero.ru/mp@2x/d7/b8/d7b83e38ad7cc2a07ad5cb2ace07e399.jpg;https://cdn.entero.ru/mp@2x/58/6d/586d73db4b90249c5f8541dcd9e3d238.jpg;https://cdn.entero.ru/mp@2x/39/93/3993627cf9395925ef3e164bfb4e1f08.jpg;https://cdn.entero.ru/mp@2x/65/59/65594370e892a3406c7e9e8d5d2c8f55.jpg,Печь-коптильня Alto-Shaam 767-SK/I,Печь-коптильня Alto-Shaam 767-SK/I,1015243,RUB,Да,Alto-Shaam,Профоборудование,Тепловое,Печи-коптильни и дымогенераторы,https://entero.ru/item/345640,"<p>Печь-коптильня <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/345640"">Alto-Shaam 767-SK/I</a></b> предназначена для холодного и горячего копчения, запекания и приготовления мясных и рыбных продуктов, птицы, овощей, морепродуктов, сыров на предприятиях общественного питания. Функции коптильни, духового и теплового шкафа позволяют не просто обрабатывать продукты дымом, но также сохранять их в разогретом состоянии для моментальной подачи на стол. Для приготовления блюд используется натуральная деревянная щепа, что гарантирует наивысшие вкусовые качества. Модель оснащена механической панелью управления, таймером, 2 роликами с жесткими осями и 2 поворотными с тормозом, глухой дверью c запираемой защелкой. Стойка и жиросборник выполнены из нержавеющей стали, внутренние поверхности и полки - из коррозионно-стойкой немагнитной нержавеющей стали.</p>

<p>В комплект поставки входит 2 проволочные полки, 1 стойка для реберной части, съемный жиросборник со сливом и контейнер для древесной щепы.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Управление Simple:
<ul>
<li>Выключатель питания</li>
<li>Ручка температуры готовки 94-160 °C</li>
<li>Ручка температуры выдерживания 16-96 °C</li>
<li>Цифровой дисплей</li>
<li>Кнопки-стрелки ""вверх"" и ""вниз"" для настройки времени готовки и выдерживания</li>
<li>Таймер копчения на 60 минут</li>
</ul>
</li>
<li>Световая индикация:
<ul>
<li>Функции готовки, выдерживания и копчения</li>
<li>Необходимости подогрева </li>
</ul>
</li>
<li>Технология Halo HEAT<sup>®</sup>: тепловое одеяло, которое мягко окружает продукт, чтобы довести его до совершенства</li>
<li>Полностью съемные боковые стойки с 11 положениями для противней</li>
<li>Приготовление рыбы и сыра холодного копчения</li>
<li>Возможность выбора мягкого, среднего или сильного аромата копчености</li>
<li>Возможность этажерочной сборки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем камеры: 67 л</li>
<li>Размер камеры: 559х510х673 мм</li>
<li>Вместимость: 5 GN1/1-100 или 9 GN1/1-65 </li>
<li>Диаметр роликов: 89 мм</li>
<li>Диапазон температуры:
<ul>
<li>Готовка: от 94 до 160 °C</li>
<li>Выдерживание: от 29 до 96 °C</li>
</ul>
</li>
<li>Габариты в упаковке: 889х889х1041 мм</li>
</ul>",345640,печь-коптильня,от 16 до 160 °С,220 В,2.8 кВт,802 мм,676 мм,848 мм,102 кг,США,1,889x889x1041 мм,0,https://entero.ru/manuals/422361/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Alto-Shaam%20767-SK_I.pdf;https://entero.ru/manuals/422362/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20Alto-Shaam%20767-SK_I.jpg;https://entero.ru/manuals/447566/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20II%20%D0%BD%D0%B0%20Alto-Shaam%20767-SK_I.jpg,,,89 кг,"для горячего копчения, для холодного копчения",,от 6.2 до 8.7 кВт,45 кг,GN 1/1
https://cdn.entero.ru/mp@2x/a1/3d/a13df7dc6ba0c230f0c372ad564850fd.jpg,Печь-коптильня Alto-Shaam 750-SK/SX SD,Печь-коптильня Alto-Shaam 750-SK/SX SD,1243488,RUB,Да,Alto-Shaam,Профоборудование,Тепловое,Печи-коптильни и дымогенераторы,https://entero.ru/item/348538,"<p>Печь <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/348538"">Alto-Shaam 750-SK/SX SD</a> </b>предназначена для горячего и холодного копчения продуктов на предприятиях общественного питания. Для приготовления блюд используется деревянная щепа, что гарантирует наивысшие вкусовые качества. Модель оснащена устанавливаемым спереди жиросборником, комплектом роликов и мешочками для образцов вишневой, ореховой, яблоневой и кленовой щепы. Корпус, дверь и жиросборник выполнены из нержавеющей стали.</p>

<p>Технология нагрева Halo Heat обеспечивает равномерное распределения тепла без использования вентилятора и сохранение влаги без поддона для регулирования влажности. Благодаря сохранению исходной влажности вкус продукта получается более нежным, а отсутствие обдува исключает высушивание продукта и потеря веса при этом минимальная.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Таймер копчения: возможность выбрать мягкий, средний или сильный аромат копчения</li>
<li>Панель управления Simple</li>
<li>Использование естественных ферментов, придающих мясу мягкую консистенцию</li>
<li>Низкое энергопотребление</li>
<li>Магнитный замок дверцы</li>
<li>2 ролика с жесткими осями и 2 поворотных с тормозами</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температурный режим:</li>
<li>Приготовление: от 94 до 163°C</li>
<li>Выдержка: от 29 до 96°C</li>
<li>Вместимость: 5 GN1/1х100 мм или 10 GN1 /1х65 мм</li>
<li>Внутренние размеры камеры: 510х559х673 мм</li>
<li>Габариты в упаковке: 889х889х1067 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Этажерочная сборка: возможность сборки с однокамерными печами и тепловыми шкафами​</li>
</ul>",348538,печь-коптильня,от 26 до 163 °С,220 В,4.2 кВт,653 мм,851 мм,851 мм,131 кг,США,1,889x889x1067 мм,0,https://entero.ru/manuals/430252/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Alto-Shaam%20750-SK_SX%20SD.pdf;https://entero.ru/manuals/454240/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Alto-Shaam%20750-SK_SX%20SD.pdf;https://entero.ru/manuals/491965/%D0%93%D0%B0%D0%B1%D0%B0%D1%80%D0%B8%D1%82%D0%BD%D0%B0%D1%8F%20%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20Alto-Shaam%20750-SK_SX%20SD.jpg,,,102 кг,"для горячего копчения, для холодного копчения",,,45 кг,GN 1/1
https://cdn.entero.ru/mp@2x/60/6f/606f419ae242fdf64946963f1324b095.jpg,Дымогенератор Hobbi Smoke Спиральный,Дымогенератор Hobbi Smoke Спиральный,3138,RUB,Да,,Профоборудование,Тепловое,Печи-коптильни и дымогенераторы,https://entero.ru/item/254148,"<p>Дымогенератор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.by/item/254148"">Hobbi Smoke Спиральный</a></b> предназначен для производства дыма для приготовления мяса, рыбы, птицы и овощей в коптильной камере в частных домах и квартирах. Корпус выполнен из нержавеющей стали AISI 304, крышка и дно - из нержавеющей стали AISI 430.</p>

<p><b class=""o"">Минимальный заказ: от 30 т.р</b></p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальное время дымления с одной загрузки: от 3 до 12 ч</li>
<li>Скорость задымления: 9 л/мин.</li>
<li>Загрузка щепы: 150 г</li>
<li>Расход щепы: от 13 до 50 г/час</li>
<li>Габариты в упаковке: 260х245х60 мм</li>
</ul>",254148,,,,,190 мм,190 мм,50 мм,0.395 кг,Россия,1,260x245x60 мм,0,https://entero.ru/manuals/311258/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hobbi%20Smoke.pdf,4075,,0.3 кг,,,,,
https://cdn.entero.ru/mp@2x/6e/ce/6ece1291addbcf47a3df301ecba70894.jpg;https://cdn.entero.ru/mp@2x/f0/53/f053bd5795724f6196d0eed265d5c5d9.jpg;https://cdn.entero.ru/mp@2x/10/a4/10a4b23f8b568fd6460aaa91416d3f18.jpg;https://cdn.entero.ru/mp@2x/bc/e0/bce0e8a9e8629a1f100dcaf1f0967867.jpg;https://cdn.entero.ru/mp@2x/9a/bc/9abc28b62b853006775f667a3d57816e.jpg;https://cdn.entero.ru/mp@2x/c5/2d/c52d60be3ad83d710d0e8712b1981cf6.jpg;https://cdn.entero.ru/mp@2x/3e/47/3e473fcf4ede032ff0c10fa0ff25b0f7.jpg;https://cdn.entero.ru/mp@2x/f4/85/f485cb6e10967af70cad823b3508977f.jpg,Камера коптильная Hobbi Smoke Симпл,Камера коптильная Hobbi Smoke Симпл,5680,RUB,Да,,Профоборудование,Тепловое,Печи-коптильни и дымогенераторы,https://entero.ru/item/254215,"<p>Коптильная камера <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/254215"">Hobbi Smoke Симпл</a></b> используется совместно с дымогенератором, предназначена для размещения мяса, рыбы, птицы и овощей и приготовления их методом холодного копчения на предприятиях общественного питания и торговли, а также в частных домах и квартирах. Модель оснащена отверстием для выхода дыма, универсальным отверстием для крепления дымогенератора, деревянными рейками-вешалами и крючками. Корпус выполнен из фанеры ФК сорт 2/2.</p>

<p><b class=""o""><a href=""https://entero.ru/list/1440?f%5B11222%5D%5B%5D=%D0%B4%D1%8B%D0%BC%D0%BE%D0%B3%D0%B5%D0%BD%D0%B5%D1%80%D0%B0%D1%82%D0%BE%D1%80"">Дымогенератор</a> в комплект поставки не входит и приобретается отдельно.</b></p>

<p><b class=""o"">Минимальный заказ: 3 шт.</b></p>

<p><b>Особенности:</b></p>

<ul>
<li>Корпус: однослойный, не термостойкий</li>
<li>Рабочая температура: условия окружающей среды</li>
<li>Поставляется в разобранном виде</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем: 90 л</li>
<li>Внутренние размеры камеры: 400х294х741 мм</li>
<li>Толщина фанеры: 6 мм</li>
</ul>",254215,печь-коптильня,,,,412 мм,300 мм,753 мм,,Россия,,,0,https://entero.ru/manuals/311421/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hobbi%20Smoke.pdf,,,7 кг,для холодного копчения,3,,,
https://cdn.entero.ru/mp@2x/7c/45/7c45632124fed285f5cade2f5e5169aa.jpg;https://cdn.entero.ru/mp@2x/f4/d1/f4d1423b3d00897b86504ca3dc9e862f.jpg,Дымогенератор Hobbi Smoke 3.0 Стиль,Дымогенератор Hobbi Smoke 3.0 Стиль,14150,RUB,Да,,Профоборудование,Тепловое,Печи-коптильни и дымогенераторы,https://entero.ru/item/254169,"<p>Дымогенератор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/254169"">Hobbi Smoke 3.0 Стиль</a></b> предназначен для производства дыма для приготовления мяса, рыбы, птицы и овощей в коптильной камере на предприятиях общественного питания и торговли. Корпус выполнен из нержавеющей стали AISI 430, патрубок - из нержавеющей стали AISI 304, внутренняя трубка - из латуни.</p>

<p>Используется с камерами для копчения <a href=""https://entero.ru/search.php?text=%D0%9A%D0%B0%D0%BC%D0%B5%D1%80%D0%B0+%D0%BA%D0%BE%D0%BF%D1%82%D0%B8%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F+Hobbi+Smoke"">Hobbi Smoke</a>.</p>

<p>В комплект поставки входят компрессор, щепа, зажигалка, болты крепления и книга рецептов.</p>

<p><b class=""o"">Минимальный заказ: от 30 т.р</b></p>

<p><b>Особенности:</b></p>

<ul>
<li>Ненагревающаяся крышка защищает от ожогов</li>
<li>Разборная конструкция для легкой очистки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальное время дымления с одной загрузки: 17 ч</li>
<li>Скорость задымления: 9 л/мин.</li>
<li>Загрузка щепы: 1000 г</li>
<li>Расход щепы: 80 г/час</li>
<li>Габариты в упаковке: 565х340х145 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Охладитель-конденсатосборник</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",254169,дымогенератор,,,,140 мм,250 мм,480 мм,5 кг,Россия,1,565x340x145 мм,0,https://entero.ru/manuals/311289/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hobbi%20Smoke.pdf,15053,,2.8 кг,для холодного копчения,,,,
https://cdn.entero.ru/mp@2x/1d/e7/1de7514a768035961f198fc4df9cad9b.jpg;https://cdn.entero.ru/mp@2x/8b/84/8b843db9a38ba8430ba4158a2dd3070a.jpg;https://cdn.entero.ru/mp@2x/bf/72/bf720cb9bb0a3f00d0e546d8ed494542.jpg;https://cdn.entero.ru/mp@2x/85/2f/852f43d279083865bfcbbac5b9107162.jpg;https://cdn.entero.ru/mp@2x/b4/c8/b4c85a395e3220660b5d0b7c7c1628c5.jpg;https://cdn.entero.ru/mp@2x/1f/ae/1faef119908e55200edfbbcd002ec87c.jpg,Камера коптильная Hobbi Smoke Смарт,Камера коптильная Hobbi Smoke Смарт,16500,RUB,Да,,Профоборудование,Тепловое,Печи-коптильни и дымогенераторы,https://entero.ru/item/254216,"<p>Коптильная камера <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/254216"">Hobbi Smoke Смарт</a></b> используется совместно с дымогенератором, предназначена для размещения мяса, рыбы, птицы и овощей и приготовления их методом холодного копчения на предприятиях общественного питания и торговли. Модель оснащена отверстием для выхода дыма, универсальным отверстием для крепления дымогенератора, 2 решетками и крючками. Корпус выполнен из нержавеющей стали AISI 430.</p>

<p><b class=""o""><a href=""https://entero.ru/list/1440?f%5B11222%5D%5B%5D=%D0%B4%D1%8B%D0%BC%D0%BE%D0%B3%D0%B5%D0%BD%D0%B5%D1%80%D0%B0%D1%82%D0%BE%D1%80"">Дымогенератор</a> в комплект поставки не входит и приобретается отдельно.</b></p>

<p><b class=""o"">Минимальный заказ: 3 шт.</b></p>

<p><b>Особенности:</b></p>

<ul>
<li>Корпус: однослойный, не термостойкий</li>
<li>Воздухозабор через вход дымогенератора </li>
<li>Заслонка выхода дыма</li>
<li>Поддон для сбора жира</li>
<li>Сливное отверстие</li>
<li>Рабочая температура: условия окружающей среды</li>
<li>Поставляется в разобранном виде</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем: 90 л</li>
<li>Внутренние размеры камеры: 400х300х800 мм</li>
</ul>",254216,дымогенератор,,,,415 мм,320 мм,820 мм,,Россия,,,0,https://entero.ru/manuals/311427/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hobbi%20Smoke.pdf,,,14 кг,для холодного копчения,4,,,
https://cdn.entero.ru/mp@2x/fc/81/fc81dbbfbd067d2886b9905e3b7f5664.jpg;https://cdn.entero.ru/mp@2x/77/84/778420ef7dd1f7155c2caaef2d1942f4.jpg;https://cdn.entero.ru/mp@2x/79/ab/79ab5d9ef53cba38335aedb9b6e23d0f.jpg;https://cdn.entero.ru/mp@2x/8c/a2/8ca2bc0d1d56f8355f8c9e639c88538b.jpg,Печь-коптильня электрическая Airhot ESM-102,Печь-коптильня электрическая Airhot ESM-102,47905,RUB,Да,Airhot,Профоборудование,Тепловое,Печи-коптильни и дымогенераторы,https://entero.ru/item/377090,"<p>Электрическая печь-коптильня <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/377090"">Airhot ESM-102</a></b> используется на предприятиях общественного питания и торговли, а также в домашних условиях для холодного и горячего копчения мяса, рыбы, птицы, колбас, сыров и других продуктов. Модель оснащена рабочей камерой с левосторонней распашной дверью и расположенной в верхней части фронта электронной панелью управления с функциональными клавишами и 3 цифровыми дисплеями индикации. Корпус выполнен из нержавеющей стали марки AISI 201, полки – из металла с хромированной поверхностью.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>2 решетчатые полки</li>
<li>Направляющий лоток</li>
<li>Поддон для сбора жира</li>
<li>Ящик для древесной щепы</li>
<li>Инструкция по эксплуатации</li>
<li>Заводская упаковка</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Панель управления:
<ul>
<li>Регулировка температуры во внутреннем объеме</li>
<li>Таймер:
<ul>
<li>Настройка длительности предварительного разогрева</li>
<li>Настройка длительности приготовления и автоматическое отключение по окончании цикла</li>
</ul>
</li>
<li>Цифровая индикация температуры в камере и оставшегося до завершения времени циклов</li>
<li>Активация и отключение освещения в камере</li>
<li>Светодиодные индикаторы питания и активации нагрева</li>
</ul>
</li>
<li>Вытяжное отверстие на задней стенке с ручной регулировкой выпуска</li>
<li>Большое смотровое окно для визуального контроля процесса без необходимости открывания камеры</li>
<li>Интегрированные в боковые стенки рукоятки для удобства транспортировки</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная заданная длительность цикла: 12 ч</li>
<li>Максимальная суточная производительность для мяса: 5 кг</li>
</ul>",377090,печь-коптильня,от 30 до 260 °С,220 В,1.2 кВт,514 мм,517 мм,520 мм,27 кг,Китай,1,601x641x605 мм,0,https://entero.ru/manuals/522417/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20ESM-102.pdf,50963,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241497&hash=31d50cb495d4b1cc,,"для горячего копчения, для холодного копчения",2,1.2 кВт,10 кг,
https://cdn.entero.ru/mp@2x/41/ee/41ee1db023f874d660df30baef544505.jpg;https://cdn.entero.ru/mp@2x/f2/7f/f27fa314fe4879b831f3a203f092138c.jpg;https://cdn.entero.ru/mp@2x/0d/01/0d014aa1aa960cf6c7f423eab30d696f.jpg;https://cdn.entero.ru/mp@2x/02/c0/02c0aa3b9a98b3a6ddcee0bd511d73d5.jpg;https://cdn.entero.ru/mp@2x/16/7b/167b9549796ecf00a3c78690f1172f2b.jpg;https://cdn.entero.ru/mp@2x/ea/03/ea03f6be23933862c0aaeadf145192d3.jpg;https://cdn.entero.ru/mp@2x/58/c1/58c1465020a8f594bb21dcf31ba8dce8.jpg,Печь-коптильня электрическая Airhot ESM-101,Печь-коптильня электрическая Airhot ESM-101,50297,RUB,Да,Airhot,Профоборудование,Тепловое,Печи-коптильни и дымогенераторы,https://entero.ru/item/377091,"<p>Электрическая печь-коптильня <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/377091"">Airhot ESM-101</a></b> используется на предприятиях общественного питания и торговли, а также в домашних условиях для холодного и горячего копчения мяса, рыбы, птицы, колбас, сыров и других продуктов. Модель оснащена рабочей камерой с правосторонней распашной дверью и выносным электромеханическим блоком управления. Корпус выполнен из нержавеющей стали марки AISI 201, полки – из металла с хромированной поверхностью.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>4 решетчатые полки</li>
<li>Направляющий лоток</li>
<li>Поддон для сбора жира</li>
<li>Ящик для древесной щепы</li>
<li>Инструкция по эксплуатации</li>
<li>Заводская упаковка</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Управление:
<ul>
<li>Электронный термоконтроллер с термозондом:
<ul>
<li>Приготовление с учетом заданной температуры внутри продукта</li>
<li>Цифровая индикация температуры</li>
</ul>
</li>
<li>Таймер: настройка длительности приготовления с помощью поворотного переключателя и автоматическое отключение по окончании цикла</li>
<li>Светодиодные индикаторы питания и активации нагрева</li>
<li>Выключатель колыбельного типа</li>
<li>Аналоговый термометр на двери для индикации температуры во внутреннем объеме</li>
</ul>
</li>
<li>Труба с вытяжным отверстием на верхней стенке с ручной регулировкой выпуска</li>
<li>Фиксация двери с помощью механических защелок</li>
<li>Рукоятки на боковых стенках для удобства транспортировки</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная заданная длительность цикла: 12 ч</li>
<li>Максимальная суточная производительность для мяса: 20 кг</li>
<li>Габариты полок: 395х320х7,3 мм</li>
</ul>",377091,печь-коптильня,от 30 до 125 °С,220 В,1 кВт,580 мм,443 мм,910 мм,32 кг,Китай,1,550x490x880 мм,0,,53507,,,"для горячего копчения, для холодного копчения",4,1 кВт,20 кг,
https://cdn.entero.ru/mp@2x/4b/ff/4bff47094469068a39ad8dd0060a15d2.jpg,Печь-коптильня Sikom КР-1.30,Печь-коптильня Sikom КР-1.30,67553,RUB,Да,Sikom,Профоборудование,Тепловое,Печи-коптильни и дымогенераторы,https://entero.ru/item/23274,"<p>Печь-коптильня <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/23274"">Sikom КР-1.30</a></b> предназначена для производства продуктов горячего копчения. Модель оснащена электромеханической панелью управления с сигнальными индикаторами нагрева, терморегулятором, таймером включения ТЭНа для нагрева щепы и таймером для установки времени копчения,1 глухой дверью, 2 полками-решетками и съемным лотком для щепы. Корпус выполнен из нержавеющей стали.</p>

<p>Печь может использоваться в качестве жарочного шкафа со стандартными гастроемкостями GN 2/3, которые в комплект поставки не входят и приобретаются отдельно.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Процесс копчения имеет бактерицидное действие, позволяющее сохранить продукты горячего копчения в течение пяти суток при температуре +5 / +7 ° С</li>
<li>Устанавливается только на термостойкую поверхность, выдерживающую до 150 ° С</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем: 30 л</li>
<li>Размер решетки: 325x415 мм</li>
<li>Угол открытия дверцы: 90° </li>
</ul>",23274,печь-коптильня,250 °С,220 В,2.4 кВт,500 мм,560 мм,340 мм,26 кг,Россия,1,585x565x365 мм,0,https://entero.ru/manuals/10532/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Sikom%20%D0%9A%D0%A0-1.30.pdf,,https://vk.com/video_ext.php?oid=-177656185&id=456240011&hd=2&autoplay=0,22 кг,"для горячего копчения, для холодного копчения",2,,60 кг,GN 2/3
https://cdn.entero.ru/mp@2x/08/08/0808f4396abfcfd751c08ad8fc9afbb3.jpg;https://cdn.entero.ru/mp@2x/bc/ca/bcca4bf8644dd5178eee2990c744b872.jpg,Печь-коптильня ITERMA КЭ-24,КЭ24,97266,RUB,Да,ITERMA,Профоборудование,Тепловое,Печи-коптильни и дымогенераторы,https://entero.ru/item/65828,"<p>Печь-коптильня <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/65828"">ITERMA КЭ-24</a></b> используется для горячего и холодного копчения полуфабрикатов и продуктов питания в домашних условиях, а также на предприятиях общественного питания и торговли. Модель оснащена изолированной камерой с двойными стенками и навесной дверью. Корпус, внешний кожух, поддон и решетки выполнены из нержавеющей стали.</p>

<p>В комплект поставки входят решетка для рыбы, плоская решетка 300х400 мм, лоток для опилок и поддон для сбора жира.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Переключатели и контрольные лампы на передней стенке</li>
<li>Таймер с автоматическим отключением</li>
<li>Равномерная температура и оптимальное распределение дыма благодаря давлению создают оптимальную термообработку и золотисто-коричневый цвет копченого продукта</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вместимость: 24 форели весом по 0,25 кг каждая / 12 форелей весом по 0,5 кг каждая / 4 цыпленка / 7 кг жаркого</li>
</ul>",65828,печь-коптильня,от 200 до 250 °С,220 В,1.8 кВт,470 мм,490 мм,360 мм,,Россия,,,0,https://entero.ru/manuals/87720/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20ITERMA%20%D0%9A%D0%AD-24.pdf,,,22.6 кг,"для горячего копчения, для холодного копчения",2,,,
