Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Количество сегментов,Вес (без упаковки),Родина бренда,Страна-производитель,Длина формы
https://cdn.entero.ru/mp@2x/47/b8/47b8023730364b5aa279741ade8309cc.jpg,Аппарат для корн-догов Hualian HX-119,Аппарат для корн-догов Hualian HX-119,12328,RUB,Да,Hualian,Профоборудование,Тепловое,Аппараты для корн-догов,https://entero.ru/item/289655,"<p>Аппарат для корн-догов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/289655"">Hualian HX-119</a> </b>используется на предприятиях общественного питания и торговли для приготовления хрустящих сосисок в тесте с кукурузной мукой. Модель оснащена трубчатыми электронагревателями (ТЭНами), откидной крышкой и электромеханической панелью управления. Корпус выполнен из нержавеющей стали и алюминия, жарочные поверхности с антипригарным покрытием.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Регулировка температуры</li>
<li>Таймер для настройки длительности приготовления </li>
<li>Автоматический контроль заданной температуры</li>
<li>Светодиодные индикаторы питания и нагрева</li>
<li>Съемный поддон для сбора масла и излишков теста</li>
<li>Термоизолированная рукоятка для безопасного захвата </li>
<li>Компактные габариты для удобства транспортировки</li>
<li>Эргономичный современный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Средняя длительность цикла приготовления: от 3 до 5 мин.</li>
<li>Минимальное расстояние до стены при эксплуатации: 100 мм</li>
</ul>",289655,220 В,1.55 кВт,390 мм,340 мм,245 мм,10.5 кг,1,435x410x305 мм,0,,12977,,6,9.5 кг,Китай,Китай,
https://cdn.entero.ru/mp@2x/5f/61/5f61c20af2312bc56f5abbc4d1fbae08.jpg;https://cdn.entero.ru/mp@2x/2d/c3/2dc3c051ea40d2efb56a7151a81a6720.jpg;https://cdn.entero.ru/mp@2x/17/22/1722c292197adb9bbc8e86848ad4c077.jpg;https://cdn.entero.ru/mp@2x/7d/a9/7da92044f3d2f5663e59e410ca778a2a.jpg,Аппарат для корн-догов Rosso HX-216,Аппарат для корн-догов Rosso HX-216,12375,RUB,Да,Rosso,Профоборудование,Тепловое,Аппараты для корн-догов,https://entero.ru/item/375208,"<p>Аппарат для корн-догов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/375208"">Rosso HX-216</a> </b>используется на предприятиях общественного питания и торговли для приготовления хрустящих сосисок в тесте с кукурузной мукой. Модель оснащена терморегулятором и электронным таймером. Корпус выполнен из нержавеющей стали, рабочая поверхность - из чугуна с тефлоновым покрытием.</p>",375208,220 В,1.6 кВт,,,,10 кг,1,335x300x245 мм,0,,,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241440&hash=79342b9e9197f7b2,6,,Китай,Китай,
https://cdn.entero.ru/mp@2x/1b/9f/1b9f9fa3d03d2ea4e7fc41c323628c72.jpg;https://cdn.entero.ru/mp@2x/24/c2/24c28bd90a8c826e5b059ccade264592.jpg;https://cdn.entero.ru/mp@2x/01/0d/010d760418494e52bfd8ad563abd9554.jpg;https://cdn.entero.ru/mp@2x/76/49/76493ef01eb786e36df69a3f6beaae91.jpg,Аппарат для корн-догов Rosso HX-119,Аппарат для корн-догов Rosso HX-119,12479,RUB,Да,Rosso,Профоборудование,Тепловое,Аппараты для корн-догов,https://entero.ru/item/375456,"<p>Аппарат для корн-догов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/375456"">Rosso HX-119</a></b> используется на предприятиях общественного питания и торговли для приготовления фигурных вафель на палочке с разнообразными начинками: сосиски, сыр, бекон, топпинги, фрукты и мороженое. Модель оснащена терморегулятором и электронным таймером. Корпус выполнен из нержавеющей стали, рабочая поверхность - из чугуна с антипригарным тефлоновым покрытием.</p>",375456,220 В,1.6 кВт,,,,10.5 кг,1,335x300x245 мм,0,,13418,,6,,Китай,Китай,
https://cdn.entero.ru/mp@2x/ca/96/ca968304bf08f8eccbf51ba1ab8ee573.jpg;https://cdn.entero.ru/mp@2x/f8/e7/f8e7307f9f5b43ef03309e4b69cd99e4.jpg,Аппарат для корн-догов Grill Master Ф2СвтЭ,21701 / 108368,28230,RUB,Да,Grill Master,Профоборудование,Тепловое,Аппараты для корн-догов,https://entero.ru/item/51356,"<p>Аппарат для корн-догов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/51356"">Grill Master Ф2СвтЭ</a></b> используется на предприятиях общественного питания и торговли для приготовления хрустящих сосисок в тесте. Модель оснащена электромеханической панелью управления и поворотным механизмом форм. Корпус выполнен из нержавеющей стали, рабочие поверхности - из чугуна</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температурный режим: от 0 до 300 °С</li>
<li>Производительность: 40-50 шт./ч</li>
<li>Время приготовления: от 5 до 10 мин.</li>
</ul>",51356,220 В,2 кВт,535 мм,260 мм,270 мм,21 кг,1,605x330x340 мм,0,https://entero.ru/manuals/509501/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Grill%20Master%20%D0%A42%D0%A1%D0%B2%D1%82%D0%AD.doc;https://entero.ru/manuals/509502/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,5,,Россия,,140 мм
https://cdn.entero.ru/mp@2x/26/68/266887816f6296484a3e49b3d8e2c917.jpg;https://cdn.entero.ru/mp@2x/3c/17/3c17ea1db404140ca8d0dc129539f594.jpg;https://cdn.entero.ru/mp@2x/2c/69/2c6933bb1394a3b3fdcc1b600f794a7e.jpg,Аппарат для корн-догов HENDI Lolly 212165,Аппарат для корн-догов HENDI Lolly 212165,31052,RUB,Да,HENDI,Профоборудование,Тепловое,Аппараты для корн-догов,https://entero.ru/item/276910,"<p>Аппарат для корн-догов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/276910"">HENDI Lolly 212165</a></b> используется на предприятиях общественного питания и торговли для приготовления корн-догов - фигурных вафель на палочке. При желании можно использовать различные начинки - сыр, бекон, запекать сосиски в вафле. Модель оснащена терморегулятором и электронным таймером на 15 мин. Корпус выполнен из нержавеющей стали 18/10, жарочная поверхность - из литого алюминия с антипригарным тефлоновым покрытием.</p>

<p><b>Особенности</b>: </p>

<ul>
<li>Вентиляционные отверстия защищают изделие от перегрева.</li>
<li>Термоустойчивая ручка</li>
<li>Специальные пазы для палочек</li>
<li>Поддон для сбора лишнего теста облегчает очистку</li>
<li>Класс защиты: I</li>
<li>Класс влагозащиты: IPX3</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температура выпечки: от 50 до 220 °C</li>
</ul>",276910,220 В,1.75 кВт,310 мм,395 мм,230 мм,,,,0,https://entero.ru/manuals/344200/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20HENDI%20Lolly%20212165.pdf,33034,,4,10.5 кг,Китай,Китай,255 мм
https://cdn.entero.ru/mp@2x/c1/aa/c1aa8ec87f8707cc9b6f3e66a6e2583d.jpg;https://cdn.entero.ru/mp@2x/b2/35/b235cdad0c8e3de206d01370f36e82ca.jpg;https://cdn.entero.ru/mp@2x/5a/3b/5a3bfb1ca483a713c420f0dfa2bbaef4.jpg,Аппарат для корн-догов HENDI 212189,Аппарат для корн-догов HENDI 212189,31248,RUB,Да,HENDI,Профоборудование,Тепловое,Аппараты для корн-догов,https://entero.ru/item/276908,"<p>Аппарат для корн-догов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/276908"">HENDI 212189</a></b> используется на предприятиях общественного питания и торговли для приготовления корн-догов - фигурных вафель на палочке. При желании можно использовать различные начинки - сыр, бекон, запекать сосиски в вафле. Модель оснащена терморегулятором и электронным таймером на 15 мин. Корпус выполнен из нержавеющей стали 18/10, жарочная поверхность - из литого алюминия с антипригарным тефлоновым покрытием.</p>

<p><b>Особенности</b>: </p>

<ul>
<li>Вентиляционные отверстия защищают изделие от перегрева.</li>
<li>Термоустойчивая ручка</li>
<li>Специальные пазы для палочек</li>
<li>Поддон для сбора лишнего теста облегчает очистку</li>
<li>Класс защиты: I</li>
<li>Класс влагозащиты: IPX3</li>
</ul>",276908,220 В,1.55 кВт,390 мм,355 мм,230 мм,,,,0,https://entero.ru/manuals/344197/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20HENDI%20212189.pdf;https://entero.ru/manuals/344198/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20HENDI%20212189.pdf;https://entero.ru/manuals/344199/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8%20%D0%BD%D0%B0%20HENDI%20212189%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,,,6,10 кг,Китай,Китай,
https://cdn.entero.ru/mp@2x/d1/8a/d18ad01aa56d0455c65b0dc4159dc7c9.jpg;https://cdn.entero.ru/mp@2x/96/35/96353eaeb1f1f556ef16080dd96929b4.jpg;https://cdn.entero.ru/mp@2x/c7/c1/c7c19b586604608dbef6fc1de793524a.jpg;https://cdn.entero.ru/mp@2x/27/dd/27ddbc1ffe149e8933c3a950d98ee521.jpg;https://cdn.entero.ru/mp@2x/aa/f5/aaf5f0a92f61379fad92510ed93341d0.jpg;https://cdn.entero.ru/mp@2x/85/e1/85e1bae1ba29a6f0de01b570f58bd8af.jpg;https://cdn.entero.ru/mp@2x/71/6f/716fef80014ba0e24685736a6bf8938e.jpg;https://cdn.entero.ru/mp@2x/99/4b/994b939dba35fa6688c7f412145cfb95.jpg,Аппарат для корн-догов VIATTO VKD-6,Аппарат для корн-догов VIATTO VKD-6,14124,RUB,Нет,VIATTO,Профоборудование,Тепловое,Аппараты для корн-догов,https://entero.ru/item/115595,"<p>Аппарат для корн-догов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/115595"">VIATTO VKD-6</a></b> используется на предприятиях общественного питания и торговли для приготовления хрустящих сосисок в тесте. Модель оснащена терморегулятором и таймером. Корпус выполнен из нержавеющей стали, рабочие поверхности - из чугуна с антипригарным покрытием.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Температурный режим: от 50 до 300 °C</li>
</ul>",115595,220 В,1.55 кВт,390 мм,340 мм,245 мм,10.5 кг,1,365x350x300 мм,0,https://entero.ru/manuals/114967/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20VIATTO.pdf,15187,,6,9.5 кг,Россия,,
https://cdn.entero.ru/mp@2x/45/38/45380afd8742b93784877cbf1f570925.jpg,Аппарат для корн-догов EKSI HX-117,Аппарат для корн-догов EKSI HX-117,11248,RUB,Нет,EKSI,Профоборудование,Тепловое,Аппараты для корн-догов,https://entero.ru/item/347359,"<p>Аппарат для корн-догов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/347359"">EKSI HX-117</a></b> используется на предприятиях общественного питания и торговли для приготовления хрустящих сосисок в тесте. Модель оснащена электромеханической панелью управления. Корпус выполнен из нержавеющей стали, рабочая поверхность - из алюминия без покрытия.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер корн-дога: 140х40х15 мм</li>
</ul>",347359,220 В,1.6 кВт,335 мм,300 мм,245 мм,7.88 кг,1,357x382x288 мм,0,https://entero.ru/manuals/485883/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20EKSI%20HX-117.doc,12226,,5,,Китай,Китай,140 мм
https://cdn.entero.ru/mp@2x/a1/2c/a12c130ff3c17939e643914d75169b90.jpg,Аппарат для корн-догов Enigma ICD-5,105506,11534,RUB,Нет,Enigma,Профоборудование,Тепловое,Аппараты для корн-догов,https://entero.ru/item/72276,"<p>Настольный электрический аппарат для корн-догов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/72276"">Enigma ICD-5</a></b> предназначен для приготовления хрустящих сосисок на предприятиях общественного питания и торговли. Прибор оснащен электромеханическим управлением и 4 ножками. Корпус выполнен из нержавеющей стали.</p>",72276,220 В,1.5 кВт,385 мм,410 мм,320 мм,,,,0,https://entero.ru/manuals/506557/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,12270,,5,8 кг,Китай,,
https://cdn.entero.ru/mp@2x/da/a8/daa8a23065a837854dc75385439ad5d0.jpg,Аппарат для корн-догов Kocateq GH15CDNW,Аппарат для корн-догов Kocateq GH15CDNW,12316,RUB,Нет,Kocateq,Профоборудование,Тепловое,Аппараты для корн-догов,https://entero.ru/item/125011,"<p>Аппарат для корн-догов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/125011"">Kocateq GH15CDNW</a> </b>используется на предприятиях общественного питания и торговли, в пекарнях и кондитерских для выпечки 5 корн-догов. Модель оснащена механической панелью управления, таймером до 15 минут со звуковым сигналом и термостатом для регулировки температуры. Рабочая поверхность выполнена из специального теплопроводящего сплава методом высокоточного литья, корпус - из нержавеющей стали AISI 304 и AISI 430.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Сбалансированная верхняя форма с термоизолированной ручкой</li>
<li>Регулируемые ножки</li>
<li>Световые индикаторы:
<ul>
<li>Подключение к электрической сети</li>
<li>Подача напряжения</li>
</ul>
</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Температурный режим: от 80 до 300 °С</li>
<li>Размеры формы: 140x40х15 мм</li>
<li>Габариты в упаковке: 410x395x305 мм</li>
</ul>",125011,220 В,1.55 кВт,360 мм,330 мм,245 мм,,,,0,https://entero.ru/manuals/134444/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Kocateq.pdf;https://entero.ru/manuals/279011/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Kocateq%20GH15CDNW.pdf,,,5,,Ю. Корея,,
https://cdn.entero.ru/mp@2x/34/47/34476a30ffc464c13a631beae2292f6b.jpg,Аппарат для корн-догов EKSI HX-119,Аппарат для корн-догов EKSI HX-119,12443,RUB,Нет,EKSI,Профоборудование,Тепловое,Аппараты для корн-догов,https://entero.ru/item/347358,"<p>Аппарат для корн-догов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/347358"">EKSI HX-119</a></b> используется на предприятиях общественного питания и торговли для приготовления хрустящих сосисок в тесте. Корпус выполнен из нержавеющей стали, рабочая поверхность - из алюминия.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер корн-дога: 140х40х15 мм</li>
</ul>",347358,220 В,1.6 кВт,335 мм,300 мм,245 мм,8.42 кг,1,380x355x300 мм,0,https://entero.ru/manuals/513030/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,13237,,6,,Китай,Китай,140 мм
https://cdn.entero.ru/mp@2x/92/c9/92c9aba2b37e158c5bf8582f2a927b0d.jpg,Аппарат для корн-догов VIATTO VKD-5,Аппарат для корн-догов VIATTO VKD-5,12732,RUB,Нет,VIATTO,Профоборудование,Тепловое,Аппараты для корн-догов,https://entero.ru/item/157740,"<p>Аппарат для корн-догов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/157740"">VIATTO VKD-5</a></b> используется на предприятиях общественного питания и торговли для приготовления хрустящих сосисок в тесте. Модель оснащена таймером. Корпус выполнен из нержавеющей стали, рабочие поверхности - из алюминия с антипригарным покрытием.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Количество рабочих поверхностей: 1</li>
<li>Максимальное время таймера: 15 мин</li>
</ul>",157740,220 В,1.6 кВт,335 мм,300 мм,245 мм,8 кг,1,335x300x245 мм,0,https://entero.ru/manuals/408930/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VIATTO%20VKD-5.pdf;https://entero.ru/manuals/408931/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,13839,,5,7 кг,Россия,,
https://cdn.entero.ru/mp@2x/2d/fd/2dfd7b9f50689901cf754dc4d510fab5.jpg;https://cdn.entero.ru/mp@2x/c3/c7/c3c7985e7c379cc6c85f959e96eb0ccc.jpg;https://cdn.entero.ru/mp@2x/11/78/1178391d1f98202e6db3e5c80c633400.jpg;https://cdn.entero.ru/mp@2x/6b/2a/6b2af98ba2fcb49d4221b4e6fd03e7d9.jpg,Аппарат для корн-догов Crazy Pan CP-CD06,Аппарат для корн-догов Crazy Pan CP-CD06,12916,RUB,Нет,,Профоборудование,Тепловое,Аппараты для корн-догов,https://entero.ru/item/116667,"<p>Аппарат для корн-догов<b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/116667"">Crazy Pan CP-CD06</a></b> используется на предприятиях общественного питания и торговли для приготовления хрустящих сосисок в тесте. Модель оснащена терморегулятором, 2 ТЭНами и звуковым таймером на 5 минут. Корпус выполнен из нержавеющей стали, рабочая поверхность имеет антипригарное покрытие.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Температурный режим: от 50 до 300 °С</li>
<li>Габариты в упаковке: 385x360x290 мм</li>
</ul>",116667,220 В,1.55 кВт,335 мм,340 мм,455 мм,,,,0,https://entero.ru/manuals/413776/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Crazy%20Pan%20CP-CD06.docx,13740,,6,8 кг,Китай,,
https://cdn.entero.ru/mp@2x/23/86/23866cb88661689e67552517fb512e5c.jpg;https://cdn.entero.ru/mp@2x/8b/b6/8bb6c6a2bc1a51b3e80b070f82461291.jpg;https://cdn.entero.ru/mp@2x/91/77/9177361380e642a1650e64fb0dfa7703.jpg;https://cdn.entero.ru/mp@2x/af/9d/af9dad234ff9a06ecffd9b9c53d81d30.jpg;https://cdn.entero.ru/mp@2x/40/b3/40b3c91dea9e5eb9824856f6c7c15df8.jpg;https://cdn.entero.ru/mp@2x/64/7c/647c9a6f415b254f35e9bf6edadf3a9c.jpg,Аппарат для корн-догов Kocateq IT-WM-5MS,Аппарат для корн-догов Kocateq IT-WM-5MS,13030,RUB,Нет,Kocateq,Профоборудование,Тепловое,Аппараты для корн-догов,https://entero.ru/item/329729,"<p>Аппарат для корн-догов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/329729"">Kocateq IT-WM-5MS</a></b> используется на предприятиях общественного питания и торговли для приготовления хрустящих сосисок в тесте. Модель оснащена аналоговой панелью управления, термостатом, таймером и световыми индикаторами сети. Корпус выполнен из нержавеющей стали, рабочая поверхность - из специального теплопроводящего сплава.</p>",329729,220 В,1.55 кВт,330 мм,275 мм,230 мм,8 кг,1,395x380x270 мм,0,https://entero.ru/manuals/407417/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,,,5,,Ю. Корея,,350 мм
https://cdn.entero.ru/mp@2x/b0/f2/b0f22edb09b0a0047bb9c866ae5faf4a.jpg;https://cdn.entero.ru/mp@2x/eb/16/eb16d69992f8fd9dd8b29effe121cf12.jpg;https://cdn.entero.ru/mp@2x/51/00/510031a5a381de733fffd6b1cd028514.jpg,Аппарат для корн-догов Starfood 1620038A,Аппарат для корн-догов Starfood 1620038A,13647,RUB,Нет,Starfood,Профоборудование,Тепловое,Аппараты для корн-догов,https://entero.ru/item/228332,"<p>Аппарат для корн-догов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/228332"">Starfood 1620038A</a></b> используется на предприятиях общественного питания и торговли. Основой корн-догов является жидкое вафельное или пикантное тесто на основе кукурузной муки, в котором обволакивается и запекается сосиска. Модель оснащена механической панелью управления. Корпус выполнен из нержавеющей стали, жарочные поверхности – из чугуна. </p>",228332,220 В,1.55 кВт,360 мм,330 мм,245 мм,10 кг,1,400x450x300 мм,0,,14674,,6,7.5 кг,Китай,,145 мм
https://cdn.entero.ru/mp@2x/f7/58/f7583bc2b427ebe7e96caaa971672139.jpg,Аппарат для корн-догов Roller Grill GES 80,Аппарат для корн-догов Roller Grill GES 80,66274,RUB,Нет,Roller Grill,Профоборудование,Тепловое,Аппараты для корн-догов,https://entero.ru/item/39391,"<p>Аппарат для корн-догов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/39391"">Roller Grill GES 80</a></b> используется в домашних условиях, на предприятиях общественного питания и торговли для выпекания объемных вафель на палочке. Модель оснащена съемным поддоном для сбора избыточного теста. Корпус выполнен из нержавеющей стали, поверхность - из чугуна, ручки - из термостойкого материала.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Термостат</li>
<li>2 сигнальные лампы</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температурный режим: от 0 до 300 °C</li>
<li>Время приготовления: 2,5 мин.</li>
<li>Размер вафли: 145х38 мм</li>
</ul>",39391,220 В,1.6 кВт,305 мм,440 мм,230 мм,,,,0,https://entero.ru/manuals/20601/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf;https://entero.ru/manuals/360757/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Roller%20Grill%20GES%2080.pdf;https://entero.ru/manuals/360758/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Roller%20Grill%20GES%2080.pdf,70504,,4,19 кг,Франция,,
https://cdn.entero.ru/mp@2x/a4/0b/a40b8a33b040d0fb3f6efa058b0f9a92.jpg,Аппарат для корн-догов GASTRORAG ZU-EG-5BE,Аппарат для корн-догов GASTRORAG ZU-EG-5BE,0,RUB,Нет,GASTRORAG,Профоборудование,Тепловое,Аппараты для корн-догов,https://entero.ru/item/83333,"<p>Аппарат для корн-догов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/83333"">GASTRORAG ZU-EG-5BE</a></b> используется на предприятиях общественного питания и торговли для приготовления хрустящих сосисок в тесте. Модель оснащена таймером. Корпус выполнен из нержавеющей стали, жарочные пресс-формы - из чугуна.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Температурный режим: от 50 до 300 °С</li>
</ul>",83333,220 В,1.5 кВт,335 мм,270 мм,225 мм,,,,0,https://entero.ru/manuals/58131/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20GASTRORAG%20ZU-EG-5BE.pdf;https://entero.ru/manuals/116558/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20GASTRORAG.pdf,,,5,,Китай,,
https://cdn.entero.ru/mp@2x/7a/4a/7a4a371def1944ed60cdc2ca13762da5.jpg,Аппарат для корн-догов Assum ТТ-WE2218,Аппарат для корн-догов Assum ТТ-WE2218,0,RUB,Нет,Assum,Профоборудование,Тепловое,Аппараты для корн-догов,https://entero.ru/item/157849,"<p>Аппарат для корн-догов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/157849"">Assum ТТ-WE2218</a> </b>используется на предприятиях общественного питания и торговли для приготовления хрустящих сосисок в тесте. Корпус выполнен из нержавеющей стали, формы - из чугуна. </p>

<p><b>Характеристики:</b></p>

<ul>
<li>Температурный режим: от 50 до 300 °С</li>
<li>Габариты в упаковке: 440х330х330 мм </li>
</ul>",157849,220 В,1.5 кВт,380 мм,270 мм,270 мм,,,,0,,,https://vk.com/video_ext.php?oid=-177656185&id=456240546&hd=2&autoplay=0,5,16 кг,Китай,,
