Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Цвет,Объем чаши,Импульсный режим,Число скоростей,Уровень шума,Турборежим,Вращение чаши
https://cdn.entero.ru/mp@2x/b7/bd/b7bd819c3bdc6aa6c0082e6aa64e1028.jpg;https://cdn.entero.ru/mp@2x/3f/60/3f606b94f4badc994d10407ea802c8f4.jpg;https://cdn.entero.ru/mp@2x/ff/8c/ff8c2d8e8294d6430762683aee6f2d30.jpg;https://cdn.entero.ru/mp@2x/25/1c/251cce68d4f73813b68f5882e11c44ae.jpg;https://cdn.entero.ru/mp@2x/25/11/251168c9074785a8bcbb5fa8eaf33d5c.jpg;https://cdn.entero.ru/mp@2x/18/bf/18bfe1d327e8e4643ac3ccd26464453c.jpg;https://cdn.entero.ru/mp@2x/64/ba/64ba285f7f67aefa456b642e79eb51be.jpg;https://cdn.entero.ru/mp@2x/7b/be/7bbe3c8546a0c6f7845a15806e807fb4.jpg;https://cdn.entero.ru/mp@2x/a0/76/a0764d3ad561641b6c9af867b9096a7d.jpg;https://cdn.entero.ru/mp@2x/17/ce/17cef28596cd09686e8f6d32ed798346.jpg;https://cdn.entero.ru/mp@2x/47/24/472446eaaf5bfc61b97341b0a9aa8da5.jpg;https://cdn.entero.ru/mp@2x/02/0b/020bc00ccf3557e66af95e7e52b65b2e.jpg;https://cdn.entero.ru/mp@2x/5b/09/5b097d34a35fd67eed53e4c695857b8c.jpg;https://cdn.entero.ru/mp@2x/ca/a4/caa46af465dd1be26e637aa2c5adae1d.jpg,"Миксер планетарный KitchenAid Artisan 5KSM175PSEOB 4,8 л черный","Миксер планетарный KitchenAid Artisan 5KSM175PSEOB 4,8 л черный",0,RUB,Нет,KitchenAid,Бытовая техника,Техника для кухни,Миксеры,https://entero.ru/item/113134,"<p>Планетарный миксер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/113134""><b class=""b"">KitchenAid Artisan 5KSM175PSEOB</b></a> предназначен для замеса различного вида теста, взбивания кремов, муссов, смешивания смесей, приготовления пюре, соусов и коктейлей. Механическая панель обеспечивает простое управление. Цельный корпус выполнен из металла с эмалевым покрытием, чаши - из нержавеющей стали.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Чаша 4,8 л</li>
<li>Дополнительная чаша 3 л</li>
<li>Крюк для замешивания теста</li>
<li>Проволочный венчик</li>
<li>Лопатка для смешивания</li>
<li>Лопатка с гибким ребром</li>
<li>Защитный обод от брызг</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>10 скоростных режимов</li>
<li>Уникальный метод планетарного смешивания</li>
<li>Откидной блок</li>
<li>Мотор с прямым приводом</li>
<li>Фиксатор для насадок</li>
<li>Защитный обод плотно прилегает к краю стандартной чаши и значительно снижает количество брызг</li>
<li>Проволочный венчик для насыщения различных ингредиентов пузырьками воздуха, взбивания сладких и пикантных муссов, кремов и белкового теста</li>
<li>Лопатка для замешивания жидкого теста, перетирания овощного пюре, перемешивания соусов, приготовления сливочного масла с разными добавками и замешивания сдобного теста</li>
<li>Крюк для замешивания теста идеально подходит для приготовления теста для пасты, пиццы и хлеба</li>
<li>Лопатка с гибким ребром для нормальных и густых смесей - гибкий край лопатки обеспечивает быстрое смешивание ингредиентов, при котором нет необходимости останавливать двигатель и использовать лопатку</li>
<li>Гладкий и округлый дизайн</li>
<li>Съемные детали можно мыть в посудомоечной машине</li>
<li>Повышенная износостойкость</li>
<li>Широкий выбор дополнительных насадок для расширения функциональных возможностей прибора</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная загрузка муки: 1 кг</li>
<li>Скорость: от 58 до 220 об/мин.</li>
<li>Длина сетевого кабеля: 1,35 м</li>
</ul>",113134,стационарный,220 В,0.3 кВт,355 мм,225 мм,355 мм,12.7 кг,США,1,280x420x420 мм,0,https://entero.ru/manuals/112543/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20KitchenAid%205KSM175PSEOB.pdf,,,11.3 кг,черный,4.8 л,,10,,,
https://cdn.entero.ru/mp@2x/b7/c7/b7c77f30bfb1b9a2c8459d5694ec98ac.jpg;https://cdn.entero.ru/mp@2x/d7/88/d7881c66e81b01f62c0211b2ca4e9181.jpg;https://cdn.entero.ru/mp@2x/22/49/2249881848996c6f96551ec02c210c5e.jpg;https://cdn.entero.ru/mp@2x/7a/48/7a4887cb59d5ba6e1cd0c31de7e14cf5.jpg;https://cdn.entero.ru/mp@2x/c7/19/c719b8f8d4455caf0e6cfa8a90a198c2.jpg;https://cdn.entero.ru/mp@2x/1c/91/1c912763b2bcb70d2c4e3e69b3e601d2.jpg;https://cdn.entero.ru/mp@2x/1c/0a/1c0a7213369dde4503cb5034bda2e455.jpg;https://cdn.entero.ru/mp@2x/8a/3f/8a3fe80429f6e160aa779266a8613ad1.jpg;https://cdn.entero.ru/mp@2x/a7/14/a71446d1e1d9ea6dade75bc74efef44c.jpg;https://cdn.entero.ru/mp@2x/95/75/957591521fa085a38436107c76c184e4.jpg;https://cdn.entero.ru/mp@2x/d6/39/d6391aa2446797d03b8775943aa5c0d1.jpg;https://cdn.entero.ru/mp@2x/1b/4e/1b4e89b06f9656950f19c95addcb94ea.jpg;https://cdn.entero.ru/mp@2x/11/9b/119baa646d3dc580df14788b5fc1fd4e.jpg,"Миксер планетарный KitchenAid Artisan 5KSM175PSEMS 4,8 л серебряный медальон",5KSM175PSEMS серебряный медальон Artisan,0,RUB,Нет,KitchenAid,Бытовая техника,Техника для кухни,Миксеры,https://entero.ru/item/37388,"<p>Планетарный миксер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/37388""><b class=""b"">KitchenAid Artisan 5KSM175PSEMS</b></a> предназначен для замеса различного вида теста, взбивания кремов, муссов, смешивания смесей, приготовления пюре, соусов и коктейлей. Механическая панель обеспечивает простое управление. Цельный корпус выполнен из металла с эмалевым покрытием, чаши - из нержавеющей стали.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Чаша 4,8 л</li>
<li>Дополнительная чаша 3 л</li>
<li>Крюк для замешивания теста</li>
<li>Проволочный венчик</li>
<li>Лопатка для смешивания</li>
<li>Лопатка с гибким ребром</li>
<li>Защитный обод от брызг</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>10 скоростных режимов</li>
<li>Уникальный метод планетарного смешивания</li>
<li>Откидной блок</li>
<li>Мотор с прямым приводом</li>
<li>Фиксатор для насадок</li>
<li>Защитный обод плотно прилегает к краю стандартной чаши и значительно снижает количество брызг</li>
<li>Проволочный венчик для насыщения различных ингредиентов пузырьками воздуха, взбивания сладких и пикантных муссов, кремов и белкового теста</li>
<li>Лопатка для замешивания жидкого теста, перетирания овощного пюре, перемешивания соусов, приготовления сливочного масла с разными добавками и замешивания сдобного теста</li>
<li>Крюк для замешивания теста идеально подходит для приготовления теста для пасты, пиццы и хлеба</li>
<li>Лопатка с гибким ребром для нормальных и густых смесей - гибкий край лопатки обеспечивает быстрое смешивание ингредиентов, при котором нет необходимости останавливать двигатель и использовать лопатку</li>
<li>Гладкий и округлый дизайн</li>
<li>Съемные детали можно мыть в посудомоечной машине</li>
<li>Повышенная износостойкость</li>
<li>Широкий выбор дополнительных насадок для расширения функциональных возможностей прибора</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная загрузка муки: 1 кг</li>
<li>Скорость: от 58 до 220 об/мин.</li>
<li>Длина сетевого кабеля: 1,35 м</li>
</ul>",37388,стационарный,220 В,0.3 кВт,355 мм,225 мм,355 мм,12.7 кг,США,1,280x420x420 мм,0,https://entero.ru/manuals/499143/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20KitchenAid%20Artisan%205KSM175PSEMS.pdf,,,11.3 кг,"серый, серебряный",4.8 л,,10,,,
https://cdn.entero.ru/mp@2x/1d/44/1d44948a136a683ca468c2fa58e4da90.jpg;https://cdn.entero.ru/mp@2x/82/81/8281e691f1ca2ada0c9b44275042598e.jpg;https://cdn.entero.ru/mp@2x/d5/fb/d5fbdce14f86d6fda86a8c8bd8d57a25.jpg;https://cdn.entero.ru/mp@2x/01/7d/017dc92baaf0e73f40f99eaef74e3c3c.jpg;https://cdn.entero.ru/mp@2x/f2/1f/f21fbd3cbdc29e411591dc4509cf64ec.jpg;https://cdn.entero.ru/mp@2x/bb/0c/bb0cd9471d180dc98fde2e20dc1810c8.jpg;https://cdn.entero.ru/mp@2x/1c/db/1cdb89a0d50c18dec36ea158a1235caa.jpg;https://cdn.entero.ru/mp@2x/d9/24/d92409caddbde4d54ce83f697ea263c7.jpg;https://cdn.entero.ru/mp@2x/1f/5f/1f5fa35549d6a6288c74ef5bd0e87f2f.jpg;https://cdn.entero.ru/mp@2x/60/e6/60e6e94d0a42e58f252808679785a09e.jpg;https://cdn.entero.ru/mp@2x/a7/99/a7996531b1b68dc8cfbb934e634ba07b.jpg;https://cdn.entero.ru/mp@2x/05/fe/05fe55ad6ff363e2d4b458af8f33915d.jpg;https://cdn.entero.ru/mp@2x/36/2c/362cae0019eb7627fa83944640b1faad.jpg,"Миксер планетарный KitchenAid Artisan 5KSM175PSEBK 4,8 л черный чугун",124718,0,RUB,Нет,KitchenAid,Бытовая техника,Техника для кухни,Миксеры,https://entero.ru/item/113125,"<p>Планетарный миксер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/113125""><b class=""b"">KitchenAid Artisan 5KSM175PSEBK</b></a><span style=""text-align: left;""> предназначен для замеса различного вида теста, взбивания кремов, муссов, смешивания смесей, приготовления пюре, соусов и коктейлей. Механическая панель обеспечивает простое управление. Цельный корпус выполнен из металла с эмалевым покрытием, чаши - из нержавеющей стали.</span></p>

<p><b>Комплектация:</b></p>

<ul>
<li>Чаша 4,8 л</li>
<li>Дополнительная чаша 3 л</li>
<li>Крюк для замешивания теста</li>
<li>Проволочный венчик</li>
<li>Лопатка для смешивания</li>
<li>Лопатка с гибким ребром</li>
<li>Защитный обод от брызг</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>10 скоростных режимов</li>
<li>Уникальный метод планетарного смешивания</li>
<li>Откидной блок</li>
<li>Мотор с прямым приводом</li>
<li>Фиксатор для насадок</li>
<li>Защитный обод плотно прилегает к краю стандартной чаши и значительно снижает количество брызг</li>
<li>Проволочный венчик для насыщения различных ингредиентов пузырьками воздуха, взбивания сладких и пикантных муссов, кремов и белкового теста</li>
<li>Лопатка для замешивания жидкого теста, перетирания овощного пюре, перемешивания соусов, приготовления сливочного масла с разными добавками и замешивания сдобного теста</li>
<li>Крюк для замешивания теста идеально подходит для приготовления теста для пасты, пиццы и хлеба</li>
<li>Лопатка с гибким ребром для нормальных и густых смесей - гибкий край лопатки обеспечивает быстрое смешивание ингредиентов, при котором нет необходимости останавливать двигатель и использовать лопатку</li>
<li>Гладкий и округлый дизайн</li>
<li>Съемные детали можно мыть в посудомоечной машине</li>
<li>Повышенная износостойкость</li>
<li>Широкий выбор дополнительных насадок для расширения функциональных возможностей прибора</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная загрузка муки: 1 кг</li>
<li>Скорость: от 58 до 220 об/мин.</li>
<li>Длина сетевого кабеля: 1,35 м</li>
</ul>",113125,стационарный,220 В,0.3 кВт,355 мм,225 мм,355 мм,12.7 кг,США,1,280x420x420 мм,0,https://entero.ru/manuals/112532/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20KitchenAid%205KSM175PSEBK.pdf,,,11.3 кг,"черный, чугун",4.8 л,,10,,,
https://cdn.entero.ru/mp@2x/a8/40/a84046612d6af2838e7e9b597c95a0d7.jpg;https://cdn.entero.ru/mp@2x/b0/8a/b08ad5b3ef08c7ea4fd7c495d1434d2b.jpg,Миксер планетарный Gemlux GL-SM10GR,Миксер планетарный Gemlux GL-SM10GR,25560,RUB,Нет,Gemlux,Бытовая техника,Техника для кухни,Миксеры,https://entero.ru/item/81850,"<p>Планетарный миксер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/81850"">Gemlux GL-SM10GR</a></b> ​серии Platinum предназначен для замеса различного вида теста, взбивания яиц, сливок, кремов и муссов и перемешивания готового фарша в частных домах и квартирах. Модель оснащена электронным управлением с ЖК-дисплеем, таймером ( 0-20 мин.), откидной головкой и съемной дежей с ручками для переноски и пластмассовой защитной крышкой с отверстием для добавления ингредиентов в процессе замеса. Корпус выполнен из алюминия, дежа - из нержавеющей стали.</p>

<p>В комплект поставки входят двойной крюк для теста, плоский битер (лопатка) и венчик.</p>",81850,стационарный,220 В,1.5 кВт,200 мм,437 мм,421 мм,,Китай,,,0,https://entero.ru/manuals/55590/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Gemlux%20GL-SM10GR.pdf;https://entero.ru/manuals/69106/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Gemlux.pdf,,https://vk.com/video_ext.php?oid=-177656185&id=456239710&hd=2&autoplay=0,11.7 кг,нерж. сталь,10 л,Да,6,,,
https://cdn.entero.ru/mp@2x/42/ef/42ef96e33b1440eb93dac12c6845a627.jpg;https://cdn.entero.ru/mp@2x/f9/65/f965363bf0c8fc49c6571aedea46dcab.jpg;https://cdn.entero.ru/mp@2x/8d/c6/8dc60209563c3c48900efd6bee703a0c.jpg;https://cdn.entero.ru/mp@2x/03/71/0371870d91da5472cb48918a52b03065.jpg,Миксер Black+Decker BXMX300E,Миксер Black+Decker BXMX300E,5518,RUB,Нет,,Бытовая техника,Техника для кухни,Миксеры,https://entero.ru/item/290813,"<p>Миксер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/290813"">Black+Decker BXMX300E</a></b> предназначен для взбивания кремов, муссов, замешивания теста, а также для приготовления пюре, соусов и коктейлей в домашних условиях. Корпус двигателя выполнен из пластика черного цвета, насадки – из высококачественной нержавеющей стали.</p>

<p>В комплект поставки входят парные насадки: 2 венчика и 2 спиральных крюка для теста.</p>",290813,ручной,220 В,0.3 кВт,,,,,Китай,,,0,,,,,черный,,,5,,Да,
https://cdn.entero.ru/mp@2x/00/37/003728852d29101edd3ddfd56ce26707.jpg;https://cdn.entero.ru/mp@2x/7c/d4/7cd4e49d999985367ebc5be0ffa877bf.jpg;https://cdn.entero.ru/mp@2x/66/a9/66a9207216493060783282e04d519245.jpg,Миксер планетарный SMEG SMF02RDEU,8 017 709 269 197,69990,RUB,Нет,SMEG,Бытовая техника,Техника для кухни,Миксеры,https://entero.ru/item/123358,"<p>Планетарный миксер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/123358"">Smeg SMF02RDEU</a> </b>предназначен для взбивания кремов, муссов, а также для приготовления пюре, соусов и коктейлей в частных домах и квартирах. Модель выполнена в стиле 50-х годов. Корпус изготовлен из литого алюминия, шестеренки - из закаленной стали.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Венчик для взбивания легких продуктов (белков, сливок) из нержавеющей стали</li>
<li>Насадка для взбивания плотных продуктов из алюминия</li>
<li>Крюк для теста из алюминия</li>
<li>Чаша из полированной нержавеющей стали</li>
<li>Крышка для чаши из пластика</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Планетарное действие</li>
<li>Плавный старт</li>
<li>Низкая скорость на выходе</li>
<li>Блокировка вращения при поднятой смесительной головке</li>
<li>Фронтальный порт для дополнительных насадок</li>
<li>Нескользящие ножки</li>
<li>Цвет: красный</li>
</ul>",123358,стационарный,220 В,0.8 кВт,402 мм,221 мм,490 мм,,Италия,,,0,https://entero.ru/manuals/130382/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Smeg%20SMF02PGEU.pdf;https://entero.ru/manuals/130381/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Smeg%20SMF02PGEU.pdf,,,,"красный, металл",4.8 л,,10,,,
https://cdn.entero.ru/mp@2x/d9/81/d9812f2ec009e32395855d56d0f54c8a.jpg;https://cdn.entero.ru/mp@2x/2c/3f/2c3fbea5fb3ea3c526421612dec058d7.jpg,Миксер планетарный SMEG SMF02SVEU,Миксер планетарный SMEG SMF02SVEU,69990,RUB,Нет,SMEG,Бытовая техника,Техника для кухни,Миксеры,https://entero.ru/item/125109,"<p>Планетарный миксер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/125109"">Smeg SMF02SVEU</a> </b>предназначен для взбивания кремов, муссов, а также для приготовления пюре, соусов и коктейлей в частных домах и квартирах. Модель выполнена в стиле 50-х годов. Корпус изготовлен из литого алюминия, шестеренки - из закаленной стали.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Венчик для взбивания легких продуктов (белков, сливок) из нержавеющей стали</li>
<li>Насадка для взбивания плотных продуктов из алюминия</li>
<li>Крюк для теста из алюминия</li>
<li>Чаша из полированной нержавеющей стали</li>
<li>Крышка для чаши из пластика</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Планетарное действие</li>
<li>Плавный старт</li>
<li>Низкая скорость на выходе</li>
<li>Блокировка вращения при поднятой смесительной головке</li>
<li>Фронтальный порт для дополнительных насадок</li>
<li>Нескользящие ножки</li>
<li>Цвет: серебристый</li>
</ul>",125109,стационарный,220 В,0.8 кВт,402 мм,221 мм,490 мм,,Италия,,,0,https://entero.ru/manuals/134612/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Smeg%20SMF02SVEU.pdf;https://entero.ru/manuals/134610/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Smeg%20SMF02SVEU.pdf,72906,,,металл,4.8 л,,10,,,
https://cdn.entero.ru/mp@2x/13/d0/13d0fa427905ee6d100ddcd96de3d403.jpg;https://cdn.entero.ru/mp@2x/91/ed/91ed6b35cdac7864004c9816d6f15748.jpg;https://cdn.entero.ru/mp@2x/ae/4a/ae4a5e6c0a689c7a5872f5edb0cf1695.jpg;https://cdn.entero.ru/mp@2x/c7/7c/c77c50f5afb1e0aeaae215860235fc99.jpg;https://cdn.entero.ru/mp@2x/43/d1/43d10a8db5a8d2392461059a3eb4d076.jpg,Миксер планетарный SMEG SMF03CREU,8 017 709 269 159,75990,RUB,Нет,SMEG,Бытовая техника,Техника для кухни,Миксеры,https://entero.ru/item/116888,"<p>Планетарный миксер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/116888"">Smeg SMF03CREU</a></b> предназначен для взбивания кремов, муссов, а также для приготовления пюре, соусов и коктейлей в частных домах и квартирах. Модель выполнена в стиле 50-х годов. Корпус изготовлен из литого алюминия, шестеренки - из закаленной стали.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Венчик для взбивания легких продуктов (белков, сливок) из нержавеющей стали</li>
<li>Насадка для взбивания плотных продуктов из алюминия</li>
<li>Крюк для теста из алюминия</li>
<li>Чаша из полированной нержавеющей стали</li>
<li>Крышка для чаши из пластика</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Планетарное действие</li>
<li>Плавный старт</li>
<li>Низкая скорость на выходе</li>
<li>Блокировка вращения при поднятой смесительной головке</li>
<li>Фронтальный порт для дополнительных насадок</li>
<li>Нескользящие ножки</li>
<li>Цвет: кремовый</li>
</ul>",116888,стационарный,220 В,0.8 кВт,402 мм,221 мм,490 мм,,Италия,,,0,,79156,,,бежевый,4.8 л,,10,,,
https://cdn.entero.ru/mp@2x/b0/8d/b08d841544393bd0abf4efbe9c7df71b.jpg;https://cdn.entero.ru/mp@2x/bc/37/bc372013b1c56a0c4b01775ca0fe5377.jpg;https://cdn.entero.ru/mp@2x/69/4f/694f255b8143340e93b6fd4b9ebe2f41.jpg;https://cdn.entero.ru/mp@2x/93/da/93da78558bc3805c4d8eb1757487012c.jpg;https://cdn.entero.ru/mp@2x/0b/69/0b69763028ed64055ad4038cb209adab.jpg;https://cdn.entero.ru/mp@2x/36/8f/368fad618df4cb87ac3e94ba9b563b6f.jpg;https://cdn.entero.ru/mp@2x/27/d3/27d3c0f4d4e7dbd41f0f72350de4ab42.jpg;https://cdn.entero.ru/mp@2x/cc/f3/ccf3d00a4c905f38ddd847fbac921a6e.jpg;https://cdn.entero.ru/mp@2x/3f/d8/3fd8e581b2ae0583451ea902a838a7b3.jpg;https://cdn.entero.ru/mp@2x/88/47/8847ad5f15f2bd1e1593bad96afe0ef8.jpg;https://cdn.entero.ru/mp@2x/d4/8b/d48bfe153a4b8251b81fe890fe042f9d.jpg;https://cdn.entero.ru/mp@2x/59/99/59990dfdb86c0365dfb17ffa62a80c5e.jpg;https://cdn.entero.ru/mp@2x/f9/81/f981f547a030298d6e9c67a54ad9b5ac.jpg;https://cdn.entero.ru/mp@2x/26/a7/26a7da214401cb6aadfdf971ae96ea1e.jpg,"Миксер планетарный KitchenAid Artisan 5KSM175PSEAC 4,8 л кремовый","Миксер планетарный KitchenAid Artisan 5KSM175PSEAC 4,8 л кремовый",93353,RUB,Нет,KitchenAid,Бытовая техника,Техника для кухни,Миксеры,https://entero.ru/item/113135,"<p>Планетарный миксер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/113135""><b class=""b"">KitchenAid Artisan 5KSM175PSEAC</b></a> предназначен для замеса различного вида теста, взбивания кремов, муссов, смешивания смесей, приготовления пюре, соусов и коктейлей. Механическая панель обеспечивает простое управление. Цельный корпус выполнен из металла с эмалевым покрытием, чаши - из нержавеющей стали.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Чаша 4,8 л</li>
<li>Дополнительная чаша 3 л</li>
<li>Крюк для замешивания теста</li>
<li>Проволочный венчик</li>
<li>Лопатка для смешивания</li>
<li>Лопатка с гибким ребром</li>
<li>Защитный обод от брызг</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>10 скоростных режимов</li>
<li>Уникальный метод планетарного смешивания</li>
<li>Откидной блок</li>
<li>Мотор с прямым приводом</li>
<li>Фиксатор для насадок</li>
<li>Защитный обод плотно прилегает к краю стандартной чаши и значительно снижает количество брызг</li>
<li>Проволочный венчик для насыщения различных ингредиентов пузырьками воздуха, взбивания сладких и пикантных муссов, кремов и белкового теста</li>
<li>Лопатка для замешивания жидкого теста, перетирания овощного пюре, перемешивания соусов, приготовления сливочного масла с разными добавками и замешивания сдобного теста</li>
<li>Крюк для замешивания теста идеально подходит для приготовления теста для пасты, пиццы и хлеба</li>
<li>Лопатка с гибким ребром для нормальных и густых смесей - гибкий край лопатки обеспечивает быстрое смешивание ингредиентов, при котором нет необходимости останавливать двигатель и использовать лопатку</li>
<li>Гладкий и округлый дизайн</li>
<li>Съемные детали можно мыть в посудомоечной машине</li>
<li>Повышенная износостойкость</li>
<li>Широкий выбор дополнительных насадок для расширения функциональных возможностей прибора</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная загрузка муки: 1 кг</li>
<li>Скорость: от 58 до 220 об/мин.</li>
<li>Длина сетевого кабеля: 1,35 м</li>
</ul>",113135,стационарный,220 В,0.3 кВт,355 мм,225 мм,355 мм,12.7 кг,США,1,280x420x420 мм,0,https://entero.ru/manuals/499137/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20KitchenAid%20Artisan%205KSM175PSEAC.pdf,,,11.3 кг,бежевый,4.8 л,,10,,,
https://cdn.entero.ru/mp@2x/8d/05/8d05d52bce91020eb93e6673014d1393.jpg;https://cdn.entero.ru/mp@2x/0e/76/0e76ec9d2a940b243800d1fa777c9831.jpg;https://cdn.entero.ru/mp@2x/ab/03/ab0375dbf56a6173e96f6362928091cc.jpg;https://cdn.entero.ru/mp@2x/76/fa/76fa67f2e2c768f3a13b5dbcf7c8005d.jpg;https://cdn.entero.ru/mp@2x/03/f5/03f5b17ca797a1324c82c295d94c040b.jpg;https://cdn.entero.ru/mp@2x/17/53/1753752f7df728c2c9739ef2577d6702.jpg;https://cdn.entero.ru/mp@2x/a0/a4/a0a4d61b8c67b14152641d913050d3f8.jpg,"Миксер планетарный KitchenAid Artisan 5KSM125EAC 4,8 л кремовый",121393 / 5KSM125EAC кремовый Artisan,104750,RUB,Нет,KitchenAid,Бытовая техника,Техника для кухни,Миксеры,https://entero.ru/item/16482,"<p>Планетарный миксер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/16482""><b class=""b"">KitchenAid Artisan 5KSM125EAC</b></a> используется для замеса различных видов теста, взбивания кремов и муссов, приготовления пюре и соусов в частных домах и квартирах. Механическая панель обеспечивает простое управление. Цельный корпус выполнен из металла с эмалевым покрытием, чаша - из нержавеющей стали с глянцевым покрытием.</p>

<p>В комплект поставки входят 3 насадки: крюк для замешивания теста, проволочный венчик, лопатка для смешивания.</p>

<p><b>Особенности:</b></p>

<ul>
<li>10 скоростных режимов</li>
<li>Уникальный метод планетарного смешивания</li>
<li>Откидной блок</li>
<li>Мотор с прямым приводом</li>
<li>Фиксатор для насадок</li>
<li>Проволочный венчик для насыщения различных ингредиентов пузырьками воздуха, взбивания сладких и пикантных муссов, кремов и белкового теста</li>
<li>Лопатка для замешивания жидкого теста, перетирания овощного пюре, перемешивания соусов, приготовления сливочного масла с разными добавками и замешивания сдобного теста</li>
<li>Крюк для замешивания теста идеально подходит для приготовления теста для пасты, пиццы и хлеба</li>
<li>Гладкий и округлый дизайн</li>
<li>Съемные детали можно мыть в посудомоечной машине</li>
<li>Повышенная износостойкость</li>
<li>Широкий выбор дополнительных насадок для расширения функциональных возможностей прибора</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная загрузка муки: 1 кг</li>
<li>Скорость: от 58 до 220 об/мин.</li>
<li>Длина сетевого кабеля: 1,35 м</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Дополнительная чаша 3 л</li>
<li>Защитный обод от брызг</li>
<li>Лопатка с гибким ребром</li>
</ul>",16482,стационарный,220 В,0.3 кВт,200 мм,330 мм,360 мм,12.7 кг,США,1,280x420x420 мм,0,https://entero.ru/manuals/499095/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20KitchenAid%20Artisan%205KSM125EAC.pdf,111436,,11.3 кг,бежевый,4.8 л,,10,,,
